context: The same power, the same voice... response:	I see. It's uncanny.
context: We didn't make it!\What the... Something huge has stuck on!\O-Oh, no!\Grappling complete!\Ram it into Extalia!\Don't!!!\Everyone!\Everyone, get on! response:	Lucy?
context: What the... Something huge has stuck on!\O-Oh, no!\Grappling complete!\Ram it into Extalia!\Don't!!!\Everyone!\Everyone, get on!\Lucy? response:	Where are you?
context: O-Oh, no!\Grappling complete!\Ram it into Extalia!\Don't!!!\Everyone!\Everyone, get on!\Lucy?\Where are you? response:	You turned into a giant monster?
context: Grappling complete!\Ram it into Extalia!\Don't!!!\Everyone!\Everyone, get on!\Lucy?\Where are you?\You turned into a giant monster? response:	Stop your blabbing and get on board!
context: Ram it into Extalia!\Don't!!!\Everyone!\Everyone, get on!\Lucy?\Where are you?\You turned into a giant monster?\Stop your blabbing and get on board! response:	A Legion!
context: Don't!!!\Everyone!\Everyone, get on!\Lucy?\Where are you?\You turned into a giant monster?\Stop your blabbing and get on board!\A Legion! response:	Why is it here?
context: Everyone!\Everyone, get on!\Lucy?\Where are you?\You turned into a giant monster?\Stop your blabbing and get on board!\A Legion!\Why is it here? response:	How can that girl ride a Legion?
context: Everyone, get on!\Lucy?\Where are you?\You turned into a giant monster?\Stop your blabbing and get on board!\A Legion!\Why is it here?\How can that girl ride a Legion? response:	This Legion is mine!
context: Lucy?\Where are you?\You turned into a giant monster?\Stop your blabbing and get on board!\A Legion!\Why is it here?\How can that girl ride a Legion?\This Legion is mine! response:	Coco...
context: Where are you?\You turned into a giant monster?\Stop your blabbing and get on board!\A Legion!\Why is it here?\How can that girl ride a Legion?\This Legion is mine!\Coco... response:	Can we stop it?
context: You turned into a giant monster?\Stop your blabbing and get on board!\A Legion!\Why is it here?\How can that girl ride a Legion?\This Legion is mine!\Coco...\Can we stop it? response:	I don't know, but we have to go!
context: Stop your blabbing and get on board!\A Legion!\Why is it here?\How can that girl ride a Legion?\This Legion is mine!\Coco...\Can we stop it?\I don't know, but we have to go! response:	Yeah.
context: A Legion!\Why is it here?\How can that girl ride a Legion?\This Legion is mine!\Coco...\Can we stop it?\I don't know, but we have to go!\Yeah. response:	D-Don't run!
context: Why is it here?\How can that girl ride a Legion?\This Legion is mine!\Coco...\Can we stop it?\I don't know, but we have to go!\Yeah.\D-Don't run! response:	Scarlet...
context: How can that girl ride a Legion?\This Legion is mine!\Coco...\Can we stop it?\I don't know, but we have to go!\Yeah.\D-Don't run!\Scarlet... response:	After her!
context: This Legion is mine!\Coco...\Can we stop it?\I don't know, but we have to go!\Yeah.\D-Don't run!\Scarlet...\After her! response:	Legion Squad of the Second Magic Regiment, move out!
context: Coco...\Can we stop it?\I don't know, but we have to go!\Yeah.\D-Don't run!\Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out! response:	I shall go as well.
context: Can we stop it?\I don't know, but we have to go!\Yeah.\D-Don't run!\Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well. response:	Get Droma Anim ready!
context: I don't know, but we have to go!\Yeah.\D-Don't run!\Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready! response:	T-That's a forbidden craft...
context: Yeah.\D-Don't run!\Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft... response:	It's strictly forbidden under the Charter of the Kingdom, Article 23!
context: D-Don't run!\Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23! response:	Get it ready!
context: Scarlet...\After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready! response:	What the...
context: After her!\Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the... response:	Are we moving?
context: Legion Squad of the Second Magic Regiment, move out!\I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the...\Are we moving? response:	This is our army's plan.
context: I shall go as well.\Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the...\Are we moving?\This is our army's plan. response:	We will ram this lacrima into Extalia, and they will annihilate each other.
context: Get Droma Anim ready!\T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the...\Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other. response:	That's nuts.
context: T-That's a forbidden craft...\It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the...\Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts. response:	This is messed up.
context: It's strictly forbidden under the Charter of the Kingdom, Article 23!\Get it ready!\What the...\Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up. response:	How?
context: Get it ready!\What the...\Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up.\How? response:	How can you do something so horrible?
context: What the...\Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up.\How?\How can you do something so horrible? response:	Hurry!!!
context: Are we moving?\This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up.\How?\How can you do something so horrible?\Hurry!!! response:	I'm gonna stop it, for sure!
context: This is our army's plan.\We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up.\How?\How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure! response:	I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!
context: We will ram this lacrima into Extalia, and they will annihilate each other.\That's nuts.\This is messed up.\How?\How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed! response:	Aye, sir!
context: That's nuts.\This is messed up.\How?\How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir! response:	Let's go!
context: This is messed up.\How?\How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go! response:	By the way, I found an extremely rare fish the other day.
context: How?\How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day. response:	Let's go catch it next time!
context: How can you do something so horrible?\Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time! response:	Huh? What?
context: Hurry!!!\I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What? response:	You know, that time we all went to the mountain?
context: I'm gonna stop it, for sure!\I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What?\You know, that time we all went to the mountain? response:	Next time: The Boy Back Then.
context: I ain't gonna let a single person in Fairy Tail or a single Exceed be sacrificed!\Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What?\You know, that time we all went to the mountain?\Next time: The Boy Back Then. response:	So you're saying we have to go right now?
context: Aye, sir!\Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What?\You know, that time we all went to the mountain?\Next time: The Boy Back Then.\So you're saying we have to go right now? response:	The early worm catches the fish!
context: Let's go!\By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What?\You know, that time we all went to the mountain?\Next time: The Boy Back Then.\So you're saying we have to go right now?\The early worm catches the fish! response:	No, no, no...
context: By the way, I found an extremely rare fish the other day.\Let's go catch it next time!\Huh? What?\You know, that time we all went to the mountain?\Next time: The Boy Back Then.\So you're saying we have to go right now?\The early worm catches the fish!\No, no, no... response:	This is so not the time.
