context: She's so annoying. response:	And she's so loud, even though she's tiny.
context: Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey! response:	He's going to write to get
context: I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get response:	the award while paying off the inn bill with labor.
context: but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get\the award while paying off the inn bill with labor. response:	Anything you eat at the beach tastes better than usual!
context: You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual! response:	It's not ready yet, sir!
context: You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir! response:	Geez, come on...
context: I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on... response:	Nako!
context: Mr. Jiroumaru is going to start working at the inn now.\Hey!\He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on...\Nako! response:	You were the MVP today!
context: Hey!\He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on...\Nako!\You were the MVP today! response:	That was so cool!
context: He's going to write to get\the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on...\Nako!\You were the MVP today!\That was so cool! response:	Do you want me to teach you?
context: the award while paying off the inn bill with labor.\Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on...\Nako!\You were the MVP today!\That was so cool!\Do you want me to teach you? response:	Huh?
context: Anything you eat at the beach tastes better than usual!\It's not ready yet, sir!\Geez, come on...\Nako!\You were the MVP today!\That was so cool!\Do you want me to teach you?\Huh? response:	I-I'm sorry!
context: It's not ready yet, sir!\Geez, come on...\Nako!\You were the MVP today!\That was so cool!\Do you want me to teach you?\Huh?\I-I'm sorry! response:	Being able to swim is sort of useless, isn't it...
context: Geez, come on...\Nako!\You were the MVP today!\That was so cool!\Do you want me to teach you?\Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it... response:	No way! I don't think so at all!
context: Nako!\You were the MVP today!\That was so cool!\Do you want me to teach you?\Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all! response:	I can't teach you things related to the waitress job very well,
context: You were the MVP today!\That was so cool!\Do you want me to teach you?\Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well, response:	but I'm a bit confident about swimming, so...
context: That was so cool!\Do you want me to teach you?\Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so... response:	Hey! Supper's ready!
context: Do you want me to teach you?\Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready! response:	Let's go!
context: Huh?\I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go! response:	Okay.
context: I-I'm sorry!\Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go!\Okay. response:	Smells delicious!
context: Being able to swim is sort of useless, isn't it...\No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go!\Okay.\Smells delicious! response:	Eat to your stomach's content!
context: No way! I don't think so at all!\I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go!\Okay.\Smells delicious!\Eat to your stomach's content! response:	Oh, spinach.
context: I can't teach you things related to the waitress job very well,\but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go!\Okay.\Smells delicious!\Eat to your stomach's content!\Oh, spinach. response:	Yeah. Spinach goes well with small fish.
context: but I'm a bit confident about swimming, so...\Hey! Supper's ready!\Let's go!\Okay.\Smells delicious!\Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish. response:	Let me serve you.
context: Hey! Supper's ready!\Let's go!\Okay.\Smells delicious!\Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you. response:	Here!
context: Let's go!\Okay.\Smells delicious!\Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you.\Here! response:	Enjoy!
context: Okay.\Smells delicious!\Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you.\Here!\Enjoy! response:	She ate it!
context: Smells delicious!\Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you.\Here!\Enjoy!\She ate it! response:	Ohana?
context: Eat to your stomach's content!\Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you.\Here!\Enjoy!\She ate it!\Ohana? response:	She really ate it!
context: Oh, spinach.\Yeah. Spinach goes well with small fish.\Let me serve you.\Here!\Enjoy!\She ate it!\Ohana?\She really ate it! response:	I seriously don't get her sometimes.
context: Yeah. Spinach goes well with small fish.\Let me serve you.\Here!\Enjoy!\She ate it!\Ohana?\She really ate it!\I seriously don't get her sometimes. response:	Yay!
context: Let me serve you.\Here!\Enjoy!\She ate it!\Ohana?\She really ate it!\I seriously don't get her sometimes.\Yay! response:	She ate it!
context: Here!\Enjoy!\She ate it!\Ohana?\She really ate it!\I seriously don't get her sometimes.\Yay!\She ate it! response:	Balut!
context: Enjoy!\She ate it!\Ohana?\She really ate it!\I seriously don't get her sometimes.\Yay!\She ate it!\Balut! response:	B-
context: She ate it!\Ohana?\She really ate it!\I seriously don't get her sometimes.\Yay!\She ate it!\Balut!\B- response:	Balloot?
context: Ohana?\She really ate it!\I seriously don't get her sometimes.\Yay!\She ate it!\Balut!\B-\Balloot? response:	Dear, she's...
context: She really ate it!\I seriously don't get her sometimes.\Yay!\She ate it!\Balut!\B-\Balloot?\Dear, she's... response:	The splitting image of Satsuki.
context: I seriously don't get her sometimes.\Yay!\She ate it!\Balut!\B-\Balloot?\Dear, she's...\The splitting image of Satsuki. response:	Did Mr. Jiroumaru move rooms yet?
context: Yay!\She ate it!\Balut!\B-\Balloot?\Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet? response:	Yes.
context: She ate it!\Balut!\B-\Balloot?\Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes. response:	It used to be a storage room for futons,
context: Balut!\B-\Balloot?\Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons, response:	but he'll just have to live with it.
context: B-\Balloot?\Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons,\but he'll just have to live with it. response:	Something wrong, Denroku?
context: Balloot?\Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku? response:	So you knew.
context: Dear, she's...\The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku?\So you knew. response:	Knew about what?
context: The splitting image of Satsuki.\Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku?\So you knew.\Knew about what? response:	Knew that Ohana would set things right.
context: Did Mr. Jiroumaru move rooms yet?\Yes.\It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku?\So you knew.\Knew about what?\Knew that Ohana would set things right. response:	They say, Sticking goes not by strength but by guiding of the gully.
context: Yes.\It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku?\So you knew.\Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully. response:	Waitress Handbook
context: It used to be a storage room for futons,\but he'll just have to live with it.\Something wrong, Denroku?\So you knew.\Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook response:	This is so difficult!
context: but he'll just have to live with it.\Something wrong, Denroku?\So you knew.\Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult! response:	Time for a break.
context: Something wrong, Denroku?\So you knew.\Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult!\Time for a break. response:	I wonder if she's still practicing her peeling.
context: So you knew.\Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling. response:	An insult other than Die!
context: Knew about what?\Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die! response:	I hate you. -> But maybe this is too common...
context: Knew that Ohana would set things right.\They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common... response:	Stay away from me! -> But maybe this isn't harsh enough...?
context: They say, Sticking goes not by strength but by guiding of the gully.\Waitress Handbook\This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...? response:	Balut -> Smelly and ugly!
context: Waitress Handbook\This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly! response:	Smelly and ugly!
context: This is so difficult!\Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly! response:	We have a winner!
context: Time for a break.\I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner! response:	Balut!
context: I wonder if she's still practicing her peeling.\An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner!\Balut! response:	Balut.
context: An insult other than Die!\I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner!\Balut!\Balut. response:	A duck egg with a nearly-developed embryo inside.
context: I hate you. -> But maybe this is too common...\Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner!\Balut!\Balut.\A duck egg with a nearly-developed embryo inside. response:	It's a dish, but it's disgusting.
context: Stay away from me! -> But maybe this isn't harsh enough...?\Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner!\Balut!\Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting. response:	I can't stand them and I never will.
context: Balut -> Smelly and ugly!\Smelly and ugly!\We have a winner!\Balut!\Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will. response:	That defines how I feel about her too...
context: Smelly and ugly!\We have a winner!\Balut!\Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too... response:	It's incredible how much effort she put into this...
context: We have a winner!\Balut!\Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this... response:	It's actually kind of refreshing to be hated *this* much.
context: Balut!\Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much. response:	Another inconsiderate text from Mom?
context: Balut.\A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom? response:	Guess I know where mine came from.
context: A duck egg with a nearly-developed embryo inside.\It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from. response:	From: Ko
context: It's a dish, but it's disgusting.\I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko response:	I'm sorry I didn't see you off. Good luck with everything, Ohana!!
context: I can't stand them and I never will.\That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!! response:	Ko...
context: That defines how I feel about her too...\It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko... response:	It was a mysterious feeling.
context: It's incredible how much effort she put into this...\It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling. response:	When I was still in Tokyo, we texted each other all the time.
context: It's actually kind of refreshing to be hated *this* much.\Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time. response:	But now, it made me so happy.
context: Another inconsiderate text from Mom?\Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy. response:	Good luck, huh?
context: Guess I know where mine came from.\From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh? response:	Yeah.
context: From: Ko\I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh?\Yeah. response:	I'll try my best.
context: I'm sorry I didn't see you off. Good luck with everything, Ohana!!\Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh?\Yeah.\I'll try my best. response:	In order to sparkle here.
context: Ko...\It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh?\Yeah.\I'll try my best.\In order to sparkle here. response:	Minchi is really popular with the guys.
context: It was a mysterious feeling.\When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh?\Yeah.\I'll try my best.\In order to sparkle here.\Minchi is really popular with the guys. response:	They're actually more warmhearted than anyone!
context: When I was still in Tokyo, we texted each other all the time.\But now, it made me so happy.\Good luck, huh?\Yeah.\I'll try my best.\In order to sparkle here.\Minchi is really popular with the guys.\They're actually more warmhearted than anyone! response:	Who are you calling a plateau girl?!
context: But now, it made me so happy.\Good luck, huh?\Yeah.\I'll try my best.\In order to sparkle here.\Minchi is really popular with the guys.\They're actually more warmhearted than anyone!\Who are you calling a plateau girl?! response:	Episode 4
context: Good luck, huh?\Yeah.\I'll try my best.\In order to sparkle here.\Minchi is really popular with the guys.\They're actually more warmhearted than anyone!\Who are you calling a plateau girl?!\Episode 4 response:	Grey Heron Rhapsody
