context: A healthy soul... response:	I'll leave this to you.
context: I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it. response:	Even though I think this way, it's a fine power.
context: What?\That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power. response:	Besides, this isn't a problem of the weapon alone.
context: That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone. response:	If we resonate any deeper it might influence Maka, right?
context: Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right? response:	Stop messing around, damn brat!
context: If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat! response:	Enough with giving too much attention to small things!
context: We've never heard such a great story before.\I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things! response:	Suddenly trying to tap into the Sun, what's wrong with you?!
context: I understand fear, so I fight it.\I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?! response:	You want me to slap you once, eh?!
context: I understand order, so I follow it.\Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?! response:	If you can't handle fear, then what of your life?!
context: Even though I think this way, it's a fine power.\Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?! response:	You listening?!
context: Besides, this isn't a problem of the weapon alone.\If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?! response:	Shut yer trap!
context: If we resonate any deeper it might influence Maka, right?\Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap! response:	You're like the stuff I crap out!
context: Stop messing around, damn brat!\Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap!\You're like the stuff I crap out! response:	Stop talking to me all the time, crap doesn't talk!
context: Enough with giving too much attention to small things!\Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk! response:	Right?!
context: Suddenly trying to tap into the Sun, what's wrong with you?!\You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?! response:	You keep quiet and guide me!
context: You want me to slap you once, eh?!\If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me! response:	Whether I follow your advice or not... is my own decision!!
context: If you can't handle fear, then what of your life?!\You listening?!\Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!! response:	Whether I follow your advice or not... is my own decision!!
context: You listening?!\Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!! response:	How am I supposed to stay quiet and guide you?
context: Shut yer trap!\You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you? response:	Raise your finger or whatever, you crappy bastard.
context: You're like the stuff I crap out!\Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard. response:	Okay, okay.
context: Stop talking to me all the time, crap doesn't talk!\Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay. response:	Shall we cool down a little?
context: Right?!\You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little? response:	We want to move forward as much as you do.
context: You keep quiet and guide me!\Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do. response:	If we keep talking like this, we'll both remain on a standstill.
context: Whether I follow your advice or not... is my own decision!!\Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill. response:	Right?
context: Whether I follow your advice or not... is my own decision!!\How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right? response:	Yeah.
context: How am I supposed to stay quiet and guide you?\Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah. response:	There's someone we've invited here today.
context: Raise your finger or whatever, you crappy bastard.\Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah.\There's someone we've invited here today. response:	Come on in!
context: Okay, okay.\Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah.\There's someone we've invited here today.\Come on in! response:	Here?
context: Shall we cool down a little?\We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah.\There's someone we've invited here today.\Come on in!\Here? response:	Now, now, we're not going anywhere, so let democracy decide this.
context: We want to move forward as much as you do.\If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah.\There's someone we've invited here today.\Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this. response:	Maka?
context: If we keep talking like this, we'll both remain on a standstill.\Right?\Yeah.\There's someone we've invited here today.\Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka? response:	I heard most of it.
context: Right?\Yeah.\There's someone we've invited here today.\Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it. response:	Why are you here?
context: Yeah.\There's someone we've invited here today.\Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it.\Why are you here? response:	Wasn't this like my exclusive session thing?
context: There's someone we've invited here today.\Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing? response:	Right now you're both resonating...
context: Come on in!\Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating... response:	Oi, demon!
context: Here?\Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon! response:	Isn't this something you made that just looks like Maka?
context: Now, now, we're not going anywhere, so let democracy decide this.\Maka?\I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka? response:	What a mood wrecking guy...
context: Maka?\I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy... response:	This place pretty much works the way you want.
context: I heard most of it.\Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want. response:	We can't go that far...
context: Why are you here?\Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far... response:	Maka... Chop!
context: Wasn't this like my exclusive session thing?\Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far...\Maka... Chop! response:	Maka... Chop!
context: Right now you're both resonating...\Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far...\Maka... Chop!\Maka... Chop! response:	It's Maka, alright.
context: Oi, demon!\Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far...\Maka... Chop!\Maka... Chop!\It's Maka, alright. response:	Now then.
context: Isn't this something you made that just looks like Maka?\What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far...\Maka... Chop!\Maka... Chop!\It's Maka, alright.\Now then. response:	Let's wash away our fear.
context: What a mood wrecking guy...\This place pretty much works the way you want.\We can't go that far...\Maka... Chop!\Maka... Chop!\It's Maka, alright.\Now then.\Let's wash away our fear. response:	Take the lead.
context: This place pretty much works the way you want.\We can't go that far...\Maka... Chop!\Maka... Chop!\It's Maka, alright.\Now then.\Let's wash away our fear.\Take the lead. response:	I don't know how to do this...
context: We can't go that far...\Maka... Chop!\Maka... Chop!\It's Maka, alright.\Now then.\Let's wash away our fear.\Take the lead.\I don't know how to do this... response:	Do it however you want.
context: Maka... Chop!\Maka... Chop!\It's Maka, alright.\Now then.\Let's wash away our fear.\Take the lead.\I don't know how to do this...\Do it however you want. response:	Five, six, seven, eight.
context: Maka... Chop!\It's Maka, alright.\Now then.\Let's wash away our fear.\Take the lead.\I don't know how to do this...\Do it however you want.\Five, six, seven, eight. response:	Five, six, seven, eight.
context: It's Maka, alright.\Now then.\Let's wash away our fear.\Take the lead.\I don't know how to do this...\Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight. response:	Five, six, seven, eight.
context: Now then.\Let's wash away our fear.\Take the lead.\I don't know how to do this...\Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight. response:	Five, six, seven, eight.
context: Let's wash away our fear.\Take the lead.\I don't know how to do this...\Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight. response:	Why did you come here?
context: Take the lead.\I don't know how to do this...\Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here? response:	Did you hear the demon's voice, too?
context: I don't know how to do this...\Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too? response:	I don't know...
context: Do it however you want.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too?\I don't know... response:	But now that I think of it...
context: Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too?\I don't know...\But now that I think of it... response:	I might have heard it the time we fought the Devil Eye Wolf.
context: Five, six, seven, eight.\Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too?\I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf. response:	Yeah, we certainly entered you.
context: Five, six, seven, eight.\Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too?\I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you. response:	But we were erased right away.
context: Five, six, seven, eight.\Why did you come here?\Did you hear the demon's voice, too?\I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away. response:	Don't know why, though...
context: Why did you come here?\Did you hear the demon's voice, too?\I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though... response:	If so, you shouldn't be here.
context: Did you hear the demon's voice, too?\I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though...\If so, you shouldn't be here. response:	And was just able to make him disappear.
context: I don't know...\But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear. response:	This time it might not disappear...
context: But now that I think of it...\I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear... response:	Hey, if we're matching our wavelengths like this...
context: I might have heard it the time we fought the Devil Eye Wolf.\Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this... response:	You...
context: Yeah, we certainly entered you.\But we were erased right away.\Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You... response:	Yes.
context: But we were erased right away.\Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You...\Yes. response:	You can't mean...
context: Don't know why, though...\If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You...\Yes.\You can't mean... response:	Do you intend to use the black blood and fall into the same madness as Chrona?
context: If so, you shouldn't be here.\And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You...\Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona? response:	I knew it, you're upset...
context: And was just able to make him disappear.\This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You...\Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset... response:	I thought this when Witch Hunting was shattered...
context: This time it might not disappear...\Hey, if we're matching our wavelengths like this...\You...\Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered... response:	If I had the same power as the Devil Sword, I might be able to grasp something.
context: Hey, if we're matching our wavelengths like this...\You...\Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something. response:	Chrona's...
context: You...\Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's... response:	I might be able to grasp Chrona's wavelength.
context: Yes.\You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength. response:	No way...
context: You can't mean...\Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength.\No way... response:	For a mere whim that's too dangerous!
context: Do you intend to use the black blood and fall into the same madness as Chrona?\I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous! response:	You may not be able to get your reason back.
context: I knew it, you're upset...\I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back. response:	Yeah.
context: I thought this when Witch Hunting was shattered...\If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah. response:	No, I'm sorry. This is my conviction!
context: If I had the same power as the Devil Sword, I might be able to grasp something.\Chrona's...\I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction! response:	There's no guarantee of you returning...
context: Chrona's...\I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning... response:	But it's worth the try, isn't it?
context: I might be able to grasp Chrona's wavelength.\No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it? response:	Ok, let's do it.
context: No way...\For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it. response:	We'll do it the way you like.
context: For a mere whim that's too dangerous!\You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like. response:	No matter how messed up you become,
context: You may not be able to get your reason back.\Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become, response:	Ouch!
context: Yeah.\No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become,\Ouch! response:	Ah, sorry.
context: No, I'm sorry. This is my conviction!\There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become,\Ouch!\Ah, sorry. response:	Lead me properly, okay?
context: There's no guarantee of you returning...\But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become,\Ouch!\Ah, sorry.\Lead me properly, okay? response:	Yeah, leave it to me...
context: But it's worth the try, isn't it?\Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become,\Ouch!\Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me... response:	That's the way.
context: Ok, let's do it.\We'll do it the way you like.\No matter how messed up you become,\Ouch!\Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me...\That's the way. response:	It sure flew!
context: We'll do it the way you like.\No matter how messed up you become,\Ouch!\Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me...\That's the way.\It sure flew! response:	She's being dragged into my madness.
context: No matter how messed up you become,\Ouch!\Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me...\That's the way.\It sure flew!\She's being dragged into my madness. response:	Maka, I'll definitely won't let you go, okay?
context: Ouch!\Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me...\That's the way.\It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay? response:	The fools...
context: Ah, sorry.\Lead me properly, okay?\Yeah, leave it to me...\That's the way.\It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools... response:	We are the ones taking the lead.
context: Lead me properly, okay?\Yeah, leave it to me...\That's the way.\It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead. response:	That's the end of this week's broadcast.
context: Yeah, leave it to me...\That's the way.\It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead.\That's the end of this week's broadcast. response:	The late show that's becoming more and more arrogant...
context: That's the way.\It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant... response:	Just where will we end up?
context: It sure flew!\She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant...\Just where will we end up? response:	At the least, I have no idea.
context: She's being dragged into my madness.\Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant...\Just where will we end up?\At the least, I have no idea. response:	Director, if you don't take some time off you'll get broken.
context: Maka, I'll definitely won't let you go, okay?\The fools...\We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant...\Just where will we end up?\At the least, I have no idea.\Director, if you don't take some time off you'll get broken. response:	Maka's World Tour.
context: The fools...\We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant...\Just where will we end up?\At the least, I have no idea.\Director, if you don't take some time off you'll get broken.\Maka's World Tour. response:	Don't say you won't promise to watch.
context: We are the ones taking the lead.\That's the end of this week's broadcast.\The late show that's becoming more and more arrogant...\Just where will we end up?\At the least, I have no idea.\Director, if you don't take some time off you'll get broken.\Maka's World Tour.\Don't say you won't promise to watch. response:	I'll take your soul!
