context: Until the competition is over, response:	there will be no practice.
context: Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san response:	Reed...
context: Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san\Reed... response:	Kuroki-san, hurry up!
context: It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up! response:	Congratulation!
context: Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up!\Congratulation! response:	Congratulation, Miki-san!
context: Ah!\Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san! response:	How do you feel about winning the 2nd place in Violin section?
context: Oh no! I put it in the water too long!\I need another reed..\The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section? response:	2nd place
context: I need another reed..\The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place response:	Kiyora?
context: The next person Kuroki Yasunori-san\Reed...\Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora? response:	Wait..
context: Reed...\Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora?\Wait.. response:	What's wrong with your neck?
context: Kuroki-san, hurry up!\Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora?\Wait..\What's wrong with your neck? response:	I slept at a bad angle and got stiff neck What?
context: Congratulation!\Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora?\Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What? response:	Come...
context: Congratulation, Miki-san!\How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora?\Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come... response:	Since I was born it's the first time I got stiff neck, why it has to be today?? Why??
context: How do you feel about winning the 2nd place in Violin section?\2nd place\Kiyora?\Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why?? response:	Oi! Isn't that Kai Dun?
context: 2nd place\Kiyora?\Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun? response:	Yes! The former Concert Master of Berlin Phil!
context: Kiyora?\Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil! response:	Sensei..
context: Wait..\What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei.. response:	Congratulations
context: What's wrong with your neck?\I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations response:	But I thought that you would surely win 1st place..
context: I slept at a bad angle and got stiff neck What?\Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations\But I thought that you would surely win 1st place.. response:	Miki san.. How do you feel about winning 2nd place..
context: Come...\Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place.. response:	Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?
context: Since I was born it's the first time I got stiff neck, why it has to be today?? Why??\Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place? response:	I want to thank to my parents and teachers who have supported me until now
context: Oi! Isn't that Kai Dun?\Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now response:	Kikuchi-kun
context: Yes! The former Concert Master of Berlin Phil!\Sensei..\Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun response:	Congratulations, Kikuchi-kun
context: Sensei..\Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun response:	Tooru! Congratulations.
context: Congratulations\But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations. response:	Who are you?
context: But I thought that you would surely win 1st place..\Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you? response:	Are you Yuuko?
context: Miki san.. How do you feel about winning 2nd place..\Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you?\Are you Yuuko? response:	I am Yuuko!
context: Congratulations, Kikuchi-kun! How do you feel about winning the 1st place?\I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you?\Are you Yuuko?\I am Yuuko! response:	So you're Izumi!
context: I want to thank to my parents and teachers who have supported me until now\Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you?\Are you Yuuko?\I am Yuuko!\So you're Izumi! response:	Ah.. Let's have the interview over there.
context: Kikuchi-kun\Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you?\Are you Yuuko?\I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there. response:	Kikuchi won first place...
context: Congratulations, Kikuchi-kun\Tooru! Congratulations.\Who are you?\Are you Yuuko?\I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place... response:	Aizawa and Katayama.. as expected..
context: Tooru! Congratulations.\Who are you?\Are you Yuuko?\I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected.. response:	Heh? Kiyora only got 2nd place?
context: Who are you?\Are you Yuuko?\I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place? response:	and surprisingly..
context: Are you Yuuko?\I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly.. response:	Kuroki-kun didn't win any place...
context: I am Yuuko!\So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place... response:	Ah, Kuroki kun? (anago rice bowl)
context: So you're Izumi!\Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl) response:	I met him that time..
context: Ah.. Let's have the interview over there.\Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time.. response:	What did you do to Kuroki kun?
context: Kikuchi won first place...\Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun? response:	What did I do to him..?
context: Aizawa and Katayama.. as expected..\Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun?\What did I do to him..? response:	I just consulted with him about my love problems...
context: Heh? Kiyora only got 2nd place?\and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems... response:	I didn't cheat on you..
context: and surprisingly..\Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you.. response:	If you are so worried about Nodame,
context: Kuroki-kun didn't win any place...\Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame, response:	why don't you tie me up with chains?
context: Ah, Kuroki kun? (anago rice bowl)\I met him that time..\What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains? response:	Oi, Kiyora Here, I bought it for you
context: I met him that time..\What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you response:	to see my Master.. nor Chiaki kun...
context: What did you do to Kuroki kun?\What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun... response:	Though I'm a Concert Master, why...
context: What did I do to him..?\I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why... response:	Though I've practised so hard and take a break from the Oke's practice...
context: I just consulted with him about my love problems...\I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice... response:	I don't really know what kind of person your Master is..
context: I didn't cheat on you..\If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is.. response:	But.. Chiaki..
context: If you are so worried about Nodame,\why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki.. response:	is not someone who'll abandon a friend just because of one failure..
context: why don't you tie me up with chains?\Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure.. response:	Being his best friend, I'm sure I didn't make a mistake in my judgement.
context: Oi, Kiyora Here, I bought it for you\to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement. response:	Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.
context: to see my Master.. nor Chiaki kun...\Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it. response:	I'm an idiot!
context: Though I'm a Concert Master, why...\Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot! response:	That was not my real performance!
context: Though I've practised so hard and take a break from the Oke's practice...\I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance! response:	I want to go up on the stage once more!
context: I don't really know what kind of person your Master is..\But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance!\I want to go up on the stage once more! response:	Next time, certainly...
context: But.. Chiaki..\is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance!\I want to go up on the stage once more!\Next time, certainly... response:	In Rising Star, certainly...
context: is not someone who'll abandon a friend just because of one failure..\Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance!\I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly... response:	I will let you hear...
context: Being his best friend, I'm sure I didn't make a mistake in my judgement.\Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance!\I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly...\I will let you hear... response:	my real performance!
context: Oi, Kiyora! Don't cry! Hush, hush! Here, drink it.\I'm an idiot!\That was not my real performance!\I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly...\I will let you hear...\my real performance! response:	From today our rehearsal will begin again.
context: I'm an idiot!\That was not my real performance!\I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly...\I will let you hear...\my real performance!\From today our rehearsal will begin again. response:	Now.. If I..
context: That was not my real performance!\I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly...\I will let you hear...\my real performance!\From today our rehearsal will begin again.\Now.. If I.. response:	can make something great... that will be enough..
context: I want to go up on the stage once more!\Next time, certainly...\In Rising Star, certainly...\I will let you hear...\my real performance!\From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough.. response:	Violin! Stronger on the eighth bar!
context: Next time, certainly...\In Rising Star, certainly...\I will let you hear...\my real performance!\From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar! response:	Blend the two measures into one!
context: In Rising Star, certainly...\I will let you hear...\my real performance!\From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one! response:	Stop!
context: I will let you hear...\my real performance!\From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop! response:	All of you! Do you think it will do playing like that?
context: my real performance!\From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that? response:	Listen to the surrounding sounds too!
context: From today our rehearsal will begin again.\Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too! response:	Just Violas.. From K..
context: Now.. If I..\can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K.. response:	No! It doens't synch! Once more!
context: can make something great... that will be enough..\Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more! response:	What happened witth Chiaki kun?
context: Violin! Stronger on the eighth bar!\Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun? response:	Devil Chiaki..
context: Blend the two measures into one!\Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki.. response:	is back!
context: Stop!\All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki..\is back! response:	And Violins! Yes!
context: All of you! Do you think it will do playing like that?\Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki..\is back!\And Violins! Yes! response:	On K's 5th bar, don't cut the sound.
context: Listen to the surrounding sounds too!\Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki..\is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound. response:	It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra
context: Just Violas.. From K..\No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki..\is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra response:	Express it with richer emotion! It's not only a matter of reading the score!..
context: No! It doens't synch! Once more!\What happened witth Chiaki kun?\Devil Chiaki..\is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!.. response:	You are not soloists, so listen to the other sounds around you well!
context: What happened witth Chiaki kun?\Devil Chiaki..\is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well! response:	Think by yourself about the meaning of each phrase and play it.
context: Devil Chiaki..\is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it. response:	Hai!
context: is back!\And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai! response:	OK, once more!
context: And Violins! Yes!\On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more! response:	Yep!
context: On K's 5th bar, don't cut the sound.\It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more!\Yep! response:	But Nodame-chan..
context: It's not Ta-TaTaTa-Ta. It's Taaa-rarara-ra\Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more!\Yep!\But Nodame-chan.. response:	with your condition right now,
context: Express it with richer emotion! It's not only a matter of reading the score!..\You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more!\Yep!\But Nodame-chan..\with your condition right now, response:	you can't be together with Chiaki.
context: You are not soloists, so listen to the other sounds around you well!\Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more!\Yep!\But Nodame-chan..\with your condition right now,\you can't be together with Chiaki. response:	I can't believe this! 5 hours of practice straight without taking any break!
context: Think by yourself about the meaning of each phrase and play it.\Hai!\OK, once more!\Yep!\But Nodame-chan..\with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break! response:	that's Chiaki kun..
context: Hai!\OK, once more!\Yep!\But Nodame-chan..\with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun.. response:	Is that Chiaki-kun?
context: OK, once more!\Yep!\But Nodame-chan..\with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun? response:	Somehow, I feel I can understand what Chiaki-kun wants to do.
context: Yep!\But Nodame-chan..\with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do. response:	It's becoming interesting now...
context: But Nodame-chan..\with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now... response:	Just performing as usual is not enough...
context: with your condition right now,\you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough... response:	We are not up to his expectation at all.
context: you can't be together with Chiaki.\I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all. response:	Kuroki kun.. again he's a Samurai..
context: I can't believe this! 5 hours of practice straight without taking any break!\that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai.. response:	Kimura-kun! We sold 100 tickets for the public performance!
context: that's Chiaki kun..\Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance! response:	Eh! Already that many?
context: Is that Chiaki-kun?\Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many? response:	Wow! Sakuma Manabu!
context: Somehow, I feel I can understand what Chiaki-kun wants to do.\It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu! response:	When I told my friends in the same Association, they were all insterested in it!
context: It's becoming interesting now...\Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it! response:	Ack, can you give me 50 more tickets?
context: Just performing as usual is not enough...\We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets? response:	Hai!
context: We are not up to his expectation at all.\Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai! response:	The advance tickets at Uraken-san are also selling well, right?
context: Kuroki kun.. again he's a Samurai..\Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right? response:	That was thanks to this advertisement page!
context: Kimura-kun! We sold 100 tickets for the public performance!\Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page! response:	Conductor - The Young Lord of Music Chiaki Shinichi
context: Eh! Already that many?\Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi response:	What is that? What's that? So fast already?
context: Wow! Sakuma Manabu!\When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already? response:	So they're done already!!
context: When I told my friends in the same Association, they were all insterested in it!\Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!! response:	Done already???
context: Ack, can you give me 50 more tickets?\Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!!\Done already??? response:	Mesmerizing Cellist?
context: Hai!\The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!!\Done already???\Mesmerizing Cellist? response:	The Orient's Bright Red Ruby?
context: The advance tickets at Uraken-san are also selling well, right?\That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!!\Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby? response:	The Young Lord of Music! It suits him very well!
context: That was thanks to this advertisement page!\Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!!\Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well! response:	Japan's new-style youth perform together
context: Conductor - The Young Lord of Music Chiaki Shinichi\What is that? What's that? So fast already?\So they're done already!!\Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together response:	An overnight dream for you.
