context: I have put up a barrier. response:	Those insects cannot get through.
context: It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate. response:	My soul is much more free than those days.
context: No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate.\My soul is much more free than those days. response:	Free to hate...
context: the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate.\My soul is much more free than those days.\Free to hate... response:	Free to love...
context: will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate.\My soul is much more free than those days.\Free to hate...\Free to love... response:	Oh no! My Sacred Jewel fragment has been stolen!
context: Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate.\My soul is much more free than those days.\Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen! response:	Without it, I can't return to the Present!
context: When you have the complete Sacred Jewel...\I will send you to Hell.\I am free to hate.\My soul is much more free than those days.\Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present! response:	Miroku, please let me borrow your Sacred Jewel fragment.
context: I will send you to Hell.\I am free to hate.\My soul is much more free than those days.\Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment. response:	I have a test tomorrow, and I must go back!
context: I am free to hate.\My soul is much more free than those days.\Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back! response:	Oh Sango! You'll lend me yours?
context: My soul is much more free than those days.\Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back!\Oh Sango! You'll lend me yours? response:	Thank you sooo much!
context: Free to hate...\Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back!\Oh Sango! You'll lend me yours?\Thank you sooo much! response:	Old Myoga, who is this?
context: Free to love...\Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back!\Oh Sango! You'll lend me yours?\Thank you sooo much!\Old Myoga, who is this? response:	The man who forged the Tetsusaiga?!
context: Oh no! My Sacred Jewel fragment has been stolen!\Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back!\Oh Sango! You'll lend me yours?\Thank you sooo much!\Old Myoga, who is this?\The man who forged the Tetsusaiga?! response:	Next on Inuyasha, Tetsusaiga and Tenseiga!
context: Without it, I can't return to the Present!\Miroku, please let me borrow your Sacred Jewel fragment.\I have a test tomorrow, and I must go back!\Oh Sango! You'll lend me yours?\Thank you sooo much!\Old Myoga, who is this?\The man who forged the Tetsusaiga?!\Next on Inuyasha, Tetsusaiga and Tenseiga! response:	Don't miss it!
