context: And, the one-inch-boy, wearing a needle sword response:	that his grandfather made,
context: Then, I will read it.\Ah... why don't you?\Yup.\See you.\- Horikiri-shi! - What?\Well...\What is it?\It's nothing. response:	What is it?
context: Ah... why don't you?\Yup.\See you.\- Horikiri-shi! - What?\Well...\What is it?\It's nothing.\What is it? response:	What is it?
context: Yup.\See you.\- Horikiri-shi! - What?\Well...\What is it?\It's nothing.\What is it?\What is it? response:	Well...
context: See you.\- Horikiri-shi! - What?\Well...\What is it?\It's nothing.\What is it?\What is it?\Well... response:	I will tell you tomorrow.
context: - Horikiri-shi! - What?\Well...\What is it?\It's nothing.\What is it?\What is it?\Well...\I will tell you tomorrow. response:	Okay, I see.
context: Well...\What is it?\It's nothing.\What is it?\What is it?\Well...\I will tell you tomorrow.\Okay, I see. response:	- Bye, bye. - Bye, bye.
context: What is it?\It's nothing.\What is it?\What is it?\Well...\I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye. response:	Riku has been reading it.
context: It's nothing.\What is it?\What is it?\Well...\I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it. response:	Okay.
context: What is it?\What is it?\Well...\I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it.\Okay. response:	Fairies lose their magical power when they fall in love.
context: What is it?\Well...\I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love. response:	And, they will also lose their smile.
context: Well...\I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile. response:	They will age instantly, fall into a deep sleep
context: I will tell you tomorrow.\Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep response:	and never wake up.
context: Okay, I see.\- Bye, bye. - Bye, bye.\Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up. response:	But, if they are loved back by those they love,
context: - Bye, bye. - Bye, bye.\Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love, response:	they will be humans in exchange for losing their magical power.
context: Riku has been reading it.\Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power. response:	Humans age, but...
context: Okay.\Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but... response:	Moon Bunny Michaela!
context: Fairies lose their magical power when they fall in love.\And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela! response:	- Sensei! - It's ok, it's ok.
context: And, they will also lose their smile.\They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok. response:	I haven't told anyone.
context: They will age instantly, fall into a deep sleep\and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone. response:	No one at all!
context: and never wake up.\But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all! response:	I think it's fine to tell... you're just doing what you like to do.
context: But, if they are loved back by those they love,\they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do. response:	No way. I'll be so embarrassed that I won't be able to come to school.
context: they will be humans in exchange for losing their magical power.\Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school. response:	You are a celebrity in the online novel world.
context: Humans age, but...\Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world. response:	No, it's just dumb luck.
context: Moon Bunny Michaela!\- Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck. response:	When I wrote about what's been collected inside of me, it just happened.
context: - Sensei! - It's ok, it's ok.\I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened. response:	I guess that is the mental scenary
context: I haven't told anyone.\No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary response:	that is inside of your heart.
context: No one at all!\I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart. response:	No, no, it's not something that big.
context: I think it's fine to tell... you're just doing what you like to do.\No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big. response:	What is it?
context: No way. I'll be so embarrassed that I won't be able to come to school.\You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big.\What is it? response:	First of all,
context: You are a celebrity in the online novel world.\No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big.\What is it?\First of all, response:	this.
context: No, it's just dumb luck.\When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big.\What is it?\First of all,\this. response:	It's for you.
context: When I wrote about what's been collected inside of me, it just happened.\I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big.\What is it?\First of all,\this.\It's for you. response:	But it's not my birthday.
context: I guess that is the mental scenary\that is inside of your heart.\No, no, it's not something that big.\What is it?\First of all,\this.\It's for you.\But it's not my birthday. response:	I know.
context: that is inside of your heart.\No, no, it's not something that big.\What is it?\First of all,\this.\It's for you.\But it's not my birthday.\I know. response:	I wanted to give this to you the other day.
context: No, no, it's not something that big.\What is it?\First of all,\this.\It's for you.\But it's not my birthday.\I know.\I wanted to give this to you the other day. response:	But, I couldn't.
context: What is it?\First of all,\this.\It's for you.\But it's not my birthday.\I know.\I wanted to give this to you the other day.\But, I couldn't. response:	What could it be?
context: First of all,\this.\It's for you.\But it's not my birthday.\I know.\I wanted to give this to you the other day.\But, I couldn't.\What could it be? response:	It's cute!
context: this.\It's for you.\But it's not my birthday.\I know.\I wanted to give this to you the other day.\But, I couldn't.\What could it be?\It's cute! response:	- Did you make this yourself? - Yeah.
context: It's for you.\But it's not my birthday.\I know.\I wanted to give this to you the other day.\But, I couldn't.\What could it be?\It's cute!\- Did you make this yourself? - Yeah. response:	Wow!
context: But it's not my birthday.\I know.\I wanted to give this to you the other day.\But, I couldn't.\What could it be?\It's cute!\- Did you make this yourself? - Yeah.\Wow! response:	The moon and a bunny?
context: I know.\I wanted to give this to you the other day.\But, I couldn't.\What could it be?\It's cute!\- Did you make this yourself? - Yeah.\Wow!\The moon and a bunny? response:	Is this... perhaps...
context: I wanted to give this to you the other day.\But, I couldn't.\What could it be?\It's cute!\- Did you make this yourself? - Yeah.\Wow!\The moon and a bunny?\Is this... perhaps... response:	am a fan of Moon Bunny Michaela.
context: But, I couldn't.\What could it be?\It's cute!\- Did you make this yourself? - Yeah.\Wow!\The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela. response:	So,
context: What could it be?\It's cute!\- Did you make this yourself? - Yeah.\Wow!\The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela.\So, response:	I wanted you to have it.
context: It's cute!\- Did you make this yourself? - Yeah.\Wow!\The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela.\So,\I wanted you to have it. response:	You knew?
context: - Did you make this yourself? - Yeah.\Wow!\The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela.\So,\I wanted you to have it.\You knew? response:	I'm sorry.
context: Wow!\The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela.\So,\I wanted you to have it.\You knew?\I'm sorry. response:	I did...
context: The moon and a bunny?\Is this... perhaps...\am a fan of Moon Bunny Michaela.\So,\I wanted you to have it.\You knew?\I'm sorry.\I did... response:	Then,
context: Is this... perhaps...\am a fan of Moon Bunny Michaela.\So,\I wanted you to have it.\You knew?\I'm sorry.\I did...\Then, response:	you knew yesterday.
context: am a fan of Moon Bunny Michaela.\So,\I wanted you to have it.\You knew?\I'm sorry.\I did...\Then,\you knew yesterday. response:	Yesterday...
context: So,\I wanted you to have it.\You knew?\I'm sorry.\I did...\Then,\you knew yesterday.\Yesterday... response:	I couldn't say anything more.
context: I wanted you to have it.\You knew?\I'm sorry.\I did...\Then,\you knew yesterday.\Yesterday...\I couldn't say anything more. response:	What?
context: You knew?\I'm sorry.\I did...\Then,\you knew yesterday.\Yesterday...\I couldn't say anything more.\What? response:	You knew.
context: I'm sorry.\I did...\Then,\you knew yesterday.\Yesterday...\I couldn't say anything more.\What?\You knew. response:	I see.
context: I did...\Then,\you knew yesterday.\Yesterday...\I couldn't say anything more.\What?\You knew.\I see. response:	What are they mumbling?
context: Then,\you knew yesterday.\Yesterday...\I couldn't say anything more.\What?\You knew.\I see.\What are they mumbling? response:	There, just say it.
context: you knew yesterday.\Yesterday...\I couldn't say anything more.\What?\You knew.\I see.\What are they mumbling?\There, just say it. response:	I wanted to tell you...
context: Yesterday...\I couldn't say anything more.\What?\You knew.\I see.\What are they mumbling?\There, just say it.\I wanted to tell you... response:	love (it). (He wants to say I love you.)
context: I couldn't say anything more.\What?\You knew.\I see.\What are they mumbling?\There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.) response:	I love Moon Bunny Michaela.
context: What?\You knew.\I see.\What are they mumbling?\There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela. response:	Thank you.
context: You knew.\I see.\What are they mumbling?\There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you. response:	I love
context: I see.\What are they mumbling?\There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you.\I love response:	you, Horikiri-shi!
context: What are they mumbling?\There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you.\I love\you, Horikiri-shi! response:	You, Horikiri Chiyomi!
context: There, just say it.\I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you.\I love\you, Horikiri-shi!\You, Horikiri Chiyomi! response:	Yes!
context: I wanted to tell you...\love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you.\I love\you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes! response:	My Little Lover - Minami Kun No Koibito
context: love (it). (He wants to say I love you.)\I love Moon Bunny Michaela.\Thank you.\I love\you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito response:	I know that you are now...
context: I love Moon Bunny Michaela.\Thank you.\I love\you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now... response:	worrying about various things.
context: Thank you.\I love\you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things. response:	So, I know this is not the right time.
context: I love\you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things.\So, I know this is not the right time. response:	But,
context: you, Horikiri-shi!\You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things.\So, I know this is not the right time.\But, response:	I wanted to let you know how I feel.
context: You, Horikiri Chiyomi!\Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things.\So, I know this is not the right time.\But,\I wanted to let you know how I feel. response:	I thought I needed to put my name in.
context: Yes!\My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things.\So, I know this is not the right time.\But,\I wanted to let you know how I feel.\I thought I needed to put my name in. response:	So, I won't rush you to answer me.
context: My Little Lover - Minami Kun No Koibito\I know that you are now...\worrying about various things.\So, I know this is not the right time.\But,\I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me. response:	Riku...
context: I know that you are now...\worrying about various things.\So, I know this is not the right time.\But,\I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku... response:	If you like someone else, I'll give up.
context: worrying about various things.\So, I know this is not the right time.\But,\I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up. response:	But,
context: So, I know this is not the right time.\But,\I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up.\But, response:	if that's not it,
context: But,\I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up.\But,\if that's not it, response:	I'll keep raising my hand.
context: I wanted to let you know how I feel.\I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up.\But,\if that's not it,\I'll keep raising my hand. response:	For a long time.
context: I thought I needed to put my name in.\So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up.\But,\if that's not it,\I'll keep raising my hand.\For a long time. response:	He's such a good guy.
context: So, I won't rush you to answer me.\Riku...\If you like someone else, I'll give up.\But,\if that's not it,\I'll keep raising my hand.\For a long time.\He's such a good guy. response:	We get along.
context: Riku...\If you like someone else, I'll give up.\But,\if that's not it,\I'll keep raising my hand.\For a long time.\He's such a good guy.\We get along. response:	He's nice.
context: If you like someone else, I'll give up.\But,\if that's not it,\I'll keep raising my hand.\For a long time.\He's such a good guy.\We get along.\He's nice. response:	More than that, he has good taste by noticing me.
context: But,\if that's not it,\I'll keep raising my hand.\For a long time.\He's such a good guy.\We get along.\He's nice.\More than that, he has good taste by noticing me. response:	Oh, no.
context: if that's not it,\I'll keep raising my hand.\For a long time.\He's such a good guy.\We get along.\He's nice.\More than that, he has good taste by noticing me.\Oh, no. response:	I didn't bring an umbrella.
context: I'll keep raising my hand.\For a long time.\He's such a good guy.\We get along.\He's nice.\More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella. response:	Timing and Subtitles brought to you by The Little Lover Team@Viki.
context: For a long time.\He's such a good guy.\We get along.\He's nice.\More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki. response:	Minami-kun, you're aiming for Med School, right?
context: He's such a good guy.\We get along.\He's nice.\More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right? response:	Why?
context: We get along.\He's nice.\More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why? response:	Why am I crying?
context: He's nice.\More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying? response:	I really love you, Chiyomi.
context: More than that, he has good taste by noticing me.\Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying?\I really love you, Chiyomi. response:	Me, too!
context: Oh, no.\I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying?\I really love you, Chiyomi.\Me, too! response:	like Minami-kun.
context: I didn't bring an umbrella.\Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying?\I really love you, Chiyomi.\Me, too!\like Minami-kun. response:	All this time...
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying?\I really love you, Chiyomi.\Me, too!\like Minami-kun.\All this time... response:	Tokyo?
context: Minami-kun, you're aiming for Med School, right?\Why?\Why am I crying?\I really love you, Chiyomi.\Me, too!\like Minami-kun.\All this time...\Tokyo? response:	What are you saying, Chiyomi?
context: Why?\Why am I crying?\I really love you, Chiyomi.\Me, too!\like Minami-kun.\All this time...\Tokyo?\What are you saying, Chiyomi? response:	The dance group I admire, Solo, is having a workshop.
context: Why am I crying?\I really love you, Chiyomi.\Me, too!\like Minami-kun.\All this time...\Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop. response:	But,
context: I really love you, Chiyomi.\Me, too!\like Minami-kun.\All this time...\Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But, response:	you don't have to go now when you're studying for the college entrance exam. You can do it next year.
context: Me, too!\like Minami-kun.\All this time...\Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year. response:	No, you can't!
context: like Minami-kun.\All this time...\Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't! response:	For someone who is clueless as you to go to Tokyo alone? I'm against it.
context: All this time...\Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it. response:	I am also against it.
context: Tokyo?\What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it. response:	You can just dance when you get to college.
context: What are you saying, Chiyomi?\The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college. response:	What do you mean just dance?
context: The dance group I admire, Solo, is having a workshop.\But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college.\What do you mean just dance? response:	Just to let you know, I have no intention of going to college.
context: But,\you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college. response:	I'm not going to take the entrance exams!
context: you don't have to go now when you're studying for the college entrance exam. You can do it next year.\No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams! response:	I already know what I want to do.
context: No, you can't!\For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do. response:	Going to college is just a waste of time!
context: For someone who is clueless as you to go to Tokyo alone? I'm against it.\I am also against it.\You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time! response:	What are you saying?
context: I am also against it.\You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time!\What are you saying? response:	You were able to get into a decent high school.
context: You can just dance when you get to college.\What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school. response:	What are you going to do if you're not going to college?
context: What do you mean just dance?\Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college? response:	That's right. Your mom is right.
context: Just to let you know, I have no intention of going to college.\I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right. response:	If you regret it later, it'll be too late.
context: I'm not going to take the entrance exams!\I already know what I want to do.\Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late. response:	Why do you collude at times like this?
context: I already know what I want to do.\Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this? response:	Mom, you never listened to your parents!
context: Going to college is just a waste of time!\What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents! response:	What are you saying, Chiyomi?
context: What are you saying?\You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi? response:	You guys had to get married because you got pregnant with me!
context: You were able to get into a decent high school.\What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me! response:	Dad!
context: What are you going to do if you're not going to college?\That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad! response:	Chiyomi, we're not done talking.
context: That's right. Your mom is right.\If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking. response:	The lightening is getting closer.
context: If you regret it later, it'll be too late.\Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking.\The lightening is getting closer. response:	What?
context: Why do you collude at times like this?\Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking.\The lightening is getting closer.\What? response:	Chiyomi-chan?
context: Mom, you never listened to your parents!\What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking.\The lightening is getting closer.\What?\Chiyomi-chan? response:	I can't believe you're asking me to go on an errand at a time like this.
context: What are you saying, Chiyomi?\You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking.\The lightening is getting closer.\What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this. response:	You even misspelled buy.
context: You guys had to get married because you got pregnant with me!\Dad!\Chiyomi, we're not done talking.\The lightening is getting closer.\What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy. response:	What is it?
context: Dad!\Chiyomi, we're not done talking.\The lightening is getting closer.\What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it? response:	My Little Lover - Minami Kun No Koibito
context: Chiyomi, we're not done talking.\The lightening is getting closer.\What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito response:	Hey,
context: The lightening is getting closer.\What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito\Hey, response:	Minami-kun, you're aiming for Med School, right?
context: What?\Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right? response:	Maybe I'm being too forward but
context: Chiyomi-chan?\I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but response:	what are you going to do about tuition?
context: I can't believe you're asking me to go on an errand at a time like this.\You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition? response:	You're mother is a single mom, right?
context: You even misspelled buy.\What is it?\My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right? response:	Why don't you ask my dad?
context: What is it?\My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad? response:	I'm sure you'll find a way.
context: My Little Lover - Minami Kun No Koibito\Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way. response:	Minami-kun.
context: Hey,\Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun. response:	What is it?
context: Minami-kun, you're aiming for Med School, right?\Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun.\What is it? response:	What is it?
context: Maybe I'm being too forward but\what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun.\What is it?\What is it? response:	If you don't have anything, I'm going.
context: what are you going to do about tuition?\You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun.\What is it?\What is it?\If you don't have anything, I'm going. response:	Why do you ignore me?
context: You're mother is a single mom, right?\Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun.\What is it?\What is it?\If you don't have anything, I'm going.\Why do you ignore me? response:	I'm asking, why do you ignore me?
context: Why don't you ask my dad?\I'm sure you'll find a way.\Minami-kun.\What is it?\What is it?\If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me? response:	I'm not ignoring you.
context: I'm sure you'll find a way.\Minami-kun.\What is it?\What is it?\If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you. response:	You are.
