context: The girl I fell in love with at first sight, Rebecca, response:	has successfully become Pastillage's Hero!
context: It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite. response:	Rico-chan, are Sink and Eclair-chan friends?
context: See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends? response:	They're a great combination.
context: Take this, Hero!\Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination. response:	You never get bored watching them.
context: Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them. response:	We've all been waiting for you.
context: Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them.\We've all been waiting for you. response:	A Japanese style building?
context: the wristband that Eclair-chan's wearing now?\Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them.\We've all been waiting for you.\A Japanese style building? response:	Thanks for having us over.
context: Yup,\that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them.\We've all been waiting for you.\A Japanese style building?\Thanks for having us over. response:	Stay as long as you like.
context: that was Sink's favorite.\Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them.\We've all been waiting for you.\A Japanese style building?\Thanks for having us over.\Stay as long as you like. response:	Make sure to get your cuddles from them.
context: Rico-chan, are Sink and Eclair-chan friends?\They're a great combination.\You never get bored watching them.\We've all been waiting for you.\A Japanese style building?\Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them. response:	Once again, it's been too long, Hero.
context: They're a great combination.\You never get bored watching them.\We've all been waiting for you.\A Japanese style building?\Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero. response:	It has.
context: You never get bored watching them.\We've all been waiting for you.\A Japanese style building?\Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has. response:	You look well, Lady d'Arquien.
context: We've all been waiting for you.\A Japanese style building?\Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien. response:	Yes, Yukikaze and I are well,
context: A Japanese style building?\Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well, response:	and all the Onmitsu, it goes without saying.
context: Thanks for having us over.\Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying. response:	Now all three countries have Heroes.
context: Stay as long as you like.\Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes. response:	The war game matches are going to get really interesting.
context: Make sure to get your cuddles from them.\Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting. response:	That's right! And Rebecca was even more powerful than I expected!
context: Once again, it's been too long, Hero.\It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected! response:	She's waaay kinder and cuter than I even expected.
context: It has.\You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected. response:	I'm so happy!
context: You look well, Lady d'Arquien.\Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy! response:	You look happy.
context: Yes, Yukikaze and I are well,\and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy. response:	If I were a boy, I'd propose to her right away!
context: and all the Onmitsu, it goes without saying.\Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away! response:	I'm sorry I'm late!
context: Now all three countries have Heroes.\The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late! response:	Cou-sama, are you going to propose to someone?
context: The war game matches are going to get really interesting.\That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone? response:	Maybe I really should just do it!
context: That's right! And Rebecca was even more powerful than I expected!\She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it! response:	I'm back!
context: She's waaay kinder and cuter than I even expected.\I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back! response:	Hi!
context: I'm so happy!\You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back!\Hi! response:	The bath hall is really big, isn't it?
context: You look happy.\If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back!\Hi!\The bath hall is really big, isn't it? response:	Yeah! It was amazing!
context: If I were a boy, I'd propose to her right away!\I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back!\Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing! response:	Huh? Where's Nanami?
context: I'm sorry I'm late!\Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back!\Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami? response:	She said she was going to call home,
context: Cou-sama, are you going to propose to someone?\Maybe I really should just do it!\I'm back!\Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home, response:	so she went over to Rico's.
context: Maybe I really should just do it!\I'm back!\Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's. response:	It's pretty amazing that a cellphone can call another world.
context: I'm back!\Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world. response:	Yeah, thanks to Rico's invention.
context: Hi!\The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention. response:	Tatsumaki and Cheney can now deliver letters and packages, too.
context: The bath hall is really big, isn't it?\Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too. response:	Oh, so that's how the organization and invitations worked.
context: Yeah! It was amazing!\Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked. response:	It's another world, but Flonyard feels really close and familiar.
context: Huh? Where's Nanami?\She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar. response:	Being summoned and sent off used to be really difficult, though.
context: She said she was going to call home,\so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though. response:	Sink, will you do my hair again?
context: so she went over to Rico's.\It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again? response:	Okay.
context: It's pretty amazing that a cellphone can call another world.\Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay. response:	And what can I do for you, Miss?
context: Yeah, thanks to Rico's invention.\Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay.\And what can I do for you, Miss? response:	A casual braid please.
context: Tatsumaki and Cheney can now deliver letters and packages, too.\Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay.\And what can I do for you, Miss?\A casual braid please. response:	Certainly.
context: Oh, so that's how the organization and invitations worked.\It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay.\And what can I do for you, Miss?\A casual braid please.\Certainly. response:	Lately, I've been wondering...
context: It's another world, but Flonyard feels really close and familiar.\Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay.\And what can I do for you, Miss?\A casual braid please.\Certainly.\Lately, I've been wondering... response:	how much longer we can be like this.
context: Being summoned and sent off used to be really difficult, though.\Sink, will you do my hair again?\Okay.\And what can I do for you, Miss?\A casual braid please.\Certainly.\Lately, I've been wondering...\how much longer we can be like this. response:	What do you mean, like this?
context: Sink, will you do my hair again?\Okay.\And what can I do for you, Miss?\A casual braid please.\Certainly.\Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this? response:	Like hanging out together and taking trips together.
context: Okay.\And what can I do for you, Miss?\A casual braid please.\Certainly.\Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together. response:	I'd like to do that forever, even when we're adults.
context: And what can I do for you, Miss?\A casual braid please.\Certainly.\Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults. response:	Me, too.
context: A casual braid please.\Certainly.\Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too. response:	Once you get a girlfriend though,
context: Certainly.\Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though, response:	we can't do things like this anymore.
context: Lately, I've been wondering...\how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though,\we can't do things like this anymore. response:	You think so?
context: how much longer we can be like this.\What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though,\we can't do things like this anymore.\You think so? response:	Of course!
context: What do you mean, like this?\Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though,\we can't do things like this anymore.\You think so?\Of course! response:	Well, but isn't it the same for you?
context: Like hanging out together and taking trips together.\I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though,\we can't do things like this anymore.\You think so?\Of course!\Well, but isn't it the same for you? response:	I guess so,
context: I'd like to do that forever, even when we're adults.\Me, too.\Once you get a girlfriend though,\we can't do things like this anymore.\You think so?\Of course!\Well, but isn't it the same for you?\I guess so, response:	but I can't see something like that happening for me.
context: Me, too.\Once you get a girlfriend though,\we can't do things like this anymore.\You think so?\Of course!\Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me. response:	What are you talking about?
context: Once you get a girlfriend though,\we can't do things like this anymore.\You think so?\Of course!\Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me.\What are you talking about? response:	You're really cute.
context: we can't do things like this anymore.\You think so?\Of course!\Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me.\What are you talking about?\You're really cute. response:	Well, who knows what will happen.
context: You think so?\Of course!\Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me.\What are you talking about?\You're really cute.\Well, who knows what will happen. response:	I keep thinking it would be nice,
context: Of course!\Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me.\What are you talking about?\You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice, response:	if we could be like this for a long time.
context: Well, but isn't it the same for you?\I guess so,\but I can't see something like that happening for me.\What are you talking about?\You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time. response:	I hope we're friends forever.
context: I guess so,\but I can't see something like that happening for me.\What are you talking about?\You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever. response:	You're done.
context: but I can't see something like that happening for me.\What are you talking about?\You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever.\You're done. response:	Thanks, Sink.
context: What are you talking about?\You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever.\You're done.\Thanks, Sink. response:	But you know, aren't you a little conspicuous over here?
context: You're really cute.\Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever.\You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here? response:	What do you mean?
context: Well, who knows what will happen.\I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever.\You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean? response:	You're all lovey-dovey with the princess,
context: I keep thinking it would be nice,\if we could be like this for a long time.\I hope we're friends forever.\You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess, response:	and then you're all friendly with Rico-chan and Eclair-chan,
context: if we could be like this for a long time.\I hope we're friends forever.\You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan, response:	and then Yuki-chan and Lady d'Arquien also spoil you.
context: I hope we're friends forever.\You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you. response:	who do you like the most?
context: You're done.\Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most? response:	It's the princess, isn't it?
context: Thanks, Sink.\But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it? response:	Eclair-chan?
context: But you know, aren't you a little conspicuous over here?\What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it?\Eclair-chan? response:	It's not like that...
context: What do you mean?\You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it?\Eclair-chan?\It's not like that... response:	I mean... I am Biscotti's Hero,
context: You're all lovey-dovey with the princess,\and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it?\Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero, response:	so I think being friendly with everyone is natural.
context: and then you're all friendly with Rico-chan and Eclair-chan,\and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it?\Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural. response:	I'm not talking about superficial stuff like that,
context: and then Yuki-chan and Lady d'Arquien also spoil you.\who do you like the most?\It's the princess, isn't it?\Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that, response:	but how you really feel.
context: who do you like the most?\It's the princess, isn't it?\Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel. response:	I'm telling you, there's no deeper feeling.
context: It's the princess, isn't it?\Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling. response:	I'm the Hero, so...
context: Eclair-chan?\It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so... response:	So? I'm a Hero, too!
context: It's not like that...\I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too! response:	Tell me! Tell me!
context: I mean... I am Biscotti's Hero,\so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me! response:	Nanami-sama, you're going to Galette tomorrow, right?
context: so I think being friendly with everyone is natural.\I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right? response:	That's right. I'm looking forward to taking my time traveling the country.
context: I'm not talking about superficial stuff like that,\but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country. response:	Oh yeah, what's Sink going to do?
context: but how you really feel.\I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do? response:	The Hero is spending tomorrow
context: I'm telling you, there's no deeper feeling.\I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow response:	and the day after tomorrow with Eclair, Yukki, and Nowa.
context: I'm the Hero, so...\So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa. response:	They'll set up camp near the Fuugetsu lodge for training!
context: So? I'm a Hero, too!\Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training! response:	So you're lovey-dovey with the princess and Ricotta-chan.
context: Tell me! Tell me!\Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training!\So you're lovey-dovey with the princess and Ricotta-chan. response:	And with Gaul-kun you have this male friendship.
context: Nanami-sama, you're going to Galette tomorrow, right?\That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training!\So you're lovey-dovey with the princess and Ricotta-chan.\And with Gaul-kun you have this male friendship. response:	So what's going on with Eclair-chan and the others?!
context: That's right. I'm looking forward to taking my time traveling the country.\Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training!\So you're lovey-dovey with the princess and Ricotta-chan.\And with Gaul-kun you have this male friendship.\So what's going on with Eclair-chan and the others?! response:	Biscotti Summer Camp!
context: Oh yeah, what's Sink going to do?\The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training!\So you're lovey-dovey with the princess and Ricotta-chan.\And with Gaul-kun you have this male friendship.\So what's going on with Eclair-chan and the others?!\Biscotti Summer Camp! response:	Anyway, tomorrow we're going camping with Eclair-chan and the others.
context: The Hero is spending tomorrow\and the day after tomorrow with Eclair, Yukki, and Nowa.\They'll set up camp near the Fuugetsu lodge for training!\So you're lovey-dovey with the princess and Ricotta-chan.\And with Gaul-kun you have this male friendship.\So what's going on with Eclair-chan and the others?!\Biscotti Summer Camp!\Anyway, tomorrow we're going camping with Eclair-chan and the others. response:	Tune in next time.
