context: It's been a long time, kid. response:	I'm taking Hana back.
context: I'm alive?\DC?\What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active! response:	Destroy that capsule!
context: DC?\What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active!\Destroy that capsule! response:	Hurry!
context: What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active!\Destroy that capsule!\Hurry! response:	R-Roger!
context: What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active!\Destroy that capsule!\Hurry!\R-Roger! response:	I hate it when my fans ambush me.
context: This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active!\Destroy that capsule!\Hurry!\R-Roger!\I hate it when my fans ambush me. response:	The event's over.
context: We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow?\And it's active!\Destroy that capsule!\Hurry!\R-Roger!\I hate it when my fans ambush me.\The event's over. response:	This is Security Team 64.
context: A Machine Goodfellow?\And it's active!\Destroy that capsule!\Hurry!\R-Roger!\I hate it when my fans ambush me.\The event's over.\This is Security Team 64. response:	We destroyed the capsule, but the object fled.
context: And it's active!\Destroy that capsule!\Hurry!\R-Roger!\I hate it when my fans ambush me.\The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled. response:	We will continue searching for the bombs.
context: Destroy that capsule!\Hurry!\R-Roger!\I hate it when my fans ambush me.\The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs. response:	Had our positions been reversed...
context: Hurry!\R-Roger!\I hate it when my fans ambush me.\The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed... response:	I would have fired 2.5 seconds faster.
context: R-Roger!\I hate it when my fans ambush me.\The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster. response:	You still aren't strong enough, Captain.
context: I hate it when my fans ambush me.\The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain. response:	Let's get Hana back.
context: The event's over.\This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back. response:	Yeah.
context: This is Security Team 64.\We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back.\Yeah. response:	My mission is to kidnap Hana Mutou and eliminate you.
context: We destroyed the capsule, but the object fled.\We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you. response:	Answer me one thing.
context: We will continue searching for the bombs.\Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing. response:	Did you know Teppei Arashi would survive that?
context: Had our positions been reversed...\I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that? response:	Or are you the kind of man who would let one of his friends die?
context: I would have fired 2.5 seconds faster.\You still aren't strong enough, Captain.\Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die? response:	Answer me!
context: You still aren't strong enough, Captain.\Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me! response:	I thought I was going to kill Teppei with my own hands.
context: Let's get Hana back.\Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands. response:	I wasn't going to let him die.
context: Yeah.\My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die. response:	If he'd died,
context: My mission is to kidnap Hana Mutou and eliminate you.\Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died, response:	it would have been because I killed him.
context: Answer me one thing.\Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died,\it would have been because I killed him. response:	But I couldn't afford to hesitate there.
context: Did you know Teppei Arashi would survive that?\Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there. response:	I don't like you.
context: Or are you the kind of man who would let one of his friends die?\Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you. response:	I hate you!
context: Answer me!\I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you.\I hate you! response:	But...
context: I thought I was going to kill Teppei with my own hands.\I wasn't going to let him die.\If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you.\I hate you!\But... response:	Can you really defeat the enemy?
context: I wasn't going to let him die.\If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you.\I hate you!\But...\Can you really defeat the enemy? response:	Can you really save Earth?
context: If he'd died,\it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you.\I hate you!\But...\Can you really defeat the enemy?\Can you really save Earth? response:	If you really can...
context: it would have been because I killed him.\But I couldn't afford to hesitate there.\I don't like you.\I hate you!\But...\Can you really defeat the enemy?\Can you really save Earth?\If you really can... response:	Please.
context: But I couldn't afford to hesitate there.\I don't like you.\I hate you!\But...\Can you really defeat the enemy?\Can you really save Earth?\If you really can...\Please. response:	My dad and my brother...
context: I don't like you.\I hate you!\But...\Can you really defeat the enemy?\Can you really save Earth?\If you really can...\Please.\My dad and my brother... response:	Save the planet where everyone lives.
context: I hate you!\But...\Can you really defeat the enemy?\Can you really save Earth?\If you really can...\Please.\My dad and my brother...\Save the planet where everyone lives. response:	If you really can...
context: But...\Can you really defeat the enemy?\Can you really save Earth?\If you really can...\Please.\My dad and my brother...\Save the planet where everyone lives.\If you really can... response:	Please save them, Captain Earth!
context: Can you really defeat the enemy?\Can you really save Earth?\If you really can...\Please.\My dad and my brother...\Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth! response:	At last, the time has come to destroy the enemy fortress carrier Oberon.
context: Can you really save Earth?\If you really can...\Please.\My dad and my brother...\Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon. response:	That very moment, Alonzo tells us the Planetary Gears are
context: If you really can...\Please.\My dad and my brother...\Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are response:	launching an all-out attack.
context: Please.\My dad and my brother...\Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack. response:	We're running out of time.
context: My dad and my brother...\Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time. response:	But Salty Dog's ultimate weapon stands before us.
context: Save the planet where everyone lives.\If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time.\But Salty Dog's ultimate weapon stands before us. response:	Why are you getting in our way?
context: If you really can...\Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time.\But Salty Dog's ultimate weapon stands before us.\Why are you getting in our way? response:	This plan is for the Earth's protection!
context: Please save them, Captain Earth!\At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time.\But Salty Dog's ultimate weapon stands before us.\Why are you getting in our way?\This plan is for the Earth's protection! response:	The Operation Summer.
context: At last, the time has come to destroy the enemy fortress carrier Oberon.\That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time.\But Salty Dog's ultimate weapon stands before us.\Why are you getting in our way?\This plan is for the Earth's protection!\The Operation Summer. response:	The Operation Summer
context: That very moment, Alonzo tells us the Planetary Gears are\launching an all-out attack.\We're running out of time.\But Salty Dog's ultimate weapon stands before us.\Why are you getting in our way?\This plan is for the Earth's protection!\The Operation Summer.\The Operation Summer response:	Earth Engine, expand!
