context: A raid is a large-scale battle response:	with many adventurers, instead of the usual party of six.
context: Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now. response:	And that's how peace came back to Susukino.
context: You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino. response:	I see.
context: And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see. response:	And Demi-Demi's wife is so great!
context: I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great! response:	His wife?! For real?
context: to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great!\His wife?! For real? response:	He's married? How enviable.
context: His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable. response:	She's a noble with the People of the Land.
context: Then, what happened to Demikas?\Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land. response:	He kidnapped her to make her his servant,
context: Demi-Demi and his whole guild work for Silver Sword now.\And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant, response:	but supposedly, he's totally in love with her now.
context: And that's how peace came back to Susukino.\I see.\And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now. response:	She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.
context: I see.\And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet. response:	That's hilarious!
context: And Demi-Demi's wife is so great!\His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious! response:	I'm so jealous.
context: His wife?! For real?\He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous. response:	So he's gained quite a bit of pudge lately...
context: He's married? How enviable.\She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately... response:	Oh.
context: She's a noble with the People of the Land.\He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh. response:	Demi-Demi...
context: He kidnapped her to make her his servant,\but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi... response:	He stopped at the last second?
context: but supposedly, he's totally in love with her now.\She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi...\He stopped at the last second? response:	Not bad.
context: She's great cook, and Demi-Demi loves her Hamburg steak and minced cutlet.\That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi...\He stopped at the last second?\Not bad. response:	I've taken a lot harder ones than that.
context: That's hilarious!\I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi...\He stopped at the last second?\Not bad.\I've taken a lot harder ones than that. response:	Just try saying that again.
context: I'm so jealous.\So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi...\He stopped at the last second?\Not bad.\I've taken a lot harder ones than that.\Just try saying that again. response:	I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.
context: So he's gained quite a bit of pudge lately...\Oh.\Demi-Demi...\He stopped at the last second?\Not bad.\I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra. response:	Demi got mad.
context: Oh.\Demi-Demi...\He stopped at the last second?\Not bad.\I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad. response:	I said get off me!
context: Demi-Demi...\He stopped at the last second?\Not bad.\I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me! response:	Naotsugu, who's that?
context: He stopped at the last second?\Not bad.\I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me!\Naotsugu, who's that? response:	I found her lying around.
context: Not bad.\I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me!\Naotsugu, who's that?\I found her lying around. response:	Perfect.
context: I've taken a lot harder ones than that.\Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me!\Naotsugu, who's that?\I found her lying around.\Perfect. response:	If you add that healer and Demi, that makes twenty-four.
context: Just try saying that again.\I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me!\Naotsugu, who's that?\I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four. response:	If you want to fight something that badly,
context: I'll jam a slime down your throat and feed you to a giant, you bitch Tetra.\Demi got mad.\I said get off me!\Naotsugu, who's that?\I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly, response:	you can settle your differences with Shiroe in a raid.
context: Demi got mad.\I said get off me!\Naotsugu, who's that?\I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid. response:	What are you talking about?
context: I said get off me!\Naotsugu, who's that?\I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about? response:	Got it, guys?
context: Naotsugu, who's that?\I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys? response:	Yeah!
context: I found her lying around.\Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys?\Yeah! response:	Okay, everyone's here, right?
context: Perfect.\If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys?\Yeah!\Okay, everyone's here, right? response:	Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword
context: If you add that healer and Demi, that makes twenty-four.\If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys?\Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword response:	Party 1!
context: If you want to fight something that badly,\you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys?\Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1! response:	Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword
context: you can settle your differences with Shiroe in a raid.\What are you talking about?\Got it, guys?\Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword response:	Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword
context: What are you talking about?\Got it, guys?\Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword response:	Party 2!
context: Got it, guys?\Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2! response:	Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon
context: Yeah!\Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon response:	Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword
context: Okay, everyone's here, right?\Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword response:	Party 3!
context: Dinkuron Ukiyo Touko Race/ Elf Race/ Elf Race/ Elf Guardian, Lv. 94 Cleric, Lv. 95 Shrine Priest, Lv. 94 Silver Sword Silver Sword Silver Sword\Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3! response:	Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword
context: Party 1!\Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword response:	Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword
context: Highland Sky Encartanto Azalea Race/ Wolf Fang Race/ Cat-man Race/ Half-Alv Swashbuckler, Lv. 94 Bard, Lv. 94 Summoner, Lv. 94 Silver Sword Silver Sword Silver Sword\Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword response:	Party 4!
context: Shiroe Vuoinen Federico Race/ Half-Alv Race/ Dwarf Race/ Fox Tail Enchanter, Lv.92 Druid, Lv. 94 Swashbuckler, Lv. 95 Log Horizon Guild Master Silver Sword Silver Sword\Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4! response:	Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword
context: Party 2!\Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword response:	Let's go!
context: Demikas Tetra Naotsugu Race/ Human Race/ Human Race/ Human Monk, Lv. 93 Cleric, Lv. 92 Guardian, Lv. 92 Brigandia Guild Master Light Indigo Log Horizon\Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go! response:	Yeah!
context: Audiso Boss Bolognese Hosoyuki Race/ Race of Ritual Race/ Cat-man Race/ Human Druid, Lv. 94 Assassin, Lv. 95 Summoner, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah! response:	Take care!
context: Party 3!\Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah!\Take care! response:	Otho Spirit Mountain Undersea Tunnel
context: Junzou William Massachusetts Pianissimo Race/ Wolf Fang Race/ Elf Race/ Elf Samurai, Lv. 95 Assassin, Lv. 95 Bard, Lv. 94 Silver Sword Silver Sword Silver Sword\Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel response:	Lyport Channel
context: Ragoumaru Kawatarou Nakai Prometheus Race/ Wolf Fang Race/ Human Race/ Elf Samurai, Lv. 95 Shrine Priest, Lv. 94 Sorcerer, Lv. 95 Silver Sword Silver Sword Silver Sword\Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel response:	Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None
context: Party 4!\Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None response:	Take this!
context: Invertebrate@Akiba Pololocca Eltendiska Race/ Half-Alv Race/ Elf Race/ Elf Bard, Lv. 95 Sorcerer, Lv. 94 Assassin, Lv. 95 Silver Sword Silver Sword Silver Sword\Let's go!\Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this! response:	Lightning Straight!
context: Let's go!\Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight! response:	He's in high spirits.
context: Yeah!\Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight!\He's in high spirits. response:	That isn't what I'd call working together.
context: Take care!\Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight!\He's in high spirits.\That isn't what I'd call working together. response:	Don't run too far ahead on your own.
context: Otho Spirit Mountain Undersea Tunnel\Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight!\He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own. response:	You guys are just slow!
context: Lyport Channel\Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight!\He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow! response:	Musclehead.
context: Lyport Channel Japan Server Tsugaru Area Field/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\Take this!\Lightning Straight!\He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow!\Musclehead. response:	He hasn't put up a fuss about coming with us, though.
context: Take this!\Lightning Straight!\He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though. response:	I knew William would be the commander,
context: Lightning Straight!\He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander, response:	but I didn't think we'd be walking.
context: He's in high spirits.\That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking. response:	I wanted to be a flying idol.
context: That isn't what I'd call working together.\Don't run too far ahead on your own.\You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol. response:	Right, right.
context: Don't run too far ahead on your own.\You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right. response:	Not everyone has a griffon.
context: You guys are just slow!\Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right.\Not everyone has a griffon. response:	And I think William has some kind of plan.
context: Musclehead.\He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right.\Not everyone has a griffon.\And I think William has some kind of plan. response:	We want to learn
context: He hasn't put up a fuss about coming with us, though.\I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right.\Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn response:	the new members' personalities and habits before we get there, right?
