context: It comes! From the forest! response:	Slayer! Please!
context: I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but...\Your name is Sango, right?\I'm sorry... response:	About your father and brother... and your comrades.
context: I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but...\Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades. response:	Why? How did this happen?
context: I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but...\Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen? response:	Young Lord...
context: You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but...\Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen?\Young Lord... response:	- Naraku... - Yes...
context: Old one, that's enough.\B-but...\Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen?\Young Lord...\- Naraku... - Yes... response:	As you ordered, I rushed to the village to...
context: B-but...\Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen?\Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to... response:	notify them of this terrible development.
context: Your name is Sango, right?\I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen?\Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development. response:	But the village had been annihilated.
context: I'm sorry...\About your father and brother... and your comrades.\Why? How did this happen?\Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated. response:	How unfortunate...
context: About your father and brother... and your comrades.\Why? How did this happen?\Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated.\How unfortunate... response:	I had so many questions to ask the villagers.
context: Why? How did this happen?\Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers. response:	Old Myoga... you must know something at least?
context: Young Lord...\- Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least? response:	Huh?
context: - Naraku... - Yes...\As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh? response:	You mean about the Sacred Jewel?
context: As you ordered, I rushed to the village to...\notify them of this terrible development.\But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel? response:	Myoga, were you perhaps looking into the Sacred Jewel yourself?
context: notify them of this terrible development.\But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself? response:	Well... I had been bothered for some time...
context: But the village had been annihilated.\How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time... response:	about just what this Sacred Jewel was.
context: How unfortunate...\I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was. response:	After all, anyone who had been involved with the Sacred Jewel...
context: I had so many questions to ask the villagers.\Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel... response:	had come upon some misfortune.
context: Old Myoga... you must know something at least?\Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune. response:	I followed the rumors about the Sacred Jewel...
context: Huh?\You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel... response:	and found myself here in this village.
context: You mean about the Sacred Jewel?\Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village. response:	However, one thing worried me.
context: Myoga, were you perhaps looking into the Sacred Jewel yourself?\Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me. response:	During my journey, a white baboon slipping in and out of sight.
context: Well... I had been bothered for some time...\about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight. response:	A white baboon?!
context: about just what this Sacred Jewel was.\After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?! response:	It's Naraku! He must be near!
context: After all, anyone who had been involved with the Sacred Jewel...\had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near! response:	Tell me in detail...
context: had come upon some misfortune.\I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near!\Tell me in detail... response:	what you saw at the Slayers' village.
context: I followed the rumors about the Sacred Jewel...\and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village. response:	The slain bodies of countless villagers...
context: and found myself here in this village.\However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers... response:	and the half-demon who attacked them...
context: However, one thing worried me.\During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them... response:	His name is Inuyasha.
context: During my journey, a white baboon slipping in and out of sight.\A white baboon?!\It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha. response:	Inuyasha seeks the power of the Sacred Jewel...
context: A white baboon?!\It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel... response:	to turn himself into a full-fledged demon.
context: It's Naraku! He must be near!\Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon. response:	Sacred Jewel?
context: Tell me in detail...\what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel? response:	He must have believed that he would find the Jewel at the village...
context: what you saw at the Slayers' village.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village... response:	and thus attacked it.
context: The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it. response:	Sango!
context: and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango! response:	Give me my weapon!
context: His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon! response:	I will get the one who attacked my village...
context: Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village... response:	I will kill this half-demon Inuyasha!
context: to turn himself into a full-fledged demon.\Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha! response:	Sango is told that her village was attacked by Inuyasha...
context: Sacred Jewel?\He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha... response:	and attacks him with the last of her strength!
context: He must have believed that he would find the Jewel at the village...\and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength! response:	She is in no condition to fight...
context: and thus attacked it.\Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight... response:	but she throws her giant boomerang-like weapon!
context: Sango!\Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight...\but she throws her giant boomerang-like weapon! response:	A Sacred Jewel fragment glows eerily on her back!
context: Give me my weapon!\I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight...\but she throws her giant boomerang-like weapon!\A Sacred Jewel fragment glows eerily on her back! response:	It's all a scheme by you-know-who!
context: I will get the one who attacked my village...\I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight...\but she throws her giant boomerang-like weapon!\A Sacred Jewel fragment glows eerily on her back!\It's all a scheme by you-know-who! response:	Naraku transforms!
context: I will kill this half-demon Inuyasha!\Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight...\but she throws her giant boomerang-like weapon!\A Sacred Jewel fragment glows eerily on her back!\It's all a scheme by you-know-who!\Naraku transforms! response:	Inuyasha challenges him with the Tetsusaiga!
context: Sango is told that her village was attacked by Inuyasha...\and attacks him with the last of her strength!\She is in no condition to fight...\but she throws her giant boomerang-like weapon!\A Sacred Jewel fragment glows eerily on her back!\It's all a scheme by you-know-who!\Naraku transforms!\Inuyasha challenges him with the Tetsusaiga! response:	Next, Naraku's Insidious Plot. Look forward to it!
