context: True Calendar Year 70 Sakimori Academy Entrance Ceremony response:	To all of our new students,
context: Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go! response:	It's okay. I'm still okay.
context: Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay. response:	Incredible! He can bring up that kind of power?
context: That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power? response:	I can make new memories and friendships,
context: Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships, response:	so I'm going to go on fighting!
context: You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting! response:	No!
context: She was Unit 1's original pilot.\Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting!\No! response:	Marie, you are broken! Your limiter is broken!
context: Its pilot?\I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken! response:	You are losing lots of information!
context: I'll explain later. Let's go!\It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information! response:	That's why you were fired! As test pilot.
context: It's okay. I'm still okay.\Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot. response:	Gap! Loss!
context: Incredible! He can bring up that kind of power?\I can make new memories and friendships,\so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss! response:	L-elf!
context: I can make new memories and friendships,\so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss!\L-elf! response:	Resume operation. We're stealing this transport.
context: so I'm going to go on fighting!\No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss!\L-elf!\Resume operation. We're stealing this transport. response:	I'm still okay!
context: No!\Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss!\L-elf!\Resume operation. We're stealing this transport.\I'm still okay! response:	Even if they shatter, I can make new ones!
context: Marie, you are broken! Your limiter is broken!\You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss!\L-elf!\Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones! response:	There's the signal!
context: You are losing lots of information!\That's why you were fired! As test pilot.\Gap! Loss!\L-elf!\Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones!\There's the signal! response:	Go 15 meters clockwise down corridor 18, then go right.
context: That's why you were fired! As test pilot.\Gap! Loss!\L-elf!\Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right. response:	Once you're through the authentication gate and security door,
context: Gap! Loss!\L-elf!\Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door, response:	go straight 30 meters, then left.
context: L-elf!\Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left. response:	You're five blocks from the bridge.
context: Resume operation. We're stealing this transport.\I'm still okay!\Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge. response:	I'm okay! I'm okay! I'm still okay!
context: I'm still okay!\Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay! response:	Three left!
context: Even if they shatter, I can make new ones!\There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left! response:	It's up to you, Haruto!
context: There's the signal!\Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto! response:	Control established over transport. Remaining enemy blocks, 12.
context: Go 15 meters clockwise down corridor 18, then go right.\Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12. response:	I'm being hacked?
context: Once you're through the authentication gate and security door,\go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked? response:	Ladies and gentlemen of New JIOR, can you hear me?
context: go straight 30 meters, then left.\You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me? response:	We are the Dorssian Royalists.
context: You're five blocks from the bridge.\I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists. response:	We are prepared to offer you assistance.
context: I'm okay! I'm okay! I'm still okay!\Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance. response:	Royalists?
context: Three left!\It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists? response:	Set your course to magnetic bearing 37 and
context: It's up to you, Haruto!\Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and response:	We're lifting off. We'll retrieve Unit 1 in the air.
context: Control established over transport. Remaining enemy blocks, 12.\I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air. response:	But I don't
context: I'm being hacked?\Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't response:	Just keep an eye outside.
context: Ladies and gentlemen of New JIOR, can you hear me?\We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside. response:	Units 3 and 5 have landed!
context: We are the Dorssian Royalists.\We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside.\Units 3 and 5 have landed! response:	It's stopped...
context: We are prepared to offer you assistance.\Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped... response:	It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!
context: Royalists?\Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported! response:	Marie! Marie!
context: Set your course to magnetic bearing 37 and\We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie! response:	Are you okay? You aren't hurt, are you?
context: We're lifting off. We'll retrieve Unit 1 in the air.\But I don't\Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you? response:	Who... are you?
context: But I don't\Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you? response:	A friend?
context: Just keep an eye outside.\Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you?\A friend? response:	Of course I'm your friend! What are you talking about?
context: Units 3 and 5 have landed!\It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you?\A friend?\Of course I'm your friend! What are you talking about? response:	Oh... We're friends.
context: It's stopped...\It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you?\A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends. response:	Are there more here? More friends?
context: It's that thermal runaway phenomenon that the Lunar Orbital Navy reported!\Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you?\A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends? response:	Your best friends are here!
context: Marie! Marie!\Are you okay? You aren't hurt, are you?\Who... are you?\A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends?\Your best friends are here! response:	They're idiots, but some might turn out to be geniuses.
context: Are you okay? You aren't hurt, are you?\Who... are you?\A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses. response:	You were the one who said that to me!
context: Who... are you?\A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me! response:	I see... They must really have liked her.
context: A friend?\Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her. response:	That girl, I mean.
context: Of course I'm your friend! What are you talking about?\Oh... We're friends.\Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean. response:	Marie?
context: Oh... We're friends.\Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean.\Marie? response:	I see. I had friends like that.
context: Are there more here? More friends?\Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean.\Marie?\I see. I had friends like that. response:	Marie, what happened?
context: Your best friends are here!\They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean.\Marie?\I see. I had friends like that.\Marie, what happened? response:	That's great.
context: They're idiots, but some might turn out to be geniuses.\You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean.\Marie?\I see. I had friends like that.\Marie, what happened?\That's great. response:	I had friends who meant that much to me.
context: You were the one who said that to me!\I see... They must really have liked her.\That girl, I mean.\Marie?\I see. I had friends like that.\Marie, what happened?\That's great.\I had friends who meant that much to me. response:	It's even bigger than it was in space!
context: I see... They must really have liked her.\That girl, I mean.\Marie?\I see. I had friends like that.\Marie, what happened?\That's great.\I had friends who meant that much to me.\It's even bigger than it was in space! response:	Marie! Marie!
context: That girl, I mean.\Marie?\I see. I had friends like that.\Marie, what happened?\That's great.\I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie! response:	Are you okay? Marie?
context: Marie?\I see. I had friends like that.\Marie, what happened?\That's great.\I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie? response:	Marie?
context: I see. I had friends like that.\Marie, what happened?\That's great.\I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie?\Marie? response:	What's wrong? Come on, answer me!
context: Marie, what happened?\That's great.\I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie?\Marie?\What's wrong? Come on, answer me! response:	Marie... Goodbye.
context: That's great.\I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie?\Marie?\What's wrong? Come on, answer me!\Marie... Goodbye. response:	Next time, episode 17, The Rune Abyss.
context: I had friends who meant that much to me.\It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie?\Marie?\What's wrong? Come on, answer me!\Marie... Goodbye.\Next time, episode 17, The Rune Abyss. response:	Valvrave the Liberator...
context: It's even bigger than it was in space!\Marie! Marie!\Are you okay? Marie?\Marie?\What's wrong? Come on, answer me!\Marie... Goodbye.\Next time, episode 17, The Rune Abyss.\Valvrave the Liberator... response:	The system that will expose the truth of the world.
