context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: Just kidding.\Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me?\140 silver coins!\You understand how much that is, right? response:	You think I'll just buy you some more unnecessary stuff on top of that?
context: Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me?\140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that? response:	What? Do you really want me to pay you back that much?
context: It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me?\140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much? response:	Of course!
context: Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me?\140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course! response:	I didn't know you thought that way.
context: Will you buy me oil?\How much do you think you owe me?\140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way. response:	W-What do you-
context: How much do you think you owe me?\140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way.\W-What do you- response:	Well...
context: 140 silver coins!\You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way.\W-What do you-\Well... response:	Once I pay you back, I'll be free.
context: You understand how much that is, right?\You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way.\W-What do you-\Well...\Once I pay you back, I'll be free. response:	Yeah, I should just pay you back and return to the North by myself.
context: You think I'll just buy you some more unnecessary stuff on top of that?\What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way.\W-What do you-\Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself. response:	Well, I am used to being alone.
context: What? Do you really want me to pay you back that much?\Of course!\I didn't know you thought that way.\W-What do you-\Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone. response:	I haven't decided when you have to pay me back.
context: Of course!\I didn't know you thought that way.\W-What do you-\Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back. response:	As long as you pay me back when we reach the northern forest, it'll be fine.
context: I didn't know you thought that way.\W-What do you-\Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine. response:	Is that all right?
context: W-What do you-\Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right? response:	Yeah.
context: Well...\Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah. response:	I'm sure I will be able to pay you back once we reach the northern forest.
context: Once I pay you back, I'll be free.\Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest. response:	Also, I was planning to pay you back with interest.
context: Yeah, I should just pay you back and return to the North by myself.\Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest. response:	In other words, the more I can borrow from you, the more profit you'll get.
context: Well, I am used to being alone.\I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get. response:	Okay?
context: I haven't decided when you have to pay me back.\As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay? response:	Oil, huh?
context: As long as you pay me back when we reach the northern forest, it'll be fine.\Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh? response:	Yes.
context: Is that all right?\Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh?\Yes. response:	You can forget about my debt, so will you buy me it?
context: Yeah.\I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh?\Yes.\You can forget about my debt, so will you buy me it? response:	Agreed, then.
context: I'm sure I will be able to pay you back once we reach the northern forest.\Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh?\Yes.\You can forget about my debt, so will you buy me it?\Agreed, then. response:	Thank you.
context: Also, I was planning to pay you back with interest.\In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh?\Yes.\You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you. response:	The weather is perfect this morning!
context: In other words, the more I can borrow from you, the more profit you'll get.\Okay?\Oil, huh?\Yes.\You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you.\The weather is perfect this morning! response:	But you really haggled with him, didn't you?
context: Okay?\Oil, huh?\Yes.\You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you? response:	Why are you asking that?
context: Oil, huh?\Yes.\You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that? response:	It's not good to become a merchant that extorts.
context: Yes.\You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts. response:	Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.
context: You can forget about my debt, so will you buy me it?\Agreed, then.\Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in. response:	And because of that, the interest rate will naturally lower.
context: Agreed, then.\Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower. response:	So I just haggled with him to get more.
context: Thank you.\The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more. response:	But you bought this much, so you should have a big profit, right?
context: The weather is perfect this morning!\But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right? response:	Well, we should have enough to buy oil.
context: But you really haggled with him, didn't you?\Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil. response:	That's great.
context: Why are you asking that?\It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great. response:	But thinking about it, spice is really good.
context: It's not good to become a merchant that extorts.\Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good. response:	Did you eat it?
context: Rubinhaigen is the best place to sell armor, but there are too many merchants who bring it in.\And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good.\Did you eat it? response:	Don't treat me like you. I'm talking about profit.
context: And because of that, the interest rate will naturally lower.\So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit. response:	You should have gotten more spice, then.
context: So I just haggled with him to get more.\But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then. response:	The price won't be any different in Rubinhaigen or Polson.
context: But you bought this much, so you should have a big profit, right?\Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson. response:	The tariff would cost me so much that I'd be be at a loss.
context: Well, we should have enough to buy oil.\That's great.\But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss. response:	Then you should give up on it.
context: That's great.\But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it. response:	If I could trade spices or something with a higher interest rate, I'd have my own store by now.
context: But thinking about it, spice is really good.\Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now. response:	Isn't there something else?
context: Did you eat it?\Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else? response:	For example, don't jewels and gold sell well?
context: Don't treat me like you. I'm talking about profit.\You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well? response:	There won't be much profit with those in Rubinhaigen and its vicinity.
context: You should have gotten more spice, then.\The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity. response:	Why's that?
context: The price won't be any different in Rubinhaigen or Polson.\The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that? response:	The tariff is too high.
context: The tariff would cost me so much that I'd be be at a loss.\Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high. response:	By looking at a few merchants, they get charged a high tariff when they import gold.
context: Then you should give up on it.\If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold. response:	You can't do any business because of it.
context: If I could trade spices or something with a higher interest rate, I'd have my own store by now.\Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it. response:	Why are a few merchants exempt from it?
context: Isn't there something else?\For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it? response:	It's a monopoly with the Church.
context: For example, don't jewels and gold sell well?\There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church. response:	If you take gold to the Church there, they'll carve a holy seal for you.
context: There won't be much profit with those in Rubinhaigen and its vicinity.\Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you. response:	The blessed gold then comes with a preposterously high price.
context: Why's that?\The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price. response:	Of course, for exempting the tariff, they receive donations.
context: The tariff is too high.\By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations. response:	What a splendid relationship.
context: By looking at a few merchants, they get charged a high tariff when they import gold.\You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship. response:	That's why there's a terribly severe punishment for smuggling.
context: You can't do any business because of it.\Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling. response:	If you smuggle it, the price will double,
context: Why are a few merchants exempt from it?\It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double, response:	but in exchange, it will also be dangerous.
context: It's a monopoly with the Church.\If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous. response:	That's why there aren't any idiots who do it.
context: If you take gold to the Church there, they'll carve a holy seal for you.\The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it. response:	You can't even import gold by hiding it?
context: The blessed gold then comes with a preposterously high price.\Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it? response:	The cargo inspection isn't that laid back.
context: Of course, for exempting the tariff, they receive donations.\What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back. response:	What'll happen if they find out?
context: What a splendid relationship.\That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out? response:	At the worst, they'll sever your dominant arm.
context: That's why there's a terribly severe punishment for smuggling.\If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm. response:	It's just not worth it.
context: If you smuggle it, the price will double,\but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it. response:	Well, your business is doing well.
context: but in exchange, it will also be dangerous.\That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well. response:	You just need to steadily earn money.
context: That's why there aren't any idiots who do it.\You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money. response:	You're exactly right.
context: You can't even import gold by hiding it?\The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money.\You're exactly right. response:	But there's someone who's trying to waste my steady gain of profit.
context: The cargo inspection isn't that laid back.\What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit. response:	You should be careful.
context: What'll happen if they find out?\At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful. response:	It seems like a mercenary band is coming in from the north.
context: At the worst, they'll sever your dominant arm.\It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north. response:	Mercenary band?
context: It's just not worth it.\Well, your business is doing well.\You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band? response:	Yeah.
context: Well, your business is doing well.\You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah. response:	Then continuing on this path would be suicide.
context: You just need to steadily earn money.\You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah.\Then continuing on this path would be suicide. response:	Yes, they're like birds of prey and can find their game even faster than I.
context: You're exactly right.\But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I. response:	If they think it will make them money,
context: But there's someone who's trying to waste my steady gain of profit.\You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money, response:	they'll take everything, not even leaving behind the ashes of tree stumps.
context: You should be careful.\It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps. response:	They have long spears, too.
context: It seems like a mercenary band is coming in from the north.\Mercenary band?\Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too. response:	I have memories of trouble with them.
context: Mercenary band?\Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them. response:	What troubles me more is why they've gone out of their way to come here.
context: Yeah.\Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here. response:	They're like us, they only move if there's something to gain.
context: Then continuing on this path would be suicide.\Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain. response:	Well, there's no use worrying about it here.
context: Yes, they're like birds of prey and can find their game even faster than I.\If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here. response:	Anyway, let's take that new detour road leading to Rubinhaigen.
context: If they think it will make them money,\they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen. response:	You're not afraid of that pagan magician, right?
context: they'll take everything, not even leaving behind the ashes of tree stumps.\They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right? response:	There seems to be a pack of wolves on the road also.
context: They have long spears, too.\I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also. response:	They're easier to handle than humans.
context: I have memories of trouble with them.\What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans. response:	At the least, we can talk.
context: What troubles me more is why they've gone out of their way to come here.\They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk. response:	Then I'll leave the negotiations to you.
context: They're like us, they only move if there's something to gain.\Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you. response:	There's no one around.
context: Well, there's no use worrying about it here.\Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around. response:	The power of rumors are exceptionally strong.
context: Anyway, let's take that new detour road leading to Rubinhaigen.\You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong. response:	How boring, I'm going to take a nap.
context: You're not afraid of that pagan magician, right?\There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap. response:	You'll still know if wolves come if you're asleep, right?
context: There seems to be a pack of wolves on the road also.\They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right? response:	I can tell that much.
context: They're easier to handle than humans.\At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much. response:	It'll be troublesome if we're surrounded.
context: At the least, we can talk.\Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded. response:	You're such a worry-wart.
context: Then I'll leave the negotiations to you.\There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart. response:	It doesn't normally matter if they're awake or asleep, despite what animal it is.
context: There's no one around.\The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is. response:	It's that you humans are too defenseless when you sleep.
context: The power of rumors are exceptionally strong.\How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep. response:	That's not very convincing, since you snore when you sleep.
context: How boring, I'm going to take a nap.\You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep. response:	I don't snore!
context: You'll still know if wolves come if you're asleep, right?\I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore! response:	Well, it's not that loud.
context: I can tell that much.\It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud. response:	I told you I don't snore!
context: It'll be troublesome if we're surrounded.\You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud.\I told you I don't snore! response:	All right already.
context: You're such a worry-wart.\It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud.\I told you I don't snore!\All right already. response:	I told you I don't snore!
context: It doesn't normally matter if they're awake or asleep, despite what animal it is.\It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud.\I told you I don't snore!\All right already.\I told you I don't snore! response:	I told you, I got it!
context: It's that you humans are too defenseless when you sleep.\That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud.\I told you I don't snore!\All right already.\I told you I don't snore!\I told you, I got it! response:	What's wrong?
