context: Just up ahead, I'll defeat Erza... response:	and become an S Class wizard!
context: On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not!\You're not?!\Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap! response:	If I can't defeat you, becoming an S Class Wizard would be pointless!
context: And you're staggering!\I am not!\You're not?!\Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless! response:	I figured you would say that.
context: I am not!\You're not?!\Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that. response:	That's why I ain't gonna hold back on you.
context: You're not?!\Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you. response:	What is this pressure?!
context: Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?! response:	You walk the path of magic, but to arrive at its summit,
context: I have a good sense of your power.\As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit, response:	there's something you still need.
context: As an examiner, I could pass you right now, but...\Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need. response:	Learn now what that is.
context: Don't give me that crap!\If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is. response:	W-What is this?!
context: If I can't defeat you, becoming an S Class Wizard would be pointless!\I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is.\W-What is this?! response:	Magic... Incredibly powerful magic...
context: I figured you would say that.\That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic... response:	Natsu...
context: That's why I ain't gonna hold back on you.\What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic...\Natsu... response:	Excellent...
context: What is this pressure?!\You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic...\Natsu...\Excellent... response:	I find no fault with you when it comes to standing against me with courage.
context: You walk the path of magic, but to arrive at its summit,\there's something you still need.\Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic...\Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage. response:	However, very few have the courage to sheathe their sword once it's out.
context: there's something you still need.\Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic...\Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out. response:	Fear is not evil...
context: Learn now what that is.\W-What is this?!\Magic... Incredibly powerful magic...\Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil... response:	It tells you what your weakness is.
context: W-What is this?!\Magic... Incredibly powerful magic...\Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is. response:	And once you know your weakness, you can become stronger as well as kinder.
context: Magic... Incredibly powerful magic...\Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder. response:	It's necessary in order to become an S Class Wizard.
context: Natsu...\Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard. response:	That's what you learned today.
context: Excellent...\I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today. response:	You pass.
context: I find no fault with you when it comes to standing against me with courage.\However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass. response:	B-But...
context: However, very few have the courage to sheathe their sword once it's out.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass.\B-But... response:	Go. The examiner says that you pass.
context: Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass.\B-But...\Go. The examiner says that you pass. response:	But the exam isn't over yet.
context: It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass.\B-But...\Go. The examiner says that you pass.\But the exam isn't over yet. response:	The Master is behind this, so you know an even more arduous test awaits you.
context: And once you know your weakness, you can become stronger as well as kinder.\It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass.\B-But...\Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you. response:	Have confidence. I know you can do it.
context: It's necessary in order to become an S Class Wizard.\That's what you learned today.\You pass.\B-But...\Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it. response:	And now let me speak to you not as an examiner, but as a good friend...
context: That's what you learned today.\You pass.\B-But...\Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend... response:	It isn't all about powerful magic...
context: You pass.\B-But...\Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic... response:	But I know how you feel, your desire to win...
context: B-But...\Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win... response:	Age or career has nothin' to do with it...
context: Go. The examiner says that you pass.\But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it... response:	I'm the same way, see...
context: But the exam isn't over yet.\The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see... response:	I don't wanna lose against you.
context: The Master is behind this, so you know an even more arduous test awaits you.\Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you. response:	I'll fight you again, anytime.
context: Have confidence. I know you can do it.\And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime. response:	Go on, now, and become an S Class Wizard, Natsu.
context: And now let me speak to you not as an examiner, but as a good friend...\It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu. response:	Come to think of it, it feels like I haven't seen Mest for a long time.
context: It isn't all about powerful magic...\But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time. response:	Where was he again?
context: But I know how you feel, your desire to win...\Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again? response:	He was Mystogan's disciple, right?
context: Age or career has nothin' to do with it...\I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right? response:	They were probably traveling here and there together.
context: I'm the same way, see...\I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together. response:	But he wasn't around in Edolas...
context: I don't wanna lose against you.\I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas... response:	Yeah, now that you mention it...
context: I'll fight you again, anytime.\Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it... response:	Huh? Have I met Mest before?
context: Go on, now, and become an S Class Wizard, Natsu.\Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before? response:	Oh, come on! You must have met him sometime...
context: Come to think of it, it feels like I haven't seen Mest for a long time.\Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before?\Oh, come on! You must have met him sometime... response:	Next time: Mest!
context: Where was he again?\He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before?\Oh, come on! You must have met him sometime...\Next time: Mest! response:	For example, there was that time... um...
context: He was Mystogan's disciple, right?\They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before?\Oh, come on! You must have met him sometime...\Next time: Mest!\For example, there was that time... um... response:	Huh?
context: They were probably traveling here and there together.\But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before?\Oh, come on! You must have met him sometime...\Next time: Mest!\For example, there was that time... um...\Huh? response:	He probably used magic to make himself fade into the background.
context: But he wasn't around in Edolas...\Yeah, now that you mention it...\Huh? Have I met Mest before?\Oh, come on! You must have met him sometime...\Next time: Mest!\For example, there was that time... um...\Huh?\He probably used magic to make himself fade into the background. response:	Oh, I see!
