context: Gust of wind... response:	Yes!
context: Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid! response:	Way to go!
context: I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid!\Way to go! response:	Amazing...
context: Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid!\Way to go!\Amazing... response:	He's following a methodology.
context: With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid!\Way to go!\Amazing...\He's following a methodology. response:	I can see his training in his playing style.
context: Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid!\Way to go!\Amazing...\He's following a methodology.\I can see his training in his playing style. response:	The presence of his coach in his play...
context: I'll teach you how it works.\You'll learn how to take control of any match!\You rock, chubby kid!\Way to go!\Amazing...\He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play... response:	Chihaya's high school is really special.
context: You'll learn how to take control of any match!\You rock, chubby kid!\Way to go!\Amazing...\He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special. response:	They have different types of karuta players.
context: You rock, chubby kid!\Way to go!\Amazing...\He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players. response:	That's amazing.
context: Way to go!\Amazing...\He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players.\That's amazing. response:	When the misty bridge...
context: Amazing...\He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players.\That's amazing.\When the misty bridge... response:	He's fast!
context: He's following a methodology.\I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players.\That's amazing.\When the misty bridge...\He's fast! response:	What was that?
context: I can see his training in his playing style.\The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players.\That's amazing.\When the misty bridge...\He's fast!\What was that? response:	So the flower petals are scattered...
context: The presence of his coach in his play...\Chihaya's high school is really special.\They have different types of karuta players.\That's amazing.\When the misty bridge...\He's fast!\What was that?\So the flower petals are scattered... response:	He went from his own lower right to his own upper left.
context: Chihaya's high school is really special.\They have different types of karuta players.\That's amazing.\When the misty bridge...\He's fast!\What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left. response:	Nothing can be worse...
context: They have different types of karuta players.\That's amazing.\When the misty bridge...\He's fast!\What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse... response:	He crossed again! Three different points this time!
context: That's amazing.\When the misty bridge...\He's fast!\What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time! response:	Arata, why are you participating in the high school tournament this year?
context: When the misty bridge...\He's fast!\What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year? response:	Couldn't you wait until next year when you're a third-year?
context: He's fast!\What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year? response:	Why this year?
context: What was that?\So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year? response:	If I get into a school early by recommendation, it'll be easier for me to focus.
context: So the flower petals are scattered...\He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus. response:	On the Master Challenger tournament in the fall
context: He went from his own lower right to his own upper left.\Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall response:	and the Master match in the winter.
context: Nothing can be worse...\He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter. response:	Why?
context: He crossed again! Three different points this time!\Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter.\Why? response:	Why is he so much better than me?
context: Arata, why are you participating in the high school tournament this year?\Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter.\Why?\Why is he so much better than me? response:	I've played karuta since I was little.
context: Couldn't you wait until next year when you're a third-year?\Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter.\Why?\Why is he so much better than me?\I've played karuta since I was little. response:	I've practiced hard the whole time.
context: Why this year?\If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter.\Why?\Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time. response:	What's the difference?
context: If I get into a school early by recommendation, it'll be easier for me to focus.\On the Master Challenger tournament in the fall\and the Master match in the winter.\Why?\Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference? response:	Ayase...
context: On the Master Challenger tournament in the fall\and the Master match in the winter.\Why?\Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference?\Ayase... response:	If I injured my favored hand, I would forfeit.
context: and the Master match in the winter.\Why?\Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference?\Ayase...\If I injured my favored hand, I would forfeit. response:	It must have hurt when she was playing in the final yesterday,
context: Why?\Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference?\Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday, response:	but all she cared about was winning the team championship.
context: Why is he so much better than me?\I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference?\Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship. response:	Desktomu-kun and Hanano worked hard to collect data on the other teams.
context: I've played karuta since I was little.\I've practiced hard the whole time.\What's the difference?\Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams. response:	One win for Pizusawa!
context: I've practiced hard the whole time.\What's the difference?\Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa! response:	Kana-chan secured a victory
context: What's the difference?\Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory response:	right after my loss in the semifinal to ease the pressure.
context: Ayase...\If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure. response:	I'm not doing this for attention!
context: If I injured my favored hand, I would forfeit.\It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention! response:	But I'm here!
context: It must have hurt when she was playing in the final yesterday,\but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here! response:	Tsukuba kept appealing to us for a chance to play.
context: but all she cared about was winning the team championship.\Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play. response:	Three wins.
context: Desktomu-kun and Hanano worked hard to collect data on the other teams.\One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins. response:	We're getting three wins, guys.
context: One win for Pizusawa!\Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys. response:	Mashima never gave up.
context: Kana-chan secured a victory\right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys.\Mashima never gave up. response:	That's why we were able to win.
context: right after my loss in the semifinal to ease the pressure.\I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win. response:	What did I do?
context: I'm not doing this for attention!\But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win.\What did I do? response:	I can at least...
context: But I'm here!\Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win.\What did I do?\I can at least... response:	I can at least refuse to give up!
context: Tsukuba kept appealing to us for a chance to play.\Three wins.\We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win.\What did I do?\I can at least...\I can at least refuse to give up! response:	Don't give up!
context: Three wins.\We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win.\What did I do?\I can at least...\I can at least refuse to give up!\Don't give up! response:	Don't give up!
context: We're getting three wins, guys.\Mashima never gave up.\That's why we were able to win.\What did I do?\I can at least...\I can at least refuse to give up!\Don't give up!\Don't give up! response:	Don't give up!
context: Mashima never gave up.\That's why we were able to win.\What did I do?\I can at least...\I can at least refuse to give up!\Don't give up!\Don't give up!\Don't give up! response:	Thank you very much.
context: That's why we were able to win.\What did I do?\I can at least...\I can at least refuse to give up!\Don't give up!\Don't give up!\Don't give up!\Thank you very much. response:	Are all the players at Mizusawa like this?
context: What did I do?\I can at least...\I can at least refuse to give up!\Don't give up!\Don't give up!\Don't give up!\Thank you very much.\Are all the players at Mizusawa like this? response:	You played five matches yesterday,
context: I can at least...\I can at least refuse to give up!\Don't give up!\Don't give up!\Don't give up!\Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday, response:	yet you're still playing your heart out.
context: I can at least refuse to give up!\Don't give up!\Don't give up!\Don't give up!\Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out. response:	You bet.
context: Don't give up!\Don't give up!\Don't give up!\Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out.\You bet. response:	I don't play anywhere as hard as the other members.
context: Don't give up!\Don't give up!\Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members. response:	Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years
context: Don't give up!\Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years response:	are all playing harder!
context: Thank you very much.\Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder! response:	Damn...
context: Are all the players at Mizusawa like this?\You played five matches yesterday,\yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn... response:	Don't forget how he swung from his lower left to his upper right.
context: You played five matches yesterday,\yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right. response:	Damn! Damn!
context: yet you're still playing your heart out.\You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn! response:	Don't forget how he attacked from his opponent's upper left
context: You bet.\I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left response:	to his opponent's lower right in a line.
context: I don't play anywhere as hard as the other members.\Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line. response:	This is why I hate strong players!
context: Mashima, Desktomu-kun, Kana-chan, Ayase, and the first-years\are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players! response:	They make me want to beat them!
context: are all playing harder!\Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them! response:	They make me want to work harder!
context: Damn...\Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them!\They make me want to work harder! response:	Ayase-san did it! She's through the second round!
context: Don't forget how he swung from his lower left to his upper right.\Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round! response:	Thank you very much.
context: Damn! Damn!\Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much. response:	Snore
context: Don't forget how he attacked from his opponent's upper left\to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much.\Snore response:	This takes a lot more concentration than normal,
context: to his opponent's lower right in a line.\This is why I hate strong players!\They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much.\Snore\This takes a lot more concentration than normal, response:	but I have to do this.
context: This is why I hate strong players!\They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much.\Snore\This takes a lot more concentration than normal,\but I have to do this. response:	We will now announce the pairings for the third round.
context: They make me want to beat them!\They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much.\Snore\This takes a lot more concentration than normal,\but I have to do this.\We will now announce the pairings for the third round. response:	I have to use my left hand
context: They make me want to work harder!\Ayase-san did it! She's through the second round!\Thank you very much.\Snore\This takes a lot more concentration than normal,\but I have to do this.\We will now announce the pairings for the third round.\I have to use my left hand response:	until I get to play Arata.
context: Ayase-san did it! She's through the second round!\Thank you very much.\Snore\This takes a lot more concentration than normal,\but I have to do this.\We will now announce the pairings for the third round.\I have to use my left hand\until I get to play Arata. response:	Ayase Chihaya
context: Thank you very much.\Snore\This takes a lot more concentration than normal,\but I have to do this.\We will now announce the pairings for the third round.\I have to use my left hand\until I get to play Arata.\Ayase Chihaya response:	Ayase Chihaya
context: Snore\This takes a lot more concentration than normal,\but I have to do this.\We will now announce the pairings for the third round.\I have to use my left hand\until I get to play Arata.\Ayase Chihaya\Ayase Chihaya response:	Wakamiya Shinobu
