context: Yukigaoka Kitagawa Daiichi response:	My first and last official match of junior high...
context: In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated response:	Only the strong can stay.
context: So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay. response:	Well, what are we going to do?
context: When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do? response:	If we don't go in together, they'll slam the door.
context: I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door. response:	If I can play volleyball...
context: Gwaaa?\I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball... response:	I can endure anything, for a little while!
context: I wanted to stay there, but...\Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while! response:	No matter how obnoxious you are,
context: Staying on the court...\Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are, response:	I'll do my best to keep from seeing you!
context: Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated\Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you! response:	That's my line, you idiot!
context: Only the strong can stay.\Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot! response:	Um...
context: Well, what are we going to do?\If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot!\Um... response:	Can you let me through?
context: If we don't go in together, they'll slam the door.\If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot!\Um...\Can you let me through? response:	Kiyoko-san, good to see you. I'll get that for you.
context: If I can play volleyball...\I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot!\Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you. response:	Never mind. I'll hold it myself.
context: I can endure anything, for a little while!\No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot!\Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself. response:	Kiyoko-san, you're beautiful as ever today!
context: No matter how obnoxious you are,\I'll do my best to keep from seeing you!\That's my line, you idiot!\Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today! response:	It turns me on when she ignores me!
context: I'll do my best to keep from seeing you!\That's my line, you idiot!\Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me! response:	Good job, everyone.
context: That's my line, you idiot!\Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone. response:	They'll probably say, Let us in if we can beat you in a match.
context: Um...\Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match. response:	That's possible.
context: Can you let me through?\Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible. response:	But all they have to do is show just a little contrition, that's all.
context: Kiyoko-san, good to see you. I'll get that for you.\Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all. response:	Captain!
context: Never mind. I'll hold it myself.\Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all.\Captain! response:	Let us challenge you to a match.
context: Kiyoko-san, you're beautiful as ever today!\It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match. response:	The two of us against you senpais.
context: It turns me on when she ignores me!\Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match.\The two of us against you senpais. response:	Are these guys for real?
context: Good job, everyone.\They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real? response:	One-two...
context: They'll probably say, Let us in if we can beat you in a match.\That's possible.\But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real?\One-two... response:	We'll prove that we can cooperate as a team.
context: That's possible.\But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real?\One-two...\We'll prove that we can cooperate as a team. response:	I heard them say one-two...
context: But all they have to do is show just a little contrition, that's all.\Captain!\Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real?\One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two... response:	But I can't say I dislike these guys.
context: Captain!\Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real?\One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys. response:	And what if you lose?
context: Let us challenge you to a match.\The two of us against you senpais.\Are these guys for real?\One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose? response:	We'll endure any penalty.
context: The two of us against you senpais.\Are these guys for real?\One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty. response:	Hmm...
context: Are these guys for real?\One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty.\Hmm... response:	Club Application
context: One-two...\We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty.\Hmm...\Club Application response:	Then now's the time.
context: We'll prove that we can cooperate as a team.\I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty.\Hmm...\Club Application\Then now's the time. response:	There are two other first-year applicants besides you guys.
context: I heard them say one-two...\But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty.\Hmm...\Club Application\Then now's the time.\There are two other first-year applicants besides you guys. response:	It'll be a three-on-three match against them.
context: But I can't say I dislike these guys.\And what if you lose?\We'll endure any penalty.\Hmm...\Club Application\Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them. response:	We always play this game every year,
context: And what if you lose?\We'll endure any penalty.\Hmm...\Club Application\Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year, response:	just to see what the new members are made of.
context: We'll endure any penalty.\Hmm...\Club Application\Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of. response:	But how does it become three-on-three?
context: Hmm...\Club Application\Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three? response:	Who's our other team member?
context: Club Application\Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member? response:	Tanaka. I want you to be on Hinata's side.
context: Then now's the time.\There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side. response:	What? Me?
context: There are two other first-year applicants besides you guys.\It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me? response:	You don't dislike them, right?
context: It'll be a three-on-three match against them.\We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right? response:	That doesn't mean I want to play with them.
context: We always play this game every year,\just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them. response:	I see. I thought you'd be the only one here
context: just to see what the new members are made of.\But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here response:	who could discipline these troublemakers.
context: But how does it become three-on-three?\Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers. response:	Oh, well! I guess it can't be helped.
context: Who's our other team member?\Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped. response:	I'll do it.
context: Tanaka. I want you to be on Hinata's side.\What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it. response:	Aren't you glad?
context: What? Me?\You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad? response:	And if you lose the match, as long as we third-years are here,
context: You don't dislike them, right?\That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here, response:	Kageyama will never play setter.
context: That doesn't mean I want to play with them.\I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter. response:	That's all?
context: I see. I thought you'd be the only one here\who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all? response:	That's because our team can't win with a self-centered setter.
context: who could discipline these troublemakers.\Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter. response:	A guy who banks on his skills, but loses.
context: Oh, well! I guess it can't be helped.\I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses. response:	What's the matter?
context: I'll do it.\Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter? response:	I'm not ejecting you from the club.
context: Aren't you glad?\And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club. response:	You'd be good in other positions, too, wouldn't you?
context: And if you lose the match, as long as we third-years are here,\Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you? response:	I'm a setter!
context: Kageyama will never play setter.\That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter! response:	Then win.
context: That's all?\That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win. response:	You're here because you think you can win by yourself, right?
context: That's because our team can't win with a self-centered setter.\A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win.\You're here because you think you can win by yourself, right? response:	The game will be Saturday morning.
context: A guy who banks on his skills, but loses.\What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning. response:	Listen up! Tanaka-senpai's gonna teach you a lesson.
context: What's the matter?\I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson. response:	Understood?
context: I'm not ejecting you from the club.\You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood? response:	Are we being a little too hard on those guys?
context: You'd be good in other positions, too, wouldn't you?\I'm a setter!\Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys? response:	That's true. You're stricter than usual, Daichi-san.
context: I'm a setter!\Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san. response:	Do you have some special reason in mind?
context: Then win.\You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind? response:	Dammit!
context: You're here because you think you can win by yourself, right?\The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit! response:	What? Are you mad because you're gonna eat the penalty?
context: The game will be Saturday morning.\Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty? response:	But even if you're not setter, I'm sure you'd do fine as a regular.
context: Listen up! Tanaka-senpai's gonna teach you a lesson.\Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular. response:	And...
context: Understood?\Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And... response:	spikers are cooler than setters anyway.
context: Are we being a little too hard on those guys?\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway. response:	Wham, like that!
context: That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway.\Wham, like that! response:	Bastard!
context: Do you have some special reason in mind?\Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway.\Wham, like that!\Bastard! response:	The setter is the team's control tower!
context: Dammit!\What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway.\Wham, like that!\Bastard!\The setter is the team's control tower! response:	It's the setter that handles the ball the most in a match.
context: What? Are you mad because you're gonna eat the penalty?\But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway.\Wham, like that!\Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match. response:	It's the most dominant role! It's the coolest!
context: But even if you're not setter, I'm sure you'd do fine as a regular.\And...\spikers are cooler than setters anyway.\Wham, like that!\Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest! response:	Huh?
context: And...\spikers are cooler than setters anyway.\Wham, like that!\Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh? response:	And your favorite, the spike.
context: spikers are cooler than setters anyway.\Wham, like that!\Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike. response:	You can't shoot without the setter.
context: Wham, like that!\Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike.\You can't shoot without the setter. response:	But setter looks difficult, and it's not very flashy...
context: Bastard!\The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy... response:	You... Have you ever seen a huge tournament live?
context: The setter is the team's control tower!\It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live? response:	I haven't.
context: It's the setter that handles the ball the most in a match.\It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't. response:	It's hard to tell from the angles they show on TV...
context: It's the most dominant role! It's the coolest!\Huh?\And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV... response:	But if you watch from the end side of the court,
context: Huh?\And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court, response:	you can see the setter's super-fast toss really well.
context: And your favorite, the spike.\You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well. response:	Zoom. From one end of the court to the other.
context: You can't shoot without the setter.\But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other. response:	The ball goes past the enemy's block.
context: But setter looks difficult, and it's not very flashy...\You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block. response:	You think to yourself: Hey! Can they really return that?
context: You... Have you ever seen a huge tournament live?\I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that? response:	But before the toss, the spiker jumps, and hits it.
context: I haven't.\It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it. response:	Wham! Like that.
context: It's hard to tell from the angles they show on TV...\But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that. response:	O-Oh...
context: But if you watch from the end side of the court,\you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh... response:	Sure, spikers are cool. But...
context: you can see the setter's super-fast toss really well.\Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh...\Sure, spikers are cool. But... response:	But the setter tricks the enemy blockers.
context: Zoom. From one end of the court to the other.\The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers. response:	The setter tears down walls for the spiker.
context: The ball goes past the enemy's block.\You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker. response:	It's difficult, it's cool, it's fun, and that's the setter!
context: You think to yourself: Hey! Can they really return that?\But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter! response:	I understand why now you want to be setter.
context: But before the toss, the spiker jumps, and hits it.\Wham! Like that.\O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter. response:	Kageyama will never play setter.
context: Wham! Like that.\O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter. response:	Damn... why is that?
context: O-Oh...\Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that? response:	All you have to do is win.
context: Sure, spikers are cool. But...\But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that?\All you have to do is win. response:	You were full of confidence taking on the senpais, weren't you?
context: But the setter tricks the enemy blockers.\The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you? response:	That's right. I can't get anxious.
context: The setter tears down walls for the spiker.\It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious. response:	I can't rely on this guy,
context: It's difficult, it's cool, it's fun, and that's the setter!\I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy, response:	but I can send tosses to that second-year guy.
context: I understand why now you want to be setter.\Kageyama will never play setter.\Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy. response:	Hey. We better do something about that sorry receive of yours by Saturday.
context: Kageyama will never play setter.\Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday. response:	Sorry? Well, but we can't use the gym.
context: Damn... why is that?\All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym. response:	Oh, yes.
context: All you have to do is win.\You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes. response:	Morning practice is at 7:00 AM tomorrow, right?
context: You were full of confidence taking on the senpais, weren't you?\That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right? response:	Of course, but why did you ask that all of a sudden?
context: That's right. I can't get anxious.\I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden? response:	Oh, uh, well...
context: I can't rely on this guy,\but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well... response:	Was the dean's wig undamaged?
context: but I can send tosses to that second-year guy.\Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged? response:	Hey, stop talking about that!
context: Hey. We better do something about that sorry receive of yours by Saturday.\Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that! response:	Tomorrow...
context: Sorry? Well, but we can't use the gym.\Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow... response:	5:00 AM.
context: Oh, yes.\Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow...\5:00 AM. response:	Don't be late.
context: Morning practice is at 7:00 AM tomorrow, right?\Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow...\5:00 AM.\Don't be late. response:	You don't be late.
context: Of course, but why did you ask that all of a sudden?\Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow...\5:00 AM.\Don't be late.\You don't be late. response:	My bag! I forgot my bag!
