context: What's happened so far! response:	Our sister, Miyazawa Yukino...
context: what's been motivating me.\I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do? response:	Now now now...don't cry like that.
context: I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that. response:	Besides, it's impressive that you at least figured it out!
context: I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out! response:	By this point you've discovered the truth and
context: I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and response:	taken a hard look at reality..
context: I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality.. response:	The problem might as well be half solved!
context: Now that I think about it, I might not have even...\tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved! response:	Huh? I didn't get that at all.
context: tried to tell him I liked him.\Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all. response:	Well, um...
context: Why am I like this? I'm so ashamed...What should I do?\Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um... response:	Sis, you've never been hurt until now.
context: Now now now...don't cry like that.\Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now. response:	You've always been praised...
context: Besides, it's impressive that you at least figured it out!\By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now.\You've always been praised... response:	hiding your real feelings...
context: By this point you've discovered the truth and\taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings... response:	You might not feel any pain if your fake self gets hurt.
context: taken a hard look at reality..\The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt. response:	But your real heart can feel the pain.
context: The problem might as well be half solved!\Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain. response:	The person whom you're most afraid of getting hurt by right now, is Arima.
context: Huh? I didn't get that at all.\Well, um...\Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima. response:	But, I think you realize somewhere in your heart.
context: Well, um...\Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart. response:	Being afraid of getting hurt is because you care more about yourself than about someone else.
context: Sis, you've never been hurt until now.\You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else. response:	I think being in love might be the opposite.
context: You've always been praised...\hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite. response:	Kano, you're amazing!
context: hiding your real feelings...\You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing! response:	How do you know so much?
context: You might not feel any pain if your fake self gets hurt.\But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much? response:	I get it all from manga and novels.
context: But your real heart can feel the pain.\The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much?\I get it all from manga and novels. response:	I've got to have courage.
context: The person whom you're most afraid of getting hurt by right now, is Arima.\But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much?\I get it all from manga and novels.\I've got to have courage. response:	If I don't overcome this hurdle,
context: But, I think you realize somewhere in your heart.\Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much?\I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle, response:	I'm never going to make it to love.
context: Being afraid of getting hurt is because you care more about yourself than about someone else.\I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much?\I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love. response:	Good morning.
context: I think being in love might be the opposite.\Kano, you're amazing!\How do you know so much?\I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning. response:	Good morning.
context: Kano, you're amazing!\How do you know so much?\I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning.\Good morning. response:	communicate any schedule changes...
context: How do you know so much?\I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning.\Good morning.\communicate any schedule changes... response:	to the person in charge of each post.
context: I get it all from manga and novels.\I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning.\Good morning.\communicate any schedule changes...\to the person in charge of each post. response:	If I try to say it with words,
context: I've got to have courage.\If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning.\Good morning.\communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words, response:	I might screw up again.
context: If I don't overcome this hurdle,\I'm never going to make it to love.\Good morning.\Good morning.\communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words,\I might screw up again. response:	If I'm going to get hurt...
context: I'm never going to make it to love.\Good morning.\Good morning.\communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words,\I might screw up again.\If I'm going to get hurt... response:	What'll happen next!
context: Good morning.\Good morning.\communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words,\I might screw up again.\If I'm going to get hurt...\What'll happen next! response:	Sis finally became an official couple with him!
context: Good morning.\communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words,\I might screw up again.\If I'm going to get hurt...\What'll happen next!\Sis finally became an official couple with him! response:	But harsh reality brings new trials and enemies!
context: communicate any schedule changes...\to the person in charge of each post.\If I try to say it with words,\I might screw up again.\If I'm going to get hurt...\What'll happen next!\Sis finally became an official couple with him!\But harsh reality brings new trials and enemies! response:	When will happiness
context: to the person in charge of each post.\If I try to say it with words,\I might screw up again.\If I'm going to get hurt...\What'll happen next!\Sis finally became an official couple with him!\But harsh reality brings new trials and enemies!\When will happiness response:	finally come her way?!
context: If I try to say it with words,\I might screw up again.\If I'm going to get hurt...\What'll happen next!\Sis finally became an official couple with him!\But harsh reality brings new trials and enemies!\When will happiness\finally come her way?! response:	His Ambition.
