context: Huh?! What's this? response:	It's a powerful miasma.
context: Become a fine flea husband and wife.\No!\Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me.\Myoga?!\What's wrong?\What happened?! response:	Shoga?
context: No!\Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me.\Myoga?!\What's wrong?\What happened?!\Shoga? response:	Old Shoga?
context: Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me.\Myoga?!\What's wrong?\What happened?!\Shoga?\Old Shoga? response:	This isn't Myoga!
context: He's so embarrassed!\You can at least say you love me.\Myoga?!\What's wrong?\What happened?!\Shoga?\Old Shoga?\This isn't Myoga! response:	He switched places with some roving flea!
context: You can at least say you love me.\Myoga?!\What's wrong?\What happened?!\Shoga?\Old Shoga?\This isn't Myoga!\He switched places with some roving flea! response:	That Myoga! He ran away!
context: Myoga?!\What's wrong?\What happened?!\Shoga?\Old Shoga?\This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away! response:	Run! Run to the depths of Hell!
context: What's wrong?\What happened?!\Shoga?\Old Shoga?\This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell! response:	Why that old geezer! Wait!
context: What happened?!\Shoga?\Old Shoga?\This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait! response:	You won't get away!
context: Shoga?\Old Shoga?\This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away! response:	Run! Run!
context: Old Shoga?\This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away!\Run! Run! response:	Wait up!
context: This isn't Myoga!\He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away!\Run! Run!\Wait up! response:	That flea! When it comes to running away, he's the best!
context: He switched places with some roving flea!\That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away!\Run! Run!\Wait up!\That flea! When it comes to running away, he's the best! response:	Wait, Myoga!
context: That Myoga! He ran away!\Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away!\Run! Run!\Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga! response:	No way!
context: Run! Run to the depths of Hell!\Why that old geezer! Wait!\You won't get away!\Run! Run!\Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way! response:	Inuyasha... Can't you find Naraku's castle yet?
context: Why that old geezer! Wait!\You won't get away!\Run! Run!\Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet? response:	Don't talk to me! I can't concentrate!
context: You won't get away!\Run! Run!\Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate! response:	This is the night of the new moon.
context: Run! Run!\Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon. response:	Is your sense of smell lost for this night?
context: Wait up!\That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night? response:	Shaddup!
context: That flea! When it comes to running away, he's the best!\Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup! response:	Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe.
context: Wait, Myoga!\No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup!\Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe. response:	And...
context: No way!\Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup!\Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe.\And... response:	Not only that!
context: Inuyasha... Can't you find Naraku's castle yet?\Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup!\Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe.\And...\Not only that! response:	Kagura is making a deal with Sesshomaru!
context: Don't talk to me! I can't concentrate!\This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup!\Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe.\And...\Not only that!\Kagura is making a deal with Sesshomaru! response:	Next on Inuyasha: Naraku's Barrier... Kagura's Decision
context: This is the night of the new moon.\Is your sense of smell lost for this night?\Shaddup!\Huh?! This smell... It belongs to Koga of the Wolf-Demon Tribe.\And...\Not only that!\Kagura is making a deal with Sesshomaru!\Next on Inuyasha: Naraku's Barrier... Kagura's Decision response:	Damn, of all times!
