context: Yes, and they're the wild hunters. response:	They're all specially trained to catch all of the ghosts within twelve days.
context: This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone... response:	Akko! Bother!
context: Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother! response:	Constanze wants to be alone!
context: Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone! response:	Stanbot?! He's multiplying...
context: Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying... response:	Go away!
context: It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away! response:	Go away!
context: We just go straight down the path we've chosen!\Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away!\Go away! response:	Go away!
context: Don't you agree?\Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away!\Go away!\Go away! response:	H-Hey
context: Come on, there are some things you can't do alone...\Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away!\Go away!\Go away!\H-Hey response:	Go away!
context: Akko! Bother!\Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away!\Go away!\Go away!\H-Hey\Go away! response:	Go away!
context: Constanze wants to be alone!\Stanbot?! He's multiplying...\Go away!\Go away!\Go away!\H-Hey\Go away!\Go away! response:	Hold on!
context: Stanbot?! He's multiplying...\Go away!\Go away!\Go away!\H-Hey\Go away!\Go away!\Hold on! response:	Go away!
context: Go away!\Go away!\Go away!\H-Hey\Go away!\Go away!\Hold on!\Go away! response:	Go away!
context: Go away!\Go away!\H-Hey\Go away!\Go away!\Hold on!\Go away!\Go away! response:	Hey, that was fast.
context: Go away!\H-Hey\Go away!\Go away!\Hold on!\Go away!\Go away!\Hey, that was fast. response:	You don't need to force yourself to help her.
context: H-Hey\Go away!\Go away!\Hold on!\Go away!\Go away!\Hey, that was fast.\You don't need to force yourself to help her. response:	It's not like Constanze has asked you, either.
context: Go away!\Go away!\Hold on!\Go away!\Go away!\Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either. response:	Even I know that, but still...
context: Go away!\Hold on!\Go away!\Go away!\Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still... response:	You just want to bother Constanze then?
context: Hold on!\Go away!\Go away!\Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then? response:	No way! Of course not!
context: Go away!\Go away!\Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not! response:	Then just let her do what she wants.
context: Go away!\Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants. response:	I think she just honestly prefers being alone.
context: Hey, that was fast.\You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone. response:	Little Witch Academia
context: You don't need to force yourself to help her.\It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia response:	Little Witch Academia
context: It's not like Constanze has asked you, either.\Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia response:	Hey, Akko.
context: Even I know that, but still...\You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia\Hey, Akko. response:	You finally give up on Cons yet?
context: You just want to bother Constanze then?\No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia\Hey, Akko.\You finally give up on Cons yet? response:	I want this.
context: No way! Of course not!\Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia\Hey, Akko.\You finally give up on Cons yet?\I want this. response:	Not happening. That's an important cooking utensil.
context: Then just let her do what she wants.\I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia\Hey, Akko.\You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil. response:	It's not a toy.
context: I think she just honestly prefers being alone.\Little Witch Academia\Little Witch Academia\Hey, Akko.\You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil.\It's not a toy. response:	Plus, you're getting in the way of my work.
context: Little Witch Academia\Little Witch Academia\Hey, Akko.\You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work. response:	Shoo, shoo.
context: Little Witch Academia\Hey, Akko.\You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo. response:	Hey.
context: Hey, Akko.\You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo.\Hey. response:	Have you heard of the Wild Hunt?
context: You finally give up on Cons yet?\I want this.\Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo.\Hey.\Have you heard of the Wild Hunt? response:	Here! The orichalcum whisk!
context: I want this.\Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo.\Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk! response:	You need it to build your boat, right?
context: Not happening. That's an important cooking utensil.\It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo.\Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right? response:	When I explained why we needed it, he let us borrow it until the Wild Hunt ends.
context: It's not a toy.\Plus, you're getting in the way of my work.\Shoo, shoo.\Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends. response:	After I said you'd be participating...
context: Plus, you're getting in the way of my work.\Shoo, shoo.\Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating... response:	That's incredible!
context: Shoo, shoo.\Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible! response:	He got all excited.
context: Hey.\Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible!\He got all excited. response:	The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.
context: Have you heard of the Wild Hunt?\Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on. response:	I cannot simply tell you its location.
context: Here! The orichalcum whisk!\You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location. response:	Listen: this is not an issue of money.
context: You need it to build your boat, right?\When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money. response:	It is most certainly not an issue of money!
context: When I explained why we needed it, he let us borrow it until the Wild Hunt ends.\After I said you'd be participating...\That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money! response:	Barometz?!
context: After I said you'd be participating...\That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?! response:	I know what that is! It's the plant that grows into a golden sheep!
context: That's incredible!\He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep! response:	Barometz
context: He got all excited.\The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz response:	There is no plant as efficient as Barometz Soft fleece surrounds its supple meat
context: The Planta Tartarica Barometz grows on sacred land that is forbidden to trod on.\I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat response:	Fountain of Polaris
context: I cannot simply tell you its location.\Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Listen: this is not an issue of money.\It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	It's on one of the Chariot cards!
context: It is most certainly not an issue of money!\Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards! response:	I know where to find it too!
context: Barometz?!\I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too! response:	Leave this to me!
context: I know what that is! It's the plant that grows into a golden sheep!\Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too!\Leave this to me! response:	Hey!
context: Barometz\There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too!\Leave this to me!\Hey! response:	You're taking that without paying as much as a penny?!
context: There is no plant as efficient as Barometz Soft fleece surrounds its supple meat\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too!\Leave this to me!\Hey!\You're taking that without paying as much as a penny?! response:	But you said it wasn't an issue of money!
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too!\Leave this to me!\Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money! response:	Metamorphie Faciesse!
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\It's on one of the Chariot cards!\I know where to find it too!\Leave this to me!\Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse! response:	Here! A Planta Tartarica Barometz!
context: It's on one of the Chariot cards!\I know where to find it too!\Leave this to me!\Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz! response:	I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.
context: I know where to find it too!\Leave this to me!\Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action. response:	If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?
context: Leave this to me!\Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing? response:	It's fine to do some things alone,
context: Hey!\You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone, response:	but together we'll be able to do the impossible!
context: You're taking that without paying as much as a penny?!\But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible! response:	Are these... materials for the ship?
context: But you said it wasn't an issue of money!\Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship? response:	So then...
context: Metamorphie Faciesse!\Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship?\So then... response:	You want me to collect them, right?
context: Here! A Planta Tartarica Barometz!\I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship?\So then...\You want me to collect them, right? response:	Okay!
context: I'm not really skilled or clever like you are, but I'm confident in my stamina and ability to take action.\If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship?\So then...\You want me to collect them, right?\Okay! response:	I'll do it!
context: If you let me handle the things you aren't good at, don't you think we'll be able to make something truly amazing?\It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship?\So then...\You want me to collect them, right?\Okay!\I'll do it! response:	Let's work hard together, Constanze!
context: It's fine to do some things alone,\but together we'll be able to do the impossible!\Are these... materials for the ship?\So then...\You want me to collect them, right?\Okay!\I'll do it!\Let's work hard together, Constanze! response:	Akko, what are you doing?
context: but together we'll be able to do the impossible!\Are these... materials for the ship?\So then...\You want me to collect them, right?\Okay!\I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing? response:	I thought up an idea of my own, so I drew a picture of it.
context: Are these... materials for the ship?\So then...\You want me to collect them, right?\Okay!\I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it. response:	Show it! Show it!
context: So then...\You want me to collect them, right?\Okay!\I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it! response:	Impossible. Cannot be done.
context: You want me to collect them, right?\Okay!\I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done. response:	A childish delusion.
context: Okay!\I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done.\A childish delusion. response:	Oh, stuff it!
context: I'll do it!\Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done.\A childish delusion.\Oh, stuff it! response:	You can't expect me to be as good as Constanze.
context: Let's work hard together, Constanze!\Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done.\A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze. response:	Are you an idiot?
context: Akko, what are you doing?\I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done.\A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot? response:	Amateurs are scary.
context: I thought up an idea of my own, so I drew a picture of it.\Show it! Show it!\Impossible. Cannot be done.\A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary. response:	Beginning to doubt sanity.
context: Show it! Show it!\Impossible. Cannot be done.\A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity. response:	You don't need to go that far!
context: Impossible. Cannot be done.\A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far! response:	Go away!
context: A childish delusion.\Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far!\Go away! response:	Sorry, did I wake you?
context: Oh, stuff it!\You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far!\Go away!\Sorry, did I wake you? response:	Man, watching you kinda made me think that anything really is possible.
context: You can't expect me to be as good as Constanze.\Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far!\Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible. response:	So I tried coming up with something like an ultimate magic mecha.
context: Are you an idiot?\Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far!\Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha. response:	But yeah, I guess there's no way this would work... right?
context: Amateurs are scary.\Beginning to doubt sanity.\You don't need to go that far!\Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right? response:	Constanze?
context: Beginning to doubt sanity.\You don't need to go that far!\Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze? response:	Ghost hunt.
context: You don't need to go that far!\Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt. response:	How could I possibly let such an entertaining chance slip by?
context: Go away!\Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by? response:	It's today!
context: Sorry, did I wake you?\Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today! response:	The final day of the Wild Hunt!
context: Man, watching you kinda made me think that anything really is possible.\So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt! response:	The rumors were about this place, right?
context: So I tried coming up with something like an ultimate magic mecha.\But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt!\The rumors were about this place, right? response:	I think I felt a presence just now!
context: But yeah, I guess there's no way this would work... right?\Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now! response:	If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.
context: Constanze?\Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably. response:	What's going on?
context: Ghost hunt.\How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on? response:	It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.
context: How could I possibly let such an entertaining chance slip by?\It's today!\The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night. response:	I think that's what drew all these occult fans here.
context: It's today!\The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here. response:	It's not like normal people can even see the ghost hunt.
context: The final day of the Wild Hunt!\The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt. response:	Who the hell let it leak?
context: The rumors were about this place, right?\I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak? response:	Things are gonna get messy.
context: I think I felt a presence just now!\If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy. response:	It couldn't be...
context: If you buy some of these goods, you'll get spared some of the bad ghost mojo, probably.\What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy.\It couldn't be... response:	Look!
context: What's going on?\It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy.\It couldn't be...\Look! response:	They're here!
context: It seems that talk of a ghost sighting in the plains around Blytonbury went viral online last night.\I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy.\It couldn't be...\Look!\They're here! response:	I wonder when it'll start.
context: I think that's what drew all these occult fans here.\It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy.\It couldn't be...\Look!\They're here!\I wonder when it'll start. response:	When are they supposed to appear?
context: It's not like normal people can even see the ghost hunt.\Who the hell let it leak?\Things are gonna get messy.\It couldn't be...\Look!\They're here!\I wonder when it'll start.\When are they supposed to appear? response:	It must've been fake.
context: Who the hell let it leak?\Things are gonna get messy.\It couldn't be...\Look!\They're here!\I wonder when it'll start.\When are they supposed to appear?\It must've been fake. response:	Just a bit longer!
context: Things are gonna get messy.\It couldn't be...\Look!\They're here!\I wonder when it'll start.\When are they supposed to appear?\It must've been fake.\Just a bit longer! response:	You think?
context: It couldn't be...\Look!\They're here!\I wonder when it'll start.\When are they supposed to appear?\It must've been fake.\Just a bit longer!\You think? response:	Is the wind picking up?
context: Look!\They're here!\I wonder when it'll start.\When are they supposed to appear?\It must've been fake.\Just a bit longer!\You think?\Is the wind picking up? response:	Did you... just feel a chill?
context: They're here!\I wonder when it'll start.\When are they supposed to appear?\It must've been fake.\Just a bit longer!\You think?\Is the wind picking up?\Did you... just feel a chill? response:	All right! Captain!
context: I wonder when it'll start.\When are they supposed to appear?\It must've been fake.\Just a bit longer!\You think?\Is the wind picking up?\Did you... just feel a chill?\All right! Captain! response:	Let's raise the anchors!
context: When are they supposed to appear?\It must've been fake.\Just a bit longer!\You think?\Is the wind picking up?\Did you... just feel a chill?\All right! Captain!\Let's raise the anchors! response:	Bon voyage!
context: It must've been fake.\Just a bit longer!\You think?\Is the wind picking up?\Did you... just feel a chill?\All right! Captain!\Let's raise the anchors!\Bon voyage! response:	They're here!
context: Just a bit longer!\You think?\Is the wind picking up?\Did you... just feel a chill?\All right! Captain!\Let's raise the anchors!\Bon voyage!\They're here! response:	It's Constanze and Akko!
context: You think?\Is the wind picking up?\Did you... just feel a chill?\All right! Captain!\Let's raise the anchors!\Bon voyage!\They're here!\It's Constanze and Akko! response:	Constanze!
context: Is the wind picking up?\Did you... just feel a chill?\All right! Captain!\Let's raise the anchors!\Bon voyage!\They're here!\It's Constanze and Akko!\Constanze! response:	Damn awesome!
context: Did you... just feel a chill?\All right! Captain!\Let's raise the anchors!\Bon voyage!\They're here!\It's Constanze and Akko!\Constanze!\Damn awesome! response:	That's the stuff!
context: All right! Captain!\Let's raise the anchors!\Bon voyage!\They're here!\It's Constanze and Akko!\Constanze!\Damn awesome!\That's the stuff! response:	Go.
context: Let's raise the anchors!\Bon voyage!\They're here!\It's Constanze and Akko!\Constanze!\Damn awesome!\That's the stuff!\Go. response:	Isn't it getting kinda noisy?
context: Bon voyage!\They're here!\It's Constanze and Akko!\Constanze!\Damn awesome!\That's the stuff!\Go.\Isn't it getting kinda noisy? response:	Hey, what the hell're those?!
context: They're here!\It's Constanze and Akko!\Constanze!\Damn awesome!\That's the stuff!\Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?! response:	Those are...
context: It's Constanze and Akko!\Constanze!\Damn awesome!\That's the stuff!\Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are... response:	Captain, there's trouble!
context: Constanze!\Damn awesome!\That's the stuff!\Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are...\Captain, there's trouble! response:	What in the world is this thing?!
context: Damn awesome!\That's the stuff!\Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are...\Captain, there's trouble!\What in the world is this thing?! response:	Got it!
context: That's the stuff!\Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are...\Captain, there's trouble!\What in the world is this thing?!\Got it! response:	Constanze! Let's do that!
context: Go.\Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are...\Captain, there's trouble!\What in the world is this thing?!\Got it!\Constanze! Let's do that! response:	Let's Metamor-formation!
