context: Open your mind. Open your mind. response:	Far beyond the deep blue Earth, you and I shall meet...
context: Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld?\How's it going? response:	Do you want me to get someone to help you?
context: That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld?\How's it going?\Do you want me to get someone to help you? response:	I can do it myself.
context: Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld?\How's it going?\Do you want me to get someone to help you?\I can do it myself. response:	I think...I can do it.
context: For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld?\How's it going?\Do you want me to get someone to help you?\I can do it myself.\I think...I can do it. response:	I'm ready!
context: This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld?\How's it going?\Do you want me to get someone to help you?\I can do it myself.\I think...I can do it.\I'm ready! response:	I don't know... I feel a little strange...
context: So...I'm an adult...\Skuld?\How's it going?\Do you want me to get someone to help you?\I can do it myself.\I think...I can do it.\I'm ready!\I don't know... I feel a little strange... response:	Well? Do you feel like you're a lady now?
context: Skuld?\How's it going?\Do you want me to get someone to help you?\I can do it myself.\I think...I can do it.\I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now? response:	Yeah...
context: How's it going?\Do you want me to get someone to help you?\I can do it myself.\I think...I can do it.\I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah... response:	Excuse me...
context: Do you want me to get someone to help you?\I can do it myself.\I think...I can do it.\I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah...\Excuse me... response:	Would you happen to have some spare time after you're through here?
context: I can do it myself.\I think...I can do it.\I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah...\Excuse me...\Would you happen to have some spare time after you're through here? response:	You see...
context: I think...I can do it.\I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah...\Excuse me...\Would you happen to have some spare time after you're through here?\You see... response:	Sayoko?
context: I'm ready!\I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah...\Excuse me...\Would you happen to have some spare time after you're through here?\You see...\Sayoko? response:	You're asking me to fill in for that girl as a model?
context: I don't know... I feel a little strange...\Well? Do you feel like you're a lady now?\Yeah...\Excuse me...\Would you happen to have some spare time after you're through here?\You see...\Sayoko?\You're asking me to fill in for that girl as a model? response:	Yes, she was suddenly stricken by a stomachache.
context: Well? Do you feel like you're a lady now?\Yeah...\Excuse me...\Would you happen to have some spare time after you're through here?\You see...\Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache. response:	Is there any way you could do me this favor?
context: Yeah...\Excuse me...\Would you happen to have some spare time after you're through here?\You see...\Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor? response:	Modeling, though...
context: Excuse me...\Would you happen to have some spare time after you're through here?\You see...\Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though... response:	No, no! Modeling, though...
context: Would you happen to have some spare time after you're through here?\You see...\Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though... response:	I can tell just by looking at you two that you fit our bridal salon's image of...
context: You see...\Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of... response:	It's a wonderful way to commemorate your love for each other, so please!
context: Sayoko?\You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please! response:	Couple?
context: You're asking me to fill in for that girl as a model?\Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple? response:	Love for each other?
context: Yes, she was suddenly stricken by a stomachache.\Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other? response:	Oh...am I mistaken?
context: Is there any way you could do me this favor?\Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other?\Oh...am I mistaken? response:	Well, actually...
context: Modeling, though...\No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other?\Oh...am I mistaken?\Well, actually... response:	What should we do?
context: No, no! Modeling, though...\I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other?\Oh...am I mistaken?\Well, actually...\What should we do? response:	Well, I don't mind...
context: I can tell just by looking at you two that you fit our bridal salon's image of...\It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other?\Oh...am I mistaken?\Well, actually...\What should we do?\Well, I don't mind... response:	I'm indebted to you!
context: It's a wonderful way to commemorate your love for each other, so please!\Couple?\Love for each other?\Oh...am I mistaken?\Well, actually...\What should we do?\Well, I don't mind...\I'm indebted to you! response:	Oh, uh...well...
context: Couple?\Love for each other?\Oh...am I mistaken?\Well, actually...\What should we do?\Well, I don't mind...\I'm indebted to you!\Oh, uh...well... response:	All right, I'm going to start shooting.
context: Love for each other?\Oh...am I mistaken?\Well, actually...\What should we do?\Well, I don't mind...\I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting. response:	This is really getting weird...
context: Oh...am I mistaken?\Well, actually...\What should we do?\Well, I don't mind...\I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird... response:	Why is my heart pounding so hard? Over Keiichi, of all people!
context: Well, actually...\What should we do?\Well, I don't mind...\I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people! response:	I can't take this anymore! Somebody please stop my heart from pounding!
context: What should we do?\Well, I don't mind...\I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding! response:	All right, next I want to get some shots of you kissing.
context: Well, I don't mind...\I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing. response:	Kissing?
context: I'm indebted to you!\Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing? response:	You won't do that for me? Well, could you just pretend, then?
context: Oh, uh...well...\All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then? response:	Oh...
context: All right, I'm going to start shooting.\This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh... response:	A k-k-kiss? With Keiichi?
context: This is really getting weird...\Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi? response:	Oh boy...what am I supposed to do?
context: Why is my heart pounding so hard? Over Keiichi, of all people!\I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do? response:	Skuld?
context: I can't take this anymore! Somebody please stop my heart from pounding!\All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld? response:	Huh? What? What is it?
context: All right, next I want to get some shots of you kissing.\Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it? response:	We're just going to pretend to do it, so could you look over here?
context: Kissing?\You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here? response:	Uh, sure. Sure!
context: You won't do that for me? Well, could you just pretend, then?\Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure! response:	Yikes...why is it so hard to breathe all of a sudden?
context: Oh...\A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden? response:	Skuld...
context: A k-k-kiss? With Keiichi?\Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld... response:	Huh...
context: Oh boy...what am I supposed to do?\Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh... response:	Keiichi...
context: Skuld?\Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh...\Keiichi... response:	Close your eyes, will you?
context: Huh? What? What is it?\We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh...\Keiichi...\Close your eyes, will you? response:	Okay.
context: We're just going to pretend to do it, so could you look over here?\Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh...\Keiichi...\Close your eyes, will you?\Okay. response:	I get it. I must have...
context: Uh, sure. Sure!\Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh...\Keiichi...\Close your eyes, will you?\Okay.\I get it. I must have... response:	No, I definitely have feelings for...
context: Yikes...why is it so hard to breathe all of a sudden?\Skuld...\Huh...\Keiichi...\Close your eyes, will you?\Okay.\I get it. I must have...\No, I definitely have feelings for... response:	Okay, that's fine.
context: Skuld...\Huh...\Keiichi...\Close your eyes, will you?\Okay.\I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine. response:	Hey, good job, Skuld.
context: Huh...\Keiichi...\Close your eyes, will you?\Okay.\I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld. response:	Let's go change.
context: Keiichi...\Close your eyes, will you?\Okay.\I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld.\Let's go change. response:	Ah...
context: Close your eyes, will you?\Okay.\I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld.\Let's go change.\Ah... response:	Right...
context: Okay.\I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld.\Let's go change.\Ah...\Right... response:	So the entire system's been restored?
context: I get it. I must have...\No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld.\Let's go change.\Ah...\Right...\So the entire system's been restored? response:	I see...got that.
context: No, I definitely have feelings for...\Okay, that's fine.\Hey, good job, Skuld.\Let's go change.\Ah...\Right...\So the entire system's been restored?\I see...got that. response:	Good job!
context: Okay, that's fine.\Hey, good job, Skuld.\Let's go change.\Ah...\Right...\So the entire system's been restored?\I see...got that.\Good job! response:	So you're awake now!
context: Hey, good job, Skuld.\Let's go change.\Ah...\Right...\So the entire system's been restored?\I see...got that.\Good job!\So you're awake now! response:	Yes, I'm fine now.
context: Let's go change.\Ah...\Right...\So the entire system's been restored?\I see...got that.\Good job!\So you're awake now!\Yes, I'm fine now. response:	They just called to let us know that Yggdrasil's been restored.
context: Ah...\Right...\So the entire system's been restored?\I see...got that.\Good job!\So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored. response:	If Belldandy's up, then I guess right about now...
context: Right...\So the entire system's been restored?\I see...got that.\Good job!\So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now... response:	Oh...it's evening already.
context: So the entire system's been restored?\I see...got that.\Good job!\So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already. response:	How did you like being a grownup?
context: I see...got that.\Good job!\So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup? response:	Well, I enjoyed some things about it...
context: Good job!\So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it... response:	Listen...
context: So you're awake now!\Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it...\Listen... response:	Do you remember that time when you, Big Sister, and I all went for a walk?
context: Yes, I'm fine now.\They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk? response:	Huh?
context: They just called to let us know that Yggdrasil's been restored.\If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh? response:	I remember you were so absorbed in your conversation with Big Sister...
context: If Belldandy's up, then I guess right about now...\Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister... response:	If I were all grown up, would you listen to me like that?
context: Oh...it's evening already.\How did you like being a grownup?\Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that? response:	Skuld...
context: How did you like being a grownup?\Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld... response:	But I was wrong.
context: Well, I enjoyed some things about it...\Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong. response:	Even though I'm all grown up, you still just treat me like you always do.
context: Listen...\Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do. response:	Uh, do I really?
context: Do you remember that time when you, Big Sister, and I all went for a walk?\Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really? response:	Yes, you do!
context: Huh?\I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do! response:	You never once talked to me the way you talk to Big Sister.
context: I remember you were so absorbed in your conversation with Big Sister...\If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister. response:	Listen, Keiichi...
context: If I were all grown up, would you listen to me like that?\Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi... response:	Huh?
context: Skuld...\But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh? response:	Do you have feelings for Big Sister?
context: But I was wrong.\Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh?\Do you have feelings for Big Sister? response:	Yes, I do.
context: Even though I'm all grown up, you still just treat me like you always do.\Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh?\Do you have feelings for Big Sister?\Yes, I do. response:	Then...my present self... what about my present self?
context: Uh, do I really?\Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh?\Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self? response:	My present...
context: Yes, you do!\You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh?\Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self?\My present... response:	My present...
context: You never once talked to me the way you talk to Big Sister.\Listen, Keiichi...\Huh?\Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self?\My present...\My present... response:	My present self?
context: Listen, Keiichi...\Huh?\Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self?\My present...\My present...\My present self? response:	Myself...
context: Huh?\Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self?\My present...\My present...\My present self?\Myself... response:	But...
context: Do you have feelings for Big Sister?\Yes, I do.\Then...my present self... what about my present self?\My present...\My present...\My present self?\Myself...\But... response:	Never mind.
context: Yes, I do.\Then...my present self... what about my present self?\My present...\My present...\My present self?\Myself...\But...\Never mind. response:	Okay.
context: Then...my present self... what about my present self?\My present...\My present...\My present self?\Myself...\But...\Never mind.\Okay. response:	Hey, it's gotten a lot chillier. We should get going...
context: My present...\My present...\My present self?\Myself...\But...\Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going... response:	Hey, Keiichi, turn to your left and close your eyes.
context: My present...\My present self?\Myself...\But...\Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes. response:	What's this all of a sudden?
context: My present self?\Myself...\But...\Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden? response:	Just do it!
context: Myself...\But...\Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it! response:	Fine.
context: But...\Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it!\Fine. response:	Just don't play any weird tricks on me, okay?
context: Never mind.\Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it!\Fine.\Just don't play any weird tricks on me, okay? response:	Thank you...
context: Okay.\Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it!\Fine.\Just don't play any weird tricks on me, okay?\Thank you... response:	Keiichi...
context: Hey, it's gotten a lot chillier. We should get going...\Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it!\Fine.\Just don't play any weird tricks on me, okay?\Thank you...\Keiichi... response:	Whoa...
context: Hey, Keiichi, turn to your left and close your eyes.\What's this all of a sudden?\Just do it!\Fine.\Just don't play any weird tricks on me, okay?\Thank you...\Keiichi...\Whoa... response:	Looks like I've turned back!
context: What's this all of a sudden?\Just do it!\Fine.\Just don't play any weird tricks on me, okay?\Thank you...\Keiichi...\Whoa...\Looks like I've turned back! response:	Hey, come with me.
context: Just do it!\Fine.\Just don't play any weird tricks on me, okay?\Thank you...\Keiichi...\Whoa...\Looks like I've turned back!\Hey, come with me. response:	Augh!
context: Fine.\Just don't play any weird tricks on me, okay?\Thank you...\Keiichi...\Whoa...\Looks like I've turned back!\Hey, come with me.\Augh! response:	Look here, Keiichi... what do you think you're doing?
context: Just don't play any weird tricks on me, okay?\Thank you...\Keiichi...\Whoa...\Looks like I've turned back!\Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing? response:	Hey...the only one who can ride up here is the present you.
context: Thank you...\Keiichi...\Whoa...\Looks like I've turned back!\Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you. response:	Isn't that a good thing?
context: Keiichi...\Whoa...\Looks like I've turned back!\Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing? response:	That's not the point! Isn't that a good thing?
context: Whoa...\Looks like I've turned back!\Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing? response:	You're so thick, you know that, Keiichi?
context: Looks like I've turned back!\Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi? response:	And besides, we can't drive on public roads like this!
context: Hey, come with me.\Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this! response:	You're right.
context: Augh!\Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right. response:	You just don't get anything, do you?
context: Look here, Keiichi... what do you think you're doing?\Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you? response:	Hey, sorry!
context: Hey...the only one who can ride up here is the present you.\Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you?\Hey, sorry! response:	Hey, Belldandy! Is it all right for you to be up already?
context: Isn't that a good thing?\That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already? response:	Oh, yes.
context: That's not the point! Isn't that a good thing?\You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes. response:	Oh...where's Skuld?
context: You're so thick, you know that, Keiichi?\And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld? response:	She went to her room to change her clothes.
context: And besides, we can't drive on public roads like this!\You're right.\You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes. response:	Next time, I want to become a real adult.
context: You're right.\You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult. response:	I knew it...I guess I have no choice.
context: You just don't get anything, do you?\Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice. response:	I hate to do this to Keiichi, but...
context: Hey, sorry!\Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but... response:	Augh! Whoa!
context: Hey, Belldandy! Is it all right for you to be up already?\Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa! response:	Big Sister, what's going...
context: Oh, yes.\Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going... response:	Skuld! Look, this isn't what it...
context: Oh...where's Skuld?\She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it... response:	My, my! You just got home and you can't hold back your passion, can you?
context: She went to her room to change her clothes.\Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you? response:	Really! Keiichi pushed Belldandy down to the floor against her will, and look...
context: Next time, I want to become a real adult.\I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look... response:	No, that's not true! It was Urd who...
context: I knew it...I guess I have no choice.\I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who... response:	KEIICHI!
context: I hate to do this to Keiichi, but...\Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI! response:	You're a jerk after all, Keiichi!
context: Augh! Whoa!\Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi! response:	You get away from my big sister right now! I hate you after all, Keiichi!
context: Big Sister, what's going...\Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi! response:	Always believe in yourself and your Dreams.You have a Wing!
