context: Hey, Natsu... Our guild's gained a lot of members. response:	There's Lucy... And then Gajeel and Juvia, right?
context: You can count on them when times get tough!\Yeah!\When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross... response:	We tried them before, and paid the price...
context: Yeah!\When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross...\We tried them before, and paid the price... response:	Or so you thought, but you were simply naive.
context: When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive. response:	You broiled them, yes?
context: Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes? response:	There is a knack to cooking winged fish.
context: This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish. response:	Are you good at cooking, Freed-san?
context: Now is the season where flocks of winged fish come to lay eggs.\Can you eat these?\They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san? response:	I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.
context: Can you eat these?\They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu. response:	Looks delicious!
context: They're really gross...\We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious! response:	The taste will live up to the presentation.
context: We tried them before, and paid the price...\Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation. response:	Now, eat your fill.
context: Or so you thought, but you were simply naive.\You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation.\Now, eat your fill. response:	Let's eat!
context: You broiled them, yes?\There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation.\Now, eat your fill.\Let's eat! response:	Yeah, it wasn't a problem with how we cook them...
context: There is a knack to cooking winged fish.\Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation.\Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them... response:	I'm pretty sure I saw some nuts and berries over there...
context: Are you good at cooking, Freed-san?\I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation.\Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there... response:	Let's eat those.
context: I wouldn't go that far, but I have cooked on occasion while working with Laxus and the Raijinshuu.\Looks delicious!\The taste will live up to the presentation.\Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those. response:	Aye...
context: Looks delicious!\The taste will live up to the presentation.\Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye... response:	No one likes a picky eater.
context: The taste will live up to the presentation.\Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye...\No one likes a picky eater. response:	A wizard's body is their asset, after all.
context: Now, eat your fill.\Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye...\No one likes a picky eater.\A wizard's body is their asset, after all. response:	Wasn't there anything else to eat?
context: Let's eat!\Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye...\No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat? response:	If there was, we'd be eating it...
context: Yeah, it wasn't a problem with how we cook them...\I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye...\No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it... response:	See? This is why I didn't want to come!
context: I'm pretty sure I saw some nuts and berries over there...\Let's eat those.\Aye...\No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come! response:	The train between Onibus and Magnolia is now arriving.
context: Let's eat those.\Aye...\No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving. response:	This train will be departing in the direction of Onibus shortly!
context: Aye...\No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly! response:	Sir, we're going to depart again.
context: No one likes a picky eater.\A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again. response:	How many times have you gone back and forth since yesterday?
context: A wizard's body is their asset, after all.\Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday? response:	First the mountains, and now a desert?
context: Wasn't there anything else to eat?\If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert? response:	Freed-san, you don't mind the heat?
context: If there was, we'd be eating it...\See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat? response:	I bet he's secretly casting some magic to keep cool...
context: See? This is why I didn't want to come!\The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool... response:	I could never think of making things easier for myself and ignoring my companions.
context: The train between Onibus and Magnolia is now arriving.\This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions. response:	It's simply a matter of controlling one's thoughts.
context: This train will be departing in the direction of Onibus shortly!\Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts. response:	It's no use...
context: Sir, we're going to depart again.\How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use... response:	Happy!
context: How many times have you gone back and forth since yesterday?\First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use...\Happy! response:	Wait a moment... I'll make you feel better!
context: First the mountains, and now a desert?\Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use...\Happy!\Wait a moment... I'll make you feel better! response:	Even though using magic will lower her own energy...
context: Freed-san, you don't mind the heat?\I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use...\Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy... response:	And yet, she doesn't mind! How incredibly kind this girl is!
context: I bet he's secretly casting some magic to keep cool...\I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use...\Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is! response:	You needn't use your magic. I will handle this.
context: I could never think of making things easier for myself and ignoring my companions.\It's simply a matter of controlling one's thoughts.\It's no use...\Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this. response:	What will you do?
context: It's simply a matter of controlling one's thoughts.\It's no use...\Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do? response:	First, I lay him down like this.
context: It's no use...\Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this. response:	Next, I write the spell.
context: Happy!\Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this.\Next, I write the spell. response:	Anyone inside these runes cannot feel the heat!
context: Wait a moment... I'll make you feel better!\Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat! response:	The rock is so hot, I'm going to burn...
context: Even though using magic will lower her own energy...\And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn... response:	It takes some time for the runes to set.
context: And yet, she doesn't mind! How incredibly kind this girl is!\You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set. response:	Although it's pointless once he leaves the runes...
context: You needn't use your magic. I will handle this.\What will you do?\First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes... response:	Aye...
context: What will you do?\First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye... response:	Is this really the right direction?
context: First, I lay him down like this.\Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction? response:	I'm sure this is the right way.
context: Next, I write the spell.\Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction?\I'm sure this is the right way. response:	Stay back!
context: Anyone inside these runes cannot feel the heat!\The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction?\I'm sure this is the right way.\Stay back! response:	Erza!
context: The rock is so hot, I'm going to burn...\It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction?\I'm sure this is the right way.\Stay back!\Erza! response:	Just a little more. Keep it up.
context: It takes some time for the runes to set.\Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction?\I'm sure this is the right way.\Stay back!\Erza!\Just a little more. Keep it up. response:	A storm is coming!
context: Although it's pointless once he leaves the runes...\Aye...\Is this really the right direction?\I'm sure this is the right way.\Stay back!\Erza!\Just a little more. Keep it up.\A storm is coming! response:	A storm? You mean a sandstorm?
context: Aye...\Is this really the right direction?\I'm sure this is the right way.\Stay back!\Erza!\Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm? response:	This area is famous for its cursed sandstorms!
context: Is this really the right direction?\I'm sure this is the right way.\Stay back!\Erza!\Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms! response:	We have to hide somewhere!
context: I'm sure this is the right way.\Stay back!\Erza!\Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere! response:	There is nowhere to hide in this desert.
context: Stay back!\Erza!\Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert. response:	We run!
context: Erza!\Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert.\We run! response:	It's no use... I can't get out!
context: Just a little more. Keep it up.\A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert.\We run!\It's no use... I can't get out! response:	Can't you do anything?
context: A storm is coming!\A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert.\We run!\It's no use... I can't get out!\Can't you do anything? response:	That's it!
context: A storm? You mean a sandstorm?\This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert.\We run!\It's no use... I can't get out!\Can't you do anything?\That's it! response:	Time for punishment, Princess?
context: This area is famous for its cursed sandstorms!\We have to hide somewhere!\There is nowhere to hide in this desert.\We run!\It's no use... I can't get out!\Can't you do anything?\That's it!\Time for punishment, Princess? response:	Not that! Save Erza!
context: We have to hide somewhere!\There is nowhere to hide in this desert.\We run!\It's no use... I can't get out!\Can't you do anything?\That's it!\Time for punishment, Princess?\Not that! Save Erza! response:	As you wish.
context: There is nowhere to hide in this desert.\We run!\It's no use... I can't get out!\Can't you do anything?\That's it!\Time for punishment, Princess?\Not that! Save Erza!\As you wish. response:	It is no use. She is too heavy. I cannot move her at all.
context: We run!\It's no use... I can't get out!\Can't you do anything?\That's it!\Time for punishment, Princess?\Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all. response:	How rude!
context: It's no use... I can't get out!\Can't you do anything?\That's it!\Time for punishment, Princess?\Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude! response:	Oh, no... The power of my Spirits isn't enough?
context: Can't you do anything?\That's it!\Time for punishment, Princess?\Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough? response:	Lucy-san!
context: That's it!\Time for punishment, Princess?\Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san! response:	Huh? Carla, too?
context: Time for punishment, Princess?\Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too? response:	We were worried, so we came after you.
context: Not that! Save Erza!\As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too?\We were worried, so we came after you. response:	Looks like those three are fine...
context: As you wish.\It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine... response:	Erza, what's wrong?
context: It is no use. She is too heavy. I cannot move her at all.\How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong? response:	Well, you see...
context: How rude!\Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong?\Well, you see... response:	This is bad. Soon this area will be engulfed by the sandstorm.
context: Oh, no... The power of my Spirits isn't enough?\Lucy-san!\Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm. response:	Don't worry about me! Everyone, go!
context: Lucy-san!\Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go! response:	What are you saying?
context: Huh? Carla, too?\We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying? response:	This weight is odd... It is almost like a giant clump of metal...
context: We were worried, so we came after you.\Looks like those three are fine...\Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal... response:	Is Erza-san holding onto something very heavy, maybe?
context: Looks like those three are fine...\Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe? response:	I'm still holding onto the play's props.
context: Erza, what's wrong?\Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props. response:	Well, yeah, that's heavy all right!
context: Well, you see...\This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right! response:	But without these, I can't put on the show!
context: This is bad. Soon this area will be engulfed by the sandstorm.\Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show! response:	The job isn't to be temporary actors this time anyway!
context: Don't worry about me! Everyone, go!\What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway! response:	I'm sorry...
context: What are you saying?\This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry... response:	Farewell, my memories...
context: This weight is odd... It is almost like a giant clump of metal...\Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories... response:	Farewell, my rock, my foundation!
context: Is Erza-san holding onto something very heavy, maybe?\I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation! response:	Just dig'em up later!
context: I'm still holding onto the play's props.\Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later! response:	Punishment, yes?
context: Well, yeah, that's heavy all right!\But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes? response:	There's no time to escape any longer!
context: But without these, I can't put on the show!\The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes?\There's no time to escape any longer! response:	If we get sucked up in that, it will be impossible to get out!
context: The job isn't to be temporary actors this time anyway!\I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out! response:	I'll do something about it!
context: I'm sorry...\Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it! response:	Wendy...
context: Farewell, my memories...\Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy... response:	Roar of the Sky Dragon!
context: Farewell, my rock, my foundation!\Just dig'em up later!\Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy...\Roar of the Sky Dragon! response:	The cursed sandstorm has vanished!
context: Just dig'em up later!\Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished! response:	You did it!
context: Punishment, yes?\There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it! response:	Wendy... Wow!
context: There's no time to escape any longer!\If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it!\Wendy... Wow! response:	Hello! Thank you very much.
context: If we get sucked up in that, it will be impossible to get out!\I'll do something about it!\Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it!\Wendy... Wow!\Hello! Thank you very much. response:	Why is he so happy?
context: I'll do something about it!\Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it!\Wendy... Wow!\Hello! Thank you very much.\Why is he so happy? response:	I made up with my performers,
context: Wendy...\Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it!\Wendy... Wow!\Hello! Thank you very much.\Why is he so happy?\I made up with my performers, response:	so we can put on our play now!
context: Roar of the Sky Dragon!\The cursed sandstorm has vanished!\You did it!\Wendy... Wow!\Hello! Thank you very much.\Why is he so happy?\I made up with my performers,\so we can put on our play now! response:	And there are plenty of customers! Thank you very much.
context: The cursed sandstorm has vanished!\You did it!\Wendy... Wow!\Hello! Thank you very much.\Why is he so happy?\I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much. response:	No... Why did we struggle so hard to get here, then?
context: You did it!\Wendy... Wow!\Hello! Thank you very much.\Why is he so happy?\I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then? response:	And I went through all the trouble of digging them up!
context: Wendy... Wow!\Hello! Thank you very much.\Why is he so happy?\I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up! response:	I'm beat...
context: Hello! Thank you very much.\Why is he so happy?\I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat... response:	I ate too many winged fish, and now I don't feel well.
context: Why is he so happy?\I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well. response:	No!
context: I made up with my performers,\so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well.\No! response:	I can't even stand...
context: so we can put on our play now!\And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well.\No!\I can't even stand... response:	Hey!
context: And there are plenty of customers! Thank you very much.\No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well.\No!\I can't even stand...\Hey! response:	Natsu-san!
context: No... Why did we struggle so hard to get here, then?\And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well.\No!\I can't even stand...\Hey!\Natsu-san! response:	Finally, they fixed the tracks and I made it here...
context: And I went through all the trouble of digging them up!\I'm beat...\I ate too many winged fish, and now I don't feel well.\No!\I can't even stand...\Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here... response:	But I spent the whole time goin' back and forth from Magnolia to Onibus...
context: I'm beat...\I ate too many winged fish, and now I don't feel well.\No!\I can't even stand...\Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus... response:	I'm...
context: I ate too many winged fish, and now I don't feel well.\No!\I can't even stand...\Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm... response:	His attitude's totally different!
context: No!\I can't even stand...\Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different! response:	Falling asleep here is hurting my business! Hey, you!
context: I can't even stand...\Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you! response:	Get rid of all of them!
context: Hey!\Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them! response:	It's a big job, so I'll make sure to pay you a reward.
context: Natsu-san!\Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward. response:	I can't believe this was my first big job...
context: Finally, they fixed the tracks and I made it here...\But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job... response:	Why not? Everyone was worried about you, but in the end you were more useful to them.
context: But I spent the whole time goin' back and forth from Magnolia to Onibus...\I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them. response:	You've done a good job. You should be proud.
context: I'm...\His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud. response:	Really?
