context: Once upon a time, there was a princess who was held captive. response:	She was imprisoned in the demon king's castle.
context: What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me... response:	It's the same with anybody's feelings.
context: Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings. response:	They're all precious feelings.
context: It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings. response:	I'm not a marionette!
context: I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette! response:	I won't sit and be frightened of fate while everyone else faces it!
context: I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it! response:	I want to protect Mytho!
context: I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho! response:	I WILL protect him!
context: Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!\My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him! response:	WE will!
context: My feelings belong to me...\It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him!\WE will! response:	Just now... I heard her voice...
context: It's the same with anybody's feelings.\They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him!\WE will!\Just now... I heard her voice... response:	That's right.
context: They're all precious feelings.\I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him!\WE will!\Just now... I heard her voice...\That's right. response:	She changed me.
context: I'm not a marionette!\I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him!\WE will!\Just now... I heard her voice...\That's right.\She changed me. response:	I can write. I can write a story about her!
context: I won't sit and be frightened of fate while everyone else faces it!\I want to protect Mytho!\I WILL protect him!\WE will!\Just now... I heard her voice...\That's right.\She changed me.\I can write. I can write a story about her! response:	Wait, but... These aren't my words.
context: I want to protect Mytho!\I WILL protect him!\WE will!\Just now... I heard her voice...\That's right.\She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words. response:	What are they?
context: I WILL protect him!\WE will!\Just now... I heard her voice...\That's right.\She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they? response:	It won't move anymore zura.
context: WE will!\Just now... I heard her voice...\That's right.\She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they?\It won't move anymore zura. response:	It seems the story doesn't want to go back any more than that.
context: Just now... I heard her voice...\That's right.\She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that. response:	Who are you zura?
context: That's right.\She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura? response:	Are you... a puppet zura?
context: She changed me.\I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura? response:	I am a puppet.
context: I can write. I can write a story about her!\Wait, but... These aren't my words.\What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura?\I am a puppet. response:	I am you. You are me.
context: Wait, but... These aren't my words.\What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura?\I am a puppet.\I am you. You are me. response:	I'm not Uzura zura?
context: What are they?\It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura?\I am a puppet.\I am you. You are me.\I'm not Uzura zura? response:	I am a puppet who could not have a heart.
context: It won't move anymore zura.\It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura?\I am a puppet.\I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart. response:	But you...
context: It seems the story doesn't want to go back any more than that.\Who are you zura?\Are you... a puppet zura?\I am a puppet.\I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart.\But you... response:	Go back to Ahiru.
context: Who are you zura?\Are you... a puppet zura?\I am a puppet.\I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart.\But you...\Go back to Ahiru. response:	Wait zura!
context: Are you... a puppet zura?\I am a puppet.\I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart.\But you...\Go back to Ahiru.\Wait zura! response:	These are her feelings.
context: I am a puppet.\I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart.\But you...\Go back to Ahiru.\Wait zura!\These are her feelings. response:	I want to go back... I want to go back and help Mytho!
context: I am you. You are me.\I'm not Uzura zura?\I am a puppet who could not have a heart.\But you...\Go back to Ahiru.\Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho! response:	I want to leave this place!
context: I'm not Uzura zura?\I am a puppet who could not have a heart.\But you...\Go back to Ahiru.\Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place! response:	Her feelings for Mytho are spilling up through my hand and out onto the page.
context: I am a puppet who could not have a heart.\But you...\Go back to Ahiru.\Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page. response:	At that time, the knight who had cast away his sword called her name!
context: But you...\Go back to Ahiru.\Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name! response:	In order to lead her out of the darkness!
context: Go back to Ahiru.\Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness! response:	AHIRU!
context: Wait zura!\These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU! response:	AHIRU!
context: These are her feelings.\I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU!\AHIRU! response:	Fakir!
context: I want to go back... I want to go back and help Mytho!\I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU!\AHIRU!\Fakir! response:	FAKIR!
context: I want to leave this place!\Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU!\AHIRU!\Fakir!\FAKIR! response:	Go on now.
context: Her feelings for Mytho are spilling up through my hand and out onto the page.\At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU!\AHIRU!\Fakir!\FAKIR!\Go on now. response:	Ahiru!
context: At that time, the knight who had cast away his sword called her name!\In order to lead her out of the darkness!\AHIRU!\AHIRU!\Fakir!\FAKIR!\Go on now.\Ahiru! response:	Fakir!
context: In order to lead her out of the darkness!\AHIRU!\AHIRU!\Fakir!\FAKIR!\Go on now.\Ahiru!\Fakir! response:	Did you write a story about me?
context: AHIRU!\AHIRU!\Fakir!\FAKIR!\Go on now.\Ahiru!\Fakir!\Did you write a story about me? response:	Yeah.
context: AHIRU!\Fakir!\FAKIR!\Go on now.\Ahiru!\Fakir!\Did you write a story about me?\Yeah. response:	Thank you.
context: Fakir!\FAKIR!\Go on now.\Ahiru!\Fakir!\Did you write a story about me?\Yeah.\Thank you. response:	What is this?! For her to leave here without my permission...
context: FAKIR!\Go on now.\Ahiru!\Fakir!\Did you write a story about me?\Yeah.\Thank you.\What is this?! For her to leave here without my permission... response:	She's not to be underestimated.
context: Go on now.\Ahiru!\Fakir!\Did you write a story about me?\Yeah.\Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated. response:	And thanks to this, the story is still stopped.
context: Ahiru!\Fakir!\Did you write a story about me?\Yeah.\Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped. response:	Oh? There's one who's still doubling back.
context: Fakir!\Did you write a story about me?\Yeah.\Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back. response:	You'll find out something you'd rather not know!
context: Did you write a story about me?\Yeah.\Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know! response:	What is this?
context: Yeah.\Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this? response:	What's wrong?
context: Thank you.\What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this?\What's wrong? response:	My daughter's been kidnapped by the crows!
context: What is this?! For her to leave here without my permission...\She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this?\What's wrong?\My daughter's been kidnapped by the crows! response:	What?!
context: She's not to be underestimated.\And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this?\What's wrong?\My daughter's been kidnapped by the crows!\What?! response:	Okay, let's go search over there.
context: And thanks to this, the story is still stopped.\Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this?\What's wrong?\My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there. response:	Thank you!
context: Oh? There's one who's still doubling back.\You'll find out something you'd rather not know!\What is this?\What's wrong?\My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there.\Thank you! response:	That's... me?
context: You'll find out something you'd rather not know!\What is this?\What's wrong?\My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there.\Thank you!\That's... me? response:	I'm... not the raven's daughter...
context: What is this?\What's wrong?\My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there.\Thank you!\That's... me?\I'm... not the raven's daughter... response:	I had a mother and father...
context: What's wrong?\My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there.\Thank you!\That's... me?\I'm... not the raven's daughter...\I had a mother and father... response:	I'm just a normal human...
context: My daughter's been kidnapped by the crows!\What?!\Okay, let's go search over there.\Thank you!\That's... me?\I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human... response:	What a wretched fate.
context: What?!\Okay, let's go search over there.\Thank you!\That's... me?\I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human...\What a wretched fate. response:	The story's finally started moving.
context: Okay, let's go search over there.\Thank you!\That's... me?\I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human...\What a wretched fate.\The story's finally started moving. response:	My, my... Thank goodness, thank goodness.
context: Thank you!\That's... me?\I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human...\What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness. response:	I'm not Uzura zura?
context: That's... me?\I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human...\What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura? response:	My heart isn't lovey-dovey zura?
context: I'm... not the raven's daughter...\I had a mother and father...\I'm just a normal human...\What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura? response:	Where am I zura?
context: I had a mother and father...\I'm just a normal human...\What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura? response:	I'm high up zura!
context: I'm just a normal human...\What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura! response:	My love has only made you into this. I have no right to love you.
context: What a wretched fate.\The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you. response:	The duck doesn't know.
context: The story's finally started moving.\My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know. response:	She doesn't know about that.
context: My, my... Thank goodness, thank goodness.\I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that. response:	Just now I felt afraid of Mytho.
context: I'm not Uzura zura?\My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho. response:	Even if I put water on you, you won't go back to normal zura?
context: My heart isn't lovey-dovey zura?\Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura? response:	That's why I want you to help me, Autor.
context: Where am I zura?\I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor. response:	This is the raven...
context: I'm high up zura!\My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven... response:	This frail love...
context: My love has only made you into this. I have no right to love you.\The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven...\This frail love... response:	I have to protect it.
context: The duck doesn't know.\She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven...\This frail love...\I have to protect it. response:	The Prince and the Raven
context: She doesn't know about that.\Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven...\This frail love...\I have to protect it.\The Prince and the Raven response:	All you children who love stories, come gather around.
context: Just now I felt afraid of Mytho.\Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven...\This frail love...\I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: Even if I put water on you, you won't go back to normal zura?\That's why I want you to help me, Autor.\This is the raven...\This frail love...\I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: That's why I want you to help me, Autor.\This is the raven...\This frail love...\I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: This is the raven...\This frail love...\I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: This frail love...\I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: I have to protect it.\The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: The Prince and the Raven\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
