context: The father who fed his son to the demons to fulfill his ambitions. response:	The son who crawled from the ashes to regain the body snatched away from him.
context: No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox...\It's coming back, Dororo.\I can't undo it. response:	You won't make it, run Dororo!
context: -Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox...\It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo! response:	No. Bro!
context: It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox...\It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo!\No. Bro! response:	Bro.
context: Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox...\It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo!\No. Bro!\Bro. response:	Where's the ghost fox?
context: -Dororo. -Almost.\The ghost fox...\It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo!\No. Bro!\Bro.\Where's the ghost fox? response:	It got sucked into Banmon.
context: The ghost fox...\It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo!\No. Bro!\Bro.\Where's the ghost fox?\It got sucked into Banmon. response:	-Huh...? -I don't get it either.
context: It's coming back, Dororo.\I can't undo it.\You won't make it, run Dororo!\No. Bro!\Bro.\Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either. response:	My lady!
context: I can't undo it.\You won't make it, run Dororo!\No. Bro!\Bro.\Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady! response:	Oku!
context: You won't make it, run Dororo!\No. Bro!\Bro.\Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady!\Oku! response:	Mother.
context: No. Bro!\Bro.\Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady!\Oku!\Mother. response:	Hyakkimaru, how you must resent us.
context: Bro.\Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady!\Oku!\Mother.\Hyakkimaru, how you must resent us. response:	Your mother, who couldn't protect you that day.
context: Where's the ghost fox?\It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady!\Oku!\Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day. response:	And your father, who fed you to the demons.
context: It got sucked into Banmon.\-Huh...? -I don't get it either.\My lady!\Oku!\Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons. response:	And the people of Daigo who thrive upon your sacrifice.
context: -Huh...? -I don't get it either.\My lady!\Oku!\Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice. response:	It's too cruel... You don't know what he's been through.
context: My lady!\Oku!\Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through. response:	It's just too cruel!
context: Oku!\Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel! response:	Oku, even Tahomaru understands now. How many times must I tell you?
context: Mother.\Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you? response:	Hyakkimaru, please forgive me.
context: Hyakkimaru, how you must resent us.\Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me. response:	I cannot save you.
context: Your mother, who couldn't protect you that day.\And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you. response:	No matter how immoral... No matter how much you've suffered...
context: And your father, who fed you to the demons.\And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered... response:	Still, all our people can do is ask for your forgiveness.
context: And the people of Daigo who thrive upon your sacrifice.\It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness. response:	We must continue to devour you like demons in order for us to live.
context: It's too cruel... You don't know what he's been through.\It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live. response:	What fate...
context: It's just too cruel!\Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate... response:	Hyakkimaru... I will not let you suffer alone.
context: Oku, even Tahomaru understands now. How many times must I tell you?\Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone. response:	Demons, if you wish for more human blood...
context: Hyakkimaru, please forgive me.\I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood... response:	-Take mine! -No!
context: I cannot save you.\No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No! response:	Mama...
context: No matter how immoral... No matter how much you've suffered...\Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No!\Mama... response:	Mother!
context: Still, all our people can do is ask for your forgiveness.\We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No!\Mama...\Mother! response:	Retreat!
context: We must continue to devour you like demons in order for us to live.\What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No!\Mama...\Mother!\Retreat! response:	Mutsu, Hyogo, take Oku and Tahomaru!
context: What fate...\Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No!\Mama...\Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru! response:	-Bro, Sukeroku, run! -Yeah!
context: Hyakkimaru... I will not let you suffer alone.\Demons, if you wish for more human blood...\-Take mine! -No!\Mama...\Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah! response:	You've brought great misfortune upon us now, Hyakkimaru.
context: Demons, if you wish for more human blood...\-Take mine! -No!\Mama...\Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru. response:	I cannot save you!
context: -Take mine! -No!\Mama...\Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you! response:	I cannot save you!
context: Mama...\Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you! response:	Let's go, bro.
context: Mother!\Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you!\Let's go, bro. response:	There's no need for us to stay here.
context: Retreat!\Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you!\Let's go, bro.\There's no need for us to stay here. response:	-You're coming, right? -Yeah.
context: Mutsu, Hyogo, take Oku and Tahomaru!\-Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you!\Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah. response:	Sukeroku!
context: -Bro, Sukeroku, run! -Yeah!\You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you!\Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku! response:	Sukeroku!
context: You've brought great misfortune upon us now, Hyakkimaru.\I cannot save you!\I cannot save you!\Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku!\Sukeroku! response:	Mama... Mama!
context: I cannot save you!\I cannot save you!\Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku!\Sukeroku!\Mama... Mama! response:	-Sukeroku! -Mama, you're alive. Mama!
context: I cannot save you!\Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku!\Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama! response:	We'd all run and hid.
context: Let's go, bro.\There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku!\Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid. response:	We were waiting for them to stop guarding Banmon.
context: There's no need for us to stay here.\-You're coming, right? -Yeah.\Sukeroku!\Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon. response:	Oh, Sukeroku...
context: -You're coming, right? -Yeah.\Sukeroku!\Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku... response:	I'm glad for you, Sukeroku.
context: Sukeroku!\Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku. response:	But they're only alive because the demons are eating bro's body.
context: Sukeroku!\Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body. response:	Don't worry, bro. You've got me.
context: Mama... Mama!\-Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me. response:	Sorrow scatters in the wind,
context: -Sukeroku! -Mama, you're alive. Mama!\We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind, response:	piling up to form shadows
context: We'd all run and hid.\We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows response:	Our footsteps admonish indifference in such verbose ways
context: We were waiting for them to stop guarding Banmon.\Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways response:	As I peek into your fathomless eyes, I lose my composure
context: Oh, Sukeroku...\I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure response:	Is there any hope in the place I am heading to?
context: I'm glad for you, Sukeroku.\But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to? response:	I feign amusement and laugh
context: But they're only alive because the demons are eating bro's body.\Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh response:	because this road is so dark
context: Don't worry, bro. You've got me.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark response:	I will be there to shine the light
context: Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light response:	I'm used to playing at saying goodbye,
context: piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye, response:	but I cried when I waved to you
context: Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you response:	Our fiery woes fade... and fade... until night falls upon us
context: As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us response:	If I knew tomorrow would be so mundane,
context: Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane, response:	I wouldn't have said that I wanted to live
context: I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live response:	I know it's futile but can't help dreaming of a future... a future... you are to blame
context: because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live\I know it's futile but can't help dreaming of a future... a future... you are to blame response:	Kyubi
