context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create... response:	Sacrifice!
context: Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much.\That's my line, Master.\Squeeze! response:	Master, that hurts! Let go!
context: If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much.\That's my line, Master.\Squeeze!\Master, that hurts! Let go! response:	Nope! Don't wanna!
context: I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much.\That's my line, Master.\Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna! response:	Now, if I gamble these earnings at a casino...
context: Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much.\That's my line, Master.\Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino... response:	Ow, ow, ow, ow, ow...
context: I'm very grateful.\Noir, thank you so much.\That's my line, Master.\Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow... response:	Brother Dearest, are these new?
context: Noir, thank you so much.\That's my line, Master.\Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new? response:	Yeah, my friend helped me acquire them.
context: That's my line, Master.\Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them. response:	Nory, I hope you come see me again.
context: Squeeze!\Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again. response:	So in conclusion, becoming a hero is no small feat.
context: Master, that hurts! Let go!\Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat. response:	You'll need to train not only your body, but your mind, as well.
context: Nope! Don't wanna!\Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well. response:	Make sure you don't slack off!
context: Now, if I gamble these earnings at a casino...\Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off! response:	Yes, ma'am!
context: Ow, ow, ow, ow, ow...\Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am! response:	You need to put all of your weight into your fists.
context: Brother Dearest, are these new?\Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists. response:	You go like this... then this!
context: Yeah, my friend helped me acquire them.\Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this! response:	This move... sure is powerful!
context: Nory, I hope you come see me again.\So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful! response:	Noir.
context: So in conclusion, becoming a hero is no small feat.\You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful!\Noir. response:	You need more LP, right?
context: You'll need to train not only your body, but your mind, as well.\Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful!\Noir.\You need more LP, right? response:	Well, in that case...
context: Make sure you don't slack off!\Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful!\Noir.\You need more LP, right?\Well, in that case... response:	Wha
context: Yes, ma'am!\You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful!\Noir.\You need more LP, right?\Well, in that case...\Wha response:	Well? How's that?
context: You need to put all of your weight into your fists.\You go like this... then this!\This move... sure is powerful!\Noir.\You need more LP, right?\Well, in that case...\Wha\Well? How's that? response:	Ah, Noir. You must need LP.
context: You go like this... then this!\This move... sure is powerful!\Noir.\You need more LP, right?\Well, in that case...\Wha\Well? How's that?\Ah, Noir. You must need LP. response:	In that case...
context: This move... sure is powerful!\Noir.\You need more LP, right?\Well, in that case...\Wha\Well? How's that?\Ah, Noir. You must need LP.\In that case... response:	Wh-Wha
context: Noir.\You need more LP, right?\Well, in that case...\Wha\Well? How's that?\Ah, Noir. You must need LP.\In that case...\Wh-Wha response:	Mine are pretty big, too.
context: You need more LP, right?\Well, in that case...\Wha\Well? How's that?\Ah, Noir. You must need LP.\In that case...\Wh-Wha\Mine are pretty big, too. response:	Are you some kind of womanizer, Noir?
context: Well, in that case...\Wha\Well? How's that?\Ah, Noir. You must need LP.\In that case...\Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir? response:	Hey, I saw that!
context: Wha\Well? How's that?\Ah, Noir. You must need LP.\In that case...\Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that! response:	If you want more LP, you should talk to me first.
context: Well? How's that?\Ah, Noir. You must need LP.\In that case...\Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first. response:	Oh, I see.
context: Ah, Noir. You must need LP.\In that case...\Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see. response:	So we're fighting to the death over Brother Dearest.
context: In that case...\Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest. response:	I'll be happy to join in.
context: Wh-Wha\Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in. response:	Did you get back all the skills you used for Sacrifice?
context: Mine are pretty big, too.\Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice? response:	No, not completely.
context: Are you some kind of womanizer, Noir?\Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely. response:	I'm going to slowly build my LP back up and create them using Get Creative.
context: Hey, I saw that!\If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative. response:	Way to go, Noir!
context: If you want more LP, you should talk to me first.\Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir! response:	I bet you're doing all kinds of things with those girls.
context: Oh, I see.\So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls. response:	M-More importantly, are we going to go past the 15th floor?
context: So we're fighting to the death over Brother Dearest.\I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor? response:	Yeah. when I was captured by the Death Chains, I heard its thoughts.
context: I'll be happy to join in.\Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts. response:	Free her without killing her and a path will appear
context: Did you get back all the skills you used for Sacrifice?\No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear response:	If we break that stone monument, there should be stairs under it.
context: No, not completely.\I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it. response:	I don't know how many floors this thing has,
context: I'm going to slowly build my LP back up and create them using Get Creative.\Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has, response:	but if you can get to floor 100, you might become as powerful as me.
context: Way to go, Noir!\I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me. response:	Right!
context: I bet you're doing all kinds of things with those girls.\M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right! response:	Please wait for me.
context: M-More importantly, are we going to go past the 15th floor?\Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me. response:	Look at you, all confident.
context: Yeah. when I was captured by the Death Chains, I heard its thoughts.\Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me.\Look at you, all confident. response:	Well, I am your student.
context: Free her without killing her and a path will appear\If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me.\Look at you, all confident.\Well, I am your student. response:	Excellent.
context: If we break that stone monument, there should be stairs under it.\I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me.\Look at you, all confident.\Well, I am your student.\Excellent. response:	Hidden dungeon only I can enter!
context: I don't know how many floors this thing has,\but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me.\Look at you, all confident.\Well, I am your student.\Excellent.\Hidden dungeon only I can enter! response:	Let me train in secret to become the strongest in the world!
context: but if you can get to floor 100, you might become as powerful as me.\Right!\Please wait for me.\Look at you, all confident.\Well, I am your student.\Excellent.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world! response:	Illustration: Takehana Note
