context: You're invading the Empire of Misurugi? response:	Lizardia sent word that Aura
context: Now!\Use formation Shining Rose Triangle!\So lame...\Did you say something?\No, nothing.\Understood.\It's over, Ange.\Vivi-chan! response:	No way.
context: Use formation Shining Rose Triangle!\So lame...\Did you say something?\No, nothing.\Understood.\It's over, Ange.\Vivi-chan!\No way. response:	Nice catch!
context: So lame...\Did you say something?\No, nothing.\Understood.\It's over, Ange.\Vivi-chan!\No way.\Nice catch! response:	Now!
context: Did you say something?\No, nothing.\Understood.\It's over, Ange.\Vivi-chan!\No way.\Nice catch!\Now! response:	Out of the way, Vivian!
context: No, nothing.\Understood.\It's over, Ange.\Vivi-chan!\No way.\Nice catch!\Now!\Out of the way, Vivian! response:	Ange, I'm taking you to Embryo-sama.
context: Understood.\It's over, Ange.\Vivi-chan!\No way.\Nice catch!\Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama. response:	Embryo-sama, my ass.
context: It's over, Ange.\Vivi-chan!\No way.\Nice catch!\Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass. response:	Are you sleeping with that creepy narcissist, or what?
context: Vivi-chan!\No way.\Nice catch!\Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what? response:	I won't let you disrespect him!
context: No way.\Nice catch!\Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him! response:	Now!
context: Nice catch!\Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now! response:	Again!
context: Now!\Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now!\Again! response:	Shining Rose Triangle!
context: Out of the way, Vivian!\Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now!\Again!\Shining Rose Triangle! response:	Fly, Villkiss!
context: Ange, I'm taking you to Embryo-sama.\Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now!\Again!\Shining Rose Triangle!\Fly, Villkiss! response:	Ange!
context: Embryo-sama, my ass.\Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now!\Again!\Shining Rose Triangle!\Fly, Villkiss!\Ange! response:	You flew before!
context: Are you sleeping with that creepy narcissist, or what?\I won't let you disrespect him!\Now!\Again!\Shining Rose Triangle!\Fly, Villkiss!\Ange!\You flew before! response:	You can fly again!
context: I won't let you disrespect him!\Now!\Again!\Shining Rose Triangle!\Fly, Villkiss!\Ange!\You flew before!\You can fly again! response:	When are you going to fly, if not now?!
context: Now!\Again!\Shining Rose Triangle!\Fly, Villkiss!\Ange!\You flew before!\You can fly again!\When are you going to fly, if not now?! response:	What's she yelling about?
context: Again!\Shining Rose Triangle!\Fly, Villkiss!\Ange!\You flew before!\You can fly again!\When are you going to fly, if not now?!\What's she yelling about? response:	Beats me...
context: Shining Rose Triangle!\Fly, Villkiss!\Ange!\You flew before!\You can fly again!\When are you going to fly, if not now?!\What's she yelling about?\Beats me... response:	I'll beat the shit out of you if you don't fly!
context: Fly, Villkiss!\Ange!\You flew before!\You can fly again!\When are you going to fly, if not now?!\What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly! response:	Fly!
context: Ange!\You flew before!\You can fly again!\When are you going to fly, if not now?!\What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly!\Fly! response:	What?
context: You flew before!\You can fly again!\When are you going to fly, if not now?!\What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly!\Fly!\What? response:	Wh-Where did she go?
context: You can fly again!\When are you going to fly, if not now?!\What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly!\Fly!\What?\Wh-Where did she go? response:	No way, isn't this...
context: When are you going to fly, if not now?!\What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly!\Fly!\What?\Wh-Where did she go?\No way, isn't this... response:	We're back at Arzenal.
context: What's she yelling about?\Beats me...\I'll beat the shit out of you if you don't fly!\Fly!\What?\Wh-Where did she go?\No way, isn't this...\We're back at Arzenal. response:	Where did everyone go?
context: Beats me...\I'll beat the shit out of you if you don't fly!\Fly!\What?\Wh-Where did she go?\No way, isn't this...\We're back at Arzenal.\Where did everyone go? response:	Do you think...
context: I'll beat the shit out of you if you don't fly!\Fly!\What?\Wh-Where did she go?\No way, isn't this...\We're back at Arzenal.\Where did everyone go?\Do you think... response:	I'm sure they escaped safely.
context: Fly!\What?\Wh-Where did she go?\No way, isn't this...\We're back at Arzenal.\Where did everyone go?\Do you think...\I'm sure they escaped safely. response:	Jill wouldn't go down so easily.
context: What?\Wh-Where did she go?\No way, isn't this...\We're back at Arzenal.\Where did everyone go?\Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily. response:	Hm?
context: Wh-Where did she go?\No way, isn't this...\We're back at Arzenal.\Where did everyone go?\Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm? response:	What is that?
context: No way, isn't this...\We're back at Arzenal.\Where did everyone go?\Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm?\What is that? response:	Monsters?
context: We're back at Arzenal.\Where did everyone go?\Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm?\What is that?\Monsters? response:	Ghosts?
context: Where did everyone go?\Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm?\What is that?\Monsters?\Ghosts? response:	Umibozu?
context: Do you think...\I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm?\What is that?\Monsters?\Ghosts?\Umibozu? response:	No!
context: I'm sure they escaped safely.\Jill wouldn't go down so easily.\Hm?\What is that?\Monsters?\Ghosts?\Umibozu?\No! response:	An... sama...
context: Jill wouldn't go down so easily.\Hm?\What is that?\Monsters?\Ghosts?\Umibozu?\No!\An... sama... response:	No.
context: Hm?\What is that?\Monsters?\Ghosts?\Umibozu?\No!\An... sama...\No. response:	Angelise-sama!
context: What is that?\Monsters?\Ghosts?\Umibozu?\No!\An... sama...\No.\Angelise-sama! response:	No. I...
context: Monsters?\Ghosts?\Umibozu?\No!\An... sama...\No.\Angelise-sama!\No. I... response:	Momoka.
context: Ghosts?\Umibozu?\No!\An... sama...\No.\Angelise-sama!\No. I...\Momoka. response:	Angelise-sama!
context: Umibozu?\No!\An... sama...\No.\Angelise-sama!\No. I...\Momoka.\Angelise-sama! response:	Angelise-sama!
context: No!\An... sama...\No.\Angelise-sama!\No. I...\Momoka.\Angelise-sama!\Angelise-sama! response:	Whoa, it's them!
context: An... sama...\No.\Angelise-sama!\No. I...\Momoka.\Angelise-sama!\Angelise-sama!\Whoa, it's them! response:	Ew, the DRAGON chick!
context: No.\Angelise-sama!\No. I...\Momoka.\Angelise-sama!\Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick! response:	Is it really you, Ange?
context: Angelise-sama!\No. I...\Momoka.\Angelise-sama!\Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange? response:	Of course, Hilda.
context: No. I...\Momoka.\Angelise-sama!\Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda. response:	So you really are a man.
context: Momoka.\Angelise-sama!\Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda.\So you really are a man. response:	Next Episode
context: Angelise-sama!\Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda.\So you really are a man.\Next Episode response:	Four episodes ago, I was thrown into the sea.
context: Angelise-sama!\Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda.\So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea. response:	My last line was, You fatass!
context: Whoa, it's them!\Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda.\So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea.\My last line was, You fatass! response:	Now I'm back as a bad guy?
context: Ew, the DRAGON chick!\Is it really you, Ange?\Of course, Hilda.\So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea.\My last line was, You fatass!\Now I'm back as a bad guy? response:	Maybe the staff hates you.
context: Is it really you, Ange?\Of course, Hilda.\So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea.\My last line was, You fatass!\Now I'm back as a bad guy?\Maybe the staff hates you. response:	They hate you more, Ange.
context: Of course, Hilda.\So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea.\My last line was, You fatass!\Now I'm back as a bad guy?\Maybe the staff hates you.\They hate you more, Ange. response:	The Sea of Parting
context: So you really are a man.\Next Episode\Four episodes ago, I was thrown into the sea.\My last line was, You fatass!\Now I'm back as a bad guy?\Maybe the staff hates you.\They hate you more, Ange.\The Sea of Parting response:	What? What?!
