context: Kingdom (Part 1) response:	COMFY
context: She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried...\just so worried...\that I couldn't help it.\Kingdom (Part 2) response:	Next Episode Preview
context: Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried...\just so worried...\that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview response:	Episode 32
context: The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried...\just so worried...\that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview\Episode 32 response:	I thought maybe it was a dream.
context: so I was worried she would catch a cold.\I was worried...\just so worried...\that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview\Episode 32\I thought maybe it was a dream. response:	I was in a strange town, all alone,
context: I was worried...\just so worried...\that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview\Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone, response:	feeling lonely, and about to cry,
context: just so worried...\that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview\Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry, response:	you came running over, out of breath, and with wind-tousled hair,
context: that I couldn't help it.\Kingdom (Part 2)\Next Episode Preview\Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair, response:	and stood before me.
context: Kingdom (Part 2)\Next Episode Preview\Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair,\and stood before me. response:	ILLUSTRATION: MINEO MAYA
context: Next Episode Preview\Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair,\and stood before me.\ILLUSTRATION: MINEO MAYA response:	School trips bring back memories!
context: Episode 32\I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair,\and stood before me.\ILLUSTRATION: MINEO MAYA\School trips bring back memories! response:	And when I think of Kyoto,
context: I thought maybe it was a dream.\I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair,\and stood before me.\ILLUSTRATION: MINEO MAYA\School trips bring back memories!\And when I think of Kyoto, response:	I think of tea, mochi shops, and Yatsuhashi!
context: I was in a strange town, all alone,\feeling lonely, and about to cry,\you came running over, out of breath, and with wind-tousled hair,\and stood before me.\ILLUSTRATION: MINEO MAYA\School trips bring back memories!\And when I think of Kyoto,\I think of tea, mochi shops, and Yatsuhashi! response:	Oh, I can't stop thinking about it!
