context: That Sunday... I... response:	What made you want to come to the park all of a sudden, Emi?
context: She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die. response:	That was the last time I said anything to my mom.
context: How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die.\That was the last time I said anything to my mom. response:	Kousei?
context: All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die.\That was the last time I said anything to my mom.\Kousei? response:	Hmm?
context: Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die.\That was the last time I said anything to my mom.\Kousei?\Hmm? response:	Are you going to compete in the final?
context: I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die.\That was the last time I said anything to my mom.\Kousei?\Hmm?\Are you going to compete in the final? response:	Yeah.
context: All I wanted was for you to get better... All I wanted was for you to be happy...\And yet...\I wish you would just die.\That was the last time I said anything to my mom.\Kousei?\Hmm?\Are you going to compete in the final?\Yeah. response:	Since I did get through the prelims.
context: And yet...\I wish you would just die.\That was the last time I said anything to my mom.\Kousei?\Hmm?\Are you going to compete in the final?\Yeah.\Since I did get through the prelims. response:	I know it's awful. My mother just passed away,
context: I wish you would just die.\That was the last time I said anything to my mom.\Kousei?\Hmm?\Are you going to compete in the final?\Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away, response:	and here I am, worrying about the competition in a few days.
context: That was the last time I said anything to my mom.\Kousei?\Hmm?\Are you going to compete in the final?\Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days. response:	How awful is that?
context: Kousei?\Hmm?\Are you going to compete in the final?\Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that? response:	Are you okay?
context: Hmm?\Are you going to compete in the final?\Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay? response:	Sure I'm okay. Because that's how I was built, after all.
context: Are you going to compete in the final?\Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all. response:	I can't remember my mother's face that day.
context: Yeah.\Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day. response:	It's like there's a big black hole peering back at me.
context: Since I did get through the prelims.\I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me. response:	His mother just passed away, didn't she?
context: I know it's awful. My mother just passed away,\and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she? response:	How can he play the piano like nothing happened?
context: and here I am, worrying about the competition in a few days.\How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened? response:	He's not off by even a fraction. It's business as usual with him.
context: How awful is that?\Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him. response:	He's a demonic chip off the old block!
context: Are you okay?\Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block! response:	The entrance on the left side, facing the audience.
context: Sure I'm okay. Because that's how I was built, after all.\I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience. response:	A spot where I can see her.
context: I can't remember my mother's face that day.\It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her. response:	That's my mom's special seat.
context: It's like there's a big black hole peering back at me.\His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat. response:	This is... this is my punishment.
context: His mother just passed away, didn't she?\How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment. response:	That's right, this is your punishment.
context: How can he play the piano like nothing happened?\He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment. response:	You understand that, don't you? My darling, darling little Kousei.
context: He's not off by even a fraction. It's business as usual with him.\He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei. response:	The notes...
context: He's a demonic chip off the old block!\The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes... response:	Huh?
context: The entrance on the left side, facing the audience.\A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh? response:	The sound of the piano... I can't hear it.
context: A spot where I can see her.\That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh?\The sound of the piano... I can't hear it. response:	He's starting to unravel.
context: That's my mom's special seat.\This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh?\The sound of the piano... I can't hear it.\He's starting to unravel. response:	About Arima-kun...
context: This is... this is my punishment.\That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh?\The sound of the piano... I can't hear it.\He's starting to unravel.\About Arima-kun... response:	Rumor has it that he can't hear the notes anymore.
context: That's right, this is your punishment.\You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh?\The sound of the piano... I can't hear it.\He's starting to unravel.\About Arima-kun...\Rumor has it that he can't hear the notes anymore. response:	Resonance
context: You understand that, don't you? My darling, darling little Kousei.\The notes...\Huh?\The sound of the piano... I can't hear it.\He's starting to unravel.\About Arima-kun...\Rumor has it that he can't hear the notes anymore.\Resonance response:	Episode 10 The Place I Was at With You
context: The notes...\Huh?\The sound of the piano... I can't hear it.\He's starting to unravel.\About Arima-kun...\Rumor has it that he can't hear the notes anymore.\Resonance\Episode 10 The Place I Was at With You response:	Watch Again Next Week!
