context: We've sealed off all the entrances around the airport. response:	However, there is still no sign of BK201.
context: Answer me first!\Where's Youko?\Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns!\Let's go.\Li-kun!\Youko... response:	Youko... I...
context: Where's Youko?\Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns!\Let's go.\Li-kun!\Youko...\Youko... I... response:	I will kill BK201...
context: Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns!\Let's go.\Li-kun!\Youko...\Youko... I...\I will kill BK201... response:	Why did you come back for me?
context: She tried to capture you.\Yes! But she gave me steamed buns!\Let's go.\Li-kun!\Youko...\Youko... I...\I will kill BK201...\Why did you come back for me? response:	If you were able to kill someone, you wouldn't need my help anymore.
context: Yes! But she gave me steamed buns!\Let's go.\Li-kun!\Youko...\Youko... I...\I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore. response:	Why don't you be honest and apologize to her?
context: Let's go.\Li-kun!\Youko...\Youko... I...\I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her? response:	I see.
context: Li-kun!\Youko...\Youko... I...\I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see. response:	I can't shoot people, hence I can't become a real contractor.
context: Youko...\Youko... I...\I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor. response:	Because I'm a copy...
context: Youko... I...\I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy... response:	You used your power?
context: I will kill BK201...\Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power? response:	Yes. I copied it while I was there.
context: Why did you come back for me?\If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power?\Yes. I copied it while I was there. response:	It's a little bit smaller though.
context: If you were able to kill someone, you wouldn't need my help anymore.\Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though. response:	I wonder if Suou will be happy.
context: Why don't you be honest and apologize to her?\I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy. response:	About what?
context: I see.\I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy.\About what? response:	The fabricated memories we gave her.
context: I can't shoot people, hence I can't become a real contractor.\Because I'm a copy...\You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy.\About what?\The fabricated memories we gave her. response:	A day with her family at the aquarium.
context: Because I'm a copy...\You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy.\About what?\The fabricated memories we gave her.\A day with her family at the aquarium. response:	Shed be hurt even more if she found out the truth.
context: You used your power?\Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy.\About what?\The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth. response:	She has to learn what pain is.
context: Yes. I copied it while I was there.\It's a little bit smaller though.\I wonder if Suou will be happy.\About what?\The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is. response:	I wonder what color her pain would be.
context: It's a little bit smaller though.\I wonder if Suou will be happy.\About what?\The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be. response:	The orange glow of a crescent moon.
context: I wonder if Suou will be happy.\About what?\The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon. response:	We can see the river from here.
context: About what?\The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here. response:	The river in Sapporo was bigger and flowed faster.
context: The fabricated memories we gave her.\A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster. response:	This is my memory, right?
context: A day with her family at the aquarium.\Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right? response:	I have a favor to ask.
context: Shed be hurt even more if she found out the truth.\She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask. response:	What?
context: She has to learn what pain is.\I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask.\What? response:	I want you to call me like back then.
context: I wonder what color her pain would be.\The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask.\What?\I want you to call me like back then. response:	Back then?
context: The orange glow of a crescent moon.\We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask.\What?\I want you to call me like back then.\Back then? response:	Don't shoot, Suou.
context: We can see the river from here.\The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask.\What?\I want you to call me like back then.\Back then?\Don't shoot, Suou. response:	I want you to call out my name.
context: The river in Sapporo was bigger and flowed faster.\This is my memory, right?\I have a favor to ask.\What?\I want you to call me like back then.\Back then?\Don't shoot, Suou.\I want you to call out my name. response:	Why?
context: This is my memory, right?\I have a favor to ask.\What?\I want you to call me like back then.\Back then?\Don't shoot, Suou.\I want you to call out my name.\Why? response:	Please.
context: I have a favor to ask.\What?\I want you to call me like back then.\Back then?\Don't shoot, Suou.\I want you to call out my name.\Why?\Please. response:	I don't know of any other Suou.
context: What?\I want you to call me like back then.\Back then?\Don't shoot, Suou.\I want you to call out my name.\Why?\Please.\I don't know of any other Suou. response:	Whether you're a copy or not,
context: I want you to call me like back then.\Back then?\Don't shoot, Suou.\I want you to call out my name.\Why?\Please.\I don't know of any other Suou.\Whether you're a copy or not, response:	you're the only Suou I know.
context: Back then?\Don't shoot, Suou.\I want you to call out my name.\Why?\Please.\I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know. response:	Suou.
context: Don't shoot, Suou.\I want you to call out my name.\Why?\Please.\I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know.\Suou. response:	Why am I crying?
context: I want you to call out my name.\Why?\Please.\I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know.\Suou.\Why am I crying? response:	It hurt when you didn't believe me.
context: Why?\Please.\I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know.\Suou.\Why am I crying?\It hurt when you didn't believe me. response:	It was much more painful than when you hit me.
context: Please.\I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know.\Suou.\Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me. response:	I don't know so many things.
context: I don't know of any other Suou.\Whether you're a copy or not,\you're the only Suou I know.\Suou.\Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things. response:	When you called my name, I was so happy.
context: Whether you're a copy or not,\you're the only Suou I know.\Suou.\Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy. response:	But I found out that it was to save Yin...
context: you're the only Suou I know.\Suou.\Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin... response:	And I was confused...
context: Suou.\Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused... response:	You killed my dad.
context: Why am I crying?\It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused...\You killed my dad. response:	You're a good for nothing, violent drunkard.
context: It hurt when you didn't believe me.\It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard. response:	A scumbag!
context: It was much more painful than when you hit me.\I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag! response:	Yet, I feel so lonely without you.
context: I don't know so many things.\When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you. response:	Why do I feel like this?
context: When you called my name, I was so happy.\But I found out that it was to save Yin...\And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this? response:	Mao! Tell me!
context: But I found out that it was to save Yin...\And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me! response:	Why?
context: And I was confused...\You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me!\Why? response:	Why, you ask...
context: You killed my dad.\You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me!\Why?\Why, you ask... response:	Don't worry about anything for now.
context: You're a good for nothing, violent drunkard.\A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me!\Why?\Why, you ask...\Don't worry about anything for now. response:	Let's just sleep tonight.
context: A scumbag!\Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me!\Why?\Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight. response:	Thanks, Hei.
context: Yet, I feel so lonely without you.\Why do I feel like this?\Mao! Tell me!\Why?\Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei. response:	She cries a lot for a contractor, huh?
context: Why do I feel like this?\Mao! Tell me!\Why?\Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh? response:	Is she incomplete, because she's a copy?
context: Mao! Tell me!\Why?\Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy? response:	She can't control her feelings properly.
context: Why?\Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly. response:	Perhaps...
context: Why, you ask...\Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps... response:	How much do we know about contractors?
context: Don't worry about anything for now.\Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps...\How much do we know about contractors? response:	You're right.
context: Let's just sleep tonight.\Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps...\How much do we know about contractors?\You're right. response:	But it's precisely because she's incomplete that she's in love with you.
context: Thanks, Hei.\She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps...\How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you. response:	So, why did you come back?
context: She cries a lot for a contractor, huh?\Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps...\How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back? response:	Does she resemble your sister?
context: Is she incomplete, because she's a copy?\She can't control her feelings properly.\Perhaps...\How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister? response:	Perhaps I saw myself in her.
context: She can't control her feelings properly.\Perhaps...\How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her. response:	We're led by ignorance and incompleteness...
context: Perhaps...\How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness... response:	Yet...
context: How much do we know about contractors?\You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet... response:	both of us don't have the time to be swayed around.
context: You're right.\But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around. response:	Don't tell me... that is...
context: But it's precisely because she's incomplete that she's in love with you.\So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is... response:	Kureteku yuubae ni senaka osarete
context: So, why did you come back?\Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: Does she resemble your sister?\Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: Perhaps I saw myself in her.\We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: We're led by ignorance and incompleteness...\Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: Yet...\both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: both of us don't have the time to be swayed around.\Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: Don't tell me... that is...\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	Hey, what is that?
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that? response:	Is that...
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that?\Is that... response:	The moon?
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that?\Is that...\The moon? response:	It's out.
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that?\Is that...\The moon?\It's out. response:	Yes.
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that?\Is that...\The moon?\It's out.\Yes. response:	It's pretty.
context: irareta nara ii no ni naa...\I could remain together with you...\Hey, what is that?\Is that...\The moon?\It's out.\Yes.\It's pretty. response:	Yes.
context: I could remain together with you...\Hey, what is that?\Is that...\The moon?\It's out.\Yes.\It's pretty.\Yes. response:	Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.
context: Hey, what is that?\Is that...\The moon?\It's out.\Yes.\It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions. response:	Salty tears flow down and stain our cheeks.
context: Is that...\The moon?\It's out.\Yes.\It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.\Salty tears flow down and stain our cheeks. response:	The morning that we split up has come again.
context: The moon?\It's out.\Yes.\It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.\Salty tears flow down and stain our cheeks.\The morning that we split up has come again. response:	Also known as the Gate of Hell.
context: It's out.\Yes.\It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.\Salty tears flow down and stain our cheeks.\The morning that we split up has come again.\Also known as the Gate of Hell. response:	If you go there, it is a place where your wish will be fulfilled.
context: Yes.\It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.\Salty tears flow down and stain our cheeks.\The morning that we split up has come again.\Also known as the Gate of Hell.\If you go there, it is a place where your wish will be fulfilled. response:	If you go there, it is a place where you will lose something
context: It's pretty.\Yes.\Within the golden soup is a hidden taste, made out of bitter memories and bittersweet premonitions.\Salty tears flow down and stain our cheeks.\The morning that we split up has come again.\Also known as the Gate of Hell.\If you go there, it is a place where your wish will be fulfilled.\If you go there, it is a place where you will lose something response:	And so, the curtain for the last act raises.
