context: Where's Kagome and? response:	I wonder if Inuyasha's all right.
context: But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life! response:	But...that day...
context: the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life!\But...that day... response:	Die! Inuyasha!
context: Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life!\But...that day...\Die! Inuyasha! response:	I... It was I who was betrayed.
context: My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life!\But...that day...\Die! Inuyasha!\I... It was I who was betrayed. response:	When I let down my guard, she tried to kill me!
context: Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life!\But...that day...\Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me! response:	I managed to dodge her arrows...
context: I had no second thoughts...!\I believed I could live as a human with Kikyo.\I wanted that life!\But...that day...\Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows... response:	then attacked the village to steal the Sacred Jewel.
context: I believed I could live as a human with Kikyo.\I wanted that life!\But...that day...\Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel. response:	Then, she nailed me to that tree.
context: I wanted that life!\But...that day...\Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree. response:	Why did you betray me, Inuyasha?!
context: But...that day...\Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?! response:	Damn...! Why did we come to this?
context: Die! Inuyasha!\I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this? response:	Why? What in the world is going on?
context: I... It was I who was betrayed.\When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on? response:	Damn!
context: When I let down my guard, she tried to kill me!\I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on?\Damn! response:	It seems that Kikyo died hating Inuyasha.
context: I managed to dodge her arrows...\then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha. response:	It's a bit depressing...
context: then attacked the village to steal the Sacred Jewel.\Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing... response:	but our search for the Sacred Jewel still continues.
context: Then, she nailed me to that tree.\Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues. response:	Demons come after the Sacred Jewel fragments.
context: Why did you betray me, Inuyasha?!\Damn...! Why did we come to this?\Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues.\Demons come after the Sacred Jewel fragments. response:	Wait, he isn't a demon!
context: Damn...! Why did we come to this?\Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues.\Demons come after the Sacred Jewel fragments.\Wait, he isn't a demon! response:	But, he has unbelievable power in his sealed right hand.
context: Why? What in the world is going on?\Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues.\Demons come after the Sacred Jewel fragments.\Wait, he isn't a demon!\But, he has unbelievable power in his sealed right hand. response:	A good guy? Bad guy? Or is he nothing but a lecher?
context: Damn!\It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues.\Demons come after the Sacred Jewel fragments.\Wait, he isn't a demon!\But, he has unbelievable power in his sealed right hand.\A good guy? Bad guy? Or is he nothing but a lecher? response:	Mystical Hand of the Amorous Monk, Miroku
context: It seems that Kikyo died hating Inuyasha.\It's a bit depressing...\but our search for the Sacred Jewel still continues.\Demons come after the Sacred Jewel fragments.\Wait, he isn't a demon!\But, he has unbelievable power in his sealed right hand.\A good guy? Bad guy? Or is he nothing but a lecher?\Mystical Hand of the Amorous Monk, Miroku response:	Don't miss it!
