context: This is for pushing me off my horse. response:	This is for leaving me unable to walk.
context: C-Chris.\Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything.\My room, my money, my reason to live.\Everything. response:	I wish they'd just kill me.
context: Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything.\My room, my money, my reason to live.\Everything.\I wish they'd just kill me. response:	No.
context: Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything.\My room, my money, my reason to live.\Everything.\I wish they'd just kill me.\No. response:	You can't die.
context: I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything.\My room, my money, my reason to live.\Everything.\I wish they'd just kill me.\No.\You can't die. response:	You're telling me to live?
context: I don't want you to have it.\I've lost everything.\My room, my money, my reason to live.\Everything.\I wish they'd just kill me.\No.\You can't die.\You're telling me to live? response:	That's right, you were royalty.
context: I've lost everything.\My room, my money, my reason to live.\Everything.\I wish they'd just kill me.\No.\You can't die.\You're telling me to live?\That's right, you were royalty. response:	You talk different.
context: My room, my money, my reason to live.\Everything.\I wish they'd just kill me.\No.\You can't die.\You're telling me to live?\That's right, you were royalty.\You talk different. response:	I'm a piece of shit at rock bottom.
context: Everything.\I wish they'd just kill me.\No.\You can't die.\You're telling me to live?\That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom. response:	And you still tell me to live?
context: I wish they'd just kill me.\No.\You can't die.\You're telling me to live?\That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live? response:	Not to give up hope?
context: No.\You can't die.\You're telling me to live?\That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope? response:	You do?
context: You can't die.\You're telling me to live?\That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope?\You do? response:	You'll stink if you die.
context: You're telling me to live?\That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope?\You do?\You'll stink if you die. response:	Huh?
context: That's right, you were royalty.\You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope?\You do?\You'll stink if you die.\Huh? response:	So don't. Not in this tiny space.
context: You talk different.\I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope?\You do?\You'll stink if you die.\Huh?\So don't. Not in this tiny space. response:	That's it?
context: I'm a piece of shit at rock bottom.\And you still tell me to live?\Not to give up hope?\You do?\You'll stink if you die.\Huh?\So don't. Not in this tiny space.\That's it? response:	That's it.
context: And you still tell me to live?\Not to give up hope?\You do?\You'll stink if you die.\Huh?\So don't. Not in this tiny space.\That's it?\That's it. response:	How selfish are you, you bitch?
context: Not to give up hope?\You do?\You'll stink if you die.\Huh?\So don't. Not in this tiny space.\That's it?\That's it.\How selfish are you, you bitch? response:	You're one to talk, loser.
context: You do?\You'll stink if you die.\Huh?\So don't. Not in this tiny space.\That's it?\That's it.\How selfish are you, you bitch?\You're one to talk, loser. response:	Hope?
context: You'll stink if you die.\Huh?\So don't. Not in this tiny space.\That's it?\That's it.\How selfish are you, you bitch?\You're one to talk, loser.\Hope? response:	Do you honestly believe such a thing exists?
context: Huh?\So don't. Not in this tiny space.\That's it?\That's it.\How selfish are you, you bitch?\You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists? response:	All that exists is persecution and fighting DRAGONs every day.
context: So don't. Not in this tiny space.\That's it?\That's it.\How selfish are you, you bitch?\You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day. response:	Dammit. It's almost funny.
context: That's it?\That's it.\How selfish are you, you bitch?\You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny. response:	Those ignorant bastards are brimming with prejudice and bigotry.
context: That's it.\How selfish are you, you bitch?\You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry. response:	They hear I'm a Norma, and they reject me like idiots.
context: How selfish are you, you bitch?\You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots. response:	Is it that bad that I can't use Mana?
context: You're one to talk, loser.\Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana? response:	Is it bad that I'm different?
context: Hope?\Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different? response:	It's all a lie.
context: Do you honestly believe such a thing exists?\All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie. response:	Friendship, family, social bonds.
context: All that exists is persecution and fighting DRAGONs every day.\Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds. response:	I can't believe I said friendship is great and bonds are beautiful.
context: Dammit. It's almost funny.\Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful. response:	I want to beat myself up.
context: Those ignorant bastards are brimming with prejudice and bigotry.\They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up. response:	Dumbass.
context: They hear I'm a Norma, and they reject me like idiots.\Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass. response:	Yeah, I am.
context: Is it that bad that I can't use Mana?\Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass.\Yeah, I am. response:	Dumbasses everywhere.
context: Is it bad that I'm different?\It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass.\Yeah, I am.\Dumbasses everywhere. response:	The world's rotten.
context: It's all a lie.\Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass.\Yeah, I am.\Dumbasses everywhere.\The world's rotten. response:	How about we destroy it all?
context: Friendship, family, social bonds.\I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass.\Yeah, I am.\Dumbasses everywhere.\The world's rotten.\How about we destroy it all? response:	Huh?
context: I can't believe I said friendship is great and bonds are beautiful.\I want to beat myself up.\Dumbass.\Yeah, I am.\Dumbasses everywhere.\The world's rotten.\How about we destroy it all?\Huh? response:	I bet we could do it.
context: I want to beat myself up.\Dumbass.\Yeah, I am.\Dumbasses everywhere.\The world's rotten.\How about we destroy it all?\Huh?\I bet we could do it. response:	With our Para-mails and Arzenal's weapons...
context: Dumbass.\Yeah, I am.\Dumbasses everywhere.\The world's rotten.\How about we destroy it all?\Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons... response:	How far do you think it is to the continent?
context: Yeah, I am.\Dumbasses everywhere.\The world's rotten.\How about we destroy it all?\Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent? response:	We'll run out of fuel, and then it's splash.
context: Dumbasses everywhere.\The world's rotten.\How about we destroy it all?\Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash. response:	We just have to build something that can make the trip, then.
context: The world's rotten.\How about we destroy it all?\Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then. response:	What about food?
context: How about we destroy it all?\Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food? response:	There's plenty of fish.
context: Huh?\I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food?\There's plenty of fish. response:	Or we could steal from the humans, if we had to.
context: I bet we could do it.\With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to. response:	And materials?
context: With our Para-mails and Arzenal's weapons...\How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials? response:	We'd figure something out.
context: How far do you think it is to the continent?\We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials?\We'd figure something out. response:	This world oppressed me, humiliated me and degraded me.
context: We'll run out of fuel, and then it's splash.\We just have to build something that can make the trip, then.\What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me. response:	I'll reject it myself.
context: We just have to build something that can make the trip, then.\What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself. response:	This wretched, frustrating, infuriating world.
context: What about food?\There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world. response:	It's bullshit.
context: There's plenty of fish.\Or we could steal from the humans, if we had to.\And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit. response:	Huh?
context: Or we could steal from the humans, if we had to.\And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit.\Huh? response:	I'm saying it's bullshit. All of it.
context: And materials?\We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit.\Huh?\I'm saying it's bullshit. All of it. response:	Then let's destroy this bullshit world.
context: We'd figure something out.\This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit.\Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world. response:	The whole thing.
context: This world oppressed me, humiliated me and degraded me.\I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit.\Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing. response:	Nice.
context: I'll reject it myself.\This wretched, frustrating, infuriating world.\It's bullshit.\Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing.\Nice. response:	I wouldn't mind helping.
context: This wretched, frustrating, infuriating world.\It's bullshit.\Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing.\Nice.\I wouldn't mind helping. response:	There are things I want to destroy, too.
context: It's bullshit.\Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing.\Nice.\I wouldn't mind helping.\There are things I want to destroy, too. response:	Shine upon me
context: Huh?\I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing.\Nice.\I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me response:	Upon everything
context: I'm saying it's bullshit. All of it.\Then let's destroy this bullshit world.\The whole thing.\Nice.\I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me\Upon everything response:	It spins and spins
context: Then let's destroy this bullshit world.\The whole thing.\Nice.\I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me\Upon everything\It spins and spins response:	Sadness and happiness
context: The whole thing.\Nice.\I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me\Upon everything\It spins and spins\Sadness and happiness response:	Quiz time.
context: Nice.\I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me\Upon everything\It spins and spins\Sadness and happiness\Quiz time. response:	Who's singing this song?
context: I wouldn't mind helping.\There are things I want to destroy, too.\Shine upon me\Upon everything\It spins and spins\Sadness and happiness\Quiz time.\Who's singing this song? response:	Ange-chan.
context: There are things I want to destroy, too.\Shine upon me\Upon everything\It spins and spins\Sadness and happiness\Quiz time.\Who's singing this song?\Ange-chan. response:	Correct.
context: Shine upon me\Upon everything\It spins and spins\Sadness and happiness\Quiz time.\Who's singing this song?\Ange-chan.\Correct. response:	It's a nice song.
context: Upon everything\It spins and spins\Sadness and happiness\Quiz time.\Who's singing this song?\Ange-chan.\Correct.\It's a nice song. response:	Salia-chan's going to get angry.
context: It spins and spins\Sadness and happiness\Quiz time.\Who's singing this song?\Ange-chan.\Correct.\It's a nice song.\Salia-chan's going to get angry. response:	Ange is a deserter.
context: Sadness and happiness\Quiz time.\Who's singing this song?\Ange-chan.\Correct.\It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter. response:	How could you be won over by a song?
context: Quiz time.\Who's singing this song?\Ange-chan.\Correct.\It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song? response:	That's scary.
context: Who's singing this song?\Ange-chan.\Correct.\It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song?\That's scary. response:	Resonate now as your true form
context: Ange-chan.\Correct.\It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song?\That's scary.\Resonate now as your true form response:	Fleetingly, fleetingly...
context: Correct.\It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song?\That's scary.\Resonate now as your true form\Fleetingly, fleetingly... response:	Hey, Chris.
context: It's a nice song.\Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song?\That's scary.\Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris. response:	Above the clouds
context: Salia-chan's going to get angry.\Ange is a deserter.\How could you be won over by a song?\That's scary.\Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris.\Above the clouds response:	Rosalie, you... you wouldn't abandon me, would you?
context: Ange is a deserter.\How could you be won over by a song?\That's scary.\Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you? response:	Eternally
context: How could you be won over by a song?\That's scary.\Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally response:	Next Episode Preview
context: That's scary.\Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview response:	Seems like we're finally friends.
context: Resonate now as your true form\Fleetingly, fleetingly...\Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview\Seems like we're finally friends. response:	That was predictable. I don't like it.
context: Fleetingly, fleetingly...\Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it. response:	No one's died in a while.
context: Hey, Chris.\Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it.\No one's died in a while. response:	Normally someone dies when they become friends.
context: Above the clouds\Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it.\No one's died in a while.\Normally someone dies when they become friends. response:	I bet next week
context: Rosalie, you... you wouldn't abandon me, would you?\Eternally\Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it.\No one's died in a while.\Normally someone dies when they become friends.\I bet next week response:	I'm not your friend, dummy.
context: Eternally\Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it.\No one's died in a while.\Normally someone dies when they become friends.\I bet next week\I'm not your friend, dummy. response:	Dragon Song
context: Next Episode Preview\Seems like we're finally friends.\That was predictable. I don't like it.\No one's died in a while.\Normally someone dies when they become friends.\I bet next week\I'm not your friend, dummy.\Dragon Song response:	Dummy! Dummy!
