context: I must be aware... response:	of the ball,
context: Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura response:	S Kageyama MB Tsukishima WS Ennoshita
context: Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita response:	S Sugawara MB Yamaguchi WS Kinoshita MB Narita
context: Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita response:	I want to use Kageyama and Hinata as a set,
context: I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set, response:	Set...
context: What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set... response:	and Tsukishima is one of our few tall players.
context: Now, concerning the positions for the practice match...\I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players. response:	I want to see how you'll fight against Seijo.
context: I think this is how we'll do it.\WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo. response:	Yes.
context: WS Tanaka MB Hinata WS Sawamura\S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes. response:	I'm the only first-year out of the loop.
context: S Kageyama MB Tsukishima WS Ennoshita\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop. response:	You're using Hinata in a position where height matters?
context: S Sugawara MB Yamaguchi WS Kinoshita MB Narita\I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters? response:	Middle blocker?
context: I want to use Kageyama and Hinata as a set,\Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker? response:	I'm in the same position as the lanky jerk Tsukishima?
context: Set...\and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima? response:	Volleyball HOW TO
context: and Tsukishima is one of our few tall players.\I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO response:	Oh, j-just a second. Can I read up on the positions?
context: I want to see how you'll fight against Seijo.\Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions? response:	Setter (S)
context: Yes.\I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S) response:	The control tower that tosses for spikes, and organizes the offense.
context: I'm the only first-year out of the loop.\You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense. response:	Wing Spiker (WS)
context: You're using Hinata in a position where height matters?\Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS) response:	An all-around, well-balanced player who attacks the core of the opponents.
context: Middle blocker?\I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents. response:	Middle Blocker (MB)
context: I'm in the same position as the lanky jerk Tsukishima?\Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB) response:	He defends against the opponent's offense, and scores points, mainly using quick.
context: Volleyball HOW TO\Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick. response:	Furthermore, he plays the decoy to draw the opponent's blockers away.
context: Oh, j-just a second. Can I read up on the positions?\Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away. response:	Would you say these are right?
context: Setter (S)\The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right? response:	There are other exclusively defensive positions, too,
context: The control tower that tosses for spikes, and organizes the offense.\Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too, response:	but for now, those are all.
context: Wing Spiker (WS)\An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all. response:	Listen, Hinata...
context: An all-around, well-balanced player who attacks the core of the opponents.\Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata... response:	You're the ultimate decoy.
context: Middle Blocker (MB)\He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata...\You're the ultimate decoy. response:	The ultimate...
context: He defends against the opponent's offense, and scores points, mainly using quick.\Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata...\You're the ultimate decoy.\The ultimate... response:	There's something uninspiring about that.
context: Furthermore, he plays the decoy to draw the opponent's blockers away.\Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata...\You're the ultimate decoy.\The ultimate...\There's something uninspiring about that. response:	We'll let you score lots of points using quick,
context: Would you say these are right?\There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata...\You're the ultimate decoy.\The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick, response:	and direct the opponent's blockers' attention to you.
context: There are other exclusively defensive positions, too,\but for now, those are all.\Listen, Hinata...\You're the ultimate decoy.\The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you. response:	That's when the other spikers will come into play.
context: but for now, those are all.\Listen, Hinata...\You're the ultimate decoy.\The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play. response:	Oh.
context: Listen, Hinata...\You're the ultimate decoy.\The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh. response:	Big guys like Tsukishima will fall like idiots to your movements...
context: You're the ultimate decoy.\The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements... response:	That'll feel good, won't it?
context: The ultimate...\There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it? response:	Hey. Are you calling Tsukki an idiot?
context: There's something uninspiring about that.\We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot? response:	Shut up, Yamaguchi.
context: We'll let you score lots of points using quick,\and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi. response:	Sorry, Tsukki.
context: and direct the opponent's blockers' attention to you.\That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki. response:	On the other hand, if you're not effective,
context: That's when the other spikers will come into play.\Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective, response:	know that the other attacks will all fail.
context: Oh.\Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail. response:	Hey...
context: Big guys like Tsukishima will fall like idiots to your movements...\That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey... response:	Don't put so much pressure on him.
context: That'll feel good, won't it?\Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey...\Don't put so much pressure on him. response:	All fail... all fail... all fail...
context: Hey. Are you calling Tsukki an idiot?\Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey...\Don't put so much pressure on him.\All fail... all fail... all fail... response:	All fail All fail
context: Shut up, Yamaguchi.\Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey...\Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail response:	You see?
context: Sorry, Tsukki.\On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey...\Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail\You see? response:	What about blocking, though?
context: On the other hand, if you're not effective,\know that the other attacks will all fail.\Hey...\Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail\You see?\What about blocking, though? response:	Even if he can jump high,
context: know that the other attacks will all fail.\Hey...\Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail\You see?\What about blocking, though?\Even if he can jump high, response:	the taller players will reach the highest point of their jump faster.
context: Hey...\Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail\You see?\What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster. response:	Yes, the reason we want Hinata to be the focus of blockers
context: Don't put so much pressure on him.\All fail... all fail... all fail...\All fail All fail\You see?\What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers response:	isn't to smack down the opponent's spikes,
context: All fail... all fail... all fail...\All fail All fail\You see?\What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes, response:	but to touch them.
context: All fail All fail\You see?\What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them. response:	With Hinata's crazy reflexes and speed,
context: You see?\What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed, response:	he can touch the opponent's spikes, and slow down their momentum.
context: What about blocking, though?\Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum. response:	We'll set the pace to our advantage, and make our counterattack.
context: Even if he can jump high,\the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack. response:	It's not going to go that smoothly right off the bat.
context: the taller players will reach the highest point of their jump faster.\Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat. response:	It probably won't.
context: Yes, the reason we want Hinata to be the focus of blockers\isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't. response:	Huh?
context: isn't to smack down the opponent's spikes,\but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't.\Huh? response:	Right off the bat, anyway.
context: but to touch them.\With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't.\Huh?\Right off the bat, anyway. response:	But we should still try it.
context: With Hinata's crazy reflexes and speed,\he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't.\Huh?\Right off the bat, anyway.\But we should still try it. response:	Maybe we'll learn something as we go along.
context: he can touch the opponent's spikes, and slow down their momentum.\We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't.\Huh?\Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along. response:	It's a practice match, after all.
context: We'll set the pace to our advantage, and make our counterattack.\It's not going to go that smoothly right off the bat.\It probably won't.\Huh?\Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all. response:	Fine.
context: It's not going to go that smoothly right off the bat.\It probably won't.\Huh?\Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine. response:	Anyway, for in-air battles, we've only got Tsukishima and Kageyama
context: It probably won't.\Huh?\Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama response:	who can match Hinata's jumps.
context: Huh?\Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps. response:	So, Hinata, have confidence, and...
context: Right off the bat, anyway.\But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and... response:	Yes! I'll do my best!
context: But we should still try it.\Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best! response:	I'll score lots of points. I'll be a decoy.
context: Maybe we'll learn something as we go along.\It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy. response:	I'll serve. Block. Quick. Everything.
context: It's a practice match, after all.\Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything. response:	Hey, hey, calm down!
context: Fine.\Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down! response:	He blew a fuse! Hinata blew a fuse!
context: Anyway, for in-air battles, we've only got Tsukishima and Kageyama\who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse! response:	Sawamura.
context: who can match Hinata's jumps.\So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura. response:	Hey, Michimiya.
context: So, Hinata, have confidence, and...\Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya. response:	What?
context: Yes! I'll do my best!\I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya.\What? response:	I heard you're having a match against Seijo tomorrow?
context: I'll score lots of points. I'll be a decoy.\I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow? response:	I'm surprised they agreed to it.
context: I'll serve. Block. Quick. Everything.\Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it. response:	Yeah. Takeda-sensei did the hard work for us.
context: Hey, hey, calm down!\He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us. response:	But aren't you scared?
context: He blew a fuse! Hinata blew a fuse!\Sawamura.\Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared? response:	Hm?
context: Sawamura.\Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm? response:	Seijo was in the prefecture's top four last year, weren't they?
context: Hey, Michimiya.\What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they? response:	Won't they beat the crap out of us?
context: What?\I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us? response:	Well, we actually have some rather interesting first-years...
context: I heard you're having a match against Seijo tomorrow?\I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years... response:	I heard about them.
context: I'm surprised they agreed to it.\Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them. response:	As soon as they joined the club, they blew off the dean's rug...
context: Yeah. Takeda-sensei did the hard work for us.\But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug... response:	D-Don't!
context: But aren't you scared?\Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't! response:	Shh.
context: Hm?\Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh. response:	They're still imperfect, but if those guys start playing their part,
context: Seijo was in the prefecture's top four last year, weren't they?\Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part, response:	I feel Karasuno is going to improve explosively.
context: Won't they beat the crap out of us?\Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively. response:	That's what I think.
context: Well, we actually have some rather interesting first-years...\I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think. response:	Wow...
context: I heard about them.\As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think.\Wow... response:	Are first-years allowed to use the club room?
context: As soon as they joined the club, they blew off the dean's rug...\D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think.\Wow...\Are first-years allowed to use the club room? response:	Of course. It doesn't matter.
context: D-Don't!\Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think.\Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter. response:	Hey.
context: Shh.\They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think.\Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey. response:	Hey.
context: They're still imperfect, but if those guys start playing their part,\I feel Karasuno is going to improve explosively.\That's what I think.\Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey.\Hey. response:	Hello there.
context: I feel Karasuno is going to improve explosively.\That's what I think.\Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey.\Hey.\Hello there. response:	Oh...
context: That's what I think.\Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey.\Hey.\Hello there.\Oh... response:	There's nothing impressive about this place.
context: Wow...\Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey.\Hey.\Hello there.\Oh...\There's nothing impressive about this place. response:	It's just an ordinary club room.
context: Are first-years allowed to use the club room?\Of course. It doesn't matter.\Hey.\Hey.\Hello there.\Oh...\There's nothing impressive about this place.\It's just an ordinary club room. response:	I've never been in a club room before.
context: Of course. It doesn't matter.\Hey.\Hey.\Hello there.\Oh...\There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before. response:	The Little Giant used this room, too, didn't he?
context: Hey.\Hey.\Hello there.\Oh...\There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he? response:	Tomorrow's finally your debut battle, Hinata.
context: Hey.\Hello there.\Oh...\There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata. response:	Even though it's a practice match.
context: Hello there.\Oh...\There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match. response:	Seijo's gym is huge.
context: Oh...\There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge. response:	Their players are huge, too. Don't get intimidated.
context: There's nothing impressive about this place.\It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated. response:	Hey.
context: It's just an ordinary club room.\I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey. response:	Hey.
context: I've never been in a club room before.\The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey.\Hey. response:	Hello.
context: The Little Giant used this room, too, didn't he?\Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey.\Hey.\Hello. response:	In...
context: Tomorrow's finally your debut battle, Hinata.\Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey.\Hey.\Hello.\In... response:	In?
context: Even though it's a practice match.\Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey.\Hey.\Hello.\In...\In? response:	Intimidated? Of course I won't be.
context: Seijo's gym is huge.\Their players are huge, too. Don't get intimidated.\Hey.\Hey.\Hello.\In...\In?\Intimidated? Of course I won't be. response:	I'll do great. You'll see...
context: Their players are huge, too. Don't get intimidated.\Hey.\Hey.\Hello.\In...\In?\Intimidated? Of course I won't be.\I'll do great. You'll see... response:	Hey, Hinata.
context: Hey.\Hey.\Hello.\In...\In?\Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata. response:	You're putting your jacket on first...
context: Hey.\Hello.\In...\In?\Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first... response:	What's that? A fashion statement?
context: Hello.\In...\In?\Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement? response:	Kageyama, is Hinata going to be all right tomorrow?
