context: hence the name fall leaves response:	Impassionate gods...
context: You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But...\Don't fall behind!\Step for step! response:	We're rivals!
context: We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But...\Don't fall behind!\Step for step!\We're rivals! response:	We're rivals!
context: to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But...\Don't fall behind!\Step for step!\We're rivals!\We're rivals! response:	Oh, she's awake.
context: In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But...\Don't fall behind!\Step for step!\We're rivals!\We're rivals!\Oh, she's awake. response:	Did I fall asleep?
context: I'm aiming to win Class B!\But...\Don't fall behind!\Step for step!\We're rivals!\We're rivals!\Oh, she's awake.\Did I fall asleep? response:	Yes, for ten minutes.
context: But...\Don't fall behind!\Step for step!\We're rivals!\We're rivals!\Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes. response:	Oh, it's because Porky chased me down.
context: Don't fall behind!\Step for step!\We're rivals!\We're rivals!\Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down. response:	I've been dreaming about Shinobu-chan a lot, daily.
context: Step for step!\We're rivals!\We're rivals!\Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily. response:	Snowmaru, too...
context: We're rivals!\We're rivals!\Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too... response:	Is Shinobu-chan the current Queen?
context: We're rivals!\Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen? response:	Uh-huh.
context: Oh, she's awake.\Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh. response:	I watched the video. She's so good, it's scary.
context: Did I fall asleep?\Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary. response:	That's why I call her Shinobu-chan.
context: Yes, for ten minutes.\Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan. response:	I met Arata at Nationals,
context: Oh, it's because Porky chased me down.\I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals, response:	but he doesn't show up in my dreams.
context: I've been dreaming about Shinobu-chan a lot, daily.\Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams. response:	I want to meet him, and not in my dreams.
context: Snowmaru, too...\Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams. response:	Yes, who is it?
context: Is Shinobu-chan the current Queen?\Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it? response:	Oh, you've finally come.
context: Uh-huh.\I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come. response:	Mr. Kuriyama, I wish to join the Fukui Nagumo Society.
context: I watched the video. She's so good, it's scary.\That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society. response:	Until we meet again.
context: That's why I call her Shinobu-chan.\I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again. response:	for I could not recognize you, like the moon hidden behind the clouds
context: I met Arata at Nationals,\but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again.\for I could not recognize you, like the moon hidden behind the clouds response:	So spring nights are...
context: but he doesn't show up in my dreams.\I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again.\for I could not recognize you, like the moon hidden behind the clouds\So spring nights are... response:	Nobody wishes to see...
context: I want to meet him, and not in my dreams.\Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again.\for I could not recognize you, like the moon hidden behind the clouds\So spring nights are...\Nobody wishes to see... response:	As this trip takes me away...
context: Yes, who is it?\Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again.\for I could not recognize you, like the moon hidden behind the clouds\So spring nights are...\Nobody wishes to see...\As this trip takes me away... response:	I have only autumn leaves as an offering for the gods watching over me.
context: Oh, you've finally come.\Mr. Kuriyama, I wish to join the Fukui Nagumo Society.\Until we meet again.\for I could not recognize you, like the moon hidden behind the clouds\So spring nights are...\Nobody wishes to see...\As this trip takes me away...\I have only autumn leaves as an offering for the gods watching over me. response:	Fall, the season of karuta...
