context: Minori has never asked for my help. response:	She's asked for advice or for teaching,
context: You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie? response:	Are you really okay?
context: You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay? response:	No...
context: A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay?\No... response:	I'm bushed.
context: The phoenix.\Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay?\No...\I'm bushed. response:	Hey, Naotsugu...
context: Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay?\No...\I'm bushed.\Hey, Naotsugu... response:	What?
context: The main dish is finished.\We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay?\No...\I'm bushed.\Hey, Naotsugu...\What? response:	We did good, right?
context: We'll leave the rest to the strategic headquarters cordon.\Are you okay, Marie?\Are you really okay?\No...\I'm bushed.\Hey, Naotsugu...\What?\We did good, right? response:	Of course we did.
context: Are you okay, Marie?\Are you really okay?\No...\I'm bushed.\Hey, Naotsugu...\What?\We did good, right?\Of course we did. response:	We saved the town.
context: Are you really okay?\No...\I'm bushed.\Hey, Naotsugu...\What?\We did good, right?\Of course we did.\We saved the town. response:	Shiroe, why did you say that to Rundel Haus?
context: No...\I'm bushed.\Hey, Naotsugu...\What?\We did good, right?\Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus? response:	Say what?
context: I'm bushed.\Hey, Naotsugu...\What?\We did good, right?\Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what? response:	About adventurers, and resolve.
context: Hey, Naotsugu...\What?\We did good, right?\Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve. response:	Adventurers...
context: What?\We did good, right?\Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve.\Adventurers... response:	When Elder Tale was just a game,
context: We did good, right?\Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game, response:	that was just a word we used for players.
context: Of course we did.\We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game,\that was just a word we used for players. response:	But now, I think it's something else.
context: We saved the town.\Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else. response:	I think it's the name for my companions,
context: Shiroe, why did you say that to Rundel Haus?\Say what?\About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions, response:	those who travel the world with me,
context: Say what?\About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me, response:	to find a dawn no one has ever seen.
context: About adventurers, and resolve.\Adventurers...\When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen. response:	Where am I?
context: Adventurers...\When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen.\Where am I? response:	Oh...
context: When Elder Tale was just a game,\that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen.\Where am I?\Oh... response:	This is the Cathedral?
context: that was just a word we used for players.\But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen.\Where am I?\Oh...\This is the Cathedral? response:	Sub Class: Adventurer
context: But now, I think it's something else.\I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen.\Where am I?\Oh...\This is the Cathedral?\Sub Class: Adventurer response:	Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon
context: I think it's the name for my companions,\those who travel the world with me,\to find a dawn no one has ever seen.\Where am I?\Oh...\This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon response:	Adventurer!
context: those who travel the world with me,\to find a dawn no one has ever seen.\Where am I?\Oh...\This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer! response:	Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status
context: to find a dawn no one has ever seen.\Where am I?\Oh...\This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status response:	Wow.
context: Where am I?\Oh...\This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow. response:	I did it...
context: Oh...\This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it... response:	I'm an adventurer!
context: This is the Cathedral?\Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it...\I'm an adventurer! response:	Just the same as...
context: Sub Class: Adventurer\Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it...\I'm an adventurer!\Just the same as... response:	Rudy!
context: Rundel Haus Code Race/ Human Sorcerer, Lv. 25 Log Horizon\Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it...\I'm an adventurer!\Just the same as...\Rudy! response:	M-Miss Isuzu...
context: Adventurer!\Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it...\I'm an adventurer!\Just the same as...\Rudy!\M-Miss Isuzu... response:	Wh-What are you doing here?
context: Sub Class: Adventurer Class Abilities Can Revive at Cathedral Friend List EXP Bonus Bank Vault Detailed Status\Wow.\I did it...\I'm an adventurer!\Just the same as...\Rudy!\M-Miss Isuzu...\Wh-What are you doing here? response:	Oh, right...
context: Wow.\I did it...\I'm an adventurer!\Just the same as...\Rudy!\M-Miss Isuzu...\Wh-What are you doing here?\Oh, right... response:	You used a return spell to come back?
context: I did it...\I'm an adventurer!\Just the same as...\Rudy!\M-Miss Isuzu...\Wh-What are you doing here?\Oh, right...\You used a return spell to come back? response:	What if you had died, doing something that reckless?
context: I'm an adventurer!\Just the same as...\Rudy!\M-Miss Isuzu...\Wh-What are you doing here?\Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless? response:	Rudy, you idiot!
context: Just the same as...\Rudy!\M-Miss Isuzu...\Wh-What are you doing here?\Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot! response:	Th-That's rude!
context: Rudy!\M-Miss Isuzu...\Wh-What are you doing here?\Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude! response:	Sometimes, you have to be willing
context: M-Miss Isuzu...\Wh-What are you doing here?\Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing response:	to sacrifice your life for duty, Miss Isuzu!
context: Wh-What are you doing here?\Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu! response:	If I tell you to wait, you wait!
context: Oh, right...\You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait! response:	That's not fair...
context: You used a return spell to come back?\What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair... response:	You wait!
context: What if you had died, doing something that reckless?\Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair...\You wait! response:	I'm sorry...
context: Rudy, you idiot!\Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair...\You wait!\I'm sorry... response:	I guess I made you worry...
context: Th-That's rude!\Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair...\You wait!\I'm sorry...\I guess I made you worry... response:	I'm sorry. I shouldn't have done it.
context: Sometimes, you have to be willing\to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair...\You wait!\I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it. response:	S-Sorry
context: to sacrifice your life for duty, Miss Isuzu!\If I tell you to wait, you wait!\That's not fair...\You wait!\I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry response:	I w-won't do it again
context: If I tell you to wait, you wait!\That's not fair...\You wait!\I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again response:	I get it!
context: That's not fair...\You wait!\I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again\I get it! response:	I get it! I'll do what you say, Miss Isuzu!
context: You wait!\I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu! response:	Really?
context: I'm sorry...\I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu!\Really? response:	Really!
context: I guess I made you worry...\I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu!\Really?\Really! response:	I swear to God.
context: I'm sorry. I shouldn't have done it.\S-Sorry\I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu!\Really?\Really!\I swear to God. response:	And you're going to tell me about when you were a kid!
context: S-Sorry\I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu!\Really?\Really!\I swear to God.\And you're going to tell me about when you were a kid! response:	Why? It isn't...
context: I w-won't do it again\I get it!\I get it! I'll do what you say, Miss Isuzu!\Really?\Really!\I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't... response:	F-Fine.
context: I get it!\I get it! I'll do what you say, Miss Isuzu!\Really?\Really!\I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine. response:	I'll tell you.
context: I get it! I'll do what you say, Miss Isuzu!\Really?\Really!\I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine.\I'll tell you. response:	If you do crazy things like that,
context: Really?\Really!\I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine.\I'll tell you.\If you do crazy things like that, response:	you won't survive, no matter how many lives you have!
context: Really!\I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine.\I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have! response:	I'll remember that.
context: I swear to God.\And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine.\I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that. response:	Then give me your paw!
context: And you're going to tell me about when you were a kid!\Why? It isn't...\F-Fine.\I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw! response:	Huh?
context: Why? It isn't...\F-Fine.\I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw!\Huh? response:	The battle has ended.
context: F-Fine.\I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw!\Huh?\The battle has ended. response:	Eastal and the Round Table take a new step forward.
context: I'll tell you.\If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw!\Huh?\The battle has ended.\Eastal and the Round Table take a new step forward. response:	To celebrate their victory, a ball is held.
context: If you do crazy things like that,\you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw!\Huh?\The battle has ended.\Eastal and the Round Table take a new step forward.\To celebrate their victory, a ball is held. response:	But Akatsuki is gloomy, amidst the cheer.
context: you won't survive, no matter how many lives you have!\I'll remember that.\Then give me your paw!\Huh?\The battle has ended.\Eastal and the Round Table take a new step forward.\To celebrate their victory, a ball is held.\But Akatsuki is gloomy, amidst the cheer. response:	Fall is coming to the town of Akihabara.
context: I'll remember that.\Then give me your paw!\Huh?\The battle has ended.\Eastal and the Round Table take a new step forward.\To celebrate their victory, a ball is held.\But Akatsuki is gloomy, amidst the cheer.\Fall is coming to the town of Akihabara. response:	Next time: The Two of Us Shall Waltz.
context: Then give me your paw!\Huh?\The battle has ended.\Eastal and the Round Table take a new step forward.\To celebrate their victory, a ball is held.\But Akatsuki is gloomy, amidst the cheer.\Fall is coming to the town of Akihabara.\Next time: The Two of Us Shall Waltz. response:	The Two of Us Shall Waltz
context: Huh?\The battle has ended.\Eastal and the Round Table take a new step forward.\To celebrate their victory, a ball is held.\But Akatsuki is gloomy, amidst the cheer.\Fall is coming to the town of Akihabara.\Next time: The Two of Us Shall Waltz.\The Two of Us Shall Waltz response:	We will change the world.
