context: What's the matter? response:	You can't stand?
context: Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you. response:	Your personality sucks, old dude.
context: What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude. response:	Well, then... Time to go patrolling.
context: It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling. response:	I'm heading off.
context: Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off. response:	According to the guide,
context: I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off.\According to the guide, response:	this is around the time when the Class A hero, Golden Ball, visits his favorite bar.
context: You want to be a hero?\I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar. response:	See ya, kid.
context: I do, too... but I have no athletic talent.\Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid. response:	Be careful on your patrol, old dude.
context: Well, good for you.\Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude. response:	Sure. Also, stop calling me old dude. Learn how to talk to people.
context: Your personality sucks, old dude.\Well, then... Time to go patrolling.\I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people. response:	Huh? What was that, old dude?
context: Well, then... Time to go patrolling.\I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude? response:	Hurry up and go home, kid.
context: I'm heading off.\According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid. response:	All my attacks were dodged, parried, and blocked.
context: According to the guide,\this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked. response:	He also used throws and counters against me by reading my moves.
context: this is around the time when the Class A hero, Golden Ball, visits his favorite bar.\See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves. response:	He can deal twice the damage by using his opponents' strength against them.
context: See ya, kid.\Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them. response:	The strikes to our joints and vital points were also brutal.
context: Be careful on your patrol, old dude.\Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal. response:	He also incapacitated physical functions.
context: Sure. Also, stop calling me old dude. Learn how to talk to people.\Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions. response:	Your average monster usually just lets all its strength loose in a rampage.
context: Huh? What was that, old dude?\Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage. response:	But he's different. He has special techniques to break people.
context: Hurry up and go home, kid.\All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people. response:	Fist of Flowing Water, Crushed Rock
context: All my attacks were dodged, parried, and blocked.\He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock response:	In other words, he knows how to take down heroes.
context: He also used throws and counters against me by reading my moves.\He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes. response:	Charanko
context: He can deal twice the damage by using his opponents' strength against them.\The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko response:	You want to spar with a strong martial artist?
context: The strikes to our joints and vital points were also brutal.\He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist? response:	Yeah.
context: He also incapacitated physical functions.\Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist?\Yeah. response:	I'm sorta interested now. Got any connections,
context: Your average monster usually just lets all its strength loose in a rampage.\But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections, response:	uh... Champon?
context: But he's different. He has special techniques to break people.\Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections,\uh... Champon? response:	It's Charanko!
context: Fist of Flowing Water, Crushed Rock\In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko! response:	Here. I'll even give you a banana.
context: In other words, he knows how to take down heroes.\Charanko\You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko!\Here. I'll even give you a banana. response:	Don't put that there!
context: Charanko\You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko!\Here. I'll even give you a banana.\Don't put that there! response:	Then just go see Master Bang. He seems to like you, anyway.
context: You want to spar with a strong martial artist?\Yeah.\I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko!\Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway. response:	Come on, now. I can't push around an old guy.
context: Yeah.\I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko!\Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy. response:	Hey, that's rude!
context: I'm sorta interested now. Got any connections,\uh... Champon?\It's Charanko!\Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude! response:	A normal person can't fight a martial artist right off the bat, anyway.
context: uh... Champon?\It's Charanko!\Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway. response:	First, you have to learn the basic forms...
context: It's Charanko!\Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms... response:	Actually, before that, you have to build up stamina.
context: Here. I'll even give you a banana.\Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina. response:	You can run up and down hundreds of steps...
context: Don't put that there!\Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps... response:	Or start by wiping the dojo floors...
context: Then just go see Master Bang. He seems to like you, anyway.\Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors... response:	Guess I'll leave if you don't have any connections.
context: Come on, now. I can't push around an old guy.\Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections. response:	H-Hold on a sec!
context: Hey, that's rude!\A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec! response:	There was a mixed martial arts competition I happened to enter on a whim.
context: A normal person can't fight a martial artist right off the bat, anyway.\First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim. response:	The ticket is... Here you go.
context: First, you have to learn the basic forms...\Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go. response:	Charanko Participant Ticket
context: Actually, before that, you have to build up stamina.\You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket response:	It's all wrinkled.
context: You can run up and down hundreds of steps...\Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled. response:	I registered as a participant, but I plan to bail.
context: Or start by wiping the dojo floors...\Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail. response:	It still works as an entry ticket, though, so you can go watch the competition.
context: Guess I'll leave if you don't have any connections.\H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition. response:	You'll be able to see all kinds of styles.
context: H-Hold on a sec!\There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles. response:	Thanks.
context: There was a mixed martial arts competition I happened to enter on a whim.\The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks. response:	Stare...
context: The ticket is... Here you go.\Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks.\Stare... response:	So you're going to drop out?
context: Charanko Participant Ticket\It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks.\Stare...\So you're going to drop out? response:	Yeah, I mean, I'm pretty hurt.
context: It's all wrinkled.\I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks.\Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt. response:	Stare...
context: I registered as a participant, but I plan to bail.\It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks.\Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare... response:	It says the prize money is three million yen.
context: It still works as an entry ticket, though, so you can go watch the competition.\You'll be able to see all kinds of styles.\Thanks.\Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen. response:	Well, it's a huge tournament.
context: You'll be able to see all kinds of styles.\Thanks.\Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen.\Well, it's a huge tournament. response:	The champion gets three million in one day's pay.
context: Thanks.\Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay. response:	Stare...
context: Stare...\So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare... response:	Just so you know, you can't enter in my place.
context: So you're going to drop out?\Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place. response:	Hey. Are you listening to me?
context: Yeah, I mean, I'm pretty hurt.\Stare...\It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me? response:	Izakaya Kodoku
context: Stare...\It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku response:	You must be the Class A hero, Golden Ball.
context: It says the prize money is three million yen.\Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball. response:	Huh?
context: Well, it's a huge tournament.\The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh? response:	Class A Rank 26 Golden Ball
context: The champion gets three million in one day's pay.\Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball response:	I have some business with you. Step outside for a bit.
context: Stare...\Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit. response:	At least let me enjoy a drink first.
context: Just so you know, you can't enter in my place.\Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first. response:	Hey, what the hell?! Jeez, what a waste.
context: Hey. Are you listening to me?\Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste. response:	Sure, wild guy. There's a parking lot nearby.
context: Izakaya Kodoku\You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby. response:	Let's go there.
context: You must be the Class A hero, Golden Ball.\Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there. response:	Every once in a while, I get punks who want to challenge a pro hero.
context: Huh?\Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero. response:	If you're picking a fight just because you're drunk, you should reconsider.
context: Class A Rank 26 Golden Ball\I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider. response:	This is your chance to bail.
context: I have some business with you. Step outside for a bit.\At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail. response:	Shut up, you drunk. I'm
context: At least let me enjoy a drink first.\Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm response:	You bastard.
context: Hey, what the hell?! Jeez, what a waste.\Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm\You bastard. response:	You're way too lax, hero hunter.
context: Sure, wild guy. There's a parking lot nearby.\Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter. response:	Did Tank-Top Master seriously lose to a punk like you?
context: Let's go there.\Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you? response:	Just so you know, I'm pretty good at hunting, myself.
context: Every once in a while, I get punks who want to challenge a pro hero.\If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself. response:	After I take you down, I'm gonna go have another drink!
context: If you're picking a fight just because you're drunk, you should reconsider.\This is your chance to bail.\Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink! response:	He guessed the bullet's trajectory by reading my hand movements.
context: This is your chance to bail.\Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements. response:	Then how about this?!
context: Shut up, you drunk. I'm\You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?! response:	A ricochet?
context: You bastard.\You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet? response:	Whoops.
context: You're way too lax, hero hunter.\Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet?\Whoops. response:	Luckily for you, I missed your vital points, but what do you think of that?
context: Did Tank-Top Master seriously lose to a punk like you?\Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that? response:	Aren't heroes amazing?
context: Just so you know, I'm pretty good at hunting, myself.\After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing? response:	Luckily? It's because you're so drunk that your aim is off.
context: After I take you down, I'm gonna go have another drink!\He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off. response:	You're going to lose because you couldn't finish me off with that one shot.
context: He guessed the bullet's trajectory by reading my hand movements.\Then how about this?!\A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot. response:	Unfortunately for you, I've got plenty of ammo left.
context: Then how about this?!\A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left. response:	Shape-memory Golden Bullets!
context: A ricochet?\Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets! response:	Take this!
context: Whoops.\Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this! response:	Killer Move: Golden Breakout!
context: Luckily for you, I missed your vital points, but what do you think of that?\Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout! response:	He's dodging all the bullets with minimal movement...
context: Aren't heroes amazing?\Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement... response:	This guy's insane!
context: Luckily? It's because you're so drunk that your aim is off.\You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane! response:	But... This is my final shot.
context: You're going to lose because you couldn't finish me off with that one shot.\Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot. response:	I'm going to end this.
context: Unfortunately for you, I've got plenty of ammo left.\Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot.\I'm going to end this. response:	How'd you like that?
context: Shape-memory Golden Bullets!\Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot.\I'm going to end this.\How'd you like that? response:	Aren't monsters amazing?
context: Take this!\Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot.\I'm going to end this.\How'd you like that?\Aren't monsters amazing? response:	You're finished.
context: Killer Move: Golden Breakout!\He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot.\I'm going to end this.\How'd you like that?\Aren't monsters amazing?\You're finished. response:	Die.
context: He's dodging all the bullets with minimal movement...\This guy's insane!\But... This is my final shot.\I'm going to end this.\How'd you like that?\Aren't monsters amazing?\You're finished.\Die. response:	You weren't at the bar,
context: This guy's insane!\But... This is my final shot.\I'm going to end this.\How'd you like that?\Aren't monsters amazing?\You're finished.\Die.\You weren't at the bar, response:	so I thought you had forgotten about our plans.
context: But... This is my final shot.\I'm going to end this.\How'd you like that?\Aren't monsters amazing?\You're finished.\Die.\You weren't at the bar,\so I thought you had forgotten about our plans. response:	Class A Rank 28 Spring Mustachio
context: I'm going to end this.\How'd you like that?\Aren't monsters amazing?\You're finished.\Die.\You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio response:	The Class A hero, Spring Mustachio?
context: How'd you like that?\Aren't monsters amazing?\You're finished.\Die.\You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio? response:	I'm flattered that you've heard of me.
context: Aren't monsters amazing?\You're finished.\Die.\You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me. response:	You must be the hero hunter I keep hearing about.
context: You're finished.\Die.\You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about. response:	Ding, ding. For your prize, I'll crush you now, too.
context: Die.\You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too. response:	His right leg's been injured.
context: You weren't at the bar,\so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured. response:	That should slow down his footwork.
context: so I thought you had forgotten about our plans.\Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork. response:	I see. Thank you for the advice.
context: Class A Rank 28 Spring Mustachio\The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice. response:	Doesn't swinging that thing in a cramped place like this put you at a disadvantage?
