context: We can't be together anymore. response:	Wait, Shione!
context: Because Noel...\I'm not like you.\I don't make promises I can't keep,\and I don't say things to get people's hopes up.\Goodbye, Komiya-san.\Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here. response:	I'm here to help clean up.
context: I'm not like you.\I don't make promises I can't keep,\and I don't say things to get people's hopes up.\Goodbye, Komiya-san.\Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up. response:	Sorry, we'll do it ourselves.
context: I don't make promises I can't keep,\and I don't say things to get people's hopes up.\Goodbye, Komiya-san.\Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves. response:	Leave the cleanup to us.
context: and I don't say things to get people's hopes up.\Goodbye, Komiya-san.\Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us. response:	Really?
context: Goodbye, Komiya-san.\Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really? response:	Sorry to make you come here.
context: Buttered Potatoes Fried Noodles\I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really?\Sorry to make you come here. response:	No, well...
context: I wonder if Nonoka found Shione.\Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really?\Sorry to make you come here.\No, well... response:	I haven't given up yet.
context: Jeez, there's no point to this if the five of us aren't all here.\I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really?\Sorry to make you come here.\No, well...\I haven't given up yet. response:	You're right.
context: I'm here to help clean up.\Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really?\Sorry to make you come here.\No, well...\I haven't given up yet.\You're right. response:	Huh, where's Noel?
context: Sorry, we'll do it ourselves.\Leave the cleanup to us.\Really?\Sorry to make you come here.\No, well...\I haven't given up yet.\You're right.\Huh, where's Noel? response:	She was there a minute ago.
context: Leave the cleanup to us.\Really?\Sorry to make you come here.\No, well...\I haven't given up yet.\You're right.\Huh, where's Noel?\She was there a minute ago. response:	Maybe she went after Nonoka.
context: Really?\Sorry to make you come here.\No, well...\I haven't given up yet.\You're right.\Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka. response:	I'll go find her.
context: Sorry to make you come here.\No, well...\I haven't given up yet.\You're right.\Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her. response:	Wait!
context: No, well...\I haven't given up yet.\You're right.\Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her.\Wait! response:	Noel?
context: I haven't given up yet.\You're right.\Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her.\Wait!\Noel? response:	Yeah.
context: You're right.\Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her.\Wait!\Noel?\Yeah. response:	Noel!
context: Huh, where's Noel?\She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her.\Wait!\Noel?\Yeah.\Noel! response:	Nonoka.
context: She was there a minute ago.\Maybe she went after Nonoka.\I'll go find her.\Wait!\Noel?\Yeah.\Noel!\Nonoka. response:	Noel!
context: Maybe she went after Nonoka.\I'll go find her.\Wait!\Noel?\Yeah.\Noel!\Nonoka.\Noel! response:	Noel!
context: I'll go find her.\Wait!\Noel?\Yeah.\Noel!\Nonoka.\Noel!\Noel! response:	Noel!
context: Wait!\Noel?\Yeah.\Noel!\Nonoka.\Noel!\Noel!\Noel! response:	Where Wishes Go.
context: Noel?\Yeah.\Noel!\Nonoka.\Noel!\Noel!\Noel!\Where Wishes Go. response:	Enjoy.
context: Yeah.\Noel!\Nonoka.\Noel!\Noel!\Noel!\Where Wishes Go.\Enjoy. response:	Where Wishes Go
