context: Everyone, thank you for giving me courage. response:	Evil beings, in the name of the moon,
context: Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze. response:	The cuckoo clock in the room says it's 7 o'clock
context: We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock response:	and Mom's voice says, You'll be late if you don't get up!
context: I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up! response:	I'm still half asleep,
context: What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep, response:	and I think, Please let me sleep for 3 more minutes.
context: I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes. response:	I'm late for school every single day like clockwork,
context: Everyone, thank you.\When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork, response:	my teacher makes me stand out in the hallway,
context: When I wake up in the morning,\a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway, response:	and I get failing grades on my tests.
context: a pure white curtain of lace is rustling in the breeze.\The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests. response:	The crepes we'd all eat on the way home.
context: The cuckoo clock in the room says it's 7 o'clock\and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home. response:	We'd gaze dreamily at a party dress in a show window.
context: and Mom's voice says, You'll be late if you don't get up!\I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window. response:	The little things bring such joy and I'm happy.
context: I'm still half asleep,\and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy. response:	I wish...
context: and I think, Please let me sleep for 3 more minutes.\I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish... response:	I wish I could go back to that kind of normal life.
context: I'm late for school every single day like clockwork,\my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life. response:	I want to go back.
context: my teacher makes me stand out in the hallway,\and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life.\I want to go back. response:	I'm late!
context: and I get failing grades on my tests.\The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life.\I want to go back.\I'm late! response:	I'm leaving!
context: The crepes we'd all eat on the way home.\We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life.\I want to go back.\I'm late!\I'm leaving! response:	It's a miracle.
context: We'd gaze dreamily at a party dress in a show window.\The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life.\I want to go back.\I'm late!\I'm leaving!\It's a miracle. response:	Not only did the sunspots disappear,
context: The little things bring such joy and I'm happy.\I wish...\I wish I could go back to that kind of normal life.\I want to go back.\I'm late!\I'm leaving!\It's a miracle.\Not only did the sunspots disappear, response:	but everyone was also transmigrated.
context: I wish...\I wish I could go back to that kind of normal life.\I want to go back.\I'm late!\I'm leaving!\It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated. response:	In the moonlight, I look up at the sky and I think of you
context: I wish I could go back to that kind of normal life.\I want to go back.\I'm late!\I'm leaving!\It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you response:	But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you
context: I want to go back.\I'm late!\I'm leaving!\It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you response:	Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you
context: I'm late!\I'm leaving!\It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you response:	Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you
context: I'm leaving!\It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you response:	They've even completely lost their memories In the moonlight, I look up at the sky and I think of you
context: It's a miracle.\Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you response:	of when they were friends. In the moonlight, I look up at the sky and I think of you
context: Not only did the sunspots disappear,\but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you response:	In the moonlight, I look up at the sky and I think of you
context: but everyone was also transmigrated.\In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you response:	Don't worry. In the moonlight, I look up at the sky and I think of you
context: In the moonlight, I look up at the sky and I think of you\But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you response:	What? In the moonlight, I look up at the sky and I think of you
context: But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you response:	They just need to meet each other again. In the moonlight, I look up at the sky and I think of you
context: Hikawa Shrine But I feel a little sad for them. In the moonlight, I look up at the sky and I think of you\Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you response:	They just need to meet each other again.
context: Hikawa Shrine They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. response:	I close my eyes and I whisper your name
context: They've even completely lost their memories In the moonlight, I look up at the sky and I think of you\of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name response:	You're right. I close my eyes and I whisper your name
context: of when they were friends. In the moonlight, I look up at the sky and I think of you\In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name response:	Juban Municipal Middle School I close my eyes and I whisper your name
context: In the moonlight, I look up at the sky and I think of you\Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name response:	National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name
context: Don't worry. In the moonlight, I look up at the sky and I think of you\What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name response:	I close my eyes and I whisper your name
context: What? In the moonlight, I look up at the sky and I think of you\They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name response:	Jubancho Shopping District I close my eyes and I whisper your name
context: They just need to meet each other again. In the moonlight, I look up at the sky and I think of you\They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name response:	Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name
context: They just need to meet each other again.\I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name response:	Jubancho Shopping District Oh, I wish I had studied more.
context: I close my eyes and I whisper your name\You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. response:	Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal
context: You're right. I close my eyes and I whisper your name\Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal response:	Jubancho Shopping District My tears are like the rippling waves of a crystal
context: Juban Municipal Middle School I close my eyes and I whisper your name\National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal response:	Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal
context: National Mock Exam Results 1. Ami Mizuno 2. Rika Kazuya 3. Hiroshi Yoshida 6. Hitoshi Koyama 7. Kazutoshi Itou 8. Fumie Hisamatsu I close my eyes and I whisper your name\I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal response:	My tears are like the rippling waves of a crystal
context: I close my eyes and I whisper your name\Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal response:	That hurt, dumpling head. My tears are like the rippling waves of a crystal
context: Jubancho Shopping District I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal response:	Thirty points?!
context: Jubancho Shopping District Oh, I wish I had studied more. I close my eyes and I whisper your name\Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?! response:	Thirty points?! The Ioneliness fills my heart
context: Jubancho Shopping District Oh, I wish I had studied more.\Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart response:	The Ioneliness fills my heart
context: Jubancho Shopping District Oh, I wish I had studied more. My tears are like the rippling waves of a crystal\Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart response:	Study harder, dumpling head. The Ioneliness fills my heart
context: Jubancho Shopping District My tears are like the rippling waves of a crystal\Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart response:	Well, excuse you! The Ioneliness fills my heart
context: Darn it! I'll get rid of it! My tears are like the rippling waves of a crystal\My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart response:	The Ioneliness fills my heart
context: My tears are like the rippling waves of a crystal\That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart response:	No matter how far apart we are separated, my love
context: That hurt, dumpling head. My tears are like the rippling waves of a crystal\Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love response:	It's none of his business! No matter how far apart we are separated, my love
context: Thirty points?!\Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love response:	No matter how far apart we are separated, my love
context: Thirty points?! The Ioneliness fills my heart\The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love response:	What a silly girl. No matter how far apart we are separated, my love
context: The Ioneliness fills my heart\Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love response:	No matter how far apart we are separated, my love
context: Study harder, dumpling head. The Ioneliness fills my heart\Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love response:	Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love
context: Well, excuse you! The Ioneliness fills my heart\The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love response:	Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one
context: The Ioneliness fills my heart\No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one response:	How can you say that?! He was so obnoxious! Our hearts can now shine as one
context: No matter how far apart we are separated, my love\It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one response:	Oh, so you say now. Our hearts can now shine as one
context: It's none of his business! No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one response:	You never know. It might have been a fated encounter. You're just my love
context: No matter how far apart we are separated, my love\What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love response:	Gag! Stop it! I have my own dream! You're just my love
context: What a silly girl. No matter how far apart we are separated, my love\No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love response:	Gag! Stop it! I have my own dream!
context: No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream! response:	Dream?
context: Hey, wasn't that guy sort of cool looking? No matter how far apart we are separated, my love\Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream? response:	That's right!
context: Hey, wasn't that guy sort of cool looking? Our hearts can now shine as one\How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream?\That's right! response:	That I'll find a cool boyfriend who'll protect me no matter what!
context: How can you say that?! He was so obnoxious! Our hearts can now shine as one\Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what! response:	That's my dream!
context: Oh, so you say now. Our hearts can now shine as one\You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream! response:	Hiru ni wa hana no kaori
context: You never know. It might have been a fated encounter. You're just my love\Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori response:	Yoru ni wa hoshi no matataki
context: Gag! Stop it! I have my own dream! You're just my love\Gag! Stop it! I have my own dream!\Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki response:	Soko wa daremo shiranai sekai nano
context: Gag! Stop it! I have my own dream!\Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano response:	Shiroi kutsu o narashite
context: Dream?\That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite response:	Shiroi tsuki no hashi watatte
context: That's right!\That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite\Shiroi tsuki no hashi watatte response:	Amai kisu no yume o miteru ohimesama ga sunde iru no
context: That I'll find a cool boyfriend who'll protect me no matter what!\That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite\Shiroi tsuki no hashi watatte\Amai kisu no yume o miteru ohimesama ga sunde iru no response:	Inori o sasagete moon
context: That's my dream!\Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite\Shiroi tsuki no hashi watatte\Amai kisu no yume o miteru ohimesama ga sunde iru no\Inori o sasagete moon response:	Kitto shiawase ni shitekureru
context: Hiru ni wa hana no kaori\Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite\Shiroi tsuki no hashi watatte\Amai kisu no yume o miteru ohimesama ga sunde iru no\Inori o sasagete moon\Kitto shiawase ni shitekureru response:	Maware maware tsuki no merry-go-round
context: Yoru ni wa hoshi no matataki\Soko wa daremo shiranai sekai nano\Shiroi kutsu o narashite\Shiroi tsuki no hashi watatte\Amai kisu no yume o miteru ohimesama ga sunde iru no\Inori o sasagete moon\Kitto shiawase ni shitekureru\Maware maware tsuki no merry-go-round response:	Suzushige na glass no dress hirugaeshite
