context: Possession of the Sacred Jewel bestows tremendous power... response:	upon demons and others with evil in their hearts.
context: Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable... response:	than Sis made him out to be.
context: I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable...\than Sis made him out to be. response:	Not yet? Isn't Inuyasha here yet?
context: I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet? response:	Give it to me... The Sacred Jewel!
context: This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel! response:	Iron Reaver Soul Stealer!
context: and he isn't kind at all!\It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer! response:	Inuyasha!
context: It's such a chore keeping up with him.\I wonder...\He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha! response:	Sis!
context: I wonder...\He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha!\Sis! response:	Sota!
context: He seems much kinder and dependable...\than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha!\Sis!\Sota! response:	Sis!
context: than Sis made him out to be.\Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha!\Sis!\Sota!\Sis! response:	Huh? Kagome! You look just fine to me!
context: Not yet? Isn't Inuyasha here yet?\Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha!\Sis!\Sota!\Sis!\Huh? Kagome! You look just fine to me! response:	We'll be okay now.
context: Give it to me... The Sacred Jewel!\Iron Reaver Soul Stealer!\Inuyasha!\Sis!\Sota!\Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now. response:	Inuyasha will destroy the demon for us!
context: Iron Reaver Soul Stealer!\Inuyasha!\Sis!\Sota!\Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us! response:	I don't mind helping you...
context: Inuyasha!\Sis!\Sota!\Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you... response:	But first, apologize for the other day.
context: Sis!\Sota!\Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day. response:	What're you talking about?
context: Sota!\Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day.\What're you talking about? response:	Sit!
context: Sis!\Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day.\What're you talking about?\Sit! response:	I won't let you say you've forgotten!
context: Huh? Kagome! You look just fine to me!\We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day.\What're you talking about?\Sit!\I won't let you say you've forgotten! response:	You shout incantations to your heart's content...
context: We'll be okay now.\Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day.\What're you talking about?\Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content... response:	and now you want me to save you?!
context: Inuyasha will destroy the demon for us!\I don't mind helping you...\But first, apologize for the other day.\What're you talking about?\Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?! response:	Oh that...
context: I don't mind helping you...\But first, apologize for the other day.\What're you talking about?\Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?!\Oh that... response:	Sorry, sorry!
context: But first, apologize for the other day.\What're you talking about?\Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?!\Oh that...\Sorry, sorry! response:	I remember and I apologize!
context: What're you talking about?\Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?!\Oh that...\Sorry, sorry!\I remember and I apologize! response:	Damn... You don't sound repentant at all!
context: Sit!\I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?!\Oh that...\Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all! response:	Maybe I'll just go home.
context: I won't let you say you've forgotten!\You shout incantations to your heart's content...\and now you want me to save you?!\Oh that...\Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home. response:	What're you saying?!
context: You shout incantations to your heart's content...\and now you want me to save you?!\Oh that...\Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?! response:	That mask has a fragment of the Sacred Jewel!
context: and now you want me to save you?!\Oh that...\Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel! response:	What'll you do?!
context: Oh that...\Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?! response:	I'm not sure if I'm imagining it...
context: Sorry, sorry!\I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it... response:	but he's smitten...
context: I remember and I apologize!\Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten... response:	I'll bet he's smitten in love!
context: Damn... You don't sound repentant at all!\Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love! response:	Inuyasha!
context: Maybe I'll just go home.\What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love!\Inuyasha! response:	Why you... How dare you take my body!
context: What're you saying?!\That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body! response:	Inuyasha, the core of the demon is the Noh mask!
context: That mask has a fragment of the Sacred Jewel!\What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask! response:	I am the Flesh-Eating Mask.
context: What'll you do?!\I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask. response:	Several centuries ago...
context: I'm not sure if I'm imagining it...\but he's smitten...\I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago... response:	I was carved out of a giant katsura tree...
context: but he's smitten...\I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree... response:	which had a fragment of the Sacred Jewel imbedded in it.
context: I'll bet he's smitten in love!\Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it. response:	Since then, I have craved flesh and devoured humans.
context: Inuyasha!\Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans. response:	Now, I want a good body that will not rot!
context: Why you... How dare you take my body!\Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot! response:	And for that, it needs more power from the Sacred Jewel.
context: Inuyasha, the core of the demon is the Noh mask!\I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel. response:	I don't know how many humans you've eaten to date...
context: I am the Flesh-Eating Mask.\Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date... response:	but you're definitely too fat!
context: Several centuries ago...\I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat! response:	What?!
context: I was carved out of a giant katsura tree...\which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?! response:	You fell into my trap.
context: which had a fragment of the Sacred Jewel imbedded in it.\Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?!\You fell into my trap. response:	Now you won't be able to escape!
context: Since then, I have craved flesh and devoured humans.\Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?!\You fell into my trap.\Now you won't be able to escape! response:	- Huh?! - Inuyasha!
context: Now, I want a good body that will not rot!\And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?!\You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha! response:	What a rotten trick!
context: And for that, it needs more power from the Sacred Jewel.\I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?!\You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick! response:	Huh?!
context: I don't know how many humans you've eaten to date...\but you're definitely too fat!\What?!\You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick!\Huh?! response:	Sis!
context: but you're definitely too fat!\What?!\You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick!\Huh?!\Sis! response:	If I don't do something, the fragments will...!
context: What?!\You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick!\Huh?!\Sis!\If I don't do something, the fragments will...! response:	Sota, take this and run!
context: You fell into my trap.\Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick!\Huh?!\Sis!\If I don't do something, the fragments will...!\Sota, take this and run! response:	Hurry!
context: Now you won't be able to escape!\- Huh?! - Inuyasha!\What a rotten trick!\Huh?!\Sis!\If I don't do something, the fragments will...!\Sota, take this and run!\Hurry! response:	Yeah...
context: - Huh?! - Inuyasha!\What a rotten trick!\Huh?!\Sis!\If I don't do something, the fragments will...!\Sota, take this and run!\Hurry!\Yeah... response:	Sota, run!
context: What a rotten trick!\Huh?!\Sis!\If I don't do something, the fragments will...!\Sota, take this and run!\Hurry!\Yeah...\Sota, run! response:	That mask is after this bottle.
context: Huh?!\Sis!\If I don't do something, the fragments will...!\Sota, take this and run!\Hurry!\Yeah...\Sota, run!\That mask is after this bottle. response:	I know! If I throw it away...!
context: Sis!\If I don't do something, the fragments will...!\Sota, take this and run!\Hurry!\Yeah...\Sota, run!\That mask is after this bottle.\I know! If I throw it away...! response:	No!
context: If I don't do something, the fragments will...!\Sota, take this and run!\Hurry!\Yeah...\Sota, run!\That mask is after this bottle.\I know! If I throw it away...!\No! response:	It can't have this bottle!
context: Sota, take this and run!\Hurry!\Yeah...\Sota, run!\That mask is after this bottle.\I know! If I throw it away...!\No!\It can't have this bottle! response:	Listen!
context: Hurry!\Yeah...\Sota, run!\That mask is after this bottle.\I know! If I throw it away...!\No!\It can't have this bottle!\Listen! response:	Don't move!
context: Yeah...\Sota, run!\That mask is after this bottle.\I know! If I throw it away...!\No!\It can't have this bottle!\Listen!\Don't move! response:	You did it!
context: Sota, run!\That mask is after this bottle.\I know! If I throw it away...!\No!\It can't have this bottle!\Listen!\Don't move!\You did it! response:	You did it!
context: That mask is after this bottle.\I know! If I throw it away...!\No!\It can't have this bottle!\Listen!\Don't move!\You did it!\You did it! response:	Yeah! Are the Sacred Jewel fragments safe?
context: I know! If I throw it away...!\No!\It can't have this bottle!\Listen!\Don't move!\You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe? response:	Uh-huh!
context: No!\It can't have this bottle!\Listen!\Don't move!\You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh! response:	Inuyasha...
context: It can't have this bottle!\Listen!\Don't move!\You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha... response:	Kagome, not hurt?
context: Listen!\Don't move!\You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha...\Kagome, not hurt? response:	Huh?
context: Don't move!\You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha...\Kagome, not hurt?\Huh? response:	No.
context: You did it!\You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha...\Kagome, not hurt?\Huh?\No. response:	Huh... He's sorta nice.
context: You did it!\Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha...\Kagome, not hurt?\Huh?\No.\Huh... He's sorta nice. response:	What's happening?
context: Yeah! Are the Sacred Jewel fragments safe?\Uh-huh!\Inuyasha...\Kagome, not hurt?\Huh?\No.\Huh... He's sorta nice.\What's happening? response:	It's just a little...but Inuyasha seems sorta dashing.
context: Uh-huh!\Inuyasha...\Kagome, not hurt?\Huh?\No.\Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing. response:	Huh?! It's morning?! Oh no!
context: Inuyasha...\Kagome, not hurt?\Huh?\No.\Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no! response:	I have a test today!
context: Kagome, not hurt?\Huh?\No.\Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today! response:	Hey, Kagome!
context: Huh?\No.\Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome! response:	Oh... See you, Inuyasha!
context: No.\Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha! response:	Make sure you return to the other dimension!
context: Huh... He's sorta nice.\What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension! response:	Sota!
context: What's happening?\It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota! response:	Pick up those fragments and bring them home!
context: It's just a little...but Inuyasha seems sorta dashing.\Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home! response:	Inuyasha! Don't take them!
context: Huh?! It's morning?! Oh no!\I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them! response:	Umm... You were real cool!
context: I have a test today!\Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool! response:	Think so?
context: Hey, Kagome!\Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool!\Think so? response:	Yup... Scout's honor.
context: Oh... See you, Inuyasha!\Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool!\Think so?\Yup... Scout's honor. response:	We know that the Sacred Jewel fragments...
context: Make sure you return to the other dimension!\Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool!\Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments... response:	exist even in the modern world.
context: Sota!\Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool!\Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world. response:	The search for the fragments has become more complicated.
context: Pick up those fragments and bring them home!\Inuyasha! Don't take them!\Umm... You were real cool!\Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated. response:	Huh?! Accompany Sota to the next town?
context: Inuyasha! Don't take them!\Umm... You were real cool!\Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town? response:	Inuyasha is enough of a headache!
context: Umm... You were real cool!\Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town?\Inuyasha is enough of a headache! response:	Please spare me!
context: Think so?\Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town?\Inuyasha is enough of a headache!\Please spare me! response:	But there's a little soul there that I cannot ignore.
context: Yup... Scout's honor.\We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town?\Inuyasha is enough of a headache!\Please spare me!\But there's a little soul there that I cannot ignore. response:	And I'm going to keep her from going to hell!
context: We know that the Sacred Jewel fragments...\exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town?\Inuyasha is enough of a headache!\Please spare me!\But there's a little soul there that I cannot ignore.\And I'm going to keep her from going to hell! response:	Next on Inuyasha: The Soul Piper and the Mischievous Little Soul.
context: exist even in the modern world.\The search for the fragments has become more complicated.\Huh?! Accompany Sota to the next town?\Inuyasha is enough of a headache!\Please spare me!\But there's a little soul there that I cannot ignore.\And I'm going to keep her from going to hell!\Next on Inuyasha: The Soul Piper and the Mischievous Little Soul. response:	Don't miss it!
