context: He's sort of transferring, though he was sort of on academic break... response:	Anyway, this is Sakishima Hikari-kun,
context: Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not! response:	You are!
context: You're being mean, Sayu.\You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are! response:	Must be nice!
context: You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are!\Must be nice! response:	The person you like woke up!
context: What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are!\Must be nice!\The person you like woke up! response:	It's always you.
context: Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are!\Must be nice!\The person you like woke up!\It's always you. response:	All the good things always happen to you, Miuna!
context: You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are!\Must be nice!\The person you like woke up!\It's always you.\All the good things always happen to you, Miuna! response:	It's not fair!
context: Did you really want to flaunt your flirting with each other?\Flirt... We're not!\You are!\Must be nice!\The person you like woke up!\It's always you.\All the good things always happen to you, Miuna!\It's not fair! response:	What did I even come here for today?!
context: Flirt... We're not!\You are!\Must be nice!\The person you like woke up!\It's always you.\All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?! response:	I have to make it from the Nami Junior High pattern,
context: You are!\Must be nice!\The person you like woke up!\It's always you.\All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern, response:	so it might take a while.
context: Must be nice!\The person you like woke up!\It's always you.\All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while. response:	That's okay.
context: The person you like woke up!\It's always you.\All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay. response:	What?
context: It's always you.\All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay.\What? response:	I don't need one made after all.
context: All the good things always happen to you, Miuna!\It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay.\What?\I don't need one made after all. response:	Huh?
context: It's not fair!\What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay.\What?\I don't need one made after all.\Huh? response:	I'm really sorry!
context: What did I even come here for today?!\I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay.\What?\I don't need one made after all.\Huh?\I'm really sorry! response:	Oh...
context: I have to make it from the Nami Junior High pattern,\so it might take a while.\That's okay.\What?\I don't need one made after all.\Huh?\I'm really sorry!\Oh... response:	Stupid Sayu!
context: so it might take a while.\That's okay.\What?\I don't need one made after all.\Huh?\I'm really sorry!\Oh...\Stupid Sayu! response:	Stupid Miuna!
context: That's okay.\What?\I don't need one made after all.\Huh?\I'm really sorry!\Oh...\Stupid Sayu!\Stupid Miuna! response:	Uh, hey.
context: What?\I don't need one made after all.\Huh?\I'm really sorry!\Oh...\Stupid Sayu!\Stupid Miuna!\Uh, hey. response:	Sorry, I'm going home.
context: I don't need one made after all.\Huh?\I'm really sorry!\Oh...\Stupid Sayu!\Stupid Miuna!\Uh, hey.\Sorry, I'm going home. response:	Uh...
context: Huh?\I'm really sorry!\Oh...\Stupid Sayu!\Stupid Miuna!\Uh, hey.\Sorry, I'm going home.\Uh... response:	Uh, wha...
context: I'm really sorry!\Oh...\Stupid Sayu!\Stupid Miuna!\Uh, hey.\Sorry, I'm going home.\Uh...\Uh, wha... response:	Hello, Shiodome residence.
context: Oh...\Stupid Sayu!\Stupid Miuna!\Uh, hey.\Sorry, I'm going home.\Uh...\Uh, wha...\Hello, Shiodome residence. response:	Oh, Hikari.
context: Stupid Sayu!\Stupid Miuna!\Uh, hey.\Sorry, I'm going home.\Uh...\Uh, wha...\Hello, Shiodome residence.\Oh, Hikari. response:	Akira?
context: Stupid Miuna!\Uh, hey.\Sorry, I'm going home.\Uh...\Uh, wha...\Hello, Shiodome residence.\Oh, Hikari.\Akira? response:	Yeah, he has rubella.
context: Uh, hey.\Sorry, I'm going home.\Uh...\Uh, wha...\Hello, Shiodome residence.\Oh, Hikari.\Akira?\Yeah, he has rubella. response:	We got him some medicine, so he'll be fine.
context: Sorry, I'm going home.\Uh...\Uh, wha...\Hello, Shiodome residence.\Oh, Hikari.\Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine. response:	I see.
context: Uh...\Uh, wha...\Hello, Shiodome residence.\Oh, Hikari.\Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see. response:	That's good to hear.
context: Uh, wha...\Hello, Shiodome residence.\Oh, Hikari.\Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see.\That's good to hear. response:	By the way, I got separated from Miuna, but...
context: Hello, Shiodome residence.\Oh, Hikari.\Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see.\That's good to hear.\By the way, I got separated from Miuna, but... response:	Contact?
context: Oh, Hikari.\Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see.\That's good to hear.\By the way, I got separated from Miuna, but...\Contact? response:	No, I haven't heard from her. What's wrong?
context: Akira?\Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see.\That's good to hear.\By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong? response:	She's not nearby?
context: Yeah, he has rubella.\We got him some medicine, so he'll be fine.\I see.\That's good to hear.\By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong?\She's not nearby? response:	Uh, yeah...
context: We got him some medicine, so he'll be fine.\I see.\That's good to hear.\By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah... response:	Well, I'll head back now. Bye.
context: I see.\That's good to hear.\By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye. response:	Jeez...
context: That's good to hear.\By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye.\Jeez... response:	I'm sorry...
context: By the way, I got separated from Miuna, but...\Contact?\No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye.\Jeez...\I'm sorry... response:	No, that's not what I meant.
context: Contact?\No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye.\Jeez...\I'm sorry...\No, that's not what I meant. response:	I'm just trying to figure out what we should do to kill time till the next train.
context: No, I haven't heard from her. What's wrong?\She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye.\Jeez...\I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train. response:	But we missed it because of me...
context: She's not nearby?\Uh, yeah...\Well, I'll head back now. Bye.\Jeez...\I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me... response:	You guys haven't changed at all.
context: Uh, yeah...\Well, I'll head back now. Bye.\Jeez...\I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all. response:	Come on now, you're not supposed to make girls cry.
context: Well, I'll head back now. Bye.\Jeez...\I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry. response:	Sayama!
context: Jeez...\I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama! response:	Man, you gave the old guy quite the scare.
context: I'm sorry...\No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare. response:	What old guy?
context: No, that's not what I meant.\I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare.\What old guy? response:	Trying to act all mature...
context: I'm just trying to figure out what we should do to kill time till the next train.\But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature... response:	Yeah, well,
context: But we missed it because of me...\You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature...\Yeah, well, response:	I know about all sorts of things now.
context: You guys haven't changed at all.\Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature...\Yeah, well,\I know about all sorts of things now. response:	Yeah, you are a geezer after all.
context: Come on now, you're not supposed to make girls cry.\Sayama!\Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature...\Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all. response:	So since our place isn't as busy,
context: Sayama!\Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature...\Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy, response:	we've been getting back to going door-to-door.
context: Man, you gave the old guy quite the scare.\What old guy?\Trying to act all mature...\Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door. response:	Oh yeah, that shipyard over there...
context: What old guy?\Trying to act all mature...\Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there... response:	About three or four years ago, there were talks
context: Trying to act all mature...\Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks response:	about demolishing it and making it into a parking lot...
context: Yeah, well,\I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot... response:	But who'd even use it, right?
context: I know about all sorts of things now.\Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right? response:	Stop the car, Sayama.
context: Yeah, you are a geezer after all.\So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama. response:	What? Right now?
context: So since our place isn't as busy,\we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama.\What? Right now? response:	Could you give her a ride home?
context: we've been getting back to going door-to-door.\Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama.\What? Right now?\Could you give her a ride home? response:	Please.
context: Oh yeah, that shipyard over there...\About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama.\What? Right now?\Could you give her a ride home?\Please. response:	Be careful getting home.
context: About three or four years ago, there were talks\about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama.\What? Right now?\Could you give her a ride home?\Please.\Be careful getting home. response:	Do Not Enter
context: about demolishing it and making it into a parking lot...\But who'd even use it, right?\Stop the car, Sayama.\What? Right now?\Could you give her a ride home?\Please.\Be careful getting home.\Do Not Enter response:	You know, you haven't grown at all.
context: But who'd even use it, right?\Stop the car, Sayama.\What? Right now?\Could you give her a ride home?\Please.\Be careful getting home.\Do Not Enter\You know, you haven't grown at all. response:	Why...
context: Stop the car, Sayama.\What? Right now?\Could you give her a ride home?\Please.\Be careful getting home.\Do Not Enter\You know, you haven't grown at all.\Why... response:	You didn't have to come after me.
context: What? Right now?\Could you give her a ride home?\Please.\Be careful getting home.\Do Not Enter\You know, you haven't grown at all.\Why...\You didn't have to come after me. response:	Wow, talk about self-absorbed.
context: Could you give her a ride home?\Please.\Be careful getting home.\Do Not Enter\You know, you haven't grown at all.\Why...\You didn't have to come after me.\Wow, talk about self-absorbed. response:	I just came to find my old uniform that was left behind at the Ofunehiki.
context: Please.\Be careful getting home.\Do Not Enter\You know, you haven't grown at all.\Why...\You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki. response:	I'm totally kidding.
context: Be careful getting home.\Do Not Enter\You know, you haven't grown at all.\Why...\You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding. response:	I heard you got in a fight?
context: Do Not Enter\You know, you haven't grown at all.\Why...\You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight? response:	Girls always fight so quickly,
context: You know, you haven't grown at all.\Why...\You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly, response:	but then make up so quickly, too.
context: Why...\You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too. response:	I don't get it.
context: You didn't have to come after me.\Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too.\I don't get it. response:	I don't know... if we'll be able to make up.
context: Wow, talk about self-absorbed.\I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up. response:	That's not true.
context: I just came to find my old uniform that was left behind at the Ofunehiki.\I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up.\That's not true. response:	It is!
context: I'm totally kidding.\I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up.\That's not true.\It is! response:	Manaka and Chisaki used to fight all the time.
context: I heard you got in a fight?\Girls always fight so quickly,\but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up.\That's not true.\It is!\Manaka and Chisaki used to fight all the time. response:	Manaka-san and Chisaki-san did?
context: Girls always fight so quickly,\but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up.\That's not true.\It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did? response:	Yeah.
context: but then make up so quickly, too.\I don't get it.\I don't know... if we'll be able to make up.\That's not true.\It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah. response:	Usually, Chisaki would stop talking to her.
context: I don't get it.\I don't know... if we'll be able to make up.\That's not true.\It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her. response:	And then Manaka would cry.
context: I don't know... if we'll be able to make up.\That's not true.\It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry. response:	How'd they make up?
context: That's not true.\It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up? response:	Who knows?
context: It is!\Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up?\Who knows? response:	I think that Kaname might have helped out.
context: Manaka and Chisaki used to fight all the time.\Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up?\Who knows?\I think that Kaname might have helped out. response:	All right.
context: Manaka-san and Chisaki-san did?\Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up?\Who knows?\I think that Kaname might have helped out.\All right. response:	I guess I'll just have to play Kaname's role.
context: Yeah.\Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up?\Who knows?\I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role. response:	U-Um...
context: Usually, Chisaki would stop talking to her.\And then Manaka would cry.\How'd they make up?\Who knows?\I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role.\U-Um... response:	Your nose! It's totally like a red pig!
context: And then Manaka would cry.\How'd they make up?\Who knows?\I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig! response:	Idiot!
context: How'd they make up?\Who knows?\I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig!\Idiot! response:	Don't be mad!
context: Who knows?\I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig!\Idiot!\Don't be mad! response:	Idiot!
context: I think that Kaname might have helped out.\All right.\I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig!\Idiot!\Don't be mad!\Idiot! response:	Miu
context: All right.\I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig!\Idiot!\Don't be mad!\Idiot!\Miu response:	Miuna!
context: I guess I'll just have to play Kaname's role.\U-Um...\Your nose! It's totally like a red pig!\Idiot!\Don't be mad!\Idiot!\Miu\Miuna! response:	It's cold...
context: U-Um...\Your nose! It's totally like a red pig!\Idiot!\Don't be mad!\Idiot!\Miu\Miuna!\It's cold... response:	I can't breathe...
context: Your nose! It's totally like a red pig!\Idiot!\Don't be mad!\Idiot!\Miu\Miuna!\It's cold...\I can't breathe... response:	It hurts...
context: Idiot!\Don't be mad!\Idiot!\Miu\Miuna!\It's cold...\I can't breathe...\It hurts... response:	Hikari...
context: Don't be mad!\Idiot!\Miu\Miuna!\It's cold...\I can't breathe...\It hurts...\Hikari... response:	What's that noise?
context: Idiot!\Miu\Miuna!\It's cold...\I can't breathe...\It hurts...\Hikari...\What's that noise? response:	I can breathe?
context: Miu\Miuna!\It's cold...\I can't breathe...\It hurts...\Hikari...\What's that noise?\I can breathe? response:	Miuna!
context: Miuna!\It's cold...\I can't breathe...\It hurts...\Hikari...\What's that noise?\I can breathe?\Miuna! response:	Seeing Hikari in the sea...
context: It's cold...\I can't breathe...\It hurts...\Hikari...\What's that noise?\I can breathe?\Miuna!\Seeing Hikari in the sea... response:	He shouldn't look any different from usual...
context: I can't breathe...\It hurts...\Hikari...\What's that noise?\I can breathe?\Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual... response:	But he was much brighter and special.
context: It hurts...\Hikari...\What's that noise?\I can breathe?\Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special. response:	What are you doing?!
context: Hikari...\What's that noise?\I can breathe?\Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?! response:	I could swim!
context: What's that noise?\I can breathe?\Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?!\I could swim! response:	Wha?
context: I can breathe?\Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?!\I could swim!\Wha? response:	I could breathe!
context: Miuna!\Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?!\I could swim!\Wha?\I could breathe! response:	It's so pretty!
context: Seeing Hikari in the sea...\He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?!\I could swim!\Wha?\I could breathe!\It's so pretty! response:	The sea! It's amazing!
context: He shouldn't look any different from usual...\But he was much brighter and special.\What are you doing?!\I could swim!\Wha?\I could breathe!\It's so pretty!\The sea! It's amazing! response:	Come on!
context: But he was much brighter and special.\What are you doing?!\I could swim!\Wha?\I could breathe!\It's so pretty!\The sea! It's amazing!\Come on! response:	Wha... you...
context: What are you doing?!\I could swim!\Wha?\I could breathe!\It's so pretty!\The sea! It's amazing!\Come on!\Wha... you... response:	I have to tell Mom that I could swim!
context: I could swim!\Wha?\I could breathe!\It's so pretty!\The sea! It's amazing!\Come on!\Wha... you...\I have to tell Mom that I could swim! response:	It wasn't hard at all!
context: Wha?\I could breathe!\It's so pretty!\The sea! It's amazing!\Come on!\Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all! response:	Sayu?!
context: I could breathe!\It's so pretty!\The sea! It's amazing!\Come on!\Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?! response:	Thank goodness... you're okay...
context: It's so pretty!\The sea! It's amazing!\Come on!\Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?!\Thank goodness... you're okay... response:	I saw this on the ground...
context: The sea! It's amazing!\Come on!\Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?!\Thank goodness... you're okay...\I saw this on the ground... response:	Sayu...
context: Come on!\Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?!\Thank goodness... you're okay...\I saw this on the ground...\Sayu... response:	I'm sorry.
context: Wha... you...\I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?!\Thank goodness... you're okay...\I saw this on the ground...\Sayu...\I'm sorry. response:	Thank you.
context: I have to tell Mom that I could swim!\It wasn't hard at all!\Sayu?!\Thank goodness... you're okay...\I saw this on the ground...\Sayu...\I'm sorry.\Thank you. response:	Jeez!
context: It wasn't hard at all!\Sayu?!\Thank goodness... you're okay...\I saw this on the ground...\Sayu...\I'm sorry.\Thank you.\Jeez! response:	Does a pig live in there or something?
context: Sayu?!\Thank goodness... you're okay...\I saw this on the ground...\Sayu...\I'm sorry.\Thank you.\Jeez!\Does a pig live in there or something? response:	No!
context: Thank goodness... you're okay...\I saw this on the ground...\Sayu...\I'm sorry.\Thank you.\Jeez!\Does a pig live in there or something?\No! response:	How many are in there?
context: I saw this on the ground...\Sayu...\I'm sorry.\Thank you.\Jeez!\Does a pig live in there or something?\No!\How many are in there? response:	There aren't any!
context: Sayu...\I'm sorry.\Thank you.\Jeez!\Does a pig live in there or something?\No!\How many are in there?\There aren't any! response:	Jeez!
context: I'm sorry.\Thank you.\Jeez!\Does a pig live in there or something?\No!\How many are in there?\There aren't any!\Jeez! response:	Triangle
context: Thank you.\Jeez!\Does a pig live in there or something?\No!\How many are in there?\There aren't any!\Jeez!\Triangle response:	Pardon me...
context: Jeez!\Does a pig live in there or something?\No!\How many are in there?\There aren't any!\Jeez!\Triangle\Pardon me... response:	What day is it today?
context: Does a pig live in there or something?\No!\How many are in there?\There aren't any!\Jeez!\Triangle\Pardon me...\What day is it today? response:	Hey, good morning.
context: No!\How many are in there?\There aren't any!\Jeez!\Triangle\Pardon me...\What day is it today?\Hey, good morning. response:	Kaname...
context: How many are in there?\There aren't any!\Jeez!\Triangle\Pardon me...\What day is it today?\Hey, good morning.\Kaname... response:	When do you want to go see Kaname-san?
context: There aren't any!\Jeez!\Triangle\Pardon me...\What day is it today?\Hey, good morning.\Kaname...\When do you want to go see Kaname-san? response:	I'm not going.
context: Jeez!\Triangle\Pardon me...\What day is it today?\Hey, good morning.\Kaname...\When do you want to go see Kaname-san?\I'm not going. response:	A lot's changed, so it must have been surprising.
context: Triangle\Pardon me...\What day is it today?\Hey, good morning.\Kaname...\When do you want to go see Kaname-san?\I'm not going.\A lot's changed, so it must have been surprising. response:	Kaname changed?
context: Pardon me...\What day is it today?\Hey, good morning.\Kaname...\When do you want to go see Kaname-san?\I'm not going.\A lot's changed, so it must have been surprising.\Kaname changed? response:	There's no way things have changed since then.
context: What day is it today?\Hey, good morning.\Kaname...\When do you want to go see Kaname-san?\I'm not going.\A lot's changed, so it must have been surprising.\Kaname changed?\There's no way things have changed since then. response:	Episode Seventeen: The Sick Two
