context: Come in. response:	I feel bad for the people at Globe.
context: Ex-wife.\What do you think, Commander?\Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi.\You keep surprising me.\So here.\Daichi Manatsu. response:	Teppei Arashi.
context: What do you think, Commander?\Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi.\You keep surprising me.\So here.\Daichi Manatsu.\Teppei Arashi. response:	Hana Mutou.
context: Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi.\You keep surprising me.\So here.\Daichi Manatsu.\Teppei Arashi.\Hana Mutou. response:	Akari Yomatsuri.
context: You beat Amarok.\You're really amazing, Daichi.\You keep surprising me.\So here.\Daichi Manatsu.\Teppei Arashi.\Hana Mutou.\Akari Yomatsuri. response:	I hereby designate you members of the Globe Tanegashima base's independent attack force,
context: You're really amazing, Daichi.\You keep surprising me.\So here.\Daichi Manatsu.\Teppei Arashi.\Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force, response:	the Midsummer's Knights.
context: You keep surprising me.\So here.\Daichi Manatsu.\Teppei Arashi.\Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights. response:	Midsummer's...
context: So here.\Daichi Manatsu.\Teppei Arashi.\Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's... response:	Knights?
context: Daichi Manatsu.\Teppei Arashi.\Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's...\Knights? response:	Manatsu means Midsummer.
context: Teppei Arashi.\Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's...\Knights?\Manatsu means Midsummer. response:	Then that's it?
context: Hana Mutou.\Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's...\Knights?\Manatsu means Midsummer.\Then that's it? response:	Daichi Manatsu,
context: Akari Yomatsuri.\I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's...\Knights?\Manatsu means Midsummer.\Then that's it?\Daichi Manatsu, response:	I'm officially designating you driver of the Earth Engine.
context: I hereby designate you members of the Globe Tanegashima base's independent attack force,\the Midsummer's Knights.\Midsummer's...\Knights?\Manatsu means Midsummer.\Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine. response:	And you are the leader of this team.
context: the Midsummer's Knights.\Midsummer's...\Knights?\Manatsu means Midsummer.\Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team. response:	From now on, you are Captain Earth!
context: Midsummer's...\Knights?\Manatsu means Midsummer.\Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth! response:	What does a captain do?
context: Knights?\Manatsu means Midsummer.\Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do? response:	For now, let's eat our melons.
context: Manatsu means Midsummer.\Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons. response:	The Midsummer's Knights
context: Then that's it?\Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights response:	The Midsummer's Knights battle the Planetary Gears.
context: Daichi Manatsu,\I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears. response:	That's us!
context: I'm officially designating you driver of the Earth Engine.\And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us! response:	Hana's predictive abilities send us to a casino in Odaiba,
context: And you are the leader of this team.\From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us!\Hana's predictive abilities send us to a casino in Odaiba, response:	where we find Amarok and Malkin.
context: From now on, you are Captain Earth!\What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us!\Hana's predictive abilities send us to a casino in Odaiba,\where we find Amarok and Malkin. response:	And a new member of the Planetary Gears awakens.
context: What does a captain do?\For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us!\Hana's predictive abilities send us to a casino in Odaiba,\where we find Amarok and Malkin.\And a new member of the Planetary Gears awakens. response:	Sign From the Dark
context: For now, let's eat our melons.\The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us!\Hana's predictive abilities send us to a casino in Odaiba,\where we find Amarok and Malkin.\And a new member of the Planetary Gears awakens.\Sign From the Dark response:	Sign From the Dark.
context: The Midsummer's Knights\The Midsummer's Knights battle the Planetary Gears.\That's us!\Hana's predictive abilities send us to a casino in Odaiba,\where we find Amarok and Malkin.\And a new member of the Planetary Gears awakens.\Sign From the Dark\Sign From the Dark. response:	Earth Engine, scramble!
