context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: And that place is sunny because of you.\That's right.\It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself!\I should just be myself? response:	You've helped us all already, so now it's our turn to support you.
context: That's right.\It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you. response:	That's the type of kind leader you are.
context: It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are. response:	That's right.
context: Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right. response:	Your kindness is your strength.
context: And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right.\Your kindness is your strength. response:	You haven't realized it yet, boy,
context: So now it's my turn to say...\You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right.\Your kindness is your strength.\You haven't realized it yet, boy, response:	but your kindness drew all of us together.
context: You should just be yourself!\I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right.\Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together. response:	And that is why we all trust you.
context: I should just be myself?\You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right.\Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you. response:	I came up with our batting order and fielding positions.
context: You've helped us all already, so now it's our turn to support you.\That's the type of kind leader you are.\That's right.\Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions. response:	I've thought up a strategy too.
context: That's the type of kind leader you are.\That's right.\Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too. response:	I want to tell everyone about them.
context: That's right.\Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them. response:	As the leader of the Little Busters.
context: Your kindness is your strength.\You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters. response:	I knew you could do it.
context: You haven't realized it yet, boy,\but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it. response:	Kyousuke, I'm still weak right now.
context: but your kindness drew all of us together.\And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now. response:	But when I think about others, I feel like I can become stronger.
context: And that is why we all trust you.\I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger. response:	I want to become even stronger so that I can support everyone.
context: I came up with our batting order and fielding positions.\I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone. response:	So that, one day, I can be as good a leader as you were.
context: I've thought up a strategy too.\I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were. response:	Riki, ever since we were kids, we shared our fun and laughter.
context: I want to tell everyone about them.\As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter. response:	We've spent time together that made our hearts dance.
context: As the leader of the Little Busters.\I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance. response:	But every story has to come to an end.
context: I knew you could do it.\Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end. response:	No one can stay a kid forever.
context: Kyousuke, I'm still weak right now.\But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever. response:	Time passes, and people grow up.
context: But when I think about others, I feel like I can become stronger.\I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up. response:	There will come a day when we will no longer be together.
context: I want to become even stronger so that I can support everyone.\So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together. response:	I know that you're graduating a year before us.
context: So that, one day, I can be as good a leader as you were.\Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us. response:	And that we'll all go our separate ways some day, ending all of the fun that we've had.
context: Riki, ever since we were kids, we shared our fun and laughter.\We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had. response:	That's why you told me not to rely on you anymore, right?
context: We've spent time together that made our hearts dance.\But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right? response:	Even without me, you'll be able to keep going.
context: But every story has to come to an end.\No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going. response:	I'm going to become stronger.
context: No one can stay a kid forever.\Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger. response:	I know I will.
context: Time passes, and people grow up.\There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will. response:	The day will come when we go our separate ways.
context: There will come a day when we will no longer be together.\I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will.\The day will come when we go our separate ways. response:	But for now, let's play some baseball!
context: I know that you're graduating a year before us.\And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball! response:	Yeah!
context: And that we'll all go our separate ways some day, ending all of the fun that we've had.\That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah! response:	Let's enjoy the fact that the Little Busters are one.
context: That's why you told me not to rely on you anymore, right?\Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one. response:	Alright.
context: Even without me, you'll be able to keep going.\I'm going to become stronger.\I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright. response:	Let's start the game.
context: I'm going to become stronger.\I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game. response:	My balls aren't good. They'll hit them.
context: I know I will.\The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game.\My balls aren't good. They'll hit them. response:	Is that okay?
context: The day will come when we go our separate ways.\But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game.\My balls aren't good. They'll hit them.\Is that okay? response:	Rin, even if they hit them, we have your back.
context: But for now, let's play some baseball!\Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game.\My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back. response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Yeah!\Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game.\My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: Let's enjoy the fact that the Little Busters are one.\Alright.\Let's start the game.\My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Alright.\Let's start the game.\My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: Let's start the game.\My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	That's right!
context: My balls aren't good. They'll hit them.\Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right! response:	Rin-chan!
context: Is that okay?\Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right!\Rin-chan! response:	Wafu!
context: Rin, even if they hit them, we have your back.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right!\Rin-chan!\Wafu! response:	futari ja samishii kara wa ni natte te wo tsunaida
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right!\Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right!\Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	futari ja samishii kara wa ni natte te wo tsunaida
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\That's right!\Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: It was too hard for one to do, so two of us held hands\That's right!\Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	Throw it!
context: That's right!\Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it! response:	No fear!
context: Rin-chan!\Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear! response:	Believe in us, in your friends!
context: Wafu!\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear!\Believe in us, in your friends! response:	kitto sore ga ikusen no chikara ni mo nari
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	kitto sore ga ikusen no chikara ni mo nari
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: But two would be too lonely, so we all came together in a circle and held hands\Throw it!\No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	Let's give this everything we've got!
context: Throw it!\No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got! response:	donna yume mo tateru ki ga surunda
context: No fear!\Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: Believe in us, in your friends!\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	donna yume mo tateru ki ga surunda
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	Guys, it's not about winning or losing!
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing! response:	Let's give them the best game we can!
context: I'm sure that will be strength in itself,\Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can! response:	takaku tobe takaku sora he
context: Let's give this everything we've got!\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku tobe takaku sora he
context: Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky, response:	Yeah!
context: Enough to end any dream we have\Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\Yeah! response:	takaku kere takaku koe wo age
context: Guys, it's not about winning or losing!\Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: Let's give them the best game we can!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	takaku kere takaku koe wo age
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: takaku tobe takaku sora he\Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: Fly high, high into the sky,\Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	itsuka kujiketa sono hi no mukou made
context: Yeah!\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	minna de tsukutta wa wa ookiku narisugite
context: Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite response:	The circle we came together to make became too large
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large response:	minna de tsukutta wa wa ookiku narisugite
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite response:	The circle we came together to make became too large
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large response:	toki ni wa kimi ga doko ni iru no kamo wakaranakunatte
context: Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte response:	Sometimes I don't even know where you might be
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be response:	toki ni wa kimi ga doko ni iru no kamo wakaranakunatte
context: Even in the face of the oncoming grief\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte response:	Sometimes I don't even know where you might be
context: minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be response:	sotto dare ka ga kureta yasashii kotoba ga
context: The circle we came together to make became too large\minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga response:	But those kind words that someone once told me,
