context: Where are we going, Coach? response:	You'll know when we get there.
context: Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick, response:	Point of Impact
context: but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick,\Point of Impact response:	it's a toss that passes through the spiker's point of impact.
context: I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact. response:	Right...
context: and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact.\Right... response:	But you're going to stop it right there,
context: I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there, response:	at the point of impact.
context: but what do you mean by a toss that stops?\Listen. First...\When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there,\at the point of impact. response:	So, basically...
context: Listen. First...\When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there,\at the point of impact.\So, basically... response:	You're going to make the spiker's highest point of impact
context: When you're tossing for your weirdo quick,\Point of Impact\it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there,\at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact response:	the place you're going to aim for.
context: Point of Impact\it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there,\at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for. response:	You're not going to use so much force
context: it's a toss that passes through the spiker's point of impact.\Right...\But you're going to stop it right there,\at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force response:	that that the ball passes through the spiker's point of impact,
context: Right...\But you're going to stop it right there,\at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact, response:	You'll use just enough force to get to the spiker's point of impact, and then...
context: But you're going to stop it right there,\at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then... response:	The difficulty in controlling your power and how much backspin you put on it
context: at the point of impact.\So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it response:	isn't going to be like before.
context: So, basically...\You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before. response:	Not to mention B-quick, D-quick, and slide hits...
context: You're going to make the spiker's highest point of impact\the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits... response:	The farther out you get, the more difficult they'll become.
context: the place you're going to aim for.\You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become. response:	Can you do it?
context: You're not going to use so much force\that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it? response:	Are you giving the shrimp the exact tosses he wants?
context: that that the ball passes through the spiker's point of impact,\You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants? response:	Have you even tried to?
context: You'll use just enough force to get to the spiker's point of impact, and then...\The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to? response:	Don't Cause a Ruckus
context: The difficulty in controlling your power and how much backspin you put on it\isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus response:	I'll give it a try.
context: isn't going to be like before.\Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus\I'll give it a try. response:	Tanaka-san!
context: Not to mention B-quick, D-quick, and slide hits...\The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus\I'll give it a try.\Tanaka-san! response:	Oh?
context: The farther out you get, the more difficult they'll become.\Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus\I'll give it a try.\Tanaka-san!\Oh? response:	I-I'm sorry about the other day!
context: Can you do it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus\I'll give it a try.\Tanaka-san!\Oh?\I-I'm sorry about the other day! response:	No problem! Kageyama just came by, too.
context: Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Don't Cause a Ruckus\I'll give it a try.\Tanaka-san!\Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too. response:	I'm sorry for hitting you guys.
context: Have you even tried to?\Don't Cause a Ruckus\I'll give it a try.\Tanaka-san!\Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys. response:	Stop!
context: Don't Cause a Ruckus\I'll give it a try.\Tanaka-san!\Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop! response:	I got too worked up trying to stop you guys from fighting.
context: I'll give it a try.\Tanaka-san!\Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting. response:	Your punch really worked, Tanaka-san.
context: Tanaka-san!\Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san. response:	But don't fight in front of girls!
context: Oh?\I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls! response:	Yacchan's face was as pale as a ghost.
context: I-I'm sorry about the other day!\No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost. response:	T-T-Tanaka-shan!
context: No problem! Kageyama just came by, too.\I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan! response:	They're gonna die! They're gonna die!
context: I'm sorry for hitting you guys.\Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die! response:	What is? You're scary!
context: Stop!\I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary! response:	Also, don't fight in front of the Vice Principal, either.
context: I got too worked up trying to stop you guys from fighting.\Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either. response:	Fight anywhere else.
context: Your punch really worked, Tanaka-san.\But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else. response:	Right!
context: But don't fight in front of girls!\Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right! response:	Hinata, come here a sec.
context: Yacchan's face was as pale as a ghost.\T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right!\Hinata, come here a sec. response:	All right...
context: T-T-Tanaka-shan!\They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right!\Hinata, come here a sec.\All right... response:	When we're doing practice games, Hinata, you'll be on the B team for a while.
context: They're gonna die! They're gonna die!\What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right!\Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while. response:	Sugawara, I'm counting on you.
context: What is? You're scary!\Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right!\Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you. response:	Right!
context: Also, don't fight in front of the Vice Principal, either.\Fight anywhere else.\Right!\Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right! response:	All right, let's get this started!
context: Fight anywhere else.\Right!\Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right!\All right, let's get this started! response:	Make sure you stay hydrated!
context: Right!\Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right!\All right, let's get this started!\Make sure you stay hydrated! response:	Right!
context: Hinata, come here a sec.\All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right!\All right, let's get this started!\Make sure you stay hydrated!\Right! response:	Um, Hinata...
context: All right...\When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right!\All right, let's get this started!\Make sure you stay hydrated!\Right!\Um, Hinata... response:	U-Um, I was wondering if you were okay...
context: When we're doing practice games, Hinata, you'll be on the B team for a while.\Sugawara, I'm counting on you.\Right!\All right, let's get this started!\Make sure you stay hydrated!\Right!\Um, Hinata...\U-Um, I was wondering if you were okay... response:	You and Kageyama-kun, um, uh...
context: Sugawara, I'm counting on you.\Right!\All right, let's get this started!\Make sure you stay hydrated!\Right!\Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh... response:	I'm fine.
context: Right!\All right, let's get this started!\Make sure you stay hydrated!\Right!\Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine. response:	Year 3 Class 1
context: All right, let's get this started!\Make sure you stay hydrated!\Right!\Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1 response:	Yui! Sawamura-kun's here.
context: Make sure you stay hydrated!\Right!\Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here. response:	What?
context: Right!\Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here.\What? response:	Hey...
context: Um, Hinata...\U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here.\What?\Hey... response:	Once the girls finish practice,
context: U-Um, I was wondering if you were okay...\You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here.\What?\Hey...\Once the girls finish practice, response:	I was wondering if we could borrow the court
context: You and Kageyama-kun, um, uh...\I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here.\What?\Hey...\Once the girls finish practice,\I was wondering if we could borrow the court response:	until the gym closes, even just for a little bit.
context: I'm fine.\Year 3 Class 1\Yui! Sawamura-kun's here.\What?\Hey...\Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit. response:	Oh, sure. I'll go ask.
context: Year 3 Class 1\Yui! Sawamura-kun's here.\What?\Hey...\Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask. response:	Did something happen to the second gymnasium?
context: Yui! Sawamura-kun's here.\What?\Hey...\Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium? response:	No, it's just...
context: What?\Hey...\Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just... response:	A lot of the guys are doing their own practices.
context: Hey...\Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices. response:	so we don't have enough room.
context: Once the girls finish practice,\I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room. response:	Damn it.
context: I was wondering if we could borrow the court\until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it. response:	Serving is the ultimate attack...
context: until the gym closes, even just for a little bit.\Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it.\Serving is the ultimate attack... response:	The only one at Karasuno
context: Oh, sure. I'll go ask.\Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it.\Serving is the ultimate attack...\The only one at Karasuno response:	who can safely use a jump serve is Kageyama.
context: Did something happen to the second gymnasium?\No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it.\Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama. response:	I'm not good enough to be able to use it safely in matches.
context: No, it's just...\A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it.\Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches. response:	But then...
context: A lot of the guys are doing their own practices.\so we don't have enough room.\Damn it.\Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then... response:	I couldn't call it a weapon!
context: so we don't have enough room.\Damn it.\Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon! response:	Asahi-san!
context: Damn it.\Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon!\Asahi-san! response:	A Match for a Thousand
context: Serving is the ultimate attack...\The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand response:	Mind if I join you?
context: The only one at Karasuno\who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand\Mind if I join you? response:	Oh, yeah. Sure.
context: who can safely use a jump serve is Kageyama.\I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure. response:	He casually scooped it up upon entering... Damn it.
context: I'm not good enough to be able to use it safely in matches.\But then...\I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it. response:	Would you mind hitting some of my tosses?
context: But then...\I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses? response:	Yeah, sure.
context: I couldn't call it a weapon!\Asahi-san!\A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure. response:	Uh, wait, what?
context: Asahi-san!\A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what? response:	You're going to toss?
context: A Match for a Thousand\Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what?\You're going to toss? response:	Could it be...
context: Mind if I join you?\Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what?\You're going to toss?\Could it be... response:	He's gonna try what Seijoh's libero was doing?
context: Oh, yeah. Sure.\He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what?\You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing? response:	I'll help you with your serves, too, Asahi-san.
context: He casually scooped it up upon entering... Damn it.\Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what?\You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san. response:	I can't be left behind...
context: Would you mind hitting some of my tosses?\Yeah, sure.\Uh, wait, what?\You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind... response:	Sure. Let's do this.
context: Yeah, sure.\Uh, wait, what?\You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this. response:	All right!
context: Uh, wait, what?\You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this.\All right! response:	First Gymnasium
context: You're going to toss?\Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this.\All right!\First Gymnasium response:	We'll leave the rest up to you guys.
context: Could it be...\He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this.\All right!\First Gymnasium\We'll leave the rest up to you guys. response:	Thanks!
context: He's gonna try what Seijoh's libero was doing?\I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this.\All right!\First Gymnasium\We'll leave the rest up to you guys.\Thanks! response:	Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872
context: I'll help you with your serves, too, Asahi-san.\I can't be left behind...\Sure. Let's do this.\All right!\First Gymnasium\We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872 response:	Oh, here it is.
context: I can't be left behind...\Sure. Let's do this.\All right!\First Gymnasium\We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is. response:	Is this a video of Brazil's attacks?
context: Sure. Let's do this.\All right!\First Gymnasium\We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks? response:	They all started moving at once.
context: All right!\First Gymnasium\We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once. response:	Shinzen's attack was like this, too.
context: First Gymnasium\We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too. response:	Um...
context: We'll leave the rest up to you guys.\Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too.\Um... response:	A synchronized attack.
context: Thanks!\Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too.\Um...\A synchronized attack. response:	Next, please.
context: Mens' Volleyball Brazil Compilation Views: 4419 World Volleyball Simultaneous Attack From Various Positions Compilation Views 87872\Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too.\Um...\A synchronized attack.\Next, please. response:	Got it!
context: Oh, here it is.\Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too.\Um...\A synchronized attack.\Next, please.\Got it! response:	Good evening!
context: Is this a video of Brazil's attacks?\They all started moving at once.\Shinzen's attack was like this, too.\Um...\A synchronized attack.\Next, please.\Got it!\Good evening! response:	Sho-chan.
context: They all started moving at once.\Shinzen's attack was like this, too.\Um...\A synchronized attack.\Next, please.\Got it!\Good evening!\Sho-chan. response:	There you are, Shrimpy.
context: Shinzen's attack was like this, too.\Um...\A synchronized attack.\Next, please.\Got it!\Good evening!\Sho-chan.\There you are, Shrimpy. response:	Um, Coach Ukai,
context: Um...\A synchronized attack.\Next, please.\Got it!\Good evening!\Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai, response:	I've been meaning to tell you...
context: A synchronized attack.\Next, please.\Got it!\Good evening!\Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you... response:	But I'm not Shrimpy.
context: Next, please.\Got it!\Good evening!\Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy. response:	It's a good enough name for a crappy player like you.
context: Got it!\Good evening!\Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you. response:	Come on! Let's go, Shrimpy!
context: Good evening!\Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy! response:	I'm ready!
context: Sho-chan.\There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready! response:	You need to put all your thought into jumping with all your might.
context: There you are, Shrimpy.\Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might. response:	There you go.
context: Um, Coach Ukai,\I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might.\There you go. response:	You need to be able to hit the ball at any time, at will,
context: I've been meaning to tell you...\But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will, response:	regardless of who the setter is.
context: But I'm not Shrimpy.\It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is. response:	Right!
context: It's a good enough name for a crappy player like you.\Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right! response:	Don't try to match them!
context: Come on! Let's go, Shrimpy!\I'm ready!\You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right!\Don't try to match them! response:	You need to jump at your own pace,
context: I'm ready!\You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right!\Don't try to match them!\You need to jump at your own pace, response:	not anyone else's.
context: You need to put all your thought into jumping with all your might.\There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right!\Don't try to match them!\You need to jump at your own pace,\not anyone else's. response:	You need to fight with your own will!
context: There you go.\You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right!\Don't try to match them!\You need to jump at your own pace,\not anyone else's.\You need to fight with your own will! response:	Let's go!
context: You need to be able to hit the ball at any time, at will,\regardless of who the setter is.\Right!\Don't try to match them!\You need to jump at your own pace,\not anyone else's.\You need to fight with your own will!\Let's go! response:	Hey, Tsukki.
context: regardless of who the setter is.\Right!\Don't try to match them!\You need to jump at your own pace,\not anyone else's.\You need to fight with your own will!\Let's go!\Hey, Tsukki. response:	I'm gonna head this way.
context: Right!\Don't try to match them!\You need to jump at your own pace,\not anyone else's.\You need to fight with your own will!\Let's go!\Hey, Tsukki.\I'm gonna head this way. response:	I'm gonna go practice serves at Shimada-san's place.
context: Don't try to match them!\You need to jump at your own pace,\not anyone else's.\You need to fight with your own will!\Let's go!\Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place. response:	Yeah.
context: You need to jump at your own pace,\not anyone else's.\You need to fight with your own will!\Let's go!\Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah. response:	See ya.
context: not anyone else's.\You need to fight with your own will!\Let's go!\Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya. response:	Tempo
context: You need to fight with your own will!\Let's go!\Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya.\Tempo response:	Veteran
context: Let's go!\Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya.\Tempo\Veteran response:	Shimada Mart
context: Hey, Tsukki.\I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya.\Tempo\Veteran\Shimada Mart response:	Report Card
context: I'm gonna head this way.\I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya.\Tempo\Veteran\Shimada Mart\Report Card response:	Karasuno High School
context: I'm gonna go practice serves at Shimada-san's place.\Yeah.\See ya.\Tempo\Veteran\Shimada Mart\Report Card\Karasuno High School response:	Ice
context: Yeah.\See ya.\Tempo\Veteran\Shimada Mart\Report Card\Karasuno High School\Ice response:	Woof
