context: Invade the Empire of Misurugi?! response:	Embryo is in charge of all of the human world's defenses.
context: My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo.\How could you...\Momoka...\You're going to live on.\I'll be back by your side, I promise.\No. response:	No, Tusk.
context: To think, a homunculus rejected me.\Embryo.\How could you...\Momoka...\You're going to live on.\I'll be back by your side, I promise.\No.\No, Tusk. response:	Tusk.
context: Embryo.\How could you...\Momoka...\You're going to live on.\I'll be back by your side, I promise.\No.\No, Tusk.\Tusk. response:	Tusk!
context: How could you...\Momoka...\You're going to live on.\I'll be back by your side, I promise.\No.\No, Tusk.\Tusk.\Tusk! response:	You slave.
context: Momoka...\You're going to live on.\I'll be back by your side, I promise.\No.\No, Tusk.\Tusk.\Tusk!\You slave. response:	No one likes persistent men!
context: You're going to live on.\I'll be back by your side, I promise.\No.\No, Tusk.\Tusk.\Tusk!\You slave.\No one likes persistent men! response:	No way.
context: I'll be back by your side, I promise.\No.\No, Tusk.\Tusk.\Tusk!\You slave.\No one likes persistent men!\No way. response:	Right?
context: No.\No, Tusk.\Tusk.\Tusk!\You slave.\No one likes persistent men!\No way.\Right? response:	No way.
context: No, Tusk.\Tusk.\Tusk!\You slave.\No one likes persistent men!\No way.\Right?\No way. response:	Right? Momoka? Tusk?
context: Tusk.\Tusk!\You slave.\No one likes persistent men!\No way.\Right?\No way.\Right? Momoka? Tusk? response:	Don't leave me...
context: Tusk!\You slave.\No one likes persistent men!\No way.\Right?\No way.\Right? Momoka? Tusk?\Don't leave me... response:	Next Episode
context: You slave.\No one likes persistent men!\No way.\Right?\No way.\Right? Momoka? Tusk?\Don't leave me...\Next Episode response:	I can't believe it! Tusk and Momoka?!
context: No one likes persistent men!\No way.\Right?\No way.\Right? Momoka? Tusk?\Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?! response:	We'll have to take over for them.
context: No way.\Right?\No way.\Right? Momoka? Tusk?\Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?!\We'll have to take over for them. response:	I'm Tusk, then!
context: Right?\No way.\Right? Momoka? Tusk?\Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?!\We'll have to take over for them.\I'm Tusk, then! response:	I'm the maid?!
context: No way.\Right? Momoka? Tusk?\Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?!\We'll have to take over for them.\I'm Tusk, then!\I'm the maid?! response:	Ch-Cheer up, Angelise-sama!
context: Right? Momoka? Tusk?\Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?!\We'll have to take over for them.\I'm Tusk, then!\I'm the maid?!\Ch-Cheer up, Angelise-sama! response:	That's too much.
context: Don't leave me...\Next Episode\I can't believe it! Tusk and Momoka?!\We'll have to take over for them.\I'm Tusk, then!\I'm the maid?!\Ch-Cheer up, Angelise-sama!\That's too much. response:	Look who's talking.
