context: Your Majesty. response:	If I may, you don't have to go yourself.
context: All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice! response:	Why...?
context: It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...? response:	A fitting end for a devil.
context: Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...?\A fitting end for a devil. response:	In the end, he was consumed by his own power.
context: Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...?\A fitting end for a devil.\In the end, he was consumed by his own power. response:	Be thankful, filthy Devil, that God still sees fit to purify you.
context: Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...?\A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you. response:	Why? Why is this happening to me?!
context: Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...?\A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?! response:	I am God's apostle!
context: become an offering to the gods as you howl in pain!\Blood Sacrifice!\Why...?\A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle! response:	The Pope!
context: Blood Sacrifice!\Why...?\A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle!\The Pope! response:	This can't be!
context: Why...?\A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle!\The Pope!\This can't be! response:	Did we... win?
context: A fitting end for a devil.\In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle!\The Pope!\This can't be!\Did we... win? response:	No... The Cathedral and the pope...
context: In the end, he was consumed by his own power.\Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle!\The Pope!\This can't be!\Did we... win?\No... The Cathedral and the pope... response:	This battle is over. Accept your defeat and surrender.
context: Be thankful, filthy Devil, that God still sees fit to purify you.\Why? Why is this happening to me?!\I am God's apostle!\The Pope!\This can't be!\Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender. response:	It's the queen's forces.
context: Why? Why is this happening to me?!\I am God's apostle!\The Pope!\This can't be!\Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces. response:	Yeah.
context: I am God's apostle!\The Pope!\This can't be!\Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah. response:	Naofumi-sama!
context: The Pope!\This can't be!\Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah.\Naofumi-sama! response:	Hang in there!
context: This can't be!\Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah.\Naofumi-sama!\Hang in there! response:	Master!
context: Did we... win?\No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah.\Naofumi-sama!\Hang in there!\Master! response:	He's lost so much blood, and then there was that skill...
context: No... The Cathedral and the pope...\This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah.\Naofumi-sama!\Hang in there!\Master!\He's lost so much blood, and then there was that skill... response:	I think Naofumi gave up his own life to...
context: This battle is over. Accept your defeat and surrender.\It's the queen's forces.\Yeah.\Naofumi-sama!\Hang in there!\Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to... response:	No... Naofumi-sama!
context: It's the queen's forces.\Yeah.\Naofumi-sama!\Hang in there!\Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama! response:	Naofumi-sama!
context: Yeah.\Naofumi-sama!\Hang in there!\Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama! response:	Answer me, Master!
context: Naofumi-sama!\Hang in there!\Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama!\Answer me, Master! response:	Hang in there, Naofumi!
context: Hang in there!\Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi! response:	I won't let the Shield Hero die.
context: Master!\He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die. response:	Mother!
context: He's lost so much blood, and then there was that skill...\I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother! response:	I'm terribly sorry I couldn't help in time,
context: I think Naofumi gave up his own life to...\No... Naofumi-sama!\Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother!\I'm terribly sorry I couldn't help in time, response:	Shield Hero Naofumi Iwatani-sama.
context: No... Naofumi-sama!\Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother!\I'm terribly sorry I couldn't help in time,\Shield Hero Naofumi Iwatani-sama. response:	You are...
context: Naofumi-sama!\Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother!\I'm terribly sorry I couldn't help in time,\Shield Hero Naofumi Iwatani-sama.\You are... response:	I am the Queen of Melromarc,
context: Answer me, Master!\Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother!\I'm terribly sorry I couldn't help in time,\Shield Hero Naofumi Iwatani-sama.\You are...\I am the Queen of Melromarc, response:	Mirelia Q. Melromarc.
context: Hang in there, Naofumi!\I won't let the Shield Hero die.\Mother!\I'm terribly sorry I couldn't help in time,\Shield Hero Naofumi Iwatani-sama.\You are...\I am the Queen of Melromarc,\Mirelia Q. Melromarc. response:	Naofumi's Triumphant Return
