context: Fist of Flowing Water, Crushed Rock! response:	Those moves are the perfect offense and defense alike.
context: If that's being reckless, then...\Genos!\At this rate... I'm...\unworthy.\Jet Drive Arrow!\You impudent creature!\What?!\He went into its mouth! response:	Die!
context: Genos!\At this rate... I'm...\unworthy.\Jet Drive Arrow!\You impudent creature!\What?!\He went into its mouth!\Die! response:	This is... digestive fluid!
context: At this rate... I'm...\unworthy.\Jet Drive Arrow!\You impudent creature!\What?!\He went into its mouth!\Die!\This is... digestive fluid! response:	I'll melt you until there's nothing left!
context: unworthy.\Jet Drive Arrow!\You impudent creature!\What?!\He went into its mouth!\Die!\This is... digestive fluid!\I'll melt you until there's nothing left! response:	You're the one...
context: Jet Drive Arrow!\You impudent creature!\What?!\He went into its mouth!\Die!\This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one... response:	who's going to melt!
context: You impudent creature!\What?!\He went into its mouth!\Die!\This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one...\who's going to melt! response:	Ultra Spiral Incineration Cannon!
context: What?!\He went into its mouth!\Die!\This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon! response:	He did it!
context: He went into its mouth!\Die!\This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon!\He did it! response:	Again...
context: Die!\This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon!\He did it!\Again... response:	I cannot...
context: This is... digestive fluid!\I'll melt you until there's nothing left!\You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon!\He did it!\Again...\I cannot... response:	defeat him...
context: I'll melt you until there's nothing left!\You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon!\He did it!\Again...\I cannot...\defeat him... response:	I cannot protect them!
context: You're the one...\who's going to melt!\Ultra Spiral Incineration Cannon!\He did it!\Again...\I cannot...\defeat him...\I cannot protect them! response:	Run, Big Bro!
context: who's going to melt!\Ultra Spiral Incineration Cannon!\He did it!\Again...\I cannot...\defeat him...\I cannot protect them!\Run, Big Bro! response:	It's no use!
context: Ultra Spiral Incineration Cannon!\He did it!\Again...\I cannot...\defeat him...\I cannot protect them!\Run, Big Bro!\It's no use! response:	What's the matter?
context: He did it!\Again...\I cannot...\defeat him...\I cannot protect them!\Run, Big Bro!\It's no use!\What's the matter? response:	You sure quieted down, hero hunter.
context: Again...\I cannot...\defeat him...\I cannot protect them!\Run, Big Bro!\It's no use!\What's the matter?\You sure quieted down, hero hunter. response:	I just don't agree with how this battle ended.
context: I cannot...\defeat him...\I cannot protect them!\Run, Big Bro!\It's no use!\What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended. response:	I want to defeat them on my own.
context: defeat him...\I cannot protect them!\Run, Big Bro!\It's no use!\What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own. response:	Then I would become the greatest object of fear.
context: I cannot protect them!\Run, Big Bro!\It's no use!\What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear. response:	That's the point of being the hero hunter.
context: Run, Big Bro!\It's no use!\What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter. response:	Object of fear? You?
context: It's no use!\What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You? response:	You don't have the strength
context: What's the matter?\You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength response:	to defy the likes of Centichoro or the upper echelon of the Monster Association.
context: You sure quieted down, hero hunter.\I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association. response:	Just you wait...
context: I just don't agree with how this battle ended.\I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait... response:	What is it that I'm lacking?
context: I want to defeat them on my own.\Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking? response:	There are still others like him?
context: Then I would become the greatest object of fear.\That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking?\There are still others like him? response:	Is there nothing I can do against these opponents but just watch?
context: That's the point of being the hero hunter.\Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch? response:	Bang, this isn't good.
context: Object of fear? You?\You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good. response:	We're going to end up back in the city.
context: You don't have the strength\to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city. response:	There will be civilian casualties!
context: to defy the likes of Centichoro or the upper echelon of the Monster Association.\Just you wait...\What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties! response:	Bang?
context: Just you wait...\What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties!\Bang? response:	Big Bro.
context: What is it that I'm lacking?\There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties!\Bang?\Big Bro. response:	I guess it's do or die.
context: There are still others like him?\Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties!\Bang?\Big Bro.\I guess it's do or die. response:	I will exert my life's last remaining strength!
context: Is there nothing I can do against these opponents but just watch?\Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties!\Bang?\Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength! response:	Courage...
context: Bang, this isn't good.\We're going to end up back in the city.\There will be civilian casualties!\Bang?\Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength!\Courage... response:	Centichoro!
context: We're going to end up back in the city.\There will be civilian casualties!\Bang?\Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength!\Courage...\Centichoro! response:	Hey, you pest!
context: There will be civilian casualties!\Bang?\Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength!\Courage...\Centichoro!\Hey, you pest! response:	I brought you Blast, the guy you've been looking for!
context: Bang?\Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength!\Courage...\Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for! response:	That's King's voice!
context: Big Bro.\I guess it's do or die.\I will exert my life's last remaining strength!\Courage...\Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice! response:	Blast?!
context: I guess it's do or die.\I will exert my life's last remaining strength!\Courage...\Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?! response:	Hey, look!
context: I will exert my life's last remaining strength!\Courage...\Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?!\Hey, look! response:	He's turning toward the voice!
context: Courage...\Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?!\Hey, look!\He's turning toward the voice! response:	Blast?
context: Centichoro!\Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?!\Hey, look!\He's turning toward the voice!\Blast? response:	That's right!
context: Hey, you pest!\I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?!\Hey, look!\He's turning toward the voice!\Blast?\That's right! response:	The one who beat you so bad that you pissed yourself as you ran away!
context: I brought you Blast, the guy you've been looking for!\That's King's voice!\Blast?!\Hey, look!\He's turning toward the voice!\Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away! response:	The hero Blast!
context: That's King's voice!\Blast?!\Hey, look!\He's turning toward the voice!\Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast! response:	If you want to fight him again, come over here!
context: Blast?!\Hey, look!\He's turning toward the voice!\Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here! response:	What's wrong? You scared?
context: Hey, look!\He's turning toward the voice!\Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared? response:	You coward!
context: He's turning toward the voice!\Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared?\You coward! response:	Hey, if you're going to shit yourself, do that at home!
context: Blast?\That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home! response:	Vermin like you should go back into the ground and suckle on your mama's teat!
context: That's right!\The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat! response:	Looks like King made it in time.
context: The one who beat you so bad that you pissed yourself as you ran away!\The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time. response:	Yes.
context: The hero Blast!\If you want to fight him again, come over here!\What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes. response:	He had mentioned that he wanted something to provoke Centichoro.
context: If you want to fight him again, come over here!\What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro. response:	Is he trying to draw him in close and fight him one-on-one?
context: What's wrong? You scared?\You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one? response:	I know it's top secret,
context: You coward!\Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret, response:	but I told him about Centichoro's grudge against Blast.
context: Hey, if you're going to shit yourself, do that at home!\Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast. response:	What did he say?
context: Vermin like you should go back into the ground and suckle on your mama's teat!\Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say? response:	He just said... Understood.
context: Looks like King made it in time.\Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood. response:	And then I heard the rumbling of the King Engine.
context: Yes.\He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine. response:	To finish this, I need to bring him over here and make sure
context: He had mentioned that he wanted something to provoke Centichoro.\Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure response:	our attack doesn't cause any casualties in the city.
context: Is he trying to draw him in close and fight him one-on-one?\I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city. response:	Those are the rules.
context: I know it's top secret,\but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules. response:	Saitama?
context: but I told him about Centichoro's grudge against Blast.\What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama? response:	Saitama!
context: What did he say?\He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama?\Saitama! response:	Is that you, Genos?
context: He just said... Understood.\And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama?\Saitama!\Is that you, Genos? response:	I figured you'd be here.
context: And then I heard the rumbling of the King Engine.\To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama?\Saitama!\Is that you, Genos?\I figured you'd be here. response:	It's a good thing we came.
context: To finish this, I need to bring him over here and make sure\our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama?\Saitama!\Is that you, Genos?\I figured you'd be here.\It's a good thing we came. response:	Huh? Saitama, you look refreshed...
context: our attack doesn't cause any casualties in the city.\Those are the rules.\Saitama?\Saitama!\Is that you, Genos?\I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed... response:	I feel like I was able to blow off some steam.
context: Those are the rules.\Saitama?\Saitama!\Is that you, Genos?\I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam. response:	I kept losing to you at video games, so I was pretty stressed out.
context: Saitama?\Saitama!\Is that you, Genos?\I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out. response:	You were still annoyed about that?
context: Saitama!\Is that you, Genos?\I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that? response:	Master Saitama!
context: Is that you, Genos?\I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama! response:	There's something I'd like to ask you.
context: I figured you'd be here.\It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you. response:	What's up?
context: It's a good thing we came.\Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you.\What's up? response:	What do you think I'm lacking?
context: Huh? Saitama, you look refreshed...\I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you.\What's up?\What do you think I'm lacking? response:	Huh? Probably power?
context: I feel like I was able to blow off some steam.\I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you.\What's up?\What do you think I'm lacking?\Huh? Probably power? response:	Thank you very much!
context: I kept losing to you at video games, so I was pretty stressed out.\You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you.\What's up?\What do you think I'm lacking?\Huh? Probably power?\Thank you very much! response:	No... Don't use Saitama as an example...
context: You were still annoyed about that?\Master Saitama!\There's something I'd like to ask you.\What's up?\What do you think I'm lacking?\Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example... response:	Genos!
context: Master Saitama!\There's something I'd like to ask you.\What's up?\What do you think I'm lacking?\Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example...\Genos! response:	Your battles show me the way, Master.
context: There's something I'd like to ask you.\What's up?\What do you think I'm lacking?\Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master. response:	He has shown me true strength and the destination I should strive for.
context: What's up?\What do you think I'm lacking?\Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master.\He has shown me true strength and the destination I should strive for. response:	I will also head there.
context: What do you think I'm lacking?\Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master.\He has shown me true strength and the destination I should strive for.\I will also head there. response:	Let's go home.
context: Huh? Probably power?\Thank you very much!\No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master.\He has shown me true strength and the destination I should strive for.\I will also head there.\Let's go home. response:	Garo? Looks like he passed out.
context: Thank you very much!\No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master.\He has shown me true strength and the destination I should strive for.\I will also head there.\Let's go home.\Garo? Looks like he passed out. response:	Get plenty of rest.
context: No... Don't use Saitama as an example...\Genos!\Your battles show me the way, Master.\He has shown me true strength and the destination I should strive for.\I will also head there.\Let's go home.\Garo? Looks like he passed out.\Get plenty of rest. response:	We'll reach Orochi soon.
