context: I have a slight concern. response:	I would like to take a small number from our forces to eliminate it.
context: For saving me.\Where am I?\I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru!\Subaru! response:	Subaru!
context: Where am I?\I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru!\Subaru!\Subaru! response:	Oh, hey. I can hear, after all.
context: I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru!\Subaru!\Subaru!\Oh, hey. I can hear, after all. response:	Subaru!
context: I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru!\Subaru!\Subaru!\Oh, hey. I can hear, after all.\Subaru! response:	Subaru, you're awake?
context: Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru!\Subaru!\Subaru!\Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake? response:	Thank goodness... I'm so glad.
context: I don't feel too bad, though.\Subaru!\Subaru!\Subaru!\Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad. response:	I'm lying down, and Emilia is kneeling.
context: Subaru!\Subaru!\Subaru!\Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling. response:	And considering our distance and the heavenly sensation under my head...
context: Subaru!\Subaru!\Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head... response:	You don't have to go through all that.
context: Subaru!\Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that. response:	Your head is on my lap. It isn't uncomfortable, is it?
context: Oh, hey. I can hear, after all.\Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it? response:	I know of no finer, more divine pillow.
context: Subaru!\Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow. response:	Um...
context: Subaru, you're awake?\Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um... response:	Can I ask how things turned out?
context: Thank goodness... I'm so glad.\I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um...\Can I ask how things turned out? response:	Honestly...
context: I'm lying down, and Emilia is kneeling.\And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um...\Can I ask how things turned out?\Honestly... response:	I'm the one who wants to ask what's going on.
context: And considering our distance and the heavenly sensation under my head...\You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um...\Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on. response:	Is Patrasche okay?
context: You don't have to go through all that.\Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um...\Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay? response:	I wanna become the wind with that little guy again.
context: Your head is on my lap. It isn't uncomfortable, is it?\I know of no finer, more divine pillow.\Um...\Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again. response:	He was pretty burned,
context: I know of no finer, more divine pillow.\Um...\Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned, response:	but he'll be fine.
context: Um...\Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine. response:	Felis is looking at him.
context: Can I ask how things turned out?\Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine.\Felis is looking at him. response:	Oh, Felis joined us, too?
context: Honestly...\I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too? response:	Have I been out for a pretty long time?
context: I'm the one who wants to ask what's going on.\Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time? response:	About an hour or two.
context: Is Patrasche okay?\I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two. response:	Then, everyone's together now?
context: I wanna become the wind with that little guy again.\He was pretty burned,\but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now? response:	Julius, as well.
context: He was pretty burned,\but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now?\Julius, as well. response:	I was really surprised.
context: but he'll be fine.\Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now?\Julius, as well.\I was really surprised. response:	I never expected to see you two together.
context: Felis is looking at him.\Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now?\Julius, as well.\I was really surprised.\I never expected to see you two together. response:	It was for reasons bluer than the mountains,
context: Oh, Felis joined us, too?\Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now?\Julius, as well.\I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains, response:	and taller than the seas, Emilia-tan.
context: Have I been out for a pretty long time?\About an hour or two.\Then, everyone's together now?\Julius, as well.\I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan. response:	I finally made it back.
context: About an hour or two.\Then, everyone's together now?\Julius, as well.\I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back. response:	I feel like I was having a really long dream.
context: Then, everyone's together now?\Julius, as well.\I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream. response:	A terrible dream...
context: Julius, as well.\I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream.\A terrible dream... response:	No, it wasn't.
context: I was really surprised.\I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream.\A terrible dream...\No, it wasn't. response:	A good dream, then?
context: I never expected to see you two together.\It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream.\A terrible dream...\No, it wasn't.\A good dream, then? response:	A good reality.
context: It was for reasons bluer than the mountains,\and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream.\A terrible dream...\No, it wasn't.\A good dream, then?\A good reality. response:	Back then, you asked me why...
context: and taller than the seas, Emilia-tan.\I finally made it back.\I feel like I was having a really long dream.\A terrible dream...\No, it wasn't.\A good dream, then?\A good reality.\Back then, you asked me why... response:	Why I saved you,
context: I finally made it back.\I feel like I was having a really long dream.\A terrible dream...\No, it wasn't.\A good dream, then?\A good reality.\Back then, you asked me why...\Why I saved you, response:	why I try so hard at everything.
context: I feel like I was having a really long dream.\A terrible dream...\No, it wasn't.\A good dream, then?\A good reality.\Back then, you asked me why...\Why I saved you,\why I try so hard at everything. response:	You asked me why.
context: A terrible dream...\No, it wasn't.\A good dream, then?\A good reality.\Back then, you asked me why...\Why I saved you,\why I try so hard at everything.\You asked me why. response:	Yeah.
context: No, it wasn't.\A good dream, then?\A good reality.\Back then, you asked me why...\Why I saved you,\why I try so hard at everything.\You asked me why.\Yeah. response:	And you said it was because I saved you...
context: A good dream, then?\A good reality.\Back then, you asked me why...\Why I saved you,\why I try so hard at everything.\You asked me why.\Yeah.\And you said it was because I saved you... response:	But I haven't done anything like that.
context: A good reality.\Back then, you asked me why...\Why I saved you,\why I try so hard at everything.\You asked me why.\Yeah.\And you said it was because I saved you...\But I haven't done anything like that. response:	I've never been able to.
context: Back then, you asked me why...\Why I saved you,\why I try so hard at everything.\You asked me why.\Yeah.\And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to. response:	You're the one who's always saving me.
context: Why I saved you,\why I try so hard at everything.\You asked me why.\Yeah.\And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me. response:	I never could do anything for you.
context: why I try so hard at everything.\You asked me why.\Yeah.\And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me.\I never could do anything for you. response:	And yet, you got yourself hurt, and said it was for my sake...
context: You asked me why.\Yeah.\And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake... response:	No, I was messed up back then.
context: Yeah.\And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then. response:	I was thinking only of myself.
context: And you said it was because I saved you...\But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself. response:	I said it was all for you,
context: But I haven't done anything like that.\I've never been able to.\You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself.\I said it was all for you, response:	when I was really just drunk on the idea of doing it for you.
context: I've never been able to.\You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you. response:	I had it in my head that if I said that, you'd accept it.
context: You're the one who's always saving me.\I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it. response:	Subaru...
context: I never could do anything for you.\And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru... response:	I'm sorry.
context: And yet, you got yourself hurt, and said it was for my sake...\No, I was messed up back then.\I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry. response:	I used you for my own self-satisfaction.
context: No, I was messed up back then.\I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry.\I used you for my own self-satisfaction. response:	Everything you said back then was true.
context: I was thinking only of myself.\I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true. response:	I was wrong.
context: I said it was all for you,\when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong. response:	But...
context: when I was really just drunk on the idea of doing it for you.\I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong.\But... response:	There's one thing I wasn't wrong about.
context: I had it in my head that if I said that, you'd accept it.\Subaru...\I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong.\But...\There's one thing I wasn't wrong about. response:	I want to save you.
context: Subaru...\I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong.\But...\There's one thing I wasn't wrong about.\I want to save you. response:	I want to help you.
context: I'm sorry.\I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong.\But...\There's one thing I wasn't wrong about.\I want to save you.\I want to help you. response:	I honestly mean that. It's no lie.
context: I used you for my own self-satisfaction.\Everything you said back then was true.\I was wrong.\But...\There's one thing I wasn't wrong about.\I want to save you.\I want to help you.\I honestly mean that. It's no lie. response:	Yeah. I know.
context: Everything you said back then was true.\I was wrong.\But...\There's one thing I wasn't wrong about.\I want to save you.\I want to help you.\I honestly mean that. It's no lie.\Yeah. I know. response:	Why do you always save me?
context: I was wrong.\But...\There's one thing I wasn't wrong about.\I want to save you.\I want to help you.\I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me? response:	Because I love you.
context: But...\There's one thing I wasn't wrong about.\I want to save you.\I want to help you.\I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me?\Because I love you. response:	And I want to be your strength.
context: There's one thing I wasn't wrong about.\I want to save you.\I want to help you.\I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me?\Because I love you.\And I want to be your strength. response:	I'm a half-elf...
context: I want to save you.\I want to help you.\I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me?\Because I love you.\And I want to be your strength.\I'm a half-elf... response:	I know that.
context: I want to help you.\I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me?\Because I love you.\And I want to be your strength.\I'm a half-elf...\I know that. response:	I'm a silver-haired half-elf,
context: I honestly mean that. It's no lie.\Yeah. I know.\Why do you always save me?\Because I love you.\And I want to be your strength.\I'm a half-elf...\I know that.\I'm a silver-haired half-elf, response:	and many people hate me because I look like the witch.
context: Yeah. I know.\Why do you always save me?\Because I love you.\And I want to be your strength.\I'm a half-elf...\I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch. response:	They despise me...
context: Why do you always save me?\Because I love you.\And I want to be your strength.\I'm a half-elf...\I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me... response:	They absolutely detest me!
context: Because I love you.\And I want to be your strength.\I'm a half-elf...\I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me...\They absolutely detest me! response:	I saw. I know.
context: And I want to be your strength.\I'm a half-elf...\I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me...\They absolutely detest me!\I saw. I know. response:	Those guys are all blind.
context: I'm a half-elf...\I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me...\They absolutely detest me!\I saw. I know.\Those guys are all blind. response:	I don't have much experience with people,
context: I know that.\I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me...\They absolutely detest me!\I saw. I know.\Those guys are all blind.\I don't have much experience with people, response:	so I don't have friends.
context: I'm a silver-haired half-elf,\and many people hate me because I look like the witch.\They despise me...\They absolutely detest me!\I saw. I know.\Those guys are all blind.\I don't have much experience with people,\so I don't have friends. response:	I'm naIve and not very worldly, so I say strange things sometimes.
context: and many people hate me because I look like the witch.\They despise me...\They absolutely detest me!\I saw. I know.\Those guys are all blind.\I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes. response:	And the reason I want to be the kingdom's ruler is really, really selfish.
context: They despise me...\They absolutely detest me!\I saw. I know.\Those guys are all blind.\I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish. response:	No matter what anyone says about you,
context: They absolutely detest me!\I saw. I know.\Those guys are all blind.\I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you, response:	no matter what you think of yourself,
context: I saw. I know.\Those guys are all blind.\I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself, response:	I love you.
context: Those guys are all blind.\I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself,\I love you. response:	I really love you! Like crazy!
context: I don't have much experience with people,\so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself,\I love you.\I really love you! Like crazy! response:	I want to be with you all the time.
context: so I don't have friends.\I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself,\I love you.\I really love you! Like crazy!\I want to be with you all the time. response:	I want to hold your hand all the time.
context: I'm naIve and not very worldly, so I say strange things sometimes.\And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself,\I love you.\I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time. response:	If you name ten things you hate about yourself,
context: And the reason I want to be the kingdom's ruler is really, really selfish.\No matter what anyone says about you,\no matter what you think of yourself,\I love you.\I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself, response:	I'll say two thousand things I love about you.
context: No matter what anyone says about you,\no matter what you think of yourself,\I love you.\I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you. response:	That's the kind of
context: no matter what you think of yourself,\I love you.\I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of response:	special treatment I want to give you.
context: I love you.\I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you. response:	That's the first time I've received special treatment that made me happy...
context: I really love you! Like crazy!\I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy... response:	Why two thousand?
context: I want to be with you all the time.\I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand? response:	Because a hundredfold isn't enough to express how I feel about you.
context: I want to hold your hand all the time.\If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you. response:	I'm happy...
context: If you name ten things you hate about yourself,\I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy... response:	I'm so happy.
context: I'll say two thousand things I love about you.\That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy. response:	I never even imagined I'd see the day
context: That's the kind of\special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy.\I never even imagined I'd see the day response:	that someone told me they loved me.
context: special treatment I want to give you.\That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me. response:	What should I do?
context: That's the first time I've received special treatment that made me happy...\Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me.\What should I do? response:	You've told me so many of your feelings,
context: Why two thousand?\Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me.\What should I do?\You've told me so many of your feelings, response:	but I don't know what to do...
context: Because a hundredfold isn't enough to express how I feel about you.\I'm happy...\I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me.\What should I do?\You've told me so many of your feelings,\but I don't know what to do... response:	You don't have to stress over it.
context: I'm happy...\I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me.\What should I do?\You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it. response:	I'm not demanding an answer right away.
context: I'm so happy.\I never even imagined I'd see the day\that someone told me they loved me.\What should I do?\You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away. response:	As far as I'm concerned, it's written in stone that you'll give me an answer.
context: I never even imagined I'd see the day\that someone told me they loved me.\What should I do?\You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer. response:	And it'll be a positive one, at that.
context: that someone told me they loved me.\What should I do?\You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that. response:	Is it really all right?
context: What should I do?\You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right? response:	For me... For someone like me to be given such happiness all the time?
context: You've told me so many of your feelings,\but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time? response:	To be so overjoyed...
context: but I don't know what to do...\You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed... response:	I actually feel like it's indulgent.
context: You don't have to stress over it.\I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent. response:	Sure, it is. Go on and be indulgent.
context: I'm not demanding an answer right away.\As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent. response:	You can never have too much happiness.
context: As far as I'm concerned, it's written in stone that you'll give me an answer.\And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness. response:	If you have so much that it overflows, you can always share it.
context: And it'll be a positive one, at that.\Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it. response:	You can take your time, Emilia.
context: Is it really all right?\For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it.\You can take your time, Emilia. response:	You can take your time and slowly, steadily fall in love with me.
context: For me... For someone like me to be given such happiness all the time?\To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it.\You can take your time, Emilia.\You can take your time and slowly, steadily fall in love with me. response:	I'll do my best, so I can walk by your side. So you'll fall head over heels for me.
context: To be so overjoyed...\I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it.\You can take your time, Emilia.\You can take your time and slowly, steadily fall in love with me.\I'll do my best, so I can walk by your side. So you'll fall head over heels for me. response:	Thank you, Subaru...
context: I actually feel like it's indulgent.\Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it.\You can take your time, Emilia.\You can take your time and slowly, steadily fall in love with me.\I'll do my best, so I can walk by your side. So you'll fall head over heels for me.\Thank you, Subaru... response:	For saving me.
context: Sure, it is. Go on and be indulgent.\You can never have too much happiness.\If you have so much that it overflows, you can always share it.\You can take your time, Emilia.\You can take your time and slowly, steadily fall in love with me.\I'll do my best, so I can walk by your side. So you'll fall head over heels for me.\Thank you, Subaru...\For saving me. response:	That's All This Story Is About
