context: Hey, what do you think of Akira? response:	She's the most levelheaded of the Three Great Water Fairies.
context: Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming! response:	Ah, sorry.
context: Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry. response:	Junior, your face looks scary!
context: I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary! response:	You need to smile more!
context: Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary!\You need to smile more! response:	I-I know...
context: Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary!\You need to smile more!\I-I know... response:	Geez, I'll do it, so just watch.
context: Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary!\You need to smile more!\I-I know...\Geez, I'll do it, so just watch. response:	Okay, here we go!
context: Well, well, I wonder about that one!\Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary!\You need to smile more!\I-I know...\Geez, I'll do it, so just watch.\Okay, here we go! response:	Ah, sorry.
context: Hey, Akari! Stop daydreaming!\Ah, sorry.\Junior, your face looks scary!\You need to smile more!\I-I know...\Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry. response:	No one knows what their talents may be.
context: Ah, sorry.\Junior, your face looks scary!\You need to smile more!\I-I know...\Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry.\No one knows what their talents may be. response:	But I have something that no one can beat.
context: Junior, your face looks scary!\You need to smile more!\I-I know...\Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat. response:	I have the best person in the world, the person I'm most proud of, by my side.
context: You need to smile more!\I-I know...\Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side. response:	That's a wonderful miracle that Neo-Venezia itself created...
context: I-I know...\Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created... response:	Ahh! I just said a sappy line!
context: Geez, I'll do it, so just watch.\Okay, here we go!\Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line! response:	No, I thought it! I was thinking it! I'm so embarrassed!
context: Okay, here we go!\Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed! response:	Not allowed! Not allowed! Not allowed, Aika!
context: Ah, sorry.\No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika! response:	No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!
context: No one knows what their talents may be.\But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika! response:	Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!
context: But I have something that no one can beat.\I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika! response:	You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!
context: I have the best person in the world, the person I'm most proud of, by my side.\That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika! response:	No sappy lines allowed!!
context: That's a wonderful miracle that Neo-Venezia itself created...\Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!! response:	A shore awash in golden waves Kin no nami kishibe ni
context: Ahh! I just said a sappy line!\No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: No, I thought it! I was thinking it! I'm so embarrassed!\Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki
context: Not allowed! Not allowed! Not allowed, Aika!\No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki response:	Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru
context: No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru response:	A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai
context: Calm down, Aika. No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai response:	I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete
context: You're really not making any sense... No sappy lines allowed! No sappy lines allowed! Not allowed, Aika!\No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete response:	The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima
context: No sappy lines allowed!!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima response:	A shore awash in golden waves Kin no nami kishibe ni
context: A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	And my day begins Hajimaru
