context: There are those who absolutely refused to stop pushing forward. response:	On occasion, they become one with their personal convictions, transforming into karma itself.
context: I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it. response:	The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.
context: If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am. response:	You won't be able to protect that girl.
context: I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl. response:	Marulk, please tend to the boy.
context: Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy. response:	If he's able to fill his belly with human food, then human medicine should probably work, too.
context: that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too. response:	If it doesn't work, just feed him a lot.
context: I never had any intention of doing that, of course.\It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot. response:	O-okay!
context: It's just that you're too sturdy.\No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay! response:	Today's lesson is over.
context: No matter how many times I hit you, you weren't breaking, so I got more and more into it.\The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over. response:	I have some tidying up to do, you see.
context: The primeval creatures that inhabit the deeper parts of the Abyss are far more cunning and tough than I am.\You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over.\I have some tidying up to do, you see. response:	Hey, you're already here now, so come on and lend me a hand.
context: You won't be able to protect that girl.\Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand. response:	Alrighty.
context: Marulk, please tend to the boy.\If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty. response:	If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.
context: If he's able to fill his belly with human food, then human medicine should probably work, too.\If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds. response:	Other than that, you'll just be a stain on the ground or some wall.
context: If it doesn't work, just feed him a lot.\O-okay!\Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall. response:	That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...
context: O-okay!\Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape... response:	Oh, that's right. There is one thing I was deceiving you about.
context: Today's lesson is over.\I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about. response:	That grave I spoke of...
context: I have some tidying up to do, you see.\Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of... response:	No one was buried there.
context: Hey, you're already here now, so come on and lend me a hand.\Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there. response:	It's true.
context: Alrighty.\If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there.\It's true. response:	Did you really think I wouldn't dig it up and see for myself?
context: If you continue pushing on at your current skill level, you'll just end up as poor meals or little seedbeds.\Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself? response:	Lyza is waiting for you.
context: Other than that, you'll just be a stain on the ground or some wall.\That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you. response:	You at least need to give it a shot.
context: That said, there's no guarantee you won't end up like that as I'm trying to beat you into shape...\Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot. response:	Riko?
context: Oh, that's right. There is one thing I was deceiving you about.\That grave I spoke of...\No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot.\Riko? response:	Ozen... Ozen!
context: That grave I spoke of...\No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot.\Riko?\Ozen... Ozen! response:	Ozen.
context: No one was buried there.\It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot.\Riko?\Ozen... Ozen!\Ozen. response:	What's up with your hair?
context: It's true.\Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot.\Riko?\Ozen... Ozen!\Ozen.\What's up with your hair? response:	Oh, you again...
context: Did you really think I wouldn't dig it up and see for myself?\Lyza is waiting for you.\You at least need to give it a shot.\Riko?\Ozen... Ozen!\Ozen.\What's up with your hair?\Oh, you again... response:	I've already kicked you twice but you still haven't learned your lesson.
context: Lyza is waiting for you.\You at least need to give it a shot.\Riko?\Ozen... Ozen!\Ozen.\What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson. response:	What an unusual one you are...
context: You at least need to give it a shot.\Riko?\Ozen... Ozen!\Ozen.\What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are... response:	So, what's up with it, anyway?
context: Riko?\Ozen... Ozen!\Ozen.\What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway? response:	It's to cover up my scars, you see.
context: Ozen... Ozen!\Ozen.\What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see. response:	As your mind comes under attack in the depths of the Abyss,
context: Ozen.\What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss, response:	gradually the effects show up physically, too.
context: What's up with your hair?\Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too. response:	They don't manifest immediately like the sixth layer's Curse does,
context: Oh, you again...\I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does, response:	but if you tread the boundaries of sanity as well as life and death each time you descend,
context: I've already kicked you twice but you still haven't learned your lesson.\What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend, response:	the skin on your head is bound to get all twisted.
context: What an unusual one you are...\So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted. response:	I'm just good at arranging my hair to fool everyone, you see.
context: So, what's up with it, anyway?\It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see. response:	How cool!
context: It's to cover up my scars, you see.\As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool! response:	If you don't watch what you say, I'll kick you again.
context: As your mind comes under attack in the depths of the Abyss,\gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again. response:	No, really. That's cool!
context: gradually the effects show up physically, too.\They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool! response:	Those scars are proof of your fortitude in continuing to challenge the netherworld,
context: They don't manifest immediately like the sixth layer's Curse does,\but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld, response:	even as it tried to break your mind.
context: but if you tread the boundaries of sanity as well as life and death each time you descend,\the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind. response:	Ozen the Immovable. A genuine White Whistle.
context: the skin on your head is bound to get all twisted.\I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle. response:	Hey, will you be my mentor?
context: I'm just good at arranging my hair to fool everyone, you see.\How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor? response:	Ozen. Look, Ozen.
context: How cool!\If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen. response:	I'm already a Black Whistle.
context: If you don't watch what you say, I'll kick you again.\No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle. response:	Before long, I'll catch up with you!
context: No, really. That's cool!\Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you! response:	You've got some nerve to say that considering you cried when I hit you last night.
context: Those scars are proof of your fortitude in continuing to challenge the netherworld,\even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night. response:	Very well, then. If that's the case, let's just hurry up and go.
context: even as it tried to break your mind.\Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go. response:	Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.
context: Ozen the Immovable. A genuine White Whistle.\Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood. response:	Now that's something to look forward to.
context: Hey, will you be my mentor?\Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to. response:	I wouldn't have it any other way!
context: Ozen. Look, Ozen.\I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way! response:	Ozen, your personality is irredeemable, but you're still the best mentor ever!
context: I'm already a Black Whistle.\Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever! response:	How are you feeling?
context: Before long, I'll catch up with you!\You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling? response:	I'm alright now.
context: You've got some nerve to say that considering you cried when I hit you last night.\Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now. response:	The next large group of cave raiders arrives in three weeks.
context: Very well, then. If that's the case, let's just hurry up and go.\Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks. response:	I'll only be able to try beating you into shape until then, whether or not it proves successful.
context: Starting tomorrow, the strain of the fourth layer will make you shed tears of blood.\Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful. response:	Where are we headed?
context: Now that's something to look forward to.\I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed? response:	Somewhere even further than the Seeker Camp.
context: I wouldn't have it any other way!\Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp. response:	It's the outer edge of the Abyss, so to speak.
context: Ozen, your personality is irredeemable, but you're still the best mentor ever!\How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak. response:	Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.
context: How are you feeling?\I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue. response:	It's ideal for training, you see.
context: I'm alright now.\The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see. response:	Training...
context: The next large group of cave raiders arrives in three weeks.\I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training... response:	Your first assignment is what I call survival training.
context: I'll only be able to try beating you into shape until then, whether or not it proves successful.\Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training...\Your first assignment is what I call survival training. response:	Most of the creatures are quite docile here,
context: Where are we headed?\Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here, response:	perhaps because the force field's light doesn't make it here.
context: Somewhere even further than the Seeker Camp.\It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here. response:	Even so, the creatures here can see in the dark, so keep your guard up.
context: It's the outer edge of the Abyss, so to speak.\Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up. response:	Spend ten days here with the equipment you've got. Show me you're able to survive.
context: Out there, there's no worry of running into other cave raiders or having anyone come to your rescue.\It's ideal for training, you see.\Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive. response:	Be sure not to go beyond that Pillar Tree.
context: It's ideal for training, you see.\Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree. response:	I'll consider that as trying to escape.
context: Training...\Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape. response:	Well then, I'm heading back now.
context: Your first assignment is what I call survival training.\Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now. response:	Huh?!
context: Most of the creatures are quite docile here,\perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?! response:	Do your best to protect this girl so that she doesn't return to being a corpse.
context: perhaps because the force field's light doesn't make it here.\Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse. response:	In addition, you can't use that thing for these ten days.
context: Even so, the creatures here can see in the dark, so keep your guard up.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days. response:	My Incinerator?
context: Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator? response:	Go ahead and use it if you want to get Riko killed.
context: Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed. response:	What do you mean?
context: I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean? response:	Once you fire it, no matter how you push yourself, you always faint after around ten minutes.
context: Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes. response:	Then it's a full two hours until you wake up.
context: Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up. response:	During that time, even if I punched you, slapped you against the floor,
context: Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor, response:	or dunked you in water, you still didn't get up.
context: In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up. response:	Just try leaving a helpless child on her own in the second layer for two hours.
context: My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours. response:	I wonder just how she'll be torn to shreds and eaten...
context: Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten... response:	Still, when you really do have to use it,
context: What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it, response:	go all out to make sure whatever it is doesn't come after you again in the future.
context: Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future. response:	No matter your opponent or whatever lies in the vicinity,
context: Then it's a full two hours until you wake up.\During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity, response:	when the time comes, don't hesitate or show any mercy.
context: During that time, even if I punched you, slapped you against the floor,\or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy. response:	Otherwise, your adventure will be over in the blink of an eye.
context: or dunked you in water, you still didn't get up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye. response:	The glittering waves that float in the sky
context: Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\The glittering waves that float in the sky response:	Let's bundle them and build a rainbow bridge
