context: Ladies and gentlemen, good evening. response:	Those who forge their own destiny. Those who balk at their own destiny.
context: My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story! response:	How could it be otherwise? I mean, that baby is dead and buried.
context: Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried. response:	He couldn't possibly turn up and...
context: Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and... response:	Your Honor, please enter the defendant's statement just now into the record.
context: She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record. response:	No! I only meant that...
context: Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that... response:	Order!
context: What a terrible thing to say.\It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order! response:	You have to listen to me! This is a trap!
context: It's him! He must be the one who put you up to this!\Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order!\You have to listen to me! This is a trap! response:	You lousy con artist!
context: Your Honor, he made up this entire preposterous story!\How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order!\You have to listen to me! This is a trap!\You lousy con artist! response:	The servant who saved my life left this scrap of cloth with me.
context: How could it be otherwise? I mean, that baby is dead and buried.\He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order!\You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me. response:	He must have wrapped me in this so that I wouldn't freeze.
context: He couldn't possibly turn up and...\Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order!\You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze. response:	For my whole life, this has been the most important thing in the world to me.
context: Your Honor, please enter the defendant's statement just now into the record.\No! I only meant that...\Order!\You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me. response:	After all, this is the one thing that connects me to you.
context: No! I only meant that...\Order!\You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you. response:	You... Are you really?
context: Order!\You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really? response:	I'm sorry, Father.
context: You have to listen to me! This is a trap!\You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father. response:	But if I hadn't resorted to this, you never would have accepted that I really was your son, right?
context: You lousy con artist!\The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right? response:	I wanted to meet you so badly, Father...
context: The servant who saved my life left this scrap of cloth with me.\He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father... response:	Goodbye.
context: He must have wrapped me in this so that I wouldn't freeze.\For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye. response:	Why, son?
context: For my whole life, this has been the most important thing in the world to me.\After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye.\Why, son? response:	Why?
context: After all, this is the one thing that connects me to you.\You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye.\Why, son?\Why? response:	Oh, you can kiss my ass!
context: You... Are you really?\I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye.\Why, son?\Why?\Oh, you can kiss my ass! response:	Just looking at those haughty faces of yours makes me want to throw up!
context: I'm sorry, Father.\But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye.\Why, son?\Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up! response:	In the end, you bastards are animals no different from him and me!
context: But if I hadn't resorted to this, you never would have accepted that I really was your son, right?\I wanted to meet you so badly, Father...\Goodbye.\Why, son?\Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me! response:	You hide your filthy true natures behind those clean masks!
context: I wanted to meet you so badly, Father...\Goodbye.\Why, son?\Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks! response:	You do! And you! And so do you!
context: Goodbye.\Why, son?\Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you! response:	I seem to recall a certain Monsieur Dantes living here long ago.
context: Why, son?\Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago. response:	I wouldn't really know. This place has stood empty for a long time.
context: Why?\Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time. response:	Edmond...
context: Oh, you can kiss my ass!\Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond... response:	Mercedes...
context: Just looking at those haughty faces of yours makes me want to throw up!\In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes... response:	You're still young... And something tells me that my boy isn't coming back.
context: In the end, you bastards are animals no different from him and me!\You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back. response:	You shouldn't spend your whole life looking after a doddering old man like me.
context: You hide your filthy true natures behind those clean masks!\You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me. response:	Please, you should go...
context: You do! And you! And so do you!\I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go... response:	Summer is almost over.
context: I seem to recall a certain Monsieur Dantes living here long ago.\I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over. response:	No! I won't!
context: I wouldn't really know. This place has stood empty for a long time.\Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over.\No! I won't! response:	He'll come back! I know it!
context: Edmond...\Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over.\No! I won't!\He'll come back! I know it! response:	You bastard!
context: Mercedes...\You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over.\No! I won't!\He'll come back! I know it!\You bastard! response:	And how are we feeling? Better, I hope?
context: You're still young... And something tells me that my boy isn't coming back.\You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over.\No! I won't!\He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope? response:	W-Who are you? Why are you doing this to me?
context: You shouldn't spend your whole life looking after a doddering old man like me.\Please, you should go...\Summer is almost over.\No! I won't!\He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me? response:	Oh, have you forgotten?
context: Please, you should go...\Summer is almost over.\No! I won't!\He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten? response:	Have you forgotten the innocent man you convicted 25 years ago...
context: Summer is almost over.\No! I won't!\He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago... response:	The instant you discovered your own name in that letter,
context: No! I won't!\He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter, response:	Edmond Dantes!
context: He'll come back! I know it!\You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes! response:	Is that really you?!
context: You bastard!\And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?! response:	The man who was once known by that name died in the prison of the Chateau d'lf...
context: And how are we feeling? Better, I hope?\W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf... response:	That letter you were carrying was too dangerous!
context: W-Who are you? Why are you doing this to me?\Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous! response:	If I hadn't done something, the government would have fallen into chaos!
context: Oh, have you forgotten?\Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos! response:	I had no choice!
context: Have you forgotten the innocent man you convicted 25 years ago...\The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice! response:	You are indeed a patriot, Monsieur Villefort!
context: The instant you discovered your own name in that letter,\Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort! response:	However, the real motive for your actions was to protect yourself, was it not?
context: Edmond Dantes!\Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not? response:	It was to maintain law and order.
context: Is that really you?!\The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order. response:	And that meritorious deed made you the man you are right now.
context: The man who was once known by that name died in the prison of the Chateau d'lf...\That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now. response:	It was all for nothing.
context: That letter you were carrying was too dangerous!\If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing. response:	By the way, that needle was coated with poison.
context: If I hadn't done something, the government would have fallen into chaos!\I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison. response:	What?
context: I had no choice!\You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison.\What? response:	That poison will be a blessing.
context: You are indeed a patriot, Monsieur Villefort!\However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison.\What?\That poison will be a blessing. response:	It will rot your brain and will send you to a world where no one can convict you.
context: However, the real motive for your actions was to protect yourself, was it not?\It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison.\What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you. response:	No, wait!
context: It was to maintain law and order.\And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison.\What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait! response:	No! Not that!!
context: And that meritorious deed made you the man you are right now.\It was all for nothing.\By the way, that needle was coated with poison.\What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!! response:	Villefort, poor servant of the law...
context: It was all for nothing.\By the way, that needle was coated with poison.\What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!!\Villefort, poor servant of the law... response:	The wings of the law will gently cradle you until the very end.
context: By the way, that needle was coated with poison.\What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end. response:	And that makes two.
context: What?\That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two. response:	Start walking.
context: That poison will be a blessing.\It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking. response:	Eastern Fleet flagship has crossed Rubicon Line!
context: It will rot your brain and will send you to a world where no one can convict you.\No, wait!\No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking.\Eastern Fleet flagship has crossed Rubicon Line! response:	Be advised. According to Article 59 of the Military Code, this is considered an act of...
context: No, wait!\No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking.\Eastern Fleet flagship has crossed Rubicon Line!\Be advised. According to Article 59 of the Military Code, this is considered an act of... response:	In spite of everything, the past will not let go of the men.
context: No! Not that!!\Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking.\Eastern Fleet flagship has crossed Rubicon Line!\Be advised. According to Article 59 of the Military Code, this is considered an act of...\In spite of everything, the past will not let go of the men. response:	Vengeance gives rise to violence, and the cycle of sorrow continues.
context: Villefort, poor servant of the law...\The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking.\Eastern Fleet flagship has crossed Rubicon Line!\Be advised. According to Article 59 of the Military Code, this is considered an act of...\In spite of everything, the past will not let go of the men.\Vengeance gives rise to violence, and the cycle of sorrow continues. response:	Act 22: Counterattack
context: The wings of the law will gently cradle you until the very end.\And that makes two.\Start walking.\Eastern Fleet flagship has crossed Rubicon Line!\Be advised. According to Article 59 of the Military Code, this is considered an act of...\In spite of everything, the past will not let go of the men.\Vengeance gives rise to violence, and the cycle of sorrow continues.\Act 22: Counterattack response:	Bide your time, and hold out hope!
