context: All four of you are going to hell. response:	Nii-san's the only one that stands a chance anymore!
context: It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it.\Old man...\You're no longer needed.\And as for you...\I'm disappointed in you.\You coward. response:	The Seventh Division will be dissolved.
context: If it's made from psychic powers,\I can always find a way to deal with it.\Old man...\You're no longer needed.\And as for you...\I'm disappointed in you.\You coward.\The Seventh Division will be dissolved. response:	I was to inspect the place and take anyone who seemed useful back to HQ...
context: I can always find a way to deal with it.\Old man...\You're no longer needed.\And as for you...\I'm disappointed in you.\You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ... response:	What are you talking about? Weren't you a trainee?
context: Old man...\You're no longer needed.\And as for you...\I'm disappointed in you.\You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee? response:	Sadly, there wasn't anyone worth my time.
context: You're no longer needed.\And as for you...\I'm disappointed in you.\You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time. response:	At least on the inside.
context: And as for you...\I'm disappointed in you.\You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside. response:	Well, see ya.
context: I'm disappointed in you.\You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya. response:	The evil spirits have been whittled down to one...
context: You coward.\The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one... response:	The poison jar has been completed!
context: The Seventh Division will be dissolved.\I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed! response:	Matsuo, there's nothing left for us to do.
context: I was to inspect the place and take anyone who seemed useful back to HQ...\What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do. response:	Come out, my ultimate evil spirit, Marshmallow-chan!
context: What are you talking about? Weren't you a trainee?\Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan! response:	The hell's that?
context: Sadly, there wasn't anyone worth my time.\At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that? response:	Dimple!
context: At least on the inside.\Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple! response:	I was finally able to get out.
context: Well, see ya.\The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple!\I was finally able to get out. response:	All right! Now that I've regained some of my strength,
context: The evil spirits have been whittled down to one...\The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength, response:	I can help out a hundredfold!
context: The poison jar has been completed!\Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold! response:	It's already done.
context: Matsuo, there's nothing left for us to do.\Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done. response:	Huh?
context: Come out, my ultimate evil spirit, Marshmallow-chan!\The hell's that?\Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done.\Huh? response:	You mean the climax happened without me?
context: The hell's that?\Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done.\Huh?\You mean the climax happened without me? response:	Is this an evil spirit?
context: Dimple!\I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done.\Huh?\You mean the climax happened without me?\Is this an evil spirit? response:	Whoa!
context: I was finally able to get out.\All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done.\Huh?\You mean the climax happened without me?\Is this an evil spirit?\Whoa! response:	Why are you able to see me when I'm not in my visible mode?
context: All right! Now that I've regained some of my strength,\I can help out a hundredfold!\It's already done.\Huh?\You mean the climax happened without me?\Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode? response:	They're strong.
context: I can help out a hundredfold!\It's already done.\Huh?\You mean the climax happened without me?\Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong. response:	No, we were weak.
context: It's already done.\Huh?\You mean the climax happened without me?\Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak. response:	I've come to a realization.
context: Huh?\You mean the climax happened without me?\Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak.\I've come to a realization. response:	Those guys just might be able to stop it...
context: You mean the climax happened without me?\Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak.\I've come to a realization.\Those guys just might be able to stop it... response:	Stop Claw from world domination...
context: Is this an evil spirit?\Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak.\I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination... response:	Mob Psycho 100
context: Whoa!\Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak.\I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100 response:	Really? Let me see.
context: Why are you able to see me when I'm not in my visible mode?\They're strong.\No, we were weak.\I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100\Really? Let me see. response:	Here, look.
context: They're strong.\No, we were weak.\I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100\Really? Let me see.\Here, look. response:	Oh, that's great!
context: No, we were weak.\I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100\Really? Let me see.\Here, look.\Oh, that's great! response:	Let's go together!
context: I've come to a realization.\Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100\Really? Let me see.\Here, look.\Oh, that's great!\Let's go together! response:	Ah, Tsubomi-chan...
context: Those guys just might be able to stop it...\Stop Claw from world domination...\Mob Psycho 100\Really? Let me see.\Here, look.\Oh, that's great!\Let's go together!\Ah, Tsubomi-chan... response:	She's as cute as ever today.
context: Stop Claw from world domination...\Mob Psycho 100\Really? Let me see.\Here, look.\Oh, that's great!\Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today. response:	Our eyes met!
context: Mob Psycho 100\Really? Let me see.\Here, look.\Oh, that's great!\Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met! response:	You're staring way too much.
context: Really? Let me see.\Here, look.\Oh, that's great!\Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met!\You're staring way too much. response:	Mezato-san!
context: Here, look.\Oh, that's great!\Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met!\You're staring way too much.\Mezato-san! response:	You're panicking too much.
context: Oh, that's great!\Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met!\You're staring way too much.\Mezato-san!\You're panicking too much. response:	Staring at girls is all well and good,
context: Let's go together!\Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met!\You're staring way too much.\Mezato-san!\You're panicking too much.\Staring at girls is all well and good, response:	but today's the day that you're going to talk to me, Mob-kun.
context: Ah, Tsubomi-chan...\She's as cute as ever today.\Our eyes met!\You're staring way too much.\Mezato-san!\You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun. response:	No, I've got club again today.
context: She's as cute as ever today.\Our eyes met!\You're staring way too much.\Mezato-san!\You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today. response:	I'll wait until you're done.
context: Our eyes met!\You're staring way too much.\Mezato-san!\You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done. response:	But I've got my job after that.
context: You're staring way too much.\Mezato-san!\You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done.\But I've got my job after that. response:	Jeez. When are you going to tell me everything?
context: Mezato-san!\You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything? response:	Your older brother came by last night.
context: You're panicking too much.\Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night. response:	Huh? My brother?
context: Staring at girls is all well and good,\but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother? response:	You must've been through a lot, too.
context: but today's the day that you're going to talk to me, Mob-kun.\No, I've got club again today.\I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too. response:	We both went a little crazy.
context: No, I've got club again today.\I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too.\We both went a little crazy. response:	I'm about to go apologize to Onigawara-kun and the others.
context: I'll wait until you're done.\But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others. response:	I'll go with you.
context: But I've got my job after that.\Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you. response:	But are you sure?
context: Jeez. When are you going to tell me everything?\Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure? response:	The entire student body's going to hate you.
context: Your older brother came by last night.\Huh? My brother?\You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure?\The entire student body's going to hate you. response:	That's my own fault for doing something so stupid.
context: Huh? My brother?\You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid. response:	And... now my brother is on my side,
context: You must've been through a lot, too.\We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side, response:	so I'll keep in line.
context: We both went a little crazy.\I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line. response:	Wha?
context: I'm about to go apologize to Onigawara-kun and the others.\I'll go with you.\But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line.\Wha? response:	So it was you guys who planted the recorders on me.
context: I'll go with you.\But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me. response:	That was a crappy thing to do.
context: But are you sure?\The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do. response:	And I knew anyway, so it's not like it matters now.
context: The entire student body's going to hate you.\That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now. response:	Huh?
context: That's my own fault for doing something so stupid.\And... now my brother is on my side,\so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh? response:	What do you mean?
context: And... now my brother is on my side,\so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh?\What do you mean? response:	People didn't care whether I was actually the culprit or not.
context: so I'll keep in line.\Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh?\What do you mean?\People didn't care whether I was actually the culprit or not. response:	They were chomping at the bit for a stick to beat me with, a chance to kick me out.
context: Wha?\So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh?\What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out. response:	That's where the problem was.
context: So it was you guys who planted the recorders on me.\That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh?\What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was. response:	I realized that I was hated by everyone around me,
context: That was a crappy thing to do.\And I knew anyway, so it's not like it matters now.\Huh?\What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me, response:	and how weak my heart was.
context: And I knew anyway, so it's not like it matters now.\Huh?\What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was. response:	Hey.
context: Huh?\What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was.\Hey. response:	Your brother was worried about you.
context: What do you mean?\People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was.\Hey.\Your brother was worried about you. response:	He thought I was going to kick your ass since I was so pissed off,
context: People didn't care whether I was actually the culprit or not.\They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was.\Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off, response:	but I'll let things slide since you are the shadow leader's younger brother.
context: They were chomping at the bit for a stick to beat me with, a chance to kick me out.\That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was.\Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother. response:	What's wrong, Onigawara? You out of energy?
context: That's where the problem was.\I realized that I was hated by everyone around me,\and how weak my heart was.\Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy? response:	The hell do you think you're talking to?!
context: I realized that I was hated by everyone around me,\and how weak my heart was.\Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?! response:	I'm still going to grow, just like White T Poison.
context: and how weak my heart was.\Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison. response:	Body Transformation!
context: Hey.\Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation! response:	Fight on! Fight on! Fight on!
context: Your brother was worried about you.\He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on! response:	That's your older brother.
context: He thought I was going to kick your ass since I was so pissed off,\but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother. response:	Is he okay? He looks like he's about to pass out.
context: but I'll let things slide since you are the shadow leader's younger brother.\What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out. response:	Yes. Despite how he looks,
context: What's wrong, Onigawara? You out of energy?\The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks, response:	to me, Nii-san is stronger than anyone else.
context: The hell do you think you're talking to?!\I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else. response:	But he's passed out on the ground.
context: I'm still going to grow, just like White T Poison.\Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground. response:	By the way, President, did you give up on finding telepaths?
context: Body Transformation!\Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths? response:	Huh? Actually, I haven't even started yet.
context: Fight on! Fight on! Fight on!\That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet. response:	Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.
context: That's your older brother.\Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads. response:	You guys should at least try to help me out.
context: Is he okay? He looks like he's about to pass out.\Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out. response:	I tried searching on the Internet but couldn't find any.
context: Yes. Despite how he looks,\to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any. response:	Of course you're not going to find them that easily!
context: to me, Nii-san is stronger than anyone else.\But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily! response:	Hey.
context: But he's passed out on the ground.\By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey. response:	Musashi-san!
context: By the way, President, did you give up on finding telepaths?\Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey.\Musashi-san! response:	What the heck, Mob-kun? You passed out again?
context: Huh? Actually, I haven't even started yet.\Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again? response:	Inukawa, get some water!
context: Right now, it's like a wild-goose chase, so I'm trying to get some actual leads.\You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water! response:	Oh, sure.
context: You guys should at least try to help me out.\I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure. response:	What's up, old man?
context: I tried searching on the Internet but couldn't find any.\Of course you're not going to find them that easily!\Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure.\What's up, old man? response:	Why'd you bring us here again?
context: Of course you're not going to find them that easily!\Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure.\What's up, old man?\Why'd you bring us here again? response:	I guess you haven't given up on psychic powers.
context: Hey.\Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure.\What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers. response:	Actually, I wasn't the one who brought you here today.
context: Musashi-san!\What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure.\What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today. response:	It was at the behest of someone else.
context: What the heck, Mob-kun? You passed out again?\Inukawa, get some water!\Oh, sure.\What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else. response:	Hello, nice to meet you.
context: Inukawa, get some water!\Oh, sure.\What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you. response:	So you guys must be the research subjects here.
context: Oh, sure.\What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here. response:	Oh, it's another hot guy.
context: What's up, old man?\Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy. response:	I see. Your powers are still weak,
context: Why'd you bring us here again?\I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak, response:	but it'll definitely be worth nurturing them.
context: I guess you haven't given up on psychic powers.\Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them. response:	He's Hanazawa-kun, one of the guys who fought that organization that day.
context: Actually, I wasn't the one who brought you here today.\It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day. response:	What do you think? Do you guys want to get stronger with me?
context: It was at the behest of someone else.\Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me? response:	Huh?
context: Hello, nice to meet you.\So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh? response:	Since one of their divisions was crushed,
context: So you guys must be the research subjects here.\Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed, response:	I'm sure Claw will make a move soon.
context: Oh, it's another hot guy.\I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon. response:	It'll be for self-defense and so you can fight back when that happens.
context: I see. Your powers are still weak,\but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens. response:	Leave the support to me.
context: but it'll definitely be worth nurturing them.\He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me. response:	Kageyama took all the glory that night.
context: He's Hanazawa-kun, one of the guys who fought that organization that day.\What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night. response:	Yeah.
context: What do you think? Do you guys want to get stronger with me?\Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night.\Yeah. response:	Let's do this!
context: Huh?\Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night.\Yeah.\Let's do this! response:	Yeah!
context: Since one of their divisions was crushed,\I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night.\Yeah.\Let's do this!\Yeah! response:	So, what brings you here?
context: I'm sure Claw will make a move soon.\It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night.\Yeah.\Let's do this!\Yeah!\So, what brings you here? response:	I'm only here because Shigeo asked me to come.
context: It'll be for self-defense and so you can fight back when that happens.\Leave the support to me.\Kageyama took all the glory that night.\Yeah.\Let's do this!\Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come. response:	He passed out from anemia and can't help with exorcising spirits.
context: Leave the support to me.\Kageyama took all the glory that night.\Yeah.\Let's do this!\Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits. response:	Actually, do you even need Shigeo anymore?
