context: The enemy's strategy is simple in the extreme. response:	Use the shockwave from the Landing Castle impact to clear out the area,
context: Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity.\Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles? response:	What else do you expect me to do?!
context: Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity.\Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?! response:	This is Warrant Officer Kaizuka. Do you copy?
context: Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity.\Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy? response:	Yuki?!
context: Do you think you are making a noble choice here?\A pity.\Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?! response:	Take this girl aboard and gun it!
context: A pity.\Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it! response:	Warrant Kaizuka! What's going on?!
context: Lt. Marito!\HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?! response:	Hop to it!
context: HQ, come in! HQ!\Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it! response:	Sergeant!
context: Is it just me, or have we been driving around in circles?\What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant! response:	Old man!
context: What else do you expect me to do?!\This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant!\Old man! response:	Don't give me any more trouble, little rat!
context: This is Warrant Officer Kaizuka. Do you copy?\Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant!\Old man!\Don't give me any more trouble, little rat! response:	Inko! Go faster!
context: Yuki?!\Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant!\Old man!\Don't give me any more trouble, little rat!\Inko! Go faster! response:	I'm trying!
context: Take this girl aboard and gun it!\Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant!\Old man!\Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying! response:	He's gonna catch up!
context: Warrant Kaizuka! What's going on?!\Hop to it!\Sergeant!\Old man!\Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying!\He's gonna catch up! response:	We're too heavy!
context: Hop to it!\Sergeant!\Old man!\Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying!\He's gonna catch up!\We're too heavy! response:	Brake.
context: Sergeant!\Old man!\Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying!\He's gonna catch up!\We're too heavy!\Brake. response:	Slam on the brakes.
context: Old man!\Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying!\He's gonna catch up!\We're too heavy!\Brake.\Slam on the brakes. response:	Come again?
context: Don't give me any more trouble, little rat!\Inko! Go faster!\I'm trying!\He's gonna catch up!\We're too heavy!\Brake.\Slam on the brakes.\Come again? response:	Hurry. Brake!
context: Inko! Go faster!\I'm trying!\He's gonna catch up!\We're too heavy!\Brake.\Slam on the brakes.\Come again?\Hurry. Brake! response:	Now hit the gas!
context: I'm trying!\He's gonna catch up!\We're too heavy!\Brake.\Slam on the brakes.\Come again?\Hurry. Brake!\Now hit the gas! response:	Right!
context: He's gonna catch up!\We're too heavy!\Brake.\Slam on the brakes.\Come again?\Hurry. Brake!\Now hit the gas!\Right! response:	Stand still!
context: We're too heavy!\Brake.\Slam on the brakes.\Come again?\Hurry. Brake!\Now hit the gas!\Right!\Stand still! response:	Okojo!
context: Brake.\Slam on the brakes.\Come again?\Hurry. Brake!\Now hit the gas!\Right!\Stand still!\Okojo! response:	We have to save Yuki!
context: Slam on the brakes.\Come again?\Hurry. Brake!\Now hit the gas!\Right!\Stand still!\Okojo!\We have to save Yuki! response:	Damn it, it's too dangerous!
context: Come again?\Hurry. Brake!\Now hit the gas!\Right!\Stand still!\Okojo!\We have to save Yuki!\Damn it, it's too dangerous! response:	Sorry!
context: Hurry. Brake!\Now hit the gas!\Right!\Stand still!\Okojo!\We have to save Yuki!\Damn it, it's too dangerous!\Sorry! response:	I'm fine!
context: Now hit the gas!\Right!\Stand still!\Okojo!\We have to save Yuki!\Damn it, it's too dangerous!\Sorry!\I'm fine! response:	Now leave him in the dust!
context: Right!\Stand still!\Okojo!\We have to save Yuki!\Damn it, it's too dangerous!\Sorry!\I'm fine!\Now leave him in the dust! response:	Inaho!
context: Stand still!\Okojo!\We have to save Yuki!\Damn it, it's too dangerous!\Sorry!\I'm fine!\Now leave him in the dust!\Inaho! response:	Inaho...
context: Okojo!\We have to save Yuki!\Damn it, it's too dangerous!\Sorry!\I'm fine!\Now leave him in the dust!\Inaho!\Inaho... response:	Need a hand?
context: We have to save Yuki!\Damn it, it's too dangerous!\Sorry!\I'm fine!\Now leave him in the dust!\Inaho!\Inaho...\Need a hand? response:	Okisuke...
context: Damn it, it's too dangerous!\Sorry!\I'm fine!\Now leave him in the dust!\Inaho!\Inaho...\Need a hand?\Okisuke... response:	I toyed with them too long, eh?
context: Sorry!\I'm fine!\Now leave him in the dust!\Inaho!\Inaho...\Need a hand?\Okisuke...\I toyed with them too long, eh? response:	Good job.
context: I'm fine!\Now leave him in the dust!\Inaho!\Inaho...\Need a hand?\Okisuke...\I toyed with them too long, eh?\Good job. response:	We're safe now, you two! He isn't follow
context: Now leave him in the dust!\Inaho!\Inaho...\Need a hand?\Okisuke...\I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow response:	Hey, Inaho. Where's Okojo?
context: Inaho!\Inaho...\Need a hand?\Okisuke...\I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo? response:	No way...
context: Inaho...\Need a hand?\Okisuke...\I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way... response:	Warrant Officer Kaizuka, this is Marito.
context: Need a hand?\Okisuke...\I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito. response:	Do you copy?
context: Okisuke...\I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy? response:	Instructor Marito...
context: I toyed with them too long, eh?\Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito... response:	Kaizuka!
context: Good job.\We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito...\Kaizuka! response:	Listen close. That Martian is following you.
context: We're safe now, you two! He isn't follow\Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito...\Kaizuka!\Listen close. That Martian is following you. response:	He hasn't attacked the ferry pier yet.
context: Hey, Inaho. Where's Okojo?\No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito...\Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet. response:	Draw him away as best you can. But don't be a hero.
context: No way...\Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito...\Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero. response:	Make it back in one piece.
context: Warrant Officer Kaizuka, this is Marito.\Do you copy?\Instructor Marito...\Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece. response:	Inaho?
context: Do you copy?\Instructor Marito...\Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho? response:	He says that that guy is still following us.
context: Instructor Marito...\Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho?\He says that that guy is still following us. response:	But we might be able to buy time for the ferry with the refugees to leave port.
context: Kaizuka!\Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port. response:	If we act as decoys.
context: Listen close. That Martian is following you.\He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys. response:	Whoa, what are you saying?
context: He hasn't attacked the ferry pier yet.\Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying? response:	If we take the utility tunnels, we can reach the school from here.
context: Draw him away as best you can. But don't be a hero.\Make it back in one piece.\Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying?\If we take the utility tunnels, we can reach the school from here. response:	And do what?!
context: Make it back in one piece.\Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying?\If we take the utility tunnels, we can reach the school from here.\And do what?! response:	There are trainers in the hangar. And live-fire training rounds.
context: Inaho?\He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying?\If we take the utility tunnels, we can reach the school from here.\And do what?!\There are trainers in the hangar. And live-fire training rounds. response:	Come on, man...
context: He says that that guy is still following us.\But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying?\If we take the utility tunnels, we can reach the school from here.\And do what?!\There are trainers in the hangar. And live-fire training rounds.\Come on, man... response:	Let's fight. Yuki and the others tried, now it's our turn.
context: But we might be able to buy time for the ferry with the refugees to leave port.\If we act as decoys.\Whoa, what are you saying?\If we take the utility tunnels, we can reach the school from here.\And do what?!\There are trainers in the hangar. And live-fire training rounds.\Come on, man...\Let's fight. Yuki and the others tried, now it's our turn. response:	Let's fight that Martian Kataphrakt.
