context: What's happened so far! response:	Our sister, the masked model student Miyazawa Yukino...
context: Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa. response:	Oh, hi. I'm Miyazawa Yukino.
context: This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino. response:	What are you going? Miyazawa?
context: We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa? response:	I don't know. Miyazawa suddenly slapped my hand away.
context: She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away. response:	Her notebooks...
context: She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks... response:	Shibahime!
context: Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime! response:	Miyazawa...
context: This is Miyazawa. We're going out.\Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime!\Miyazawa... response:	Miyazawa pushed me down!
context: Nice to meet you. I'm Shibahime Tsubasa.\Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime!\Miyazawa...\Miyazawa pushed me down! response:	How could she? Why would she do such a thing?
context: Oh, hi. I'm Miyazawa Yukino.\What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime!\Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing? response:	Oh, a cat.
context: What are you going? Miyazawa?\I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime!\Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat. response:	Shibahime, what're you doing?!
context: I don't know. Miyazawa suddenly slapped my hand away.\Her notebooks...\Shibahime!\Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?! response:	What were you trying to do?! Huh?!
context: Her notebooks...\Shibahime!\Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?! response:	Why're you doing this?!
context: Shibahime!\Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?! response:	Ow ow owww... I didn't do anything!
context: Miyazawa...\Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything! response:	Liar!
context: Miyazawa pushed me down!\How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar! response:	There's no way Miyazawa would do something like that!
context: How could she? Why would she do such a thing?\Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that! response:	Sorry, Miyazawa.
context: Oh, a cat.\Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa. response:	She wouldn't normally do stuff like this...
context: Shibahime, what're you doing?!\What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this... response:	You okay?
context: What were you trying to do?! Huh?!\Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay? response:	And you, come over here and apologize.
context: Why're you doing this?!\Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize. response:	There's a limit to how far you can go with pranks.
context: Ow ow owww... I didn't do anything!\Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks. response:	Yeah yeah, I'm SO very very sorry.
context: Liar!\There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry. response:	Oh, don't worry about it.
context: There's no way Miyazawa would do something like that!\Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it. response:	But you were in the hospital for a long time, weren't you?
context: Sorry, Miyazawa.\She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you? response:	Isn't it bad for you if you move around like that?
context: She wouldn't normally do stuff like this...\You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that? response:	Um, kind of...
context: You okay?\And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of... response:	She crashed into a stone wall on her skateboard...
context: And you, come over here and apologize.\There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard... response:	But if she can move around this much, she's probably fine.
context: There's a limit to how far you can go with pranks.\Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine. response:	In junior high, everyone envied me.
context: Yeah yeah, I'm SO very very sorry.\Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me. response:	Because Arima was especially friendly to me alone.
context: Oh, don't worry about it.\But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone. response:	You skipped out on clean-up again, didn't you?
context: But you were in the hospital for a long time, weren't you?\Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you? response:	I know you did!
context: Isn't it bad for you if you move around like that?\Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did! response:	Oh, it's all right.
context: Um, kind of...\She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right. response:	I'm cute, so they'll do it for me.
context: She crashed into a stone wall on her skateboard...\But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me. response:	I swear, you're hopeless.
context: But if she can move around this much, she's probably fine.\In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless. response:	Don't look at somebody else like that.
context: In junior high, everyone envied me.\Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that. response:	Don't belong to someone like that. Don't go.
context: Because Arima was especially friendly to me alone.\You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go. response:	Oh, I know.
context: You skipped out on clean-up again, didn't you?\I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know. response:	If you've been hospitalized for so long, I bet classes are rough.
context: I know you did!\Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough. response:	I still have some copies of the study guides...
context: Oh, it's all right.\I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides... response:	Why you little...!
context: I'm cute, so they'll do it for me.\I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...! response:	Humph! Mind your own business!
context: I swear, you're hopeless.\Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business! response:	All you do is suck up to your girlfriend!
context: Don't look at somebody else like that.\Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend! response:	You sure have changed!
context: Don't belong to someone like that. Don't go.\Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed! response:	Quit lecturing me like you know everything!
context: Oh, I know.\If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything! response:	Why don't you just go and curl up in your girlfriend's lap?
context: If you've been hospitalized for so long, I bet classes are rough.\I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap? response:	Don't ever speak to me again, it's too embarassing! Bah-bye!
context: I still have some copies of the study guides...\Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye! response:	What the heck's wrong with her?
context: Why you little...!\Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her? response:	I see... she likes Arima...
context: Humph! Mind your own business!\All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima... response:	And here I thought it would be nice to see Shibahime again...
context: All you do is suck up to your girlfriend!\You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again... response:	What the heck was she so upset about?
context: You sure have changed!\Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about? response:	He's so dense...
context: Quit lecturing me like you know everything!\Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense... response:	Sorry, Miyazawa.
context: Why don't you just go and curl up in your girlfriend's lap?\Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa. response:	Looks like I've caused you some trouble...
context: Don't ever speak to me again, it's too embarassing! Bah-bye!\What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble... response:	But I've cared about Shibahime for a long time.
context: What the heck's wrong with her?\I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time. response:	I thought, if I had a sister, she'd be like her.
context: I see... she likes Arima...\And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her. response:	I know he only thought of me like a sister.
context: And here I thought it would be nice to see Shibahime again...\What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister. response:	That was just fine.
context: What the heck was she so upset about?\He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine. response:	Until he fell in love with someone else.
context: He's so dense...\Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else. response:	You bit off more than you could chew.
context: Sorry, Miyazawa.\Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew. response:	There there.
context: Looks like I've caused you some trouble...\But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew.\There there. response:	It can't be helped.
context: But I've cared about Shibahime for a long time.\I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew.\There there.\It can't be helped. response:	Arima never saw Tsubasa as a potential love interest.
context: I thought, if I had a sister, she'd be like her.\I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew.\There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest. response:	So what?
context: I know he only thought of me like a sister.\That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew.\There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what? response:	She can still monopolize Arima that way.
context: That was just fine.\Until he fell in love with someone else.\You bit off more than you could chew.\There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way. response:	There's no use now.
context: Until he fell in love with someone else.\You bit off more than you could chew.\There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way.\There's no use now. response:	Arima's feelings totally belong to that girl.
context: You bit off more than you could chew.\There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl. response:	He won't pay attention to me any more.
context: There there.\It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more. response:	Don't be such a chicken...
context: It can't be helped.\Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken... response:	I can't stand it! I hate her!
context: Arima never saw Tsubasa as a potential love interest.\So what?\She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her! response:	Gack! Tsubasa!
context: So what?\She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa! response:	Tsubasa, what're you doing?!
context: She can still monopolize Arima that way.\There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?! response:	Tsubasa...
context: There's no use now.\Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa... response:	Is she a demon of revenge?
context: Arima's feelings totally belong to that girl.\He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge? response:	You don't even know a thing about Arima!
context: He won't pay attention to me any more.\Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima! response:	Tsubasa...
context: Don't be such a chicken...\I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa... response:	Shibahime totally hates me.
context: I can't stand it! I hate her!\Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me. response:	Ignored by all the girls in my class, hated by Shibahime...
context: Gack! Tsubasa!\Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime... response:	I'm really not doing so hot these days...
context: Tsubasa, what're you doing?!\Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days... response:	Miyazawa?
context: Tsubasa...\Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa? response:	Sorry for all the trouble Shibahime's causing.
context: Is she a demon of revenge?\You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing. response:	We're her friends...
context: You don't even know a thing about Arima!\Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends... response:	Please understand her feelings.
context: Tsubasa...\Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings. response:	It's really complicated for her.
context: Shibahime totally hates me.\Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings.\It's really complicated for her. response:	Oh, sure. I don't mind.
context: Ignored by all the girls in my class, hated by Shibahime...\I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind. response:	She hasn't done anything that bad to me... I'm okay.
context: I'm really not doing so hot these days...\Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay. response:	What a relief to hear you say that.
context: Miyazawa?\Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that. response:	Thanks.
context: Sorry for all the trouble Shibahime's causing.\We're her friends...\Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks. response:	Don't mention it.
context: We're her friends...\Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks.\Don't mention it. response:	Anyway, we'll try to keep her out of trouble,
context: Please understand her feelings.\It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble, response:	so please don't be offended.
context: It's really complicated for her.\Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended. response:	If anything happens, just let us know.
context: Oh, sure. I don't mind.\She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know. response:	Bye bye. See ya.
context: She hasn't done anything that bad to me... I'm okay.\What a relief to hear you say that.\Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya. response:	Bye bye.
context: What a relief to hear you say that.\Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya.\Bye bye. response:	Lucky...that girl has friends.
context: Thanks.\Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya.\Bye bye.\Lucky...that girl has friends. response:	Hey, how long are we going to keep doing this?
context: Don't mention it.\Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya.\Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this? response:	What, are you siding with Miyazawa?
context: Anyway, we'll try to keep her out of trouble,\so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya.\Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa? response:	Laughter, Fury, Anxiety, Love, Friendship
context: so please don't be offended.\If anything happens, just let us know.\Bye bye. See ya.\Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship response:	Rivalry, Gowth and Degeneration
context: If anything happens, just let us know.\Bye bye. See ya.\Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration response:	Within the doors of the classroom...
context: Bye bye. See ya.\Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom... response:	What'll happen next!
context: Bye bye.\Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next! response:	Surrounded by enemies...
context: Lucky...that girl has friends.\Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next!\Surrounded by enemies... response:	as they appear one after the other.
context: Hey, how long are we going to keep doing this?\What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next!\Surrounded by enemies...\as they appear one after the other. response:	But the deadlock comes to an end.
context: What, are you siding with Miyazawa?\Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next!\Surrounded by enemies...\as they appear one after the other.\But the deadlock comes to an end. response:	Yes, Shibahime Tsubasa goes
context: Laughter, Fury, Anxiety, Love, Friendship\Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next!\Surrounded by enemies...\as they appear one after the other.\But the deadlock comes to an end.\Yes, Shibahime Tsubasa goes response:	in for the kill!
context: Rivalry, Gowth and Degeneration\Within the doors of the classroom...\What'll happen next!\Surrounded by enemies...\as they appear one after the other.\But the deadlock comes to an end.\Yes, Shibahime Tsubasa goes\in for the kill! response:	Everything Starts Now.
