context: There's an emergency message from the Detention Corps! response:	The new Oracion Seis's aim isn't the destruction of churches!
context: Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon! response:	What is this... feeling?
context: What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon!\What is this... feeling? response:	I've got a really bad feeling...
context: Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling... response:	Nee-san... It's okay.
context: I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay. response:	I'm here for you.
context: Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you. response:	The scream we heard came from over here!
context: Wing Slash of the Fire Dragon!\Plus...\Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here! response:	What is this?! What's happening?!
context: Plus...\Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?! response:	What did Cobra do?
context: Roar of the Fire Dragon!\What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do? response:	The Celestial Spirit Wizards' Anti-Link is complete?
context: What is this... feeling?\I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete? response:	W-What are you talking about?!
context: I've got a really bad feeling...\Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?! response:	The severing of the biological link.
context: Nee-san... It's okay.\I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link. response:	Great Neville,
context: I'm here for you.\The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link.\Great Neville, response:	the amplitude limiters have all been unleashed.
context: The scream we heard came from over here!\What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed. response:	The nightmare that you saw is now going to...
context: What is this?! What's happening?!\What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to... response:	It will blanket the world!
context: What did Cobra do?\The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world! response:	The chaos that had been sealed away is now unleashed upon the world!
context: The Celestial Spirit Wizards' Anti-Link is complete?\W-What are you talking about?!\The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world! response:	It's the beginning of the nightmare that can never be awakened from!
context: W-What are you talking about?!\The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from! response:	The end is in our hands!
context: The severing of the biological link.\Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands! response:	The end is in our hands!
context: Great Neville,\the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands! response:	What is that? What kind of a joke is that?
context: the amplitude limiters have all been unleashed.\The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that? response:	The sound of bells...
context: The nightmare that you saw is now going to...\It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells... response:	Unleashing the Infinity Clock...?
context: It will blanket the world!\The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...? response:	That's the clock? It's too damn big!
context: The chaos that had been sealed away is now unleashed upon the world!\It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big! response:	The Infinity Clock was hidden right over Zentopia Cathedral.
context: It's the beginning of the nightmare that can never be awakened from!\The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral. response:	What do you mean?
context: The end is in our hands!\The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean? response:	That's the starting point of the doctrine that was sealed away from Zentopia history.
context: The end is in our hands!\What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history. response:	The intersection between the beginning and end of goodwill and malice.
context: What is that? What kind of a joke is that?\The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice. response:	Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.
context: The sound of bells...\Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded. response:	I don't care what their real intentions are and it isn't necessary to know.
context: Unleashing the Infinity Clock...?\That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know. response:	For the sake of the doctrine, for the sake of Zentopia...
context: That's the clock? It's too damn big!\The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia... response:	We won.
context: The Infinity Clock was hidden right over Zentopia Cathedral.\What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won. response:	Look at that! It's a fish! Though it doesn't look good to eat...
context: What do you mean?\That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat... response:	So we were too late?
context: That's the starting point of the doctrine that was sealed away from Zentopia history.\The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late? response:	While I was wavering, this happened?!
context: The intersection between the beginning and end of goodwill and malice.\Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?! response:	What's going to happen next?!
context: Everything has gone as Cardinal Rapowant as well as the archbishop have commanded.\I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?!\What's going to happen next?! response:	Where are you going, Sammy?!
context: I don't care what their real intentions are and it isn't necessary to know.\For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?! response:	Zentopia Cathedral!
context: For the sake of the doctrine, for the sake of Zentopia...\We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral! response:	I'm going to confirm the truth with my own eyes!
context: We won.\Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes! response:	Wait! We haven't heard yet what kind of order you and Byro got!
context: Look at that! It's a fish! Though it doesn't look good to eat...\So we were too late?\While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got! response:	Sammy...
context: So we were too late?\While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy... response:	Coco...
context: While I was wavering, this happened?!\What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco... response:	What the hell is this?!
context: What's going to happen next?!\Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco...\What the hell is this?! response:	The Infinity Clock has begun to work.
context: Where are you going, Sammy?!\Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco...\What the hell is this?!\The Infinity Clock has begun to work. response:	What?! We have to do something to stop it!
context: Zentopia Cathedral!\I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco...\What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it! response:	But I have my own mission to carry out.
context: I'm going to confirm the truth with my own eyes!\Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco...\What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out. response:	That's to bring you back with me, Lucy Heartfilia.
context: Wait! We haven't heard yet what kind of order you and Byro got!\Sammy...\Coco...\What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia. response:	Why?! After all this, what do you want with me?!
context: Sammy...\Coco...\What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?! response:	I don't understand it either.
context: Coco...\What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either. response:	However, it's my duty to obey.
context: What the hell is this?!\The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey. response:	You're not gettin' Lucy!
context: The Infinity Clock has begun to work.\What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy! response:	We don't have the time for this right now!
context: What?! We have to do something to stop it!\But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now! response:	Can't you see what's over us?! What are you talking about, mission?!
context: But I have my own mission to carry out.\That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?! response:	Even you must know what you should really be doing right now!
context: That's to bring you back with me, Lucy Heartfilia.\Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now! response:	Byro, what are you hesitating for? Don't think!
context: Why?! After all this, what do you want with me?!\I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think! response:	All you need is the doctrine and loyalty... All you have to do is what you were ordered!
context: I don't understand it either.\However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered! response:	You!
context: However, it's my duty to obey.\You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You! response:	When we were fighting Nirvana...
context: You're not gettin' Lucy!\We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana... response:	My name is Klodoa.
context: We don't have the time for this right now!\Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana...\My name is Klodoa. response:	I was then and am now the seventh member of Oracion Seis, the brains behind the group.
context: Can't you see what's over us?! What are you talking about, mission?!\Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group. response:	The seventh member?
context: Even you must know what you should really be doing right now!\Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member? response:	Then, um... Aren't you one member short?
context: Byro, what are you hesitating for? Don't think!\All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short? response:	It's no longer necessary to hide it anymore. Come, the time is ripe!
context: All you need is the doctrine and loyalty... All you have to do is what you were ordered!\You!\When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe! response:	Throw away your temporary form and reveal your true name right here and now!
context: You!\When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now! response:	Michelle...
context: When we were fighting Nirvana...\My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle... response:	What are you talking about?! You're just trying to confuse us again, aren't you?!
context: My name is Klodoa.\I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?! response:	This girl is Michelle Lobster! She's like a little sister to me! She's family!
context: I was then and am now the seventh member of Oracion Seis, the brains behind the group.\The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family! response:	She embarked on a journey to search for me so she could deliver my father's memento!
context: The seventh member?\Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento! response:	Don't worry! I'm not gonna be taken in by that jerk's baloney!
context: Then, um... Aren't you one member short?\It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney! response:	Michelle...
context: It's no longer necessary to hide it anymore. Come, the time is ripe!\Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle... response:	Come on... Tell me he's lying...
context: Throw away your temporary form and reveal your true name right here and now!\Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying... response:	Come on!
context: Michelle...\What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying...\Come on! response:	Hey.
context: What are you talking about?! You're just trying to confuse us again, aren't you?!\This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying...\Come on!\Hey. response:	Lucy-nee-san...
context: This girl is Michelle Lobster! She's like a little sister to me! She's family!\She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying...\Come on!\Hey.\Lucy-nee-san... response:	I'm sorry.
context: She embarked on a journey to search for me so she could deliver my father's memento!\Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying...\Come on!\Hey.\Lucy-nee-san...\I'm sorry. response:	Mi...chelle...
context: Don't worry! I'm not gonna be taken in by that jerk's baloney!\Michelle...\Come on... Tell me he's lying...\Come on!\Hey.\Lucy-nee-san...\I'm sorry.\Mi...chelle... response:	No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.
context: Michelle...\Come on... Tell me he's lying...\Come on!\Hey.\Lucy-nee-san...\I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception. response:	To gather the scattered pieces of the Infinity Clock, we needed all of you.
context: Come on... Tell me he's lying...\Come on!\Hey.\Lucy-nee-san...\I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you. response:	That's why I came to you, Nee-san, as Michelle Lobster.
context: Come on!\Hey.\Lucy-nee-san...\I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster. response:	What are you saying? I don't understand!
context: Hey.\Lucy-nee-san...\I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand! response:	We attacked those churches
context: Lucy-nee-san...\I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches response:	to destroy the biological links that were spread all over
context: I'm sorry.\Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over response:	and to release the sealed-up Infinity Clock.
context: Mi...chelle...\No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock. response:	With that accomplished now, we only need you, Lucy-nee-san.
context: No. I'm a member of the new Oracion Seis. Imitatia, mistress of mimicry and deception.\To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san. response:	What happened?
context: To gather the scattered pieces of the Infinity Clock, we needed all of you.\That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened? response:	I-I see! You're being manipulated by magic!
context: That's why I came to you, Nee-san, as Michelle Lobster.\What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic! response:	I'll...
context: What are you saying? I don't understand!\We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic!\I'll... response:	Get back, Lucy.
context: We attacked those churches\to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy. response:	So it was all a lie?
context: to destroy the biological links that were spread all over\and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy.\So it was all a lie? response:	Who knows?
context: and to release the sealed-up Infinity Clock.\With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy.\So it was all a lie?\Who knows? response:	Answer me!
context: With that accomplished now, we only need you, Lucy-nee-san.\What happened?\I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy.\So it was all a lie?\Who knows?\Answer me! response:	Stop it, Natsu!
context: What happened?\I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy.\So it was all a lie?\Who knows?\Answer me!\Stop it, Natsu! response:	Suddenly a sneak attack?! That's our girl!
context: I-I see! You're being manipulated by magic!\I'll...\Get back, Lucy.\So it was all a lie?\Who knows?\Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl! response:	Byro, carry out the order you received from Lapowant.
context: I'll...\Get back, Lucy.\So it was all a lie?\Who knows?\Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant. response:	Take Lucy Heartfilia back with you.
context: Get back, Lucy.\So it was all a lie?\Who knows?\Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you. response:	I don't need you to tell me my orders, wench.
context: So it was all a lie?\Who knows?\Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench. response:	I'm loyal to Zentopia's...
context: Who knows?\Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench.\I'm loyal to Zentopia's... response:	Th-That's the archbishop's...
context: Answer me!\Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench.\I'm loyal to Zentopia's...\Th-That's the archbishop's... response:	Whoever holds that gold seal has the same authority as the archbishop.
context: Stop it, Natsu!\Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench.\I'm loyal to Zentopia's...\Th-That's the archbishop's...\Whoever holds that gold seal has the same authority as the archbishop. response:	Be aware that my orders are the archbishop's orders.
context: Suddenly a sneak attack?! That's our girl!\Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench.\I'm loyal to Zentopia's...\Th-That's the archbishop's...\Whoever holds that gold seal has the same authority as the archbishop.\Be aware that my orders are the archbishop's orders. response:	Y-Your wish is my command.
context: Byro, carry out the order you received from Lapowant.\Take Lucy Heartfilia back with you.\I don't need you to tell me my orders, wench.\I'm loyal to Zentopia's...\Th-That's the archbishop's...\Whoever holds that gold seal has the same authority as the archbishop.\Be aware that my orders are the archbishop's orders.\Y-Your wish is my command. response:	It would be dangerous to let that man live.
