context: I am grateful for the Institute's understanding and cooperation. response:	When receiving an order from the Palace,
context: The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap!\You're just doing whatever pleases you response:	because you know Siesta can't say no!
context: Just as I thought!\What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no! response:	That's just unfair, you old baboon!
context: What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon! response:	You, a mere peasant, dare to insult a nobleman?!
context: A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?! response:	Sit down right there!
context: providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there! response:	Stop it, Mr. Saito!
context: There is no greater honor!\That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito! response:	Siesta! You were there?
context: That's full of crap!\You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there? response:	Count, please forgive this individual's rudeness!
context: You're just doing whatever pleases you\because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness! response:	I will not have it!
context: because you know Siesta can't say no!\That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it! response:	If I leave such a peasant's rudeness be,
context: That's just unfair, you old baboon!\You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be, response:	I will tarnish the name of Jour de Mott!
context: You, a mere peasant, dare to insult a nobleman?!\Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott! response:	Stand aside, Siesta!
context: Sit down right there!\Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta! response:	I cannot!
context: Stop it, Mr. Saito!\Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot! response:	What?! I cannot!
context: Siesta! You were there?\Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot!\What?! I cannot! response:	What?!
context: Count, please forgive this individual's rudeness!\I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot!\What?! I cannot!\What?! response:	Count Mott, I beg of you. I will accept any punishment...
context: I will not have it!\If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot!\What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment... response:	Siesta! Out of the way!
context: If I leave such a peasant's rudeness be,\I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot!\What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way! response:	Saito, wasn't it? You said you would do anything?
context: I will tarnish the name of Jour de Mott!\Stand aside, Siesta!\I cannot!\What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything? response:	Is that really so?
context: Stand aside, Siesta!\I cannot!\What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so? response:	Yeah.
context: I cannot!\What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah. response:	My hobby is to collect printed matter.
context: What?! I cannot!\What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah.\My hobby is to collect printed matter. response:	Actually, there is a book that I cannot cease to desire.
context: What?!\Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire. response:	What book is it?
context: Count Mott, I beg of you. I will accept any punishment...\Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it? response:	A book that a certain mage chanced to summon in an experiment.
context: Siesta! Out of the way!\Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment. response:	I hear that it is the heirloom of an established family in Germania.
context: Saito, wasn't it? You said you would do anything?\Is that really so?\Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania. response:	The daughter of that family is currently at the Institute.
context: Is that really so?\Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute. response:	Germania? I think I've heard of that place before.
context: Yeah.\My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before. response:	I am not certain whether or not you, a peasant, know of her,
context: My hobby is to collect printed matter.\Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her, response:	but she is the daughter of the Zerbst family.
context: Actually, there is a book that I cannot cease to desire.\What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family. response:	Zerbst?
context: What book is it?\A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst? response:	If you want Siesta back,
context: A book that a certain mage chanced to summon in an experiment.\I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back, response:	you must bring me the Zerbst family heirloom.
context: I hear that it is the heirloom of an established family in Germania.\The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom. response:	Kirche, of all people...
context: The daughter of that family is currently at the Institute.\Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people... response:	Louise?!
context: Germania? I think I've heard of that place before.\I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?! response:	What in the world were you thinking?
context: I am not certain whether or not you, a peasant, know of her,\but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?!\What in the world were you thinking? response:	Why?
context: but she is the daughter of the Zerbst family.\Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?!\What in the world were you thinking?\Why? response:	I don't care, just get on! Sheesh!
context: Zerbst?\If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?!\What in the world were you thinking?\Why?\I don't care, just get on! Sheesh! response:	You're dealing with one of the higher-ups from the Palace.
context: If you want Siesta back,\you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?!\What in the world were you thinking?\Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace. response:	You can't even begin to make a comparison between him and Guiche.
context: you must bring me the Zerbst family heirloom.\Kirche, of all people...\Louise?!\What in the world were you thinking?\Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche. response:	But don't you feel sorry for Siesta?
context: Kirche, of all people...\Louise?!\What in the world were you thinking?\Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta? response:	Of course I take pity for her situation, but it can't be helped!
context: Louise?!\What in the world were you thinking?\Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped! response:	You can't just brush it off!
context: What in the world were you thinking?\Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off! response:	Don't scream right behind me!
context: Why?\I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me! response:	Yeah, yeah.
context: I don't care, just get on! Sheesh!\You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me!\Yeah, yeah. response:	Anyway, just give up about Siesta.
context: You're dealing with one of the higher-ups from the Palace.\You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta. response:	Got it?
context: You can't even begin to make a comparison between him and Guiche.\But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta.\Got it? response:	Yeah... Got it.
context: But don't you feel sorry for Siesta?\Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta.\Got it?\Yeah... Got it. response:	Then hurry up and go to sleep.
context: Of course I take pity for her situation, but it can't be helped!\You can't just brush it off!\Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta.\Got it?\Yeah... Got it.\Then hurry up and go to sleep. response:	Yeah...
context: You can't just brush it off!\Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta.\Got it?\Yeah... Got it.\Then hurry up and go to sleep.\Yeah... response:	Honest as always, so they say.
context: Don't scream right behind me!\Yeah, yeah.\Anyway, just give up about Siesta.\Got it?\Yeah... Got it.\Then hurry up and go to sleep.\Yeah...\Honest as always, so they say. response:	Our family heirloom?
context: Yeah, yeah.\Anyway, just give up about Siesta.\Got it?\Yeah... Got it.\Then hurry up and go to sleep.\Yeah...\Honest as always, so they say.\Our family heirloom? response:	Oh, that.
context: Anyway, just give up about Siesta.\Got it?\Yeah... Got it.\Then hurry up and go to sleep.\Yeah...\Honest as always, so they say.\Our family heirloom?\Oh, that. response:	I'm not Tabitha, so I don't really care.
context: Got it?\Yeah... Got it.\Then hurry up and go to sleep.\Yeah...\Honest as always, so they say.\Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care. response:	I've never even opened the book.
context: Yeah... Got it.\Then hurry up and go to sleep.\Yeah...\Honest as always, so they say.\Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book. response:	You had it the whole time?
context: Then hurry up and go to sleep.\Yeah...\Honest as always, so they say.\Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time? response:	They made me bring it, to prepare for my wedding.
context: Yeah...\Honest as always, so they say.\Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding. response:	Prepare for your wedding?
context: Honest as always, so they say.\Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding? response:	I heard that it has the effect of stimulating men's sexual desires.
context: Our family heirloom?\Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires. response:	No wonder why that old baboon wants it.
context: Oh, that.\I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it. response:	I don't need something like this in the first place.
context: I'm not Tabitha, so I don't really care.\I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place. response:	Don't you agree?
context: I've never even opened the book.\You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree? response:	Well, yeah.
context: You had it the whole time?\They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree?\Well, yeah. response:	So I don't mind giving it to you.
context: They made me bring it, to prepare for my wedding.\Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree?\Well, yeah.\So I don't mind giving it to you. response:	Seriously?
context: Prepare for your wedding?\I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree?\Well, yeah.\So I don't mind giving it to you.\Seriously? response:	But in return, you have to go out with me.
context: I heard that it has the effect of stimulating men's sexual desires.\No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree?\Well, yeah.\So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me. response:	Hey, isn't that a good deal?
context: No wonder why that old baboon wants it.\I don't need something like this in the first place.\Don't you agree?\Well, yeah.\So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal? response:	You know...
context: I don't need something like this in the first place.\Don't you agree?\Well, yeah.\So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal?\You know... response:	You damned nobles are all rotten!
context: Don't you agree?\Well, yeah.\So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal?\You know...\You damned nobles are all rotten! response:	Saito!
context: Well, yeah.\So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal?\You know...\You damned nobles are all rotten!\Saito! response:	What's he so upset about?
context: So I don't mind giving it to you.\Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal?\You know...\You damned nobles are all rotten!\Saito!\What's he so upset about? response:	Come on, do what I'm telling you to!
context: Seriously?\But in return, you have to go out with me.\Hey, isn't that a good deal?\You know...\You damned nobles are all rotten!\Saito!\What's he so upset about?\Come on, do what I'm telling you to! response:	Miss Siesta...
context: But in return, you have to go out with me.\Hey, isn't that a good deal?\You know...\You damned nobles are all rotten!\Saito!\What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta... response:	Yes?
context: Hey, isn't that a good deal?\You know...\You damned nobles are all rotten!\Saito!\What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta...\Yes? response:	The Count is waiting in his bedchamber. Please hurry.
context: You know...\You damned nobles are all rotten!\Saito!\What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry. response:	Yes...
context: You damned nobles are all rotten!\Saito!\What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes... response:	Mr. Saito...
context: Saito!\What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito... response:	Hey, wake up!
context: What's he so upset about?\Come on, do what I'm telling you to!\Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito...\Hey, wake up! response:	What are you doing?
context: Come on, do what I'm telling you to!\Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito...\Hey, wake up!\What are you doing? response:	Stupid dog...
context: Miss Siesta...\Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito...\Hey, wake up!\What are you doing?\Stupid dog... response:	Kirche?
context: Yes?\The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito...\Hey, wake up!\What are you doing?\Stupid dog...\Kirche? response:	Wait, why are you here?
context: The Count is waiting in his bedchamber. Please hurry.\Yes...\Mr. Saito...\Hey, wake up!\What are you doing?\Stupid dog...\Kirche?\Wait, why are you here? response:	There's no time for that!
context: Yes...\Mr. Saito...\Hey, wake up!\What are you doing?\Stupid dog...\Kirche?\Wait, why are you here?\There's no time for that! response:	Valliere, your familiar...
context: Mr. Saito...\Hey, wake up!\What are you doing?\Stupid dog...\Kirche?\Wait, why are you here?\There's no time for that!\Valliere, your familiar... response:	Why do these things happen one after another?
context: Hey, wake up!\What are you doing?\Stupid dog...\Kirche?\Wait, why are you here?\There's no time for that!\Valliere, your familiar...\Why do these things happen one after another? response:	But that's part of Saito's charm.
context: What are you doing?\Stupid dog...\Kirche?\Wait, why are you here?\There's no time for that!\Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm. response:	You've got to be kidding!
context: Stupid dog...\Kirche?\Wait, why are you here?\There's no time for that!\Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding! response:	Think about the one that has to take care of that familiar!
context: Kirche?\Wait, why are you here?\There's no time for that!\Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar! response:	A noble's mansion.
context: Wait, why are you here?\There's no time for that!\Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion. response:	If a peasant were to draw a sword...
context: There's no time for that!\Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword... response:	Oh, brother.
context: Valliere, your familiar...\Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword...\Oh, brother. response:	It really was a short relationship with this partner.
context: Why do these things happen one after another?\But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner. response:	Is there anywhere I can get in?
context: But that's part of Saito's charm.\You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in? response:	Who's there?
context: You've got to be kidding!\Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there? response:	You're...
context: Think about the one that has to take care of that familiar!\A noble's mansion.\If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there?\You're... response:	Thanks for everything earlier today.
context: A noble's mansion.\If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there?\You're...\Thanks for everything earlier today. response:	Ouch...
context: If a peasant were to draw a sword...\Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there?\You're...\Thanks for everything earlier today.\Ouch... response:	Come on, let go.
context: Oh, brother.\It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there?\You're...\Thanks for everything earlier today.\Ouch...\Come on, let go. response:	Let him go.
context: It really was a short relationship with this partner.\Is there anywhere I can get in?\Who's there?\You're...\Thanks for everything earlier today.\Ouch...\Come on, let go.\Let him go. response:	Man, that hurts.
context: Is there anywhere I can get in?\Who's there?\You're...\Thanks for everything earlier today.\Ouch...\Come on, let go.\Let him go.\Man, that hurts. response:	What were you planning to do, with such a thing on your back?
context: Who's there?\You're...\Thanks for everything earlier today.\Ouch...\Come on, let go.\Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back? response:	The roads are dangerous at night.
context: You're...\Thanks for everything earlier today.\Ouch...\Come on, let go.\Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night. response:	No noble is whimsical enough to simply
context: Thanks for everything earlier today.\Ouch...\Come on, let go.\Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply response:	hand over a treasure to a mere peasant.
context: Ouch...\Come on, let go.\Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant. response:	I wanted to enjoy your struggles,
context: Come on, let go.\Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles, response:	but you certainly gave up quickly. How boring.
context: Let him go.\Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring. response:	I didn't give up.
context: Man, that hurts.\What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up. response:	I'm going to rescue Siesta!
context: What were you planning to do, with such a thing on your back?\The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta! response:	You drew?
context: The roads are dangerous at night.\No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta!\You drew? response:	If he draws a sword in a nobleman's mansion,
context: No noble is whimsical enough to simply\hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion, response:	a peasant can't complain if he gets executed on the spot!
context: hand over a treasure to a mere peasant.\I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot! response:	I know that.
context: I wanted to enjoy your struggles,\but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that. response:	It won't just be your familiar. You'll be responsible too.
context: but you certainly gave up quickly. How boring.\I didn't give up.\I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too. response:	I know that!
context: I didn't give up.\I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too.\I know that! response:	Tabitha, hurry.
context: I'm going to rescue Siesta!\You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry. response:	Mansion. Landing.
context: You drew?\If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry.\Mansion. Landing. response:	I have never seen such a foolish peasant as you.
context: If he draws a sword in a nobleman's mansion,\a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you. response:	People tell me that a lot.
context: a peasant can't complain if he gets executed on the spot!\I know that.\It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot. response:	Something's wrong.
context: I know that.\It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong. response:	When I was fighting Guiche...
context: It won't just be your familiar. You'll be responsible too.\I know that!\Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong.\When I was fighting Guiche... response:	I am known as Mott the Surge, a Triangle-class mage.
context: I know that!\Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage. response:	So what?
context: Tabitha, hurry.\Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what? response:	My body is shaking... Dammit!
context: Mansion. Landing.\I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit! response:	What?!
context: I have never seen such a foolish peasant as you.\People tell me that a lot.\Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit!\What?! response:	I can do something like this as well.
context: People tell me that a lot.\Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit!\What?!\I can do something like this as well. response:	Saito!
context: Something's wrong.\When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit!\What?!\I can do something like this as well.\Saito! response:	What?!
