context: Be gone, Cyverse! response:	The Knights of Hanoi's attacks have made it to the Cyverse...!
context: Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...?\What the heck is this?\This program...\It's the Knights of Hanoi!\Now they're here huh? response:	What is this...feeling?
context: IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...?\What the heck is this?\This program...\It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling? response:	What?!
context: The firewall is going to break!\What's going on...?\What the heck is this?\This program...\It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling?\What?! response:	What is that?!
context: What's going on...?\What the heck is this?\This program...\It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling?\What?!\What is that?! response:	Where is Ignis?!
context: What the heck is this?\This program...\It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling?\What?!\What is that?!\Where is Ignis?! response:	Crush all who get in our way!
context: This program...\It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling?\What?!\What is that?!\Where is Ignis?!\Crush all who get in our way! response:	Run for it!
context: It's the Knights of Hanoi!\Now they're here huh?\What is this...feeling?\What?!\What is that?!\Where is Ignis?!\Crush all who get in our way!\Run for it! response:	Hanoi's attack has started!
context: Now they're here huh?\What is this...feeling?\What?!\What is that?!\Where is Ignis?!\Crush all who get in our way!\Run for it!\Hanoi's attack has started! response:	I'm almost finished.
context: What is this...feeling?\What?!\What is that?!\Where is Ignis?!\Crush all who get in our way!\Run for it!\Hanoi's attack has started!\I'm almost finished. response:	If we get that AI he'll become our savior!
context: What?!\What is that?!\Where is Ignis?!\Crush all who get in our way!\Run for it!\Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior! response:	Will we really be able to catch him?
context: What is that?!\Where is Ignis?!\Crush all who get in our way!\Run for it!\Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him? response:	Yeah.
context: Where is Ignis?!\Crush all who get in our way!\Run for it!\Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah. response:	I can feel him...his presence!
context: Crush all who get in our way!\Run for it!\Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah.\I can feel him...his presence! response:	I've found you, Ignis!
context: Run for it!\Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah.\I can feel him...his presence!\I've found you, Ignis! response:	Where's my way out...?!
context: Hanoi's attack has started!\I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah.\I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?! response:	Where... Where... Where is it?!
context: I'm almost finished.\If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah.\I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?! response:	This'll finish it!
context: If we get that AI he'll become our savior!\Will we really be able to catch him?\Yeah.\I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?!\This'll finish it! response:	Found it!
context: Will we really be able to catch him?\Yeah.\I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?!\This'll finish it!\Found it! response:	Link VRAINS accounts are being erased one after another!
context: Yeah.\I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?!\This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another! response:	Can't we purge Hanoi from the system!?
context: I can feel him...his presence!\I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?!\This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!? response:	No sir! If this keeps up Link VRAINS will collapse!
context: I've found you, Ignis!\Where's my way out...?!\Where... Where... Where is it?!\This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse! response:	Come to me!
context: Where's my way out...?!\Where... Where... Where is it?!\This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me! response:	How nice of you to join us.
context: Where... Where... Where is it?!\This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us. response:	I'm going to have you be our savior.
context: This'll finish it!\Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us.\I'm going to have you be our savior. response:	Huh? What?
context: Found it!\Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us.\I'm going to have you be our savior.\Huh? What? response:	It's no use.
context: Link VRAINS accounts are being erased one after another!\Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us.\I'm going to have you be our savior.\Huh? What?\It's no use. response:	I've made it so you can't alter any programs inside of the Disk.
context: Can't we purge Hanoi from the system!?\No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us.\I'm going to have you be our savior.\Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk. response:	Huh?! I got caught?!
context: No sir! If this keeps up Link VRAINS will collapse!\Come to me!\How nice of you to join us.\I'm going to have you be our savior.\Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?! response:	You're the AI everyone is searching for, right?
context: Come to me!\How nice of you to join us.\I'm going to have you be our savior.\Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right? response:	I'm just a little'ol passing through AI!
context: How nice of you to join us.\I'm going to have you be our savior.\Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI! response:	We're running out of time, let's go!
context: I'm going to have you be our savior.\Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go! response:	Go? Where?
context: Huh? What?\It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where? response:	Link VRAINS!
context: It's no use.\I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where?\Link VRAINS! response:	But I just escaped from there!
context: I've made it so you can't alter any programs inside of the Disk.\Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where?\Link VRAINS!\But I just escaped from there! response:	I wasn't asking for your opinion!
context: Huh?! I got caught?!\You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where?\Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion! response:	Deck Set!
context: You're the AI everyone is searching for, right?\I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where?\Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion!\Deck Set! response:	In to the VRAINS!
context: I'm just a little'ol passing through AI!\We're running out of time, let's go!\Go? Where?\Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion!\Deck Set!\In to the VRAINS! response:	Be gone!
context: We're running out of time, let's go!\Go? Where?\Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion!\Deck Set!\In to the VRAINS!\Be gone! response:	We really went back...
context: Go? Where?\Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion!\Deck Set!\In to the VRAINS!\Be gone!\We really went back... response:	Who are you?!
context: Link VRAINS!\But I just escaped from there!\I wasn't asking for your opinion!\Deck Set!\In to the VRAINS!\Be gone!\We really went back...\Who are you?! response:	Who are you!?
context: But I just escaped from there!\I wasn't asking for your opinion!\Deck Set!\In to the VRAINS!\Be gone!\We really went back...\Who are you?!\Who are you!? response:	My name is Playmaker.
context: I wasn't asking for your opinion!\Deck Set!\In to the VRAINS!\Be gone!\We really went back...\Who are you?!\Who are you!?\My name is Playmaker. response:	The thing you're looking for is right here!
context: Deck Set!\In to the VRAINS!\Be gone!\We really went back...\Who are you?!\Who are you!?\My name is Playmaker.\The thing you're looking for is right here! response:	Stop your attack on Link VRAINS!
context: In to the VRAINS!\Be gone!\We really went back...\Who are you?!\Who are you!?\My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS! response:	If you don't then I'll delete this right here and now!
context: Be gone!\We really went back...\Who are you?!\Who are you!?\My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now! response:	Wait! Hold on a second!
context: We really went back...\Who are you?!\Who are you!?\My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second! response:	You're holding the savior hostage!?
context: Who are you?!\Who are you!?\My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!? response:	This program has been changed into a Duel Program!
context: Who are you!?\My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program! response:	If you want to get your hands on it you'll have to beat me in a Duel!
context: My name is Playmaker.\The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel! response:	That's Ignis!
context: The thing you're looking for is right here!\Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis! response:	Ignis is there!?
context: Stop your attack on Link VRAINS!\If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!? response:	Oh?
context: If you don't then I'll delete this right here and now!\Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!?\Oh? response:	As you wish!
context: Wait! Hold on a second!\You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!?\Oh?\As you wish! response:	I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!
context: You're holding the savior hostage!?\This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!?\Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi! response:	Bring it on!
context: This program has been changed into a Duel Program!\If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!?\Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on! response:	No way!
context: If you want to get your hands on it you'll have to beat me in a Duel!\That's Ignis!\Ignis is there!?\Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way! response:	The Playmaker has shown himself!
context: That's Ignis!\Ignis is there!?\Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way!\The Playmaker has shown himself! response:	But this doesn't look good..
context: Ignis is there!?\Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way!\The Playmaker has shown himself!\But this doesn't look good.. response:	That Dragon he has is really strong.
context: Oh?\As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way!\The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong. response:	I don't think you'll be able to beat it with your Deck.
context: As you wish!\I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way!\The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck. response:	Says you.
context: I'll have you learn what it means to make yourself an enemy of the Knights of Hanoi!\Bring it on!\No way!\The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you. response:	If I lose you'll fall into the hands of Hanoi.
context: Bring it on!\No way!\The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi. response:	So you better pray that I win!
context: No way!\The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win! response:	AI's don't pray!
context: The Playmaker has shown himself!\But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray! response:	They only make calculations to win!
context: But this doesn't look good..\That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray!\They only make calculations to win! response:	Cyverse!
context: That Dragon he has is really strong.\I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray!\They only make calculations to win!\Cyverse! response:	Data Material: Unlock!
context: I don't think you'll be able to beat it with your Deck.\Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray!\They only make calculations to win!\Cyverse!\Data Material: Unlock! response:	What happened!?
context: Says you.\If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray!\They only make calculations to win!\Cyverse!\Data Material: Unlock!\What happened!? response:	That's...!
context: If I lose you'll fall into the hands of Hanoi.\So you better pray that I win!\AI's don't pray!\They only make calculations to win!\Cyverse!\Data Material: Unlock!\What happened!?\That's...! response:	Jump on, Playmaker!
context: So you better pray that I win!\AI's don't pray!\They only make calculations to win!\Cyverse!\Data Material: Unlock!\What happened!?\That's...!\Jump on, Playmaker! response:	This is...
context: AI's don't pray!\They only make calculations to win!\Cyverse!\Data Material: Unlock!\What happened!?\That's...!\Jump on, Playmaker!\This is... response:	Impossible...a Data Storm?!
context: They only make calculations to win!\Cyverse!\Data Material: Unlock!\What happened!?\That's...!\Jump on, Playmaker!\This is...\Impossible...a Data Storm?! response:	Grab the wind, Playmaker!
context: Cyverse!\Data Material: Unlock!\What happened!?\That's...!\Jump on, Playmaker!\This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker! response:	Here we go!
context: Data Material: Unlock!\What happened!?\That's...!\Jump on, Playmaker!\This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go! response:	Speed Duel!
context: What happened!?\That's...!\Jump on, Playmaker!\This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go!\Speed Duel! response:	Link VRAINS.
context: That's...!\Jump on, Playmaker!\This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go!\Speed Duel!\Link VRAINS. response:	In the past there was Dueling where you rode the wind...
context: Jump on, Playmaker!\This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go!\Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind... response:	Inside the wind countless monsters lived,
context: This is...\Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go!\Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived, response:	And Duelists chased after it with determination!
context: Impossible...a Data Storm?!\Grab the wind, Playmaker!\Here we go!\Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination! response:	But suddenly that wind vanished, and slowly disappeared from people's memories.
context: Grab the wind, Playmaker!\Here we go!\Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories. response:	Do I already know how to Speed Duel?
context: Here we go!\Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories.\Do I already know how to Speed Duel? response:	Grab the wind! Storm Access
context: Speed Duel!\Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories.\Do I already know how to Speed Duel?\Grab the wind! Storm Access response:	Grab the wind! Storm Access
context: Link VRAINS.\In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories.\Do I already know how to Speed Duel?\Grab the wind! Storm Access\Grab the wind! Storm Access response:	Grab the wind! Storm Access
context: In the past there was Dueling where you rode the wind...\Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories.\Do I already know how to Speed Duel?\Grab the wind! Storm Access\Grab the wind! Storm Access\Grab the wind! Storm Access response:	Grab the Wind! Storm Access
context: Inside the wind countless monsters lived,\And Duelists chased after it with determination!\But suddenly that wind vanished, and slowly disappeared from people's memories.\Do I already know how to Speed Duel?\Grab the wind! Storm Access\Grab the wind! Storm Access\Grab the wind! Storm Access\Grab the Wind! Storm Access response:	In to the VRAINS!
