context: What is it?! A fire? response:	Slaying of demons.
context: You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel!\Hachi! Support me! response:	Yes sir!
context: Rather than be eaten the their likes...\this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel!\Hachi! Support me!\Yes sir! response:	Miroku!
context: this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel!\Hachi! Support me!\Yes sir!\Miroku! response:	The fool!
context: Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel!\Hachi! Support me!\Yes sir!\Miroku!\The fool! response:	He'll suck in the Sacred Jewel fragment!
context: Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel!\Hachi! Support me!\Yes sir!\Miroku!\The fool!\He'll suck in the Sacred Jewel fragment! response:	He's losing strength!
context: Here goes!\Wind Tunnel!\Hachi! Support me!\Yes sir!\Miroku!\The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength! response:	Go to sleep!
context: Wind Tunnel!\Hachi! Support me!\Yes sir!\Miroku!\The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep! response:	I can't hold my place!
context: Hachi! Support me!\Yes sir!\Miroku!\The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep!\I can't hold my place! response:	Inu... yasha!
context: Yes sir!\Miroku!\The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep!\I can't hold my place!\Inu... yasha! response:	Damn it! If you try to open your Wind Tunnel again...
context: Miroku!\The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep!\I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again... response:	I'll break this arm!
context: The fool!\He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep!\I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm! response:	You can die if you wanna!
context: He'll suck in the Sacred Jewel fragment!\He's losing strength!\Go to sleep!\I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna! response:	But don't die so easily when you're with me!
context: He's losing strength!\Go to sleep!\I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me! response:	Feeling guilty of abandoning you...
context: Go to sleep!\I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you... response:	isn't something I'll enjoy...
context: I can't hold my place!\Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy... response:	W-what?!
context: Inu... yasha!\Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?! response:	The demons have all been...
context: Damn it! If you try to open your Wind Tunnel again...\I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?!\The demons have all been... response:	blown away!
context: I'll break this arm!\You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?!\The demons have all been...\blown away! response:	What just happened?!
context: You can die if you wanna!\But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?!\The demons have all been...\blown away!\What just happened?! response:	Huh?
context: But don't die so easily when you're with me!\Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?!\The demons have all been...\blown away!\What just happened?!\Huh? response:	The true power of the Tetsusaiga...
context: Feeling guilty of abandoning you...\isn't something I'll enjoy...\W-what?!\The demons have all been...\blown away!\What just happened?!\Huh?\The true power of the Tetsusaiga... response:	for the first time!
context: isn't something I'll enjoy...\W-what?!\The demons have all been...\blown away!\What just happened?!\Huh?\The true power of the Tetsusaiga...\for the first time! response:	You won't get away!
context: W-what?!\The demons have all been...\blown away!\What just happened?!\Huh?\The true power of the Tetsusaiga...\for the first time!\You won't get away! response:	It's all right now.
context: The demons have all been...\blown away!\What just happened?!\Huh?\The true power of the Tetsusaiga...\for the first time!\You won't get away!\It's all right now. response:	He's taking so long.
context: blown away!\What just happened?!\Huh?\The true power of the Tetsusaiga...\for the first time!\You won't get away!\It's all right now.\He's taking so long. response:	He has to stitch the wound. It takes time.
context: What just happened?!\Huh?\The true power of the Tetsusaiga...\for the first time!\You won't get away!\It's all right now.\He's taking so long.\He has to stitch the wound. It takes time. response:	Fool... being so reckless.
context: Huh?\The true power of the Tetsusaiga...\for the first time!\You won't get away!\It's all right now.\He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless. response:	Monk! How is Miroku!
context: The true power of the Tetsusaiga...\for the first time!\You won't get away!\It's all right now.\He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku! response:	He's asleep.
context: for the first time!\You won't get away!\It's all right now.\He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku!\He's asleep. response:	You there... Inuyasha?
context: You won't get away!\It's all right now.\He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku!\He's asleep.\You there... Inuyasha? response:	Come with me.
context: It's all right now.\He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku!\He's asleep.\You there... Inuyasha?\Come with me. response:	Hey Monk...
context: He's taking so long.\He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku!\He's asleep.\You there... Inuyasha?\Come with me.\Hey Monk... response:	I hope you did a good job stitching up the Wind Tunnel.
context: He has to stitch the wound. It takes time.\Fool... being so reckless.\Monk! How is Miroku!\He's asleep.\You there... Inuyasha?\Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel. response:	I did what I could, but the Wind Tunnel had spread further.
context: Fool... being so reckless.\Monk! How is Miroku!\He's asleep.\You there... Inuyasha?\Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further. response:	You mean his life is shortened?!
context: Monk! How is Miroku!\He's asleep.\You there... Inuyasha?\Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?! response:	How much longer does he have?
context: He's asleep.\You there... Inuyasha?\Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have? response:	I don't know.
context: You there... Inuyasha?\Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have?\I don't know. response:	Miroku's Wind Tunnel was created...
context: Come with me.\Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created... response:	by a curse placed upon him by Naraku the demon.
context: Hey Monk...\I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon. response:	Hence, if Naraku is destroyed...
context: I hope you did a good job stitching up the Wind Tunnel.\I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed... response:	the curse is lifted and Miroku's life will be spared.
context: I did what I could, but the Wind Tunnel had spread further.\You mean his life is shortened?!\How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared. response:	The sooner you get him, the better. That is the only way.
context: You mean his life is shortened?!\How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way. response:	He's very strong-willed.
context: How much longer does he have?\I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed. response:	How can he always be so cheerful?
context: I don't know.\Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful? response:	Hmm...
context: Miroku's Wind Tunnel was created...\by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful?\Hmm... response:	I'm sure that actually...
context: by a curse placed upon him by Naraku the demon.\Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful?\Hmm...\I'm sure that actually... response:	he worries about each and every day.
context: Hence, if Naraku is destroyed...\the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful?\Hmm...\I'm sure that actually...\he worries about each and every day. response:	- Huh? He's awake! - Miroku!
context: the curse is lifted and Miroku's life will be spared.\The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful?\Hmm...\I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku! response:	You'll be all right. The monk stitched the Wind Tunnel.
context: The sooner you get him, the better. That is the only way.\He's very strong-willed.\How can he always be so cheerful?\Hmm...\I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel. response:	Anything wrong with your hand?
context: He's very strong-willed.\How can he always be so cheerful?\Hmm...\I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand? response:	Master Miroku...
context: How can he always be so cheerful?\Hmm...\I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku... response:	Committing sexual harrassment even now?!
context: Hmm...\I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?! response:	He ain't gonna die for a long time.
context: I'm sure that actually...\he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time. response:	The Miroku blood is to be feared!
context: he worries about each and every day.\- Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared! response:	Sango had a younger brother, Kohaku.
context: - Huh? He's awake! - Miroku!\You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku. response:	He passed away when he was caught in Naraku's plot.
context: You'll be all right. The monk stitched the Wind Tunnel.\Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot. response:	It's so sad to hear that the scar on her back is a reminder of her brother.
context: Anything wrong with your hand?\Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot.\It's so sad to hear that the scar on her back is a reminder of her brother. response:	Inuyasha is attacked by a chain scythe! Sango gets tense!
context: Master Miroku...\Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot.\It's so sad to hear that the scar on her back is a reminder of her brother.\Inuyasha is attacked by a chain scythe! Sango gets tense! response:	Could the boy who throws the chain scythe be?
context: Committing sexual harrassment even now?!\He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot.\It's so sad to hear that the scar on her back is a reminder of her brother.\Inuyasha is attacked by a chain scythe! Sango gets tense!\Could the boy who throws the chain scythe be? response:	But... How?
context: He ain't gonna die for a long time.\The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot.\It's so sad to hear that the scar on her back is a reminder of her brother.\Inuyasha is attacked by a chain scythe! Sango gets tense!\Could the boy who throws the chain scythe be?\But... How? response:	Next on Inuyasha: Sango's Suffering and Kohaku's Life.
context: The Miroku blood is to be feared!\Sango had a younger brother, Kohaku.\He passed away when he was caught in Naraku's plot.\It's so sad to hear that the scar on her back is a reminder of her brother.\Inuyasha is attacked by a chain scythe! Sango gets tense!\Could the boy who throws the chain scythe be?\But... How?\Next on Inuyasha: Sango's Suffering and Kohaku's Life. response:	Look forward to it!
