context: Once upon a time, response:	a kind-hearted red ogre lived all by himself
context: After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh...\Good luck response:	That girl, Yamato-san...
context: Guess it isn't end of story yet.\What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh...\Good luck\That girl, Yamato-san... response:	I bet she's expecting Suna to show up, too.
context: What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh...\Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too. response:	After all, she saw him with me both times.
context: You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh...\Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times. response:	Let's go!
context: The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh...\Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go! response:	Why me?
context: I'm going to return it to her now.\Oh...\Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go!\Why me? response:	Just come!
context: Oh...\Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go!\Why me?\Just come! response:	No worries...
context: Good luck\That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go!\Why me?\Just come!\No worries... response:	I'll bring him with me.
context: That girl, Yamato-san...\I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go!\Why me?\Just come!\No worries...\I'll bring him with me. response:	That's what real men do!
context: I bet she's expecting Suna to show up, too.\After all, she saw him with me both times.\Let's go!\Why me?\Just come!\No worries...\I'll bring him with me.\That's what real men do! response:	I'm so sorry for the trouble.
context: After all, she saw him with me both times.\Let's go!\Why me?\Just come!\No worries...\I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble. response:	Thank you so much.
context: Let's go!\Why me?\Just come!\No worries...\I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble.\Thank you so much. response:	There's no need to be so polite.
context: Why me?\Just come!\No worries...\I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite. response:	We're the same year, aren't we?
context: Just come!\No worries...\I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite.\We're the same year, aren't we? response:	Both high school first-years?
context: No worries...\I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years? response:	Right.
context: I'll bring him with me.\That's what real men do!\I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years?\Right. response:	Th-Thanks.
context: That's what real men do!\I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years?\Right.\Th-Thanks. response:	You're the one being polite.
context: I'm so sorry for the trouble.\Thank you so much.\There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years?\Right.\Th-Thanks.\You're the one being polite. response:	Um, here!
context: Thank you so much.\There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years?\Right.\Th-Thanks.\You're the one being polite.\Um, here! response:	It's to thank you this time.
context: There's no need to be so polite.\We're the same year, aren't we?\Both high school first-years?\Right.\Th-Thanks.\You're the one being polite.\Um, here!\It's to thank you this time. response:	I wanted to thank you for taking the trouble to bring me my phone...
context: We're the same year, aren't we?\Both high school first-years?\Right.\Th-Thanks.\You're the one being polite.\Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone... response:	If you'd like, we can find a seat and eat here.
context: Both high school first-years?\Right.\Th-Thanks.\You're the one being polite.\Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here. response:	What's this amazing deliciousness?
context: Right.\Th-Thanks.\You're the one being polite.\Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness? response:	What kind of food is this?!
context: Th-Thanks.\You're the one being polite.\Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?! response:	Macaroons.
context: You're the one being polite.\Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?!\Macaroons. response:	Macaroons are delicious!
context: Um, here!\It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?!\Macaroons.\Macaroons are delicious! response:	I'm glad.
context: It's to thank you this time.\I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?!\Macaroons.\Macaroons are delicious!\I'm glad. response:	Actually, I baked these.
context: I wanted to thank you for taking the trouble to bring me my phone...\If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?!\Macaroons.\Macaroons are delicious!\I'm glad.\Actually, I baked these. response:	The cake last time, too.
context: If you'd like, we can find a seat and eat here.\What's this amazing deliciousness?\What kind of food is this?!\Macaroons.\Macaroons are delicious!\I'm glad.\Actually, I baked these.\The cake last time, too. response:	What?!
context: What's this amazing deliciousness?\What kind of food is this?!\Macaroons.\Macaroons are delicious!\I'm glad.\Actually, I baked these.\The cake last time, too.\What?! response:	They're home-baked?!
context: What kind of food is this?!\Macaroons.\Macaroons are delicious!\I'm glad.\Actually, I baked these.\The cake last time, too.\What?!\They're home-baked?! response:	You mean homemade.
context: Macaroons.\Macaroons are delicious!\I'm glad.\Actually, I baked these.\The cake last time, too.\What?!\They're home-baked?!\You mean homemade. response:	Pretty sure that's wrong
context: Macaroons are delicious!\I'm glad.\Actually, I baked these.\The cake last time, too.\What?!\They're home-baked?!\You mean homemade.\Pretty sure that's wrong response:	Munch, Munch
context: I'm glad.\Actually, I baked these.\The cake last time, too.\What?!\They're home-baked?!\You mean homemade.\Pretty sure that's wrong\Munch, Munch response:	Wow
context: Actually, I baked these.\The cake last time, too.\What?!\They're home-baked?!\You mean homemade.\Pretty sure that's wrong\Munch, Munch\Wow response:	I'm good at baking, I guess.
context: The cake last time, too.\What?!\They're home-baked?!\You mean homemade.\Pretty sure that's wrong\Munch, Munch\Wow\I'm good at baking, I guess. response:	Good at baking...
context: What?!\They're home-baked?!\You mean homemade.\Pretty sure that's wrong\Munch, Munch\Wow\I'm good at baking, I guess.\Good at baking... response:	Baking...
context: They're home-baked?!\You mean homemade.\Pretty sure that's wrong\Munch, Munch\Wow\I'm good at baking, I guess.\Good at baking...\Baking... response:	Baking...
context: You mean homemade.\Pretty sure that's wrong\Munch, Munch\Wow\I'm good at baking, I guess.\Good at baking...\Baking...\Baking... response:	Is it true you need stamina to make sweets?
context: Pretty sure that's wrong\Munch, Munch\Wow\I'm good at baking, I guess.\Good at baking...\Baking...\Baking...\Is it true you need stamina to make sweets? response:	Yeah!
context: Munch, Munch\Wow\I'm good at baking, I guess.\Good at baking...\Baking...\Baking...\Is it true you need stamina to make sweets?\Yeah! response:	You have to mix a lot!
context: Wow\I'm good at baking, I guess.\Good at baking...\Baking...\Baking...\Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot! response:	Mix a lot...
context: I'm good at baking, I guess.\Good at baking...\Baking...\Baking...\Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot!\Mix a lot... response:	A lot... A lot...
context: Good at baking...\Baking...\Baking...\Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot!\Mix a lot...\A lot... A lot... response:	Why...
context: Baking...\Baking...\Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot!\Mix a lot...\A lot... A lot...\Why... response:	Why are you blushing and nervous all the time?
context: Baking...\Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot!\Mix a lot...\A lot... A lot...\Why...\Why are you blushing and nervous all the time? response:	Are you in love?
context: Is it true you need stamina to make sweets?\Yeah!\You have to mix a lot!\Mix a lot...\A lot... A lot...\Why...\Why are you blushing and nervous all the time?\Are you in love? response:	Do you like Suna that much?
context: Yeah!\You have to mix a lot!\Mix a lot...\A lot... A lot...\Why...\Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much? response:	Stop staring.
context: You have to mix a lot!\Mix a lot...\A lot... A lot...\Why...\Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much?\Stop staring. response:	You're invading her personal space.
context: Mix a lot...\A lot... A lot...\Why...\Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much?\Stop staring.\You're invading her personal space. response:	Off to the toilet!
context: A lot... A lot...\Why...\Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much?\Stop staring.\You're invading her personal space.\Off to the toilet! response:	Okay...
context: Why...\Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much?\Stop staring.\You're invading her personal space.\Off to the toilet!\Okay... response:	Why won't human emotions,
context: Why are you blushing and nervous all the time?\Are you in love?\Do you like Suna that much?\Stop staring.\You're invading her personal space.\Off to the toilet!\Okay...\Why won't human emotions, response:	not even my own,
context: Are you in love?\Do you like Suna that much?\Stop staring.\You're invading her personal space.\Off to the toilet!\Okay...\Why won't human emotions,\not even my own, response:	work out the way we want?
context: Do you like Suna that much?\Stop staring.\You're invading her personal space.\Off to the toilet!\Okay...\Why won't human emotions,\not even my own,\work out the way we want? response:	Am I just naIve?
context: Stop staring.\You're invading her personal space.\Off to the toilet!\Okay...\Why won't human emotions,\not even my own,\work out the way we want?\Am I just naIve? response:	No point in developing feelings for her.
context: You're invading her personal space.\Off to the toilet!\Okay...\Why won't human emotions,\not even my own,\work out the way we want?\Am I just naIve?\No point in developing feelings for her. response:	It'll just make things awkward for her.
context: Off to the toilet!\Okay...\Why won't human emotions,\not even my own,\work out the way we want?\Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her. response:	I don't think it's a good idea, but...
context: Okay...\Why won't human emotions,\not even my own,\work out the way we want?\Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but... response:	Your head's soaking wet!
context: Why won't human emotions,\not even my own,\work out the way we want?\Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet! response:	I have a towel!
context: not even my own,\work out the way we want?\Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel! response:	Over here, too.
context: work out the way we want?\Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel!\Over here, too. response:	Dude, do it yourself.
context: Am I just naIve?\No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel!\Over here, too.\Dude, do it yourself. response:	If this girl...
context: No point in developing feelings for her.\It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel!\Over here, too.\Dude, do it yourself.\If this girl... response:	If Yamato-san gets heartbroken and cries,
context: It'll just make things awkward for her.\I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel!\Over here, too.\Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries, response:	It'll be really sad.
context: I don't think it's a good idea, but...\Your head's soaking wet!\I have a towel!\Over here, too.\Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad. response:	If I can, I want to help her.
context: Your head's soaking wet!\I have a towel!\Over here, too.\Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her. response:	I'd like to eat cake again...
context: I have a towel!\Over here, too.\Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again... response:	Would it be possible for you to bake another?
context: Over here, too.\Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another? response:	Dude, that came outta nowhere.
context: Dude, do it yourself.\If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere. response:	You'd let me?
context: If this girl...\If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me? response:	Yeah.
context: If Yamato-san gets heartbroken and cries,\It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me?\Yeah. response:	The next one I'm good at would be a sachertorte.
context: It'll be really sad.\If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me?\Yeah.\The next one I'm good at would be a sachertorte. response:	What do you think?
context: If I can, I want to help her.\I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me?\Yeah.\The next one I'm good at would be a sachertorte.\What do you think? response:	Do you like sachertorte?
context: I'd like to eat cake again...\Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me?\Yeah.\The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte? response:	serious face
context: Would it be possible for you to bake another?\Dude, that came outta nowhere.\You'd let me?\Yeah.\The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte?\serious face response:	Sure, I love sacherotote.
context: Dude, that came outta nowhere.\You'd let me?\Yeah.\The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte?\serious face\Sure, I love sacherotote. response:	Dude, you totally faked knowing what it even is.
context: You'd let me?\Yeah.\The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte?\serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is. response:	Okay, next time, sachertorte!
context: Yeah.\The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte?\serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte! response:	See you later!
context: The next one I'm good at would be a sachertorte.\What do you think?\Do you like sachertorte?\serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later! response:	I'll help you in any way I can!
context: What do you think?\Do you like sachertorte?\serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later!\I'll help you in any way I can! response:	She told me that when she bakes, she doesn't use a hand mixer.
context: Do you like sachertorte?\serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer. response:	Huh.
context: serious face\Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh. response:	She likes going through the extra trouble and seeing it all come together.
context: Sure, I love sacherotote.\Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together. response:	I see...
context: Dude, you totally faked knowing what it even is.\Okay, next time, sachertorte!\See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together.\I see... response:	That's unusual.
context: Okay, next time, sachertorte!\See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual. response:	She's...
context: See you later!\I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual.\She's... response:	kind of nice.
context: I'll help you in any way I can!\She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual.\She's...\kind of nice. response:	This is the first time I've heard Suna say something nice about a girl!
context: She told me that when she bakes, she doesn't use a hand mixer.\Huh.\She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual.\She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl! response:	This is...
context: Huh.\She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual.\She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is... response:	Thank god...
context: She likes going through the extra trouble and seeing it all come together.\I see...\That's unusual.\She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god... response:	I made it back in... time...
context: I see...\That's unusual.\She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god...\I made it back in... time... response:	Yo...
context: That's unusual.\She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god...\I made it back in... time...\Yo... response:	What?
context: She's...\kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god...\I made it back in... time...\Yo...\What? response:	What's wrong?!
context: kind of nice.\This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god...\I made it back in... time...\Yo...\What?\What's wrong?! response:	Yo...
context: This is the first time I've heard Suna say something nice about a girl!\This is...\Thank god...\I made it back in... time...\Yo...\What?\What's wrong?!\Yo... response:	Yo...
context: This is...\Thank god...\I made it back in... time...\Yo...\What?\What's wrong?!\Yo...\Yo... response:	Your e-mail...
context: Thank god...\I made it back in... time...\Yo...\What?\What's wrong?!\Yo...\Yo...\Your e-mail... response:	I don't know your e-mail.
context: I made it back in... time...\Yo...\What?\What's wrong?!\Yo...\Yo...\Your e-mail...\I don't know your e-mail. response:	I need it to contact you, so...
context: Yo...\What?\What's wrong?!\Yo...\Yo...\Your e-mail...\I don't know your e-mail.\I need it to contact you, so... response:	Please tell me your e-mail!
context: What?\What's wrong?!\Yo...\Yo...\Your e-mail...\I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail! response:	She sprinted back
context: What's wrong?!\Yo...\Yo...\Your e-mail...\I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail!\She sprinted back response:	as fast as she could.
context: Yo...\Yo...\Your e-mail...\I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail!\She sprinted back\as fast as she could. response:	She's totally sweaty...
context: Yo...\Your e-mail...\I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail!\She sprinted back\as fast as she could.\She's totally sweaty... response:	Am I that sweaty?
context: Your e-mail...\I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail!\She sprinted back\as fast as she could.\She's totally sweaty...\Am I that sweaty? response:	It's okay!
context: I don't know your e-mail.\I need it to contact you, so...\Please tell me your e-mail!\She sprinted back\as fast as she could.\She's totally sweaty...\Am I that sweaty?\It's okay! response:	I'll dry off!
context: I need it to contact you, so...\Please tell me your e-mail!\She sprinted back\as fast as she could.\She's totally sweaty...\Am I that sweaty?\It's okay!\I'll dry off! response:	Use it.
context: Please tell me your e-mail!\She sprinted back\as fast as she could.\She's totally sweaty...\Am I that sweaty?\It's okay!\I'll dry off!\Use it. response:	You can keep it.
context: She sprinted back\as fast as she could.\She's totally sweaty...\Am I that sweaty?\It's okay!\I'll dry off!\Use it.\You can keep it. response:	Here's my e-mail.
context: as fast as she could.\She's totally sweaty...\Am I that sweaty?\It's okay!\I'll dry off!\Use it.\You can keep it.\Here's my e-mail. response:	Dude, just use infrared.
context: She's totally sweaty...\Am I that sweaty?\It's okay!\I'll dry off!\Use it.\You can keep it.\Here's my e-mail.\Dude, just use infrared. response:	Thank you.
context: Am I that sweaty?\It's okay!\I'll dry off!\Use it.\You can keep it.\Here's my e-mail.\Dude, just use infrared.\Thank you. response:	You really like Suna, huh?
context: It's okay!\I'll dry off!\Use it.\You can keep it.\Here's my e-mail.\Dude, just use infrared.\Thank you.\You really like Suna, huh? response:	Student Planner
context: I'll dry off!\Use it.\You can keep it.\Here's my e-mail.\Dude, just use infrared.\Thank you.\You really like Suna, huh?\Student Planner response:	All right, my mind's made up!
context: Use it.\You can keep it.\Here's my e-mail.\Dude, just use infrared.\Thank you.\You really like Suna, huh?\Student Planner\All right, my mind's made up! response:	I'm gonna be your cheerleader.
context: You can keep it.\Here's my e-mail.\Dude, just use infrared.\Thank you.\You really like Suna, huh?\Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader. response:	I'll help you out.
context: Here's my e-mail.\Dude, just use infrared.\Thank you.\You really like Suna, huh?\Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader.\I'll help you out. response:	Don't worry!
context: Dude, just use infrared.\Thank you.\You really like Suna, huh?\Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader.\I'll help you out.\Don't worry! response:	What's with the old-school washcloth?
context: Thank you.\You really like Suna, huh?\Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader.\I'll help you out.\Don't worry!\What's with the old-school washcloth? response:	My mom likes'em.
context: You really like Suna, huh?\Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader.\I'll help you out.\Don't worry!\What's with the old-school washcloth?\My mom likes'em. response:	My Love
context: Student Planner\All right, my mind's made up!\I'm gonna be your cheerleader.\I'll help you out.\Don't worry!\What's with the old-school washcloth?\My mom likes'em.\My Love response:	Next time: My Love.
