context: So hot! response:	It's getting hotter by the day...
context: The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it! response:	Let's make Sensei feel better!
context: but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better! response:	You're trying too hard.
context: What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better!\You're trying too hard. response:	Maybe I am...
context: And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better!\You're trying too hard.\Maybe I am... response:	At first, I was just interested in demi-humans.
context: What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better!\You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans. response:	I hate to admit it, but it was mainly personal interest.
context: I don't know if I could just start talking to someone else.\And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better!\You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest. response:	But over time, I realized demi-chans have their own troubles.
context: And it would make them uncomfortable.\I've got it!\Let's make Sensei feel better!\You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles. response:	And I wanted to help them.
context: I've got it!\Let's make Sensei feel better!\You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them. response:	I hoped I'd be able to support them.
context: Let's make Sensei feel better!\You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them. response:	But maybe it was unnecessary.
context: You're trying too hard.\Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary. response:	Those girls have a better handle on things than I realized.
context: Maybe I am...\At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized. response:	I thought I'd helped Yuki with her concern over her unique nature.
context: At first, I was just interested in demi-humans.\I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature. response:	But maybe I didn't need to do anything about that, either...
context: I hate to admit it, but it was mainly personal interest.\But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either... response:	Getting over it by herself probably would've made her stronger.
context: But over time, I realized demi-chans have their own troubles.\And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger. response:	And if she needs to rely on someone, she's better off
context: And I wanted to help them.\I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off response:	being able to confide in family, classmates, and many others.
context: I hoped I'd be able to support them.\But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others. response:	Was I being too intrusive?
context: But maybe it was unnecessary.\Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive? response:	Souma tries to study demi-humans from a researcher's perspective.
context: Those girls have a better handle on things than I realized.\I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective. response:	Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.
context: I thought I'd helped Yuki with her concern over her unique nature.\But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha. response:	Naturally, that benefits demi-humans.
context: But maybe I didn't need to do anything about that, either...\Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans. response:	And it may even
context: Getting over it by herself probably would've made her stronger.\And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even response:	be the key to learning something that could change the world.
context: And if she needs to rely on someone, she's better off\being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world. response:	There's more than one way to help demi-humans.
context: being able to confide in family, classmates, and many others.\Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans. response:	Instead of doing it as a teacher,
context: Was I being too intrusive?\Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher, response:	maybe keeping some distance as a researcher could be an option.
context: Souma tries to study demi-humans from a researcher's perspective.\Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option. response:	Oh, from Hikari...
context: Inbox Sender: Souma Recipient: Takahashi Tetsuo Hey, I tried sounding out my professor about researching Machi-kun, but he had a pretty glum look on his face. Ha ha ha.\Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari... response:	Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter
context: Naturally, that benefits demi-humans.\And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter response:	So slow.
context: And it may even\be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow. response:	Okay, it's started!
context: be the key to learning something that could change the world.\There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started! response:	Huh? Already?
context: There's more than one way to help demi-humans.\Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started!\Huh? Already? response:	Okay, first, Yukki will express her thanks to our troubled Sensei.
context: Instead of doing it as a teacher,\maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei. response:	I-I'm not ready for this.
context: maybe keeping some distance as a researcher could be an option.\Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this. response:	I'm not ready for this...
context: Oh, from Hikari...\Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this... response:	I-I'm not ready
context: Inbox Sender: Takanashi Hikari Recipient: Takahashi Tetsuo Video Letter\So slow.\Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready response:	Okay, start!
context: So slow.\Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready\Okay, start! response:	U-Um, Takahashi-sensei...
context: Okay, it's started!\Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei... response:	This is Yuki. Kusakabe.
context: Huh? Already?\Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe. response:	Thanks for all you've done.
context: Okay, first, Yukki will express her thanks to our troubled Sensei.\I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done. response:	Um, I know you might be... well,
context: I-I'm not ready for this.\I'm not ready for this...\I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well, response:	worried you doted on us too much,
context: I'm not ready for this...\I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much, response:	or that you might have overreached.
context: I-I'm not ready\Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached. response:	Like when I came to you for advice about my physical traits.
context: Okay, start!\U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits. response:	Oh, like even if I hadn't, time would have solved the problem,
context: U-Um, Takahashi-sensei...\This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem, response:	and maybe that would have been better for me.
context: This is Yuki. Kusakabe.\Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me. response:	I certainly can't deny that possibility...
context: Thanks for all you've done.\Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility... response:	Oh, but I'm not saying I think that's what I should have done!
context: Um, I know you might be... well,\worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done! response:	I just mean that, in terms of possibility, no possibility is really impossible!
context: worried you doted on us too much,\or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible! response:	What I mean is, um...
context: or that you might have overreached.\Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um... response:	I-I'm very grateful for all the advice you've given me!
context: Like when I came to you for advice about my physical traits.\Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me! response:	One thing I can say without doubt
context: Oh, like even if I hadn't, time would have solved the problem,\and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt response:	is that, thanks to you, my concerns over my constitution were resolved!
context: and maybe that would have been better for me.\I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved! response:	That's why I got to eat popsicles with the others that day,
context: I certainly can't deny that possibility...\Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day, response:	which meant I could spend more time having fun with them!
context: Oh, but I'm not saying I think that's what I should have done!\I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them! response:	Um, well...
context: I just mean that, in terms of possibility, no possibility is really impossible!\What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well... response:	My mind just went blank.
context: What I mean is, um...\I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well...\My mind just went blank. response:	Okay! Macchi, you're next!
context: I-I'm very grateful for all the advice you've given me!\One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well...\My mind just went blank.\Okay! Macchi, you're next! response:	Takahashi-sensei, this is Machi.
context: One thing I can say without doubt\is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well...\My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi. response:	Hello. How are you doing?
context: is that, thanks to you, my concerns over my constitution were resolved!\That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well...\My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing? response:	It hasn't been very long since I met you,
context: That's why I got to eat popsicles with the others that day,\which meant I could spend more time having fun with them!\Um, well...\My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you, response:	but it feels like it's been a long time.
context: which meant I could spend more time having fun with them!\Um, well...\My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time. response:	And that's because you've done so many things for me.
context: Um, well...\My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me. response:	Thank you very much.
context: My mind just went blank.\Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much. response:	Thinking about it, you were always
context: Okay! Macchi, you're next!\Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always response:	eager to listen, from when we first met.
context: Takahashi-sensei, this is Machi.\Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met. response:	It made me realize how nice talking freely with someone about dullahans is.
context: Hello. How are you doing?\It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is. response:	And you aren't only kind.
context: It hasn't been very long since I met you,\but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind. response:	You also scolded me when I acted out of line.
context: but it feels like it's been a long time.\And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line. response:	You might say that's just your job as an educator.
context: And that's because you've done so many things for me.\Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator. response:	But if nothing else, in all my life so far,
context: Thank you very much.\Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far, response:	no other teacher has ever approached me so directly as a dullahan!
context: Thinking about it, you were always\eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan! response:	I'm sure you would be the same teacher
context: eager to listen, from when we first met.\It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher response:	toward any student, demi or otherwise.
context: It made me realize how nice talking freely with someone about dullahans is.\And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise. response:	Even if you had no particular interest in demis,
context: And you aren't only kind.\You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis, response:	I'm sure that if we three showed up as new students,
context: You also scolded me when I acted out of line.\You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students, response:	you would treat us the same way you do now...
context: You might say that's just your job as an educator.\But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now... response:	I hope you'll continue to watch out for us... no, for all kinds of students.
context: But if nothing else, in all my life so far,\no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students. response:	I hope you'll advise us when we have problems,
context: no other teacher has ever approached me so directly as a dullahan!\I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems, response:	and scold us if we do something wrong.
context: I'm sure you would be the same teacher\toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong. response:	I'll come see you in the biology prep room again.
context: toward any student, demi or otherwise.\Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again. response:	Thank you very much.
context: Even if you had no particular interest in demis,\I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much. response:	Oops, I applauded without thinking!
context: I'm sure that if we three showed up as new students,\you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking! response:	Macchi, you're a good speaker! Such an honor student!
context: you would treat us the same way you do now...\I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student! response:	Y-You think so?
context: I hope you'll continue to watch out for us... no, for all kinds of students.\I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so? response:	Okay, Sakki, you're next.
context: I hope you'll advise us when we have problems,\and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next. response:	Huh? I'm in this, too?
context: and scold us if we do something wrong.\I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too? response:	Go on, go on!
context: I'll come see you in the biology prep room again.\Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on! response:	Hey, Yuki-chan! Jeez...
context: Thank you very much.\Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez... response:	I was trying to keep my voice out of the recording...
context: Oops, I applauded without thinking!\Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording... response:	Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.
context: Macchi, you're a good speaker! Such an honor student!\Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work. response:	The girls are the stars here, so I'll keep this simple.
context: Y-You think so?\Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple. response:	I rely on you a great deal, both as a teacher and as a succubus!
context: Okay, Sakki, you're next.\Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus! response:	I have endless respect for the way you handle everything with such sincerity!
context: Huh? I'm in this, too?\Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity! response:	Thank you for always helping me.
context: Go on, go on!\Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me. response:	And I'll count on your continued guidance and encouragement.
context: Hey, Yuki-chan! Jeez...\I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement. response:	Was that too formal?
context: I was trying to keep my voice out of the recording...\Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal? response:	If anything ever bothers you,
context: Uh, Takahashi-sensei, this is Satou. Thanks for all your hard work.\The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you, response:	I'd be glad to listen as a colleague,
