context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place. response:	Wh-What is that mountain of fire?!
context: It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?! response:	No question about it.
context: Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it. response:	My body is at the top of that mountain.
context: Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain. response:	I guess this is the Netherworld's de facto dumping ground.
context: Well, Master Kirihito?\I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground. response:	The gods must use this place to incinerate undesirable entities that are too much for them to handle.
context: I found it.\I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle. response:	Master Kirihito?
context: I found my body.\I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito? response:	But those flames can't burn my body to ash.
context: I can hardly believe it was discarded in such a wretched place.\Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash. response:	Self-regenerating over and over, for all eternity...
context: Wh-What is that mountain of fire?!\No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity... response:	What is the matter, Master Kirihito?
context: No question about it.\My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito? response:	Continually burning in hellfire...
context: My body is at the top of that mountain.\I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire... response:	My body...
context: I guess this is the Netherworld's de facto dumping ground.\The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire...\My body... response:	Master Kirihito!
context: The gods must use this place to incinerate undesirable entities that are too much for them to handle.\Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire...\My body...\Master Kirihito! response:	Now that we know what the situation is, let us turn back for today.
context: Master Kirihito?\But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire...\My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today. response:	If we stay here, I am afraid that you will dry up into a husk.
context: But those flames can't burn my body to ash.\Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire...\My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk. response:	Don't be ridiculous! It's right in front of my eyes!
context: Self-regenerating over and over, for all eternity...\What is the matter, Master Kirihito?\Continually burning in hellfire...\My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes! response:	Unfortunately, we are not immortal.
context: What is the matter, Master Kirihito?\Continually burning in hellfire...\My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal. response:	We cannot climb a mountain like that.
context: Continually burning in hellfire...\My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that. response:	Unless...
context: My body...\Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless... response:	If you had some way to extinguish the flames, that would be different.
context: Master Kirihito!\Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different. response:	Dammit! Dammit!
context: Now that we know what the situation is, let us turn back for today.\If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit! response:	He put me through this, and I hate him from the depths of my soul,
context: If we stay here, I am afraid that you will dry up into a husk.\Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul, response:	but I can't retrieve my body without his help?
context: Don't be ridiculous! It's right in front of my eyes!\Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help? response:	Whew, we have returned.
context: Unfortunately, we are not immortal.\We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned. response:	Master Kirihito!
context: We cannot climb a mountain like that.\Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito! response:	Please hang in there, Master Kirihito!
context: Unless...\If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito! response:	Bastard! What did you do to Master Kirihito?!
context: If you had some way to extinguish the flames, that would be different.\Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?! response:	Oh, please. I did nothing.
context: Dammit! Dammit!\He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing. response:	Help, from that bastard?
context: He put me through this, and I hate him from the depths of my soul,\but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard? response:	I can't believe I almost considered that a possibility.
context: but I can't retrieve my body without his help?\Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility. response:	Whatever it is, if it's useful, I'll use it. End of story!
context: Whew, we have returned.\Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story! response:	If I can retrieve the body, nothing else matters!
context: Master Kirihito!\Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters! response:	Yes, sir!
context: Please hang in there, Master Kirihito!\Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir! response:	Master Kirihito, there's black smoke coming out of the stone mirror!
context: Bastard! What did you do to Master Kirihito?!\Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror! response:	Poison from the Netherworld.
context: Oh, please. I did nothing.\Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld. response:	It's leaking out from the stone mirror?
context: Help, from that bastard?\I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror? response:	Monjirou!
context: I can't believe I almost considered that a possibility.\Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou! response:	Master Kirihito, we must close the hole to the Netherworld!
context: Whatever it is, if it's useful, I'll use it. End of story!\If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld! response:	No!
context: If I can retrieve the body, nothing else matters!\Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No! response:	The connecting aperture can't be sealed without shattering the stone mirror.
context: Yes, sir!\Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror. response:	I finally got this entrance to the Netherworld opened. I can't destroy it now.
context: Master Kirihito, there's black smoke coming out of the stone mirror!\Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now. response:	Nothing will stop me from getting my body back from the Netherworld.
context: Poison from the Netherworld.\It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld. response:	And if I must expose this place to the Netherworld's poison, so be it.
context: It's leaking out from the stone mirror?\Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it. response:	Not to me...
context: Monjirou!\Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me... response:	Kirihito.
context: Master Kirihito, we must close the hole to the Netherworld!\No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito. response:	Kirihito, are you studies going well?
context: No!\The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito.\Kirihito, are you studies going well? response:	We received some peaches, so would you like a late-night snack?
context: The connecting aperture can't be sealed without shattering the stone mirror.\I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack? response:	Look, I told you.
context: I finally got this entrance to the Netherworld opened. I can't destroy it now.\Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you. response:	I'm busy right now...
context: Nothing will stop me from getting my body back from the Netherworld.\And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now... response:	Mother.
context: And if I must expose this place to the Netherworld's poison, so be it.\Not to me...\Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now...\Mother. response:	Next part coming
context: Not to me...\Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now...\Mother.\Next part coming response:	right up
context: Kirihito.\Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now...\Mother.\Next part coming\right up response:	right up
context: Kirihito, are you studies going well?\We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now...\Mother.\Next part coming\right up\right up response:	right up
context: We received some peaches, so would you like a late-night snack?\Look, I told you.\I'm busy right now...\Mother.\Next part coming\right up\right up\right up response:	right up
context: Look, I told you.\I'm busy right now...\Mother.\Next part coming\right up\right up\right up\right up response:	right up
context: I'm busy right now...\Mother.\Next part coming\right up\right up\right up\right up\right up response:	Next part starting
context: Mother.\Next part coming\right up\right up\right up\right up\right up\Next part starting response:	Next part starting
context: Next part coming\right up\right up\right up\right up\right up\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\right up\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting response:	A wedding, huh?
context: right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\A wedding, huh? response:	What was that?
context: right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\A wedding, huh?\What was that? response:	Do you want to have one too?
context: Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\A wedding, huh?\What was that?\Do you want to have one too? response:	Yeah, I've actually received a proposal already.
context: Next part starting\Next part starting\Next part starting\Next part starting\A wedding, huh?\What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already. response:	What?!
context: Next part starting\Next part starting\Next part starting\A wedding, huh?\What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already.\What?! response:	As long as Tomoe's okay with it, I'm thinking of accepting the offer.
context: Next part starting\Next part starting\A wedding, huh?\What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer. response:	Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.
context: Next part starting\A wedding, huh?\What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason. response:	Master Tomoe, you must go to the Lord Year God's place before the new year arrives.
context: A wedding, huh?\What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives. response:	We need to receive a new talisman and soon.
context: What was that?\Do you want to have one too?\Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon. response:	Oh, is it time for that already?
context: Do you want to have one too?\Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already? response:	Tomoe!
context: Yeah, I've actually received a proposal already.\What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe! response:	Wham
context: What?!\As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe!\Wham response:	Wham
context: As long as Tomoe's okay with it, I'm thinking of accepting the offer.\Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe!\Wham\Wham response:	Wham
context: Ever since we descended from Mount Kurama, I have felt a sharp pain in my chest for some reason.\Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe!\Wham\Wham\Wham response:	Wham
context: Master Tomoe, you must go to the Lord Year God's place before the new year arrives.\We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe!\Wham\Wham\Wham\Wham response:	Wham
context: We need to receive a new talisman and soon.\Oh, is it time for that already?\Tomoe!\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Oh, is it time for that already?\Tomoe!\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Tomoe!\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	Wham
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\Wham response:	A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!
context: Wham\Wham\Wham\Wham\Wham\Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths! response:	Outside! Now!
context: Wham\Wham\Wham\Wham\Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now! response:	I do not know what you are talking about, but...
context: Wham\Wham\Wham\Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but... response:	That is just fantastic, snake!
context: Wham\Wham\Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake! response:	I will have your hide and leave you out to dry!
context: Wham\Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry! response:	Stop that!
context: Wham\Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that! response:	Freeze
context: Wham\A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that!\Freeze response:	Freeze
context: A lowly familiar proposing to his lady and mistress is deserving of ten thousand deaths!\Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that!\Freeze\Freeze response:	Freeze
context: Outside! Now!\I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that!\Freeze\Freeze\Freeze response:	Freeze
context: I do not know what you are talking about, but...\That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that!\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: That is just fantastic, snake!\I will have your hide and leave you out to dry!\Stop that!\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: I will have your hide and leave you out to dry!\Stop that!\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Stop that!\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Freeze
