context: Once in a while when I wake up response:	I find myself crying.
context: The switching stopped. My calls and texts didn't go through.\So I decided to go see Mitsuha in person.\I wanted to meet her. But...\What? You don't know where she lives? The town's scenery is your only clue?\Yes.\And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour! response:	Oh well. We'll help you look for her.
context: So I decided to go see Mitsuha in person.\I wanted to meet her. But...\What? You don't know where she lives? The town's scenery is your only clue?\Yes.\And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her. response:	Oh how cute! Look!
context: I wanted to meet her. But...\What? You don't know where she lives? The town's scenery is your only clue?\Yes.\And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look! response:	So annoying.
context: What? You don't know where she lives? The town's scenery is your only clue?\Yes.\And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying. response:	Oh, it moved!
context: Yes.\And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying.\Oh, it moved! response:	So it's impossible after all...
context: And you can't contact her? What's this all about?\Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying.\Oh, it moved!\So it's impossible after all... response:	What? After all the trouble we went through?
context: Seriously. What a lousy tour planner.\I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying.\Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through? response:	You haven't done anything.
context: I did not plan a tour!\Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying.\Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything. response:	A Takayama ramen.
context: Oh well. We'll help you look for her.\Oh how cute! Look!\So annoying.\Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen. response:	A Takayama ramen.
context: Oh how cute! Look!\So annoying.\Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen.\A Takayama ramen. response:	Oh, then a Takayama ramen.
context: So annoying.\Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen. response:	- OK. 3 ramens. - OK.
context: Oh, it moved!\So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK. response:	Can we return to Tokyo today?
context: So it's impossible after all...\What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today? response:	We might be cutting it close. Let me check.
context: What? After all the trouble we went through?\You haven't done anything.\A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check. response:	Thanks.
context: You haven't done anything.\A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks. response:	Are you all right with that?
context: A Takayama ramen.\A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks.\Are you all right with that? response:	I'm starting to feel like I'm barking up the wrong tree.
context: A Takayama ramen.\Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree. response:	Why young man, that's ltomori, isn't it?
context: Oh, then a Takayama ramen.\- OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it? response:	It's a very good drawing. Isn't it, dear?
context: - OK. 3 ramens. - OK.\Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear? response:	Yeah, it's ltomori. Brings back memories.
context: Can we return to Tokyo today?\We might be cutting it close. Let me check.\Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories. response:	He was born in ltomori.
context: We might be cutting it close. Let me check.\Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori. response:	ltomori...?
context: Thanks.\Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...? response:	Yes! ltomori! That's it! It's nearby, isn't it?
context: Are you all right with that?\I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it? response:	- What are you... - ltomori was...
context: I'm starting to feel like I'm barking up the wrong tree.\Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was... response:	ltomori? No way!
context: Why young man, that's ltomori, isn't it?\It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way! response:	Is that where that comet...?
context: It's a very good drawing. Isn't it, dear?\Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way!\Is that where that comet...? response:	Keep Out
context: Yeah, it's ltomori. Brings back memories.\He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way!\Is that where that comet...?\Keep Out response:	Hey. Is this really the place?
context: He was born in ltomori.\ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way!\Is that where that comet...?\Keep Out\Hey. Is this really the place? response:	No way. Taki must be misremembering.
context: ltomori...?\Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way!\Is that where that comet...?\Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering. response:	No. I'm sure this is it.
context: Yes! ltomori! That's it! It's nearby, isn't it?\- What are you... - ltomori was...\ltomori? No way!\Is that where that comet...?\Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it. response:	This schoolyard. The mountains. I remember this high school clearly!
context: - What are you... - ltomori was...\ltomori? No way!\Is that where that comet...?\Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly! response:	That can't be true!
context: ltomori? No way!\Is that where that comet...?\Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true! response:	Surely you remember that disaster? Hundreds of people died 3 years ago.
context: Is that where that comet...?\Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago. response:	Died?
context: Keep Out\Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died? response:	Died 3 years ago?
context: Hey. Is this really the place?\No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago? response:	That can't be.
context: No way. Taki must be misremembering.\No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago?\That can't be. response:	I still have the memos that she left behind...
context: No. I'm sure this is it.\This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago?\That can't be.\I still have the memos that she left behind... response:	They're disappearing...
context: This schoolyard. The mountains. I remember this high school clearly!\That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago?\That can't be.\I still have the memos that she left behind...\They're disappearing... response:	Comet Tiamat, with an orbital period of 1200 years.
context: That can't be true!\Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago?\That can't be.\I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years. response:	Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.
context: Surely you remember that disaster? Hundreds of people died 3 years ago.\Died?\Died 3 years ago?\That can't be.\I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee. response:	Town Annihilated
context: Died?\Died 3 years ago?\That can't be.\I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated response:	Over 500 dead or missing
context: Died 3 years ago?\That can't be.\I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing response:	ltomori, The Town That Vanished
context: That can't be.\I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished response:	A fragment of the comet became a meteor that struck Itomori.
context: I still have the memos that she left behind...\They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori. response:	ltomori, comet, damage
context: They're disappearing...\Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage response:	It was the day of the Autumn Festival.
context: Comet Tiamat, with an orbital period of 1200 years.\Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival. response:	The point of impact was here.
context: Meteor Strikes, Wipes out Town. Nobody predicted that its nucleus would split at its perigee.\Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here. response:	At 8:42 p.m., it struck where people were gathered for the festival.
context: Town Annihilated\Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival. response:	List of the Names of Victims
context: Over 500 dead or missing\ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims response:	Over 500 people died. A third of the town's population.
context: ltomori, The Town That Vanished\A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population. response:	Now nobody lives in ltomori anymore.
context: A fragment of the comet became a meteor that struck Itomori.\ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore. response:	Tessie and Sayaka...
context: ltomori, comet, damage\It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka... response:	Mitsuha Miyamizu
context: It was the day of the Autumn Festival.\The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu response:	It has to be some kind of mistake. This person died 3 years ago!
context: The point of impact was here.\At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago! response:	Just 3 weeks ago, she told me that the comet would be visible.
context: At 8:42 p.m., it struck where people were gathered for the festival.\List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible. response:	So...
context: List of the Names of Victims\Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So... response:	You're dreaming now...
context: Over 500 people died. A third of the town's population.\Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now... response:	What did l...?
context: Now nobody lives in ltomori anymore.\Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now...\What did l...? response:	Lively up there.
context: Tessie and Sayaka...\Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now...\What did l...?\Lively up there. response:	I'm sorry we could only get one room.
context: Mitsuha Miyamizu\It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now...\What did l...?\Lively up there.\I'm sorry we could only get one room. response:	No problem.
context: It has to be some kind of mistake. This person died 3 years ago!\Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now...\What did l...?\Lively up there.\I'm sorry we could only get one room.\No problem. response:	How's Taki?
context: Just 3 weeks ago, she told me that the comet would be visible.\So...\You're dreaming now...\What did l...?\Lively up there.\I'm sorry we could only get one room.\No problem.\How's Taki? response:	He's still reading articles on ltomori.
context: So...\You're dreaming now...\What did l...?\Lively up there.\I'm sorry we could only get one room.\No problem.\How's Taki?\He's still reading articles on ltomori. response:	Newspapers and magazines from the time.
context: You're dreaming now...\What did l...?\Lively up there.\I'm sorry we could only get one room.\No problem.\How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time. response:	- What? - Nothing. I didn't know you smoked.
context: What did l...?\Lively up there.\I'm sorry we could only get one room.\No problem.\How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked. response:	Oh. I'd quit recently, but...
context: Lively up there.\I'm sorry we could only get one room.\No problem.\How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but... response:	What do you think about Taki's story?
context: I'm sorry we could only get one room.\No problem.\How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story? response:	I liked him.
context: No problem.\How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him. response:	The way he was recently. He was always a nice guy, but even more so lately.
context: How's Taki?\He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately. response:	Like he was trying so hard. It was cute.
context: He's still reading articles on ltomori.\Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute. response:	What he's saying doesn't make sense to me...
context: Newspapers and magazines from the time.\- What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me... response:	But I'm sure he met someone, and that someone changed him.
context: - What? - Nothing. I didn't know you smoked.\Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him. response:	That much is for sure, I think.
context: Oh. I'd quit recently, but...\What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think. response:	It was all just a dream.
context: What do you think about Taki's story?\I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream. response:	I recognized the scenery because I remembered the news from 3 years ago.
context: I liked him.\The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago. response:	If not that, then... a ghost?
context: The way he was recently. He was always a nice guy, but even more so lately.\Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost? response:	No... Was I hallucinating?
context: Like he was trying so hard. It was cute.\What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating? response:	Her name... What was it?
context: What he's saying doesn't make sense to me...\But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it? response:	Tsukasa went to take a bath.
context: But I'm sure he met someone, and that someone changed him.\That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath. response:	Oh, Ms. Okudera. I, uh...
context: That much is for sure, I think.\It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh... response:	I've been saying such strange things. Thank you for coming along today.
context: It was all just a dream.\I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today. response:	No problem.
context: I recognized the scenery because I remembered the news from 3 years ago.\If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem. response:	Tatara Iron Making Site
context: If not that, then... a ghost?\No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site response:	Braided Cords of ltomori
context: No... Was I hallucinating?\Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site\Braided Cords of ltomori response:	Is that a braided cord you're wearing?
context: Her name... What was it?\Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing? response:	Oh, this... I think someone gave it to me a long time ago.
context: Tsukasa went to take a bath.\Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago. response:	I wear it sometimes as kind of a lucky charm...
context: Oh, Ms. Okudera. I, uh...\I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm... response:	Who was it?
context: I've been saying such strange things. Thank you for coming along today.\No problem.\Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it? response:	Why don't you go take a bath, too?
context: No problem.\Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too? response:	Yes....no.
context: Tatara Iron Making Site\Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too?\Yes....no. response:	Someone who made braided cords told me before...
context: Braided Cords of ltomori\Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before... response:	The cords represent the flow of time.
context: Is that a braided cord you're wearing?\Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time. response:	The threads twist, tangle, unravel, then connect again. That's time...
context: Oh, this... I think someone gave it to me a long time ago.\I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time... response:	Maybe at that place...
context: I wear it sometimes as kind of a lucky charm...\Who was it?\Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place... response:	Around here?
context: Who was it?\Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here? response:	Taki.
context: Why don't you go take a bath, too?\Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here?\Taki. response:	Taki.
context: Yes....no.\Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here?\Taki.\Taki. response:	Taki.
context: Someone who made braided cords told me before...\The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here?\Taki.\Taki.\Taki. response:	Don't you remember me?
context: The cords represent the flow of time.\The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here?\Taki.\Taki.\Taki.\Don't you remember me? response:	I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.
context: The threads twist, tangle, unravel, then connect again. That's time...\Maybe at that place...\Around here?\Taki.\Taki.\Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks. response:	Taki...
context: Maybe at that place...\Around here?\Taki.\Taki.\Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki... response:	Eat this up there.
context: Around here?\Taki.\Taki.\Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there. response:	Your drawing of ltomori... It was good.
context: Taki.\Taki.\Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there.\Your drawing of ltomori... It was good. response:	They converge and take shape. They twist, tangle
context: Taki.\Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle response:	sometimes unravel, then connect again...
context: Taki.\Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again... response:	Musubi - knotting. That's time.
context: Don't you remember me?\I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time. response:	There it is!
context: I have to go somewhere. Return to Tokyo without me. I'll be back later. Thanks.\Taki...\Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is! response:	It's really there!
context: Taki...\Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is!\It's really there! response:	It wasn't just a dream!
context: Eat this up there.\Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is!\It's really there!\It wasn't just a dream! response:	From here is the underworld.
context: Your drawing of ltomori... It was good.\They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is!\It's really there!\It wasn't just a dream!\From here is the underworld. response:	It's the sake we brought.
context: They converge and take shape. They twist, tangle\sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is!\It's really there!\It wasn't just a dream!\From here is the underworld.\It's the sake we brought. response:	This is my sister's, and this is mine.
context: sometimes unravel, then connect again...\Musubi - knotting. That's time.\There it is!\It's really there!\It wasn't just a dream!\From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine. response:	This was before the comet... So the Mitsuha I know is from 3 years ago?
context: Musubi - knotting. That's time.\There it is!\It's really there!\It wasn't just a dream!\From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago? response:	Our timelines weren't in sync.
