context: I'm such a loser! response:	Leader, my ass!
context: Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun!\What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future! response:	So you've surprised me by going out into the open, Hajime-chan.
context: Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun!\What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan. response:	Okay, I see.
context: Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun!\What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see. response:	I guess you're not stupid,
context: I don't know yet!\LOAD-kun!\What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid, response:	but in the end, you'll still be humiliated!
context: LOAD-kun!\What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated! response:	Hey, X.
context: What?\If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X. response:	Yes?
context: If you're watching this, come here as soon as you can!\I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X.\Yes? response:	Hey, X.
context: I think we'll be needing you in the future!\So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X.\Yes?\Hey, X. response:	Do you think the Rui who's all depressed
context: So you've surprised me by going out into the open, Hajime-chan.\Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X.\Yes?\Hey, X.\Do you think the Rui who's all depressed response:	over there will go to the preschool?
context: Okay, I see.\I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X.\Yes?\Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool? response:	I do not understand your question.
context: I guess you're not stupid,\but in the end, you'll still be humiliated!\Hey, X.\Yes?\Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question. response:	Rui-Rui, or Ninomiya Rui, is you.
context: but in the end, you'll still be humiliated!\Hey, X.\Yes?\Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you. response:	Oh, right!
context: Hey, X.\Yes?\Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right! response:	Sorry, sorry!
context: Yes?\Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry! response:	Are you going to the preschool?
context: Hey, X.\Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry!\Are you going to the preschool? response:	Umm, that's not a bad idea,
context: Do you think the Rui who's all depressed\over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea, response:	but I have a different task to do.
context: over there will go to the preschool?\I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do. response:	It's true!
context: I do not understand your question.\Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do.\It's true! response:	Gatchaman are here!
context: Rui-Rui, or Ninomiya Rui, is you.\Oh, right!\Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do.\It's true!\Gatchaman are here! response:	Gotta send a pic on my phone!
context: Oh, right!\Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do.\It's true!\Gatchaman are here!\Gotta send a pic on my phone! response:	No, not without permission.
context: Sorry, sorry!\Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do.\It's true!\Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission. response:	Oh, Baracchi!
context: Are you going to the preschool?\Umm, that's not a bad idea,\but I have a different task to do.\It's true!\Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi! response:	They can totally send photos!
context: Umm, that's not a bad idea,\but I have a different task to do.\It's true!\Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi!\They can totally send photos! response:	Oh, really?
context: but I have a different task to do.\It's true!\Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi!\They can totally send photos!\Oh, really? response:	Who gave permission, Newbie?!
context: It's true!\Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi!\They can totally send photos!\Oh, really?\Who gave permission, Newbie?! response:	Hey, kid! Put me down!
context: Gatchaman are here!\Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi!\They can totally send photos!\Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down! response:	The Gatchaman have suddenly appeared at a preschool in Tachikawa City.
context: Gotta send a pic on my phone!\No, not without permission.\Oh, Baracchi!\They can totally send photos!\Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City. response:	They transformed in front of the camera,
context: No, not without permission.\Oh, Baracchi!\They can totally send photos!\Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera, response:	proving their existence was real.
context: Oh, Baracchi!\They can totally send photos!\Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real. response:	Ichinose Hajime-san, who's shown herself to be a leader figure,
context: They can totally send photos!\Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure, response:	also made a warning that a terrifying alien named Berg-Katze is coming
context: Oh, really?\Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming response:	and that there will be a crisis.
context: Who gave permission, Newbie?!\Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis. response:	They say Gatchaman are real.
context: Hey, kid! Put me down!\The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real. response:	It can't be true, right?
context: The Gatchaman have suddenly appeared at a preschool in Tachikawa City.\They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right? response:	Maybe the press is in on it somehow?
context: They transformed in front of the camera,\proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow? response:	What's this Berg-Katze about?
context: proving their existence was real.\Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about? response:	Is Earth finally coming to an end?
context: Ichinose Hajime-san, who's shown herself to be a leader figure,\also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end? response:	But, GALAX isn't that safe either, lately.
context: also made a warning that a terrifying alien named Berg-Katze is coming\and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately. response:	Maybe we're better off depending on heroes.
context: and that there will be a crisis.\They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes. response:	I was serious about trying to change this country.
context: They say Gatchaman are real.\It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country. response:	I was serious about trying to change this country. I even took time off from work to help people.
context: It can't be true, right?\Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people. response:	And this is what I get?
context: Maybe the press is in on it somehow?\What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get? response:	I've got a family, you know.
context: What's this Berg-Katze about?\Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know. response:	Do you know how much mortgage we still have to pay off?
context: Is Earth finally coming to an end?\But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off? response:	No one this old can find a job!
context: But, GALAX isn't that safe either, lately.\Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job! response:	It's all GALAX's fault.
context: Maybe we're better off depending on heroes.\I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault. response:	How are you gonna make it up to me for ruining my life?
context: I was serious about trying to change this country.\I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life? response:	Upon being informed about the Gatchaman incident,
context: I was serious about trying to change this country. I even took time off from work to help people.\And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident, response:	I have not received any information.
context: And this is what I get?\I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information. response:	Gatchaman Appear at a Tachikawa Preschool
context: I've got a family, you know.\Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool response:	Until it is verified, I am not obligated to respond.
context: Do you know how much mortgage we still have to pay off?\No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond. response:	C'mon.
context: No one this old can find a job!\It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon. response:	What?
context: It's all GALAX's fault.\How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon.\What? response:	He's totally passed out.
context: How are you gonna make it up to me for ruining my life?\Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon.\What?\He's totally passed out. response:	How long is this rotten world gonna keep going?
context: Upon being informed about the Gatchaman incident,\I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon.\What?\He's totally passed out.\How long is this rotten world gonna keep going? response:	I can't stand it anymore.
context: I have not received any information.\Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon.\What?\He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore. response:	This country's got to go down in flames first.
context: Gatchaman Appear at a Tachikawa Preschool\Until it is verified, I am not obligated to respond.\C'mon.\What?\He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first. response:	You and I are in agreement,
context: Until it is verified, I am not obligated to respond.\C'mon.\What?\He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement, response:	Umeda-san.
context: C'mon.\What?\He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement,\Umeda-san. response:	You are...
context: What?\He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement,\Umeda-san.\You are... response:	It has been a while.
context: He's totally passed out.\How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement,\Umeda-san.\You are...\It has been a while. response:	I am LOAD.
context: How long is this rotten world gonna keep going?\I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement,\Umeda-san.\You are...\It has been a while.\I am LOAD. response:	Well, I should tell you my real name.
context: I can't stand it anymore.\This country's got to go down in flames first.\You and I are in agreement,\Umeda-san.\You are...\It has been a while.\I am LOAD.\Well, I should tell you my real name. response:	I am Ninomiya Rui.
context: This country's got to go down in flames first.\You and I are in agreement,\Umeda-san.\You are...\It has been a while.\I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui. response:	What do you want now, you spineless coward?
context: You and I are in agreement,\Umeda-san.\You are...\It has been a while.\I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward? response:	It's because you're dicking around that the world never changes!
context: Umeda-san.\You are...\It has been a while.\I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes! response:	I've found that less than
context: You are...\It has been a while.\I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than response:	twenty percent currently possess levels of self-initiative
context: It has been a while.\I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative response:	that have been sufficiently heightened.
context: I am LOAD.\Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened. response:	Huh?
context: Well, I should tell you my real name.\I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh? response:	As things stand,
context: I am Ninomiya Rui.\What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh?\As things stand, response:	I must admit that
context: What do you want now, you spineless coward?\It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh?\As things stand,\I must admit that response:	achieving the bloodless revolution of my goals is difficult in the extreme.
context: It's because you're dicking around that the world never changes!\I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh?\As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme. response:	That's what I've been saying from the start!
context: I've found that less than\twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh?\As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start! response:	Umeda-san.
context: twenty percent currently possess levels of self-initiative\that have been sufficiently heightened.\Huh?\As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san. response:	I need your help.
context: that have been sufficiently heightened.\Huh?\As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san.\I need your help. response:	Are you being serious?
context: Huh?\As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san.\I need your help.\Are you being serious? response:	I am.
context: As things stand,\I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san.\I need your help.\Are you being serious?\I am. response:	Now is the time to put ourselves out there in public.
context: I must admit that\achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san.\I need your help.\Are you being serious?\I am.\Now is the time to put ourselves out there in public. response:	Umeda-san.
context: achieving the bloodless revolution of my goals is difficult in the extreme.\That's what I've been saying from the start!\Umeda-san.\I need your help.\Are you being serious?\I am.\Now is the time to put ourselves out there in public.\Umeda-san. response:	Please be the one to lead
context: That's what I've been saying from the start!\Umeda-san.\I need your help.\Are you being serious?\I am.\Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead response:	the Neo Hundred.
context: Umeda-san.\I need your help.\Are you being serious?\I am.\Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead\the Neo Hundred. response:	I have made adjustments to CROWDS in order to improve their safety.
context: I need your help.\Are you being serious?\I am.\Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety. response:	It will be fine.
context: Are you being serious?\I am.\Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine. response:	I will protect you if there is a need.
context: I am.\Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need. response:	Umeda-san.
context: Now is the time to put ourselves out there in public.\Umeda-san.\Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need.\Umeda-san. response:	My dear comrade-in-arms,
context: Umeda-san.\Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms, response:	let us remake this country together.
context: Please be the one to lead\the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms,\let us remake this country together. response:	Just kidding!
context: the Neo Hundred.\I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms,\let us remake this country together.\Just kidding! response:	The king of a faraway land went to a large forest...
context: I have made adjustments to CROWDS in order to improve their safety.\It will be fine.\I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms,\let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest... response:	Let me have it, too!
context: It will be fine.\I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms,\let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too! response:	Me, too!
context: I will protect you if there is a need.\Umeda-san.\My dear comrade-in-arms,\let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too!\Me, too! response:	I'm not an object!
context: Umeda-san.\My dear comrade-in-arms,\let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too!\Me, too!\I'm not an object! response:	Oh!
context: My dear comrade-in-arms,\let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too!\Me, too!\I'm not an object!\Oh! response:	Pai-Pai looks like he's having fun!
context: let us remake this country together.\Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too!\Me, too!\I'm not an object!\Oh!\Pai-Pai looks like he's having fun! response:	How can I be having fun?
context: Just kidding!\The king of a faraway land went to a large forest...\Let me have it, too!\Me, too!\I'm not an object!\Oh!\Pai-Pai looks like he's having fun!\How can I be having fun? response:	Do something about them!
context: The king of a faraway land went to a large forest...\Let me have it, too!\Me, too!\I'm not an object!\Oh!\Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them! response:	They're just kids!
context: Let me have it, too!\Me, too!\I'm not an object!\Oh!\Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them!\They're just kids! response:	They're making way too much fun of me!
context: Me, too!\I'm not an object!\Oh!\Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them!\They're just kids!\They're making way too much fun of me! response:	Are they?
context: I'm not an object!\Oh!\Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them!\They're just kids!\They're making way too much fun of me!\Are they? response:	When kids are out of control,
context: Oh!\Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them!\They're just kids!\They're making way too much fun of me!\Are they?\When kids are out of control, response:	it might be because they want something.
context: Pai-Pai looks like he's having fun!\How can I be having fun?\Do something about them!\They're just kids!\They're making way too much fun of me!\Are they?\When kids are out of control,\it might be because they want something. response:	Something? What's this something?
context: How can I be having fun?\Do something about them!\They're just kids!\They're making way too much fun of me!\Are they?\When kids are out of control,\it might be because they want something.\Something? What's this something? response:	Love! It's love.
context: Do something about them!\They're just kids!\They're making way too much fun of me!\Are they?\When kids are out of control,\it might be because they want something.\Something? What's this something?\Love! It's love. response:	What?!
context: They're just kids!\They're making way too much fun of me!\Are they?\When kids are out of control,\it might be because they want something.\Something? What's this something?\Love! It's love.\What?! response:	I've never heard of such a convoluted life form!
context: They're making way too much fun of me!\Are they?\When kids are out of control,\it might be because they want something.\Something? What's this something?\Love! It's love.\What?!\I've never heard of such a convoluted life form! response:	Aren't you also making fun of me?
context: Are they?\When kids are out of control,\it might be because they want something.\Something? What's this something?\Love! It's love.\What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me? response:	Huh, why?
context: When kids are out of control,\it might be because they want something.\Something? What's this something?\Love! It's love.\What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why? response:	Of course you would.
context: it might be because they want something.\Something? What's this something?\Love! It's love.\What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why?\Of course you would. response:	I abandoned you guys.
context: Something? What's this something?\Love! It's love.\What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why?\Of course you would.\I abandoned you guys. response:	I'm not worthy to be your leader,
context: Love! It's love.\What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why?\Of course you would.\I abandoned you guys.\I'm not worthy to be your leader, response:	let alone to be a Gatchaman.
context: What?!\I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why?\Of course you would.\I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman. response:	That's not true!
context: I've never heard of such a convoluted life form!\Aren't you also making fun of me?\Huh, why?\Of course you would.\I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true! response:	If you need to run,
context: Aren't you also making fun of me?\Huh, why?\Of course you would.\I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true!\If you need to run, response:	you should run the best you can!
context: Huh, why?\Of course you would.\I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true!\If you need to run,\you should run the best you can! response:	Then you can just take your time to think.
context: Of course you would.\I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think. response:	You guys are way too spoiled!
context: I abandoned you guys.\I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled! response:	Good job, Sugane-chan.
context: I'm not worthy to be your leader,\let alone to be a Gatchaman.\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan. response:	Thank you.
context: let alone to be a Gatchaman.\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan.\Thank you. response:	I'm exhausted,
context: That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan.\Thank you.\I'm exhausted, response:	but this kind of thing isn't bad...
context: If you need to run,\you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan.\Thank you.\I'm exhausted,\but this kind of thing isn't bad... response:	When people grow up, they change in different ways,
context: you should run the best you can!\Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan.\Thank you.\I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways, response:	but everyone used to run around carefree like that before.
context: Then you can just take your time to think.\You guys are way too spoiled!\Good job, Sugane-chan.\Thank you.\I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before. response:	Well, I'm only half human,
context: You guys are way too spoiled!\Good job, Sugane-chan.\Thank you.\I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human, response:	so I only understand half of it all.
context: Good job, Sugane-chan.\Thank you.\I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all. response:	Compared to other animals, humans have a longer childhood.
context: Thank you.\I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood. response:	So I think that time leaves a long lasting impression,
context: I'm exhausted,\but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression, response:	even after becoming adults.
context: but this kind of thing isn't bad...\When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults. response:	We get really nostalgic.
context: When people grow up, they change in different ways,\but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic. response:	True, humans are very sentimental.
