context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink. response:	That guru hasn't been here either, has she?
context: Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she? response:	Guru?
context: she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru? response:	Nana's roommate.
context: I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru?\Nana's roommate. response:	Oh...
context: Nobu hasn't been here before?\I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru?\Nana's roommate.\Oh... response:	Is her boyfriend good looking?
context: I believe he lives close by.\With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru?\Nana's roommate.\Oh...\Is her boyfriend good looking? response:	Average, I'd say. But give him a guitar and he changes.
context: With his band and work,\I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru?\Nana's roommate.\Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes. response:	He becomes this super cool dude. He's a mysterious guy.
context: I doubt he has the time to sit back and enjoy a drink.\That guru hasn't been here either, has she?\Guru?\Nana's roommate.\Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy. response:	I guess so.
context: That guru hasn't been here either, has she?\Guru?\Nana's roommate.\Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so. response:	He's normally this helpless guy, much like her ex-boyfriend.
context: Guru?\Nana's roommate.\Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend. response:	Now that you mention it,
context: Nana's roommate.\Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it, response:	don't you think that Nobu and the ex-boyfriend are kinda similar?
context: Oh...\Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar? response:	Oh yeah, like the way they're idiots when they speak.
context: Is her boyfriend good looking?\Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak. response:	You think so? I think her new boyfriend is conceited.
context: Average, I'd say. But give him a guitar and he changes.\He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited. response:	Have you met him?
context: He becomes this super cool dude. He's a mysterious guy.\I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him? response:	No, I haven't.
context: I guess so.\He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't. response:	This is according to what Nana told me about him.
context: He's normally this helpless guy, much like her ex-boyfriend.\Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't.\This is according to what Nana told me about him. response:	Apparently, he's the heir to a Japanese inn,
context: Now that you mention it,\don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn, response:	but he threw that all away to pursue his dream and came to Tokyo.
context: don't you think that Nobu and the ex-boyfriend are kinda similar?\Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo. response:	That alone would be enough to have Nana fall for him.
context: Oh yeah, like the way they're idiots when they speak.\You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him. response:	He said something like this to the guru in a serious tone.
context: You think so? I think her new boyfriend is conceited.\Have you met him?\No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone. response:	I'm happy as long as I can play the guitar.
context: Have you met him?\No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar. response:	With you singing to it.
context: No, I haven't.\This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it. response:	Not something you can just blurt out in straight face.
context: This is according to what Nana told me about him.\Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face. response:	That's why you wouldn't do.
context: Apparently, he's the heir to a Japanese inn,\but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do. response:	That's so cold.
context: but he threw that all away to pursue his dream and came to Tokyo.\That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold. response:	You're no good
context: That alone would be enough to have Nana fall for him.\He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold.\You're no good response:	because you can't bring the heat up to where it isn't cold.
context: He said something like this to the guru in a serious tone.\I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold. response:	You're the type who would bring down the temperature
context: I'm happy as long as I can play the guitar.\With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature response:	to hide your shyness.
context: With you singing to it.\Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness. response:	However, I understand now.
context: Not something you can just blurt out in straight face.\That's why you wouldn't do.\That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness.\However, I understand now. response:	I fully understand why Nana fell for Nobu.
context: That's why you wouldn't do.\That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu. response:	That man surely knows how to please her.
context: That's so cold.\You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her. response:	He'll normally be this good friend who she can talk to about anything,
context: You're no good\because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything, response:	but when the time's right,
context: because you can't bring the heat up to where it isn't cold.\You're the type who would bring down the temperature\to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right, response:	he'll say what a woman wants to hear.
context: You're the type who would bring down the temperature\to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear. response:	He's the ideal type as far as Nana's concerned.
context: to hide your shyness.\However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned. response:	I guess there's more to it than just Nana going along with the flow.
context: However, I understand now.\I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow. response:	This may turn out well.
context: I fully understand why Nana fell for Nobu.\That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well. response:	What do you think Shoji?
context: That man surely knows how to please her.\He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji? response:	What do I think? I'm glad.
context: He'll normally be this good friend who she can talk to about anything,\but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji?\What do I think? I'm glad. response:	I wish for Nana's happiness with all my heart.
context: but when the time's right,\he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart. response:	Are you lonely?
context: he'll say what a woman wants to hear.\He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely? response:	Koichi Sato! One more Jackson Burger.
context: He's the ideal type as far as Nana's concerned.\I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger. response:	I'm taking one to Sachiko.
context: I guess there's more to it than just Nana going along with the flow.\This may turn out well.\What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko. response:	A present for you.
context: This may turn out well.\What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you. response:	You were at Jackson's again?
context: What do you think Shoji?\What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you.\You were at Jackson's again? response:	Thanks.
context: What do I think? I'm glad.\I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you.\You were at Jackson's again?\Thanks. response:	I'm sorry that it's not a Louis Vuitton bag.
context: I wish for Nana's happiness with all my heart.\Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you.\You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag. response:	I'm hopeless, aren't I?
context: Are you lonely?\Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you.\You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I? response:	Actually, I prefer the Jackson Burger.
context: Koichi Sato! One more Jackson Burger.\I'm taking one to Sachiko.\A present for you.\You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger. response:	I wonder if we were too mean.
context: I'm taking one to Sachiko.\A present for you.\You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean. response:	I don't think so. We needed to put him in his place.
context: A present for you.\You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place. response:	We sure did that, didn't we?
context: You were at Jackson's again?\Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we? response:	In his position, Shoji's not about to blurt out
context: Thanks.\I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out response:	that he's lonely under any circumstance,
context: I'm sorry that it's not a Louis Vuitton bag.\I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance, response:	but he's gotta be feeling lonely.
context: I'm hopeless, aren't I?\Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely. response:	Men can be so selfish.
context: Actually, I prefer the Jackson Burger.\I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish. response:	Although it would be annoying
context: I wonder if we were too mean.\I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying response:	if he didn't feel lonely at all.
context: I don't think so. We needed to put him in his place.\We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all. response:	Shoji did love Nana, after all.
context: We sure did that, didn't we?\In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all. response:	He just loved Sachiko more.
context: In his position, Shoji's not about to blurt out\that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more. response:	But you know,
context: that he's lonely under any circumstance,\but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more.\But you know, response:	don't you feel that's because Sachiko loved Shoji more than Nana?
context: but he's gotta be feeling lonely.\Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana? response:	You think so?
context: Men can be so selfish.\Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so? response:	But didn't Nana love Shoji enough that she couldn't live without him?
context: Although it would be annoying\if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him? response:	No.
context: if he didn't feel lonely at all.\Shoji did love Nana, after all.\He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No. response:	Of course, there's no way of comparing the weight of love
context: Shoji did love Nana, after all.\He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love response:	Nana and Sachiko had for Shoji.
context: He just loved Sachiko more.\But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji. response:	Just, Shoji probably felt more love from Sachiko.
context: But you know,\don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko. response:	Maybe it's a matter of how they expressed their feelings.
context: don't you feel that's because Sachiko loved Shoji more than Nana?\You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings. response:	Nana's is very one-sided,
context: You think so?\But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided, response:	so it's difficult to grasp exactly what she feels.
context: But didn't Nana love Shoji enough that she couldn't live without him?\No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels. response:	Yeah. Come to think of it, while Shoji went out with Nana,
context: No.\Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana, response:	he would often come to our place to get drunk and complain about her.
context: Of course, there's no way of comparing the weight of love\Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her. response:	Nana doesn't love me for who I am. She only loves the me that loves her.
context: Nana and Sachiko had for Shoji.\Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her. response:	You're right! I thought, and I sympathized with him.
context: Just, Shoji probably felt more love from Sachiko.\Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him. response:	Well, although that likely wasn't Nana's intention,
context: Maybe it's a matter of how they expressed their feelings.\Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention, response:	that's how it looked like to others.
context: Nana's is very one-sided,\so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others. response:	So when she found out that he was cheating on her
context: so it's difficult to grasp exactly what she feels.\Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her response:	and she was quick to discard him, saying she no longer wanted him,
context: Yeah. Come to think of it, while Shoji went out with Nana,\he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him, response:	that must've been a big blow to Shoji.
context: he would often come to our place to get drunk and complain about her.\Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji. response:	It was the type of shock where he's thinking,
context: Nana doesn't love me for who I am. She only loves the me that loves her.\You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking, response:	so that was the truth all along.
context: You're right! I thought, and I sympathized with him.\Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along. response:	But Nana's actions were more because she doesn't take pain well,
context: Well, although that likely wasn't Nana's intention,\that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well, response:	and so when she gets hurt, the first thing she does is try to escape.
context: that's how it looked like to others.\So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape. response:	I think you're right.
context: So when she found out that he was cheating on her\and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right. response:	She'll quickly run away, and quickly put a lid on it.
context: and she was quick to discard him, saying she no longer wanted him,\that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it. response:	She tries not to face her partner.
context: that must've been a big blow to Shoji.\It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner. response:	There's always that thing about her that makes her seem like
context: It was the type of shock where he's thinking,\so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like response:	she's having a conversation with herself, even when she's talking to someone else.
context: so that was the truth all along.\But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else. response:	But lately she no longer comes crying to you like she used to.
context: But Nana's actions were more because she doesn't take pain well,\and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to. response:	Maybe she is able to face her partner now.
context: and so when she gets hurt, the first thing she does is try to escape.\I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now. response:	Let's hope that's the case.
context: I think you're right.\She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case. response:	So if and when Nobu cheats on her,
context: She'll quickly run away, and quickly put a lid on it.\She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her, response:	I sure hope she shows enough passion to go crying to him and not let him go.
context: She tries not to face her partner.\There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go. response:	Then if I cheat on you,
context: There's always that thing about her that makes her seem like\she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you, response:	will you come crying to me and not let me go?
context: she's having a conversation with herself, even when she's talking to someone else.\But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go? response:	No, I'll beat you to death.
context: But lately she no longer comes crying to you like she used to.\Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death. response:	I'm relieved, Junko.
context: Maybe she is able to face her partner now.\Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko. response:	THERE'S STILL HOPE FOR US I'm relieved, Junko.
context: Let's hope that's the case.\So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko. response:	THERE'S STILL HOPE FOR US
