context: Caramel Waffles with Apples and Nuts response:	Thanks for waiting!
context: Did his mind just go blank?\Why isn't he playing?\Did he forget how to play?\Weird kid.\I've never seen this happen before.\Someone...\Arima's self-destructed!\It's over. response:	Lucky break!
context: Why isn't he playing?\Did he forget how to play?\Weird kid.\I've never seen this happen before.\Someone...\Arima's self-destructed!\It's over.\Lucky break! response:	That's one less competitor.
context: Did he forget how to play?\Weird kid.\I've never seen this happen before.\Someone...\Arima's self-destructed!\It's over.\Lucky break!\That's one less competitor. response:	This is the frontrunner?
context: Weird kid.\I've never seen this happen before.\Someone...\Arima's self-destructed!\It's over.\Lucky break!\That's one less competitor.\This is the frontrunner? response:	He cracked under the pressure.
context: I've never seen this happen before.\Someone...\Arima's self-destructed!\It's over.\Lucky break!\That's one less competitor.\This is the frontrunner?\He cracked under the pressure. response:	Mom...
context: Someone...\Arima's self-destructed!\It's over.\Lucky break!\That's one less competitor.\This is the frontrunner?\He cracked under the pressure.\Mom... response:	I'm going to be alone again at the bottom of a dark sea.
context: Arima's self-destructed!\It's over.\Lucky break!\That's one less competitor.\This is the frontrunner?\He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea. response:	But you have me.
context: It's over.\Lucky break!\That's one less competitor.\This is the frontrunner?\He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me. response:	I know that can't hear the sound of your playing, and that you haven't been playing.
context: Lucky break!\That's one less competitor.\This is the frontrunner?\He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing. response:	I know everything. But I want you.
context: That's one less competitor.\This is the frontrunner?\He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you. response:	Just like you said, we might not be able to turn in a performance that we can live with.
context: This is the frontrunner?\He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with. response:	But we're going to play. As long as I have a chance to play,
context: He cracked under the pressure.\Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play, response:	and there's an audience that will listen.
context: Mom...\I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen. response:	Kousei!
context: I'm going to be alone again at the bottom of a dark sea.\But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei! response:	Kousei!
context: But you have me.\I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei!\Kousei! response:	I'm going to play with everything I've got.
context: I know that can't hear the sound of your playing, and that you haven't been playing.\I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei!\Kousei!\I'm going to play with everything I've got. response:	So that the people who've heard me will never forget me.
context: I know everything. But I want you.\Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei!\Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me. response:	So that I can live in their hearts forever.
context: Just like you said, we might not be able to turn in a performance that we can live with.\But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei!\Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever. response:	That's my reason for existing.
context: But we're going to play. As long as I have a chance to play,\and there's an audience that will listen.\Kousei!\Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing. response:	I'm a musician, after all! Just like you.
context: and there's an audience that will listen.\Kousei!\Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you. response:	So... I'm asking you to do this for me.
context: Kousei!\Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me. response:	Please be my accompanist.
context: Kousei!\I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist. response:	Huh? What? Um...
context: I'm going to play with everything I've got.\So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um... response:	A tiny bit will do... Please give me your support.
context: So that the people who've heard me will never forget me.\So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support. response:	Please support me in this moment that I'm about to lose heart.
context: So that I can live in their hearts forever.\That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart. response:	Watari was totally right.
context: That's my reason for existing.\I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right. response:	Whether or not it's impossible...
context: I'm a musician, after all! Just like you.\So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible... response:	The girl will let you know.
context: So... I'm asking you to do this for me.\Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible...\The girl will let you know. response:	I'll do it. I'll be your accompanist.
context: Please be my accompanist.\Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist. response:	I'm not making any guarantees, all right?
context: Huh? What? Um...\A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right? response:	Found you!
context: A tiny bit will do... Please give me your support.\Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you! response:	What are you doing? We've been looking for you!
context: Please support me in this moment that I'm about to lose heart.\Watari was totally right.\Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you! response:	Don't you dare run away! Not if you call yourself a man!
context: Watari was totally right.\Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man! response:	If we make a run for it, we'll be there in 20 minutes!
context: Whether or not it's impossible...\The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes! response:	20 minutes? I won't be able to play decently!
context: The girl will let you know.\I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently! response:	Hey, I've got an idea.
context: I'll do it. I'll be your accompanist.\I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea. response:	Let's go!
context: I'm not making any guarantees, all right?\Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go! response:	But will you be okay? What about practice? Have you rehearsed together?
context: Found you!\What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together? response:	No worries! We'll figure it out! Because we rule!
context: What are you doing? We've been looking for you!\Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule! response:	Don't underestimate us jocks! I can make you time to rehearse!
context: Don't you dare run away! Not if you call yourself a man!\If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse! response:	Wait, shouldn't you guys be in school? And whose bike is this?
context: If we make a run for it, we'll be there in 20 minutes!\20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this? response:	Hey, don't sweat the small stuff!
context: 20 minutes? I won't be able to play decently!\Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff! response:	The town that I live in... is starting to take on color...
context: Hey, I've got an idea.\Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\The town that I live in... is starting to take on color... response:	Inside Spring
context: Let's go!\But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\The town that I live in... is starting to take on color...\Inside Spring response:	Episode 4 Set Out
context: But will you be okay? What about practice? Have you rehearsed together?\No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\The town that I live in... is starting to take on color...\Inside Spring\Episode 4 Set Out response:	Watch Again Next Week!
context: No worries! We'll figure it out! Because we rule!\Don't underestimate us jocks! I can make you time to rehearse!\Wait, shouldn't you guys be in school? And whose bike is this?\Hey, don't sweat the small stuff!\The town that I live in... is starting to take on color...\Inside Spring\Episode 4 Set Out\Watch Again Next Week! response:	Two People on a Bike is Forbidden By Law
