context: Grand Prix Final Final Competition response:	Barcelona, Spain
context: He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop.\He did it!\This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here. response:	He's attempting difficult elements with the highest possible execution.
context: The last jump is also a quad.\A quadruple toe loop.\He did it!\This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution. response:	A beautiful monster continues to evolve to even greater heights!
context: A quadruple toe loop.\He did it!\This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights! response:	Oh... My mind went blank in the middle of it.
context: He did it!\This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it. response:	Victor
context: This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor response:	What score will we see here?
context: All of his jumps were flawless!\Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor\What score will we see here? response:	Yuri Plisetsky's score is 118.56!
context: Here comes the step sequence.\Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor\What score will we see here?\Yuri Plisetsky's score is 118.56! response:	RK: 1 Yuri Plisetsky Total
context: Huh? Victor's not here.\He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor\What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total response:	He's surpassed the world record set by Victor Nikiforov!
context: He's attempting difficult elements with the highest possible execution.\A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor\What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov! response:	I've got this!
context: A beautiful monster continues to evolve to even greater heights!\Oh... My mind went blank in the middle of it.\Victor\What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this! response:	That's my Yuratchka!
context: Oh... My mind went blank in the middle of it.\Victor\What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka! response:	I got curious about how it was going, too.
context: Victor\What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka!\I got curious about how it was going, too. response:	Chris is about to take the ice. Let's find a seat.
context: What score will we see here?\Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat. response:	Okay.
context: Yuri Plisetsky's score is 118.56!\RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay. response:	The next skater is Christophe Giacometti of Switzerland, age 25.
context: RK: 1 Yuri Plisetsky Total\He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25. response:	The audience is still awestruck by Yuri Plisetsky's new world record,
context: He's surpassed the world record set by Victor Nikiforov!\I've got this!\That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record, response:	Chris!
context: I've got this!\That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris! response:	but the arena is filling with Swiss flags!
context: That's my Yuratchka!\I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags! response:	He is skating to Intoxicated.
context: I got curious about how it was going, too.\Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated. response:	He's changing the mood 180 degrees, from agape to adult sex appeal.
context: Chris is about to take the ice. Let's find a seat.\Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal. response:	He's planned a quad for his first jump.
context: Okay.\The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump. response:	A quadruple Lutz.
context: The next skater is Christophe Giacometti of Switzerland, age 25.\The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz. response:	Look at the flow of that jump!
context: The audience is still awestruck by Yuri Plisetsky's new world record,\Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump! response:	Combination spin.
context: Chris!\but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump!\Combination spin. response:	Though he's advanced to the Final each year,
context: but the arena is filling with Swiss flags!\He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year, response:	Christophe Giacometti has never won the event.
context: He is skating to Intoxicated.\He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event. response:	How does longtime rival Victor Nikiforov feel
context: He's changing the mood 180 degrees, from agape to adult sex appeal.\He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel response:	as he watches him perform from the audience?
context: He's planned a quad for his first jump.\A quadruple Lutz.\Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience? response:	Yuri, you're not the only skater
context: A quadruple Lutz.\Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater response:	who's always watched Victor climb the podium until now.
context: Look at the flow of that jump!\Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now. response:	Given my age, I won't be able to qualify for the Final much longer.
context: Combination spin.\Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer. response:	To tell the truth, the first season without Victor is boring...
context: Though he's advanced to the Final each year,\Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring... response:	Chris, we're here.
context: Christophe Giacometti has never won the event.\How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here. response:	You always come too early.
context: How does longtime rival Victor Nikiforov feel\as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early. response:	But that's why I'll make this Final extra special!
context: as he watches him perform from the audience?\Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special! response:	A triple axel.
context: Yuri, you're not the only skater\who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special!\A triple axel. response:	That was perfect.
context: who's always watched Victor climb the podium until now.\Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special!\A triple axel.\That was perfect. response:	The jump's height and distance were flawless.
context: Given my age, I won't be able to qualify for the Final much longer.\To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special!\A triple axel.\That was perfect.\The jump's height and distance were flawless. response:	Victor, watch this from the audience.
context: To tell the truth, the first season without Victor is boring...\Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special!\A triple axel.\That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience. response:	Victor...
context: Chris, we're here.\You always come too early.\But that's why I'll make this Final extra special!\A triple axel.\That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor... response:	I thought the same thing when he watched Yurio earlier, but...
context: You always come too early.\But that's why I'll make this Final extra special!\A triple axel.\That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but... response:	Oops, that quad was just a bit under-rotated.
context: But that's why I'll make this Final extra special!\A triple axel.\That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated. response:	His last jump had a flaw, but of course, it's still Chris.
context: A triple axel.\That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris. response:	Everything in his program has great execution.
context: That was perfect.\The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution. response:	He may outscore me.
context: The jump's height and distance were flawless.\Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me. response:	I don't give up that easily, you know.
context: Victor, watch this from the audience.\Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know. response:	Christophe Giacometti's score is 102.37!
context: Victor...\I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37! response:	Chris!
context: I thought the same thing when he watched Yurio earlier, but...\Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris! response:	He's passed Katsuki Yuri and is currently in second place.
context: Oops, that quad was just a bit under-rotated.\His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place. response:	Davai!
context: His last jump had a flaw, but of course, it's still Chris.\Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai! response:	Now we have Otabek Altin of Kazakhstan.
context: Everything in his program has great execution.\He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan. response:	This is his very first Final, after finishing the Grand Prix Series in second.
context: He may outscore me.\I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second. response:	Davai!
context: I don't give up that easily, you know.\Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai! response:	He is skating to Samarkand Overture.
context: Christophe Giacometti's score is 102.37!\Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture. response:	Altin is a dark horse in this year's Grand Prix Series.
context: Chris!\He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series. response:	He was telling us that he'd like to bring gold back to his country.
context: He's passed Katsuki Yuri and is currently in second place.\Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country. response:	Here's the first jump.
context: Davai!\Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump. response:	Quadruple toe loop, triple toe loop!
context: Now we have Otabek Altin of Kazakhstan.\This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop! response:	Success!
context: This is his very first Final, after finishing the Grand Prix Series in second.\Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop!\Success! response:	Otabek wasn't very memorable in the past.
context: Davai!\He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past. response:	He's completely different now.
context: He is skating to Samarkand Overture.\Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past.\He's completely different now. response:	He wasn't known at all until the junior division.
context: Altin is a dark horse in this year's Grand Prix Series.\He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division. response:	Otabek, why are you embarrassed?
context: He was telling us that he'd like to bring gold back to his country.\Here's the first jump.\Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed? response:	I have fewer resources, and the other talent is overwhelming.
context: Here's the first jump.\Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming. response:	If I can't demonstrate something they can't do,
context: Quadruple toe loop, triple toe loop!\Success!\Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do, response:	I'll never win.
context: Success!\Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win. response:	I haven't done ballet ever since.
context: Otabek wasn't very memorable in the past.\He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since. response:	There is no right path.
context: He's completely different now.\He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since.\There is no right path. response:	The ice is a battlefield.
context: He wasn't known at all until the junior division.\Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since.\There is no right path.\The ice is a battlefield. response:	I am going to survive!
context: Otabek, why are you embarrassed?\I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since.\There is no right path.\The ice is a battlefield.\I am going to survive! response:	A triple axel.
context: I have fewer resources, and the other talent is overwhelming.\If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since.\There is no right path.\The ice is a battlefield.\I am going to survive!\A triple axel. response:	Look at that height and distance!
context: If I can't demonstrate something they can't do,\I'll never win.\I haven't done ballet ever since.\There is no right path.\The ice is a battlefield.\I am going to survive!\A triple axel.\Look at that height and distance! response:	That's Otabek Altin's triple axel!
context: I'll never win.\I haven't done ballet ever since.\There is no right path.\The ice is a battlefield.\I am going to survive!\A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel! response:	The last jump...
context: I haven't done ballet ever since.\There is no right path.\The ice is a battlefield.\I am going to survive!\A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump... response:	A quadruple Salchow.
context: There is no right path.\The ice is a battlefield.\I am going to survive!\A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow. response:	That had great flow!
context: The ice is a battlefield.\I am going to survive!\A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow.\That had great flow! response:	Otabek's jumps were flawless, too.
context: I am going to survive!\A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too. response:	His skating shows no hesitation.
context: A triple axel.\Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation. response:	That determination is very much his trademark.
context: Look at that height and distance!\That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark. response:	Another score higher than the pig's.
context: That's Otabek Altin's triple axel!\The last jump...\A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's. response:	He's great.
context: The last jump...\A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's.\He's great. response:	That was very exotic!
context: A quadruple Salchow.\That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's.\He's great.\That was very exotic! response:	It felt so fresh!
context: That had great flow!\Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's.\He's great.\That was very exotic!\It felt so fresh! response:	Come on, go.
context: Otabek's jumps were flawless, too.\His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's.\He's great.\That was very exotic!\It felt so fresh!\Come on, go. response:	JJ, show them! Show them good!
context: His skating shows no hesitation.\That determination is very much his trademark.\Another score higher than the pig's.\He's great.\That was very exotic!\It felt so fresh!\Come on, go.\JJ, show them! Show them good! response:	Otabek Altin's score is 112.38!
context: That determination is very much his trademark.\Another score higher than the pig's.\He's great.\That was very exotic!\It felt so fresh!\Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38! response:	Wow!
context: Another score higher than the pig's.\He's great.\That was very exotic!\It felt so fresh!\Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow! response:	He beat his personal best again, and he's currently in second!
context: He's great.\That was very exotic!\It felt so fresh!\Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second! response:	RK: 2 Otabek Altin Total
context: That was very exotic!\It felt so fresh!\Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total response:	It's like a new personal best party!
context: It felt so fresh!\Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party! response:	Yeah!
context: Come on, go.\JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah! response:	Jean-Jacques Leroy.
context: JJ, show them! Show them good!\Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah!\Jean-Jacques Leroy. response:	He has a huge group of supporters here from Canada.
context: Otabek Altin's score is 112.38!\Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada. response:	Just listen to all the JJ shouts in the arena.
context: Wow!\He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena. response:	He's the only skater here who won both his qualifying events
context: He beat his personal best again, and he's currently in second!\RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events response:	with flawless performances.
context: RK: 2 Otabek Altin Total\It's like a new personal best party!\Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances. response:	He is skating to Theme of King JJ.
context: It's like a new personal best party!\Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ. response:	What I'm after isn't just
context: Yeah!\Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just response:	complete supremacy over the Grand Prix Series,
context: Jean-Jacques Leroy.\He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series, response:	but also a grand slam of the Canadian Nationals,
context: He has a huge group of supporters here from Canada.\Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals, response:	the Four Continents, and World Championship.
context: Just listen to all the JJ shouts in the arena.\He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship. response:	Right now, it's totally within my reach
context: He's the only skater here who won both his qualifying events\with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach response:	Hmm, the quadruple toe loop...
context: with flawless performances.\He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop... response:	He'd planned a combination, but there was only one jump.
context: He is skating to Theme of King JJ.\What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump. response:	I'll just turn the quad in the second half into a combination!
context: What I'm after isn't just\complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination! response:	No problem!
context: complete supremacy over the Grand Prix Series,\but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem! response:	The triple axel turned into a single...
context: but also a grand slam of the Canadian Nationals,\the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single... response:	Oops.
context: the Four Continents, and World Championship.\Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single...\Oops. response:	JJ...
context: Right now, it's totally within my reach\Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single...\Oops.\JJ... response:	Damn it.
context: Hmm, the quadruple toe loop...\He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single...\Oops.\JJ...\Damn it. response:	He let himself be swallowed by the Grand Prix Final pressure.
context: He'd planned a combination, but there was only one jump.\I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single...\Oops.\JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure. response:	Once I win the World Championship, let's get married.
context: I'll just turn the quad in the second half into a combination!\No problem!\The triple axel turned into a single...\Oops.\JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married. response:	JJ!
