context: There, it's dealt with. response:	I don't know what it is you hear,
context: Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news. response:	We can't burn them!
context: Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them! response:	If they're for a festival of the gods,
context: But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods, response:	they're not something humans should mess with!
context: He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with! response:	We'll follow the plan we discussed yesterday.
context: He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday. response:	Use the talismans I passed out to you...
context: Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you... response:	As you can see, they generate purifying flames that only work on Anothers.
context: Even if they do, he'll be able to\No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers. response:	They don't work in a wide area,
context: No! If we're right, this is seriously bad news.\We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area, response:	so you're unfortunately going to have to put one on each cocoon.
context: We can't burn them!\If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon. response:	Okay, let's get to work.
context: If they're for a festival of the gods,\they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work. response:	Hey, you can't do that!
context: they're not something humans should mess with!\We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that! response:	I won't be able to make my clothes!
context: We'll follow the plan we discussed yesterday.\Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes! response:	What an awful thing to do.
context: Use the talismans I passed out to you...\As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do. response:	Shall I get rid of those humans for you?
context: As you can see, they generate purifying flames that only work on Anothers.\They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you? response:	Tch... I thought I could get her to owe me one.
context: They don't work in a wide area,\so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one. response:	Okay, we'll be done by morning at this rate.
context: so you're unfortunately going to have to put one on each cocoon.\Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate. response:	I'm glad we were able to deal with this quickly.
context: Okay, let's get to work.\Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly. response:	It's fast when you've got a team this size.
context: Hey, you can't do that!\I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size. response:	Once this is done, can you help with the stands, Yamaoka?
context: I won't be able to make my clothes!\What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka? response:	They seem to be running behind...
context: What an awful thing to do.\Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind... response:	Yamaoka?
context: Shall I get rid of those humans for you?\Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka? response:	Shit! It showed up!
context: Tch... I thought I could get her to owe me one.\Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka?\Shit! It showed up! response:	Where is it?
context: Okay, we'll be done by morning at this rate.\I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka?\Shit! It showed up!\Where is it? response:	Shimizu Chiyoda Ward Nocturnal Relations Division
context: I'm glad we were able to deal with this quickly.\It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka?\Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division response:	Shimizu-san?
context: It's fast when you've got a team this size.\Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka?\Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san? response:	Hello?
context: Once this is done, can you help with the stands, Yamaoka?\They seem to be running behind...\Yamaoka?\Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello? response:	Miyako-san?!
context: They seem to be running behind...\Yamaoka?\Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello?\Miyako-san?! response:	Wh-What do we do?!
context: Yamaoka?\Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello?\Miyako-san?!\Wh-What do we do?! response:	What do we do?!
context: Shit! It showed up!\Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello?\Miyako-san?!\Wh-What do we do?!\What do we do?! response:	Calm down!
context: Where is it?\Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello?\Miyako-san?!\Wh-What do we do?!\What do we do?!\Calm down! response:	Everybody's wrapped up in cocoons...
context: Shimizu Chiyoda Ward Nocturnal Relations Division\Shimizu-san?\Hello?\Miyako-san?!\Wh-What do we do?!\What do we do?!\Calm down!\Everybody's wrapped up in cocoons... response:	She got all of them b-but me!
