context: Umm...! response:	It was all a lie! I had those two set this whole thing up for me.
context: It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you. response:	See you later.
context: Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later. response:	Umm...
context: There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later.\Umm... response:	Thank you for today, really.
context: Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later.\Umm...\Thank you for today, really. response:	Yeah.
context: Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later.\Umm...\Thank you for today, really.\Yeah. response:	Say hi to your mom for me.
context: I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later.\Umm...\Thank you for today, really.\Yeah.\Say hi to your mom for me. response:	L-Let me walk you to the entrance.
context: But if anything happens, don't hesitate to give me a call.\I can't do anything physically, but I can at least be there for you.\See you later.\Umm...\Thank you for today, really.\Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance. response:	It's fine. If you don't hurry up, the cafeteria will close.
context: I can't do anything physically, but I can at least be there for you.\See you later.\Umm...\Thank you for today, really.\Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close. response:	Then let me at least give you some money for a taxi...
context: See you later.\Umm...\Thank you for today, really.\Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi... response:	It's fine.
context: Umm...\Thank you for today, really.\Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine. response:	I love you...
context: Thank you for today, really.\Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine.\I love you... response:	I've loved you this whole time...
context: Yeah.\Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine.\I love you...\I've loved you this whole time... response:	Yano...
context: Say hi to your mom for me.\L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine.\I love you...\I've loved you this whole time...\Yano... response:	I've loved you this whole time...
context: L-Let me walk you to the entrance.\It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine.\I love you...\I've loved you this whole time...\Yano...\I've loved you this whole time... response:	To the plaza in front of the station. I'm sorry, but please hurry.
context: It's fine. If you don't hurry up, the cafeteria will close.\Then let me at least give you some money for a taxi...\It's fine.\I love you...\I've loved you this whole time...\Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry. response:	Yes, sir.
context: Then let me at least give you some money for a taxi...\It's fine.\I love you...\I've loved you this whole time...\Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir. response:	It's the first snow of the season!
context: It's fine.\I love you...\I've loved you this whole time...\Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season! response:	I thought it was pretty cold out today!
context: I love you...\I've loved you this whole time...\Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today! response:	It's freezing out here! Geez!
context: I've loved you this whole time...\Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez! response:	I should've worn gloves today.
context: Yano...\I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today. response:	Look! You can see your breath.
context: I've loved you this whole time...\To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath. response:	Here, take my gloves.
context: To the plaza in front of the station. I'm sorry, but please hurry.\Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves. response:	Put them on.
context: Yes, sir.\It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves.\Put them on. response:	Y-You're giving them to me...?
context: It's the first snow of the season!\I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves.\Put them on.\Y-You're giving them to me...? response:	I'm sorry...
context: I thought it was pretty cold out today!\It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves.\Put them on.\Y-You're giving them to me...?\I'm sorry... response:	There's somewhere I need to go.
context: It's freezing out here! Geez!\I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves.\Put them on.\Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go. response:	Where...?
context: I should've worn gloves today.\Look! You can see your breath.\Here, take my gloves.\Put them on.\Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go.\Where...? response:	She's your friend's girlfriend, isn't she?
context: Look! You can see your breath.\Here, take my gloves.\Put them on.\Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she? response:	I don't care how many times we have the same conversation.
context: Here, take my gloves.\Put them on.\Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation. response:	These sorts of things take time.
context: Put them on.\Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time. response:	It's okay if you think I'm the worst scum on the face of the earth.
context: Y-You're giving them to me...?\I'm sorry...\There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth. response:	It's just like he said...
context: I'm sorry...\There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said... response:	I'm sorry!
context: There's somewhere I need to go.\Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry! response:	I can't stop myself...
context: Where...?\She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry!\I can't stop myself... response:	I have feelings for her.
context: She's your friend's girlfriend, isn't she?\I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry!\I can't stop myself...\I have feelings for her. response:	There's a bad traffic jam at the entrance...
context: I don't care how many times we have the same conversation.\These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry!\I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance... response:	You can stop at the light over there.
context: These sorts of things take time.\It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry!\I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there. response:	Damn it...
context: It's okay if you think I'm the worst scum on the face of the earth.\It's just like he said...\I'm sorry!\I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it... response:	He likes you...
context: It's just like he said...\I'm sorry!\I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it...\He likes you... response:	And it's perfect.
context: I'm sorry!\I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it...\He likes you...\And it's perfect. response:	I'm just an intrusion.
context: I can't stop myself...\I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it...\He likes you...\And it's perfect.\I'm just an intrusion. response:	Please let me through!
context: I have feelings for her.\There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it...\He likes you...\And it's perfect.\I'm just an intrusion.\Please let me through! response:	I've given up on you so many times.
context: There's a bad traffic jam at the entrance...\You can stop at the light over there.\Damn it...\He likes you...\And it's perfect.\I'm just an intrusion.\Please let me through!\I've given up on you so many times. response:	Because I thought that would be best for you.
context: You can stop at the light over there.\Damn it...\He likes you...\And it's perfect.\I'm just an intrusion.\Please let me through!\I've given up on you so many times.\Because I thought that would be best for you. response:	But... you're crying.
context: Damn it...\He likes you...\And it's perfect.\I'm just an intrusion.\Please let me through!\I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying. response:	You're crying right now.
context: He likes you...\And it's perfect.\I'm just an intrusion.\Please let me through!\I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying.\You're crying right now. response:	Mutual love?
context: And it's perfect.\I'm just an intrusion.\Please let me through!\I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying.\You're crying right now.\Mutual love? response:	Loving someone else's lover?
context: I'm just an intrusion.\Please let me through!\I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying.\You're crying right now.\Mutual love?\Loving someone else's lover? response:	Friendship?
context: Please let me through!\I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying.\You're crying right now.\Mutual love?\Loving someone else's lover?\Friendship? response:	All of that...
context: I've given up on you so many times.\Because I thought that would be best for you.\But... you're crying.\You're crying right now.\Mutual love?\Loving someone else's lover?\Friendship?\All of that... response:	I told you to go home and wait there...
context: Because I thought that would be best for you.\But... you're crying.\You're crying right now.\Mutual love?\Loving someone else's lover?\Friendship?\All of that...\I told you to go home and wait there... response:	Why are you being so stubborn?
context: But... you're crying.\You're crying right now.\Mutual love?\Loving someone else's lover?\Friendship?\All of that...\I told you to go home and wait there...\Why are you being so stubborn? response:	Whatever...
context: You're crying right now.\Mutual love?\Loving someone else's lover?\Friendship?\All of that...\I told you to go home and wait there...\Why are you being so stubborn?\Whatever... response:	How long were you planning on standing here?
context: Mutual love?\Loving someone else's lover?\Friendship?\All of that...\I told you to go home and wait there...\Why are you being so stubborn?\Whatever...\How long were you planning on standing here? response:	You'll catch a cold.
context: Loving someone else's lover?\Friendship?\All of that...\I told you to go home and wait there...\Why are you being so stubborn?\Whatever...\How long were you planning on standing here?\You'll catch a cold. response:	Let's go home.
context: Friendship?\All of that...\I told you to go home and wait there...\Why are you being so stubborn?\Whatever...\How long were you planning on standing here?\You'll catch a cold.\Let's go home. response:	You like him...
context: All of that...\I told you to go home and wait there...\Why are you being so stubborn?\Whatever...\How long were you planning on standing here?\You'll catch a cold.\Let's go home.\You like him... response:	And it's perfect.
context: I told you to go home and wait there...\Why are you being so stubborn?\Whatever...\How long were you planning on standing here?\You'll catch a cold.\Let's go home.\You like him...\And it's perfect. response:	But...
context: Why are you being so stubborn?\Whatever...\How long were you planning on standing here?\You'll catch a cold.\Let's go home.\You like him...\And it's perfect.\But... response:	I can promise you one thing.
context: Whatever...\How long were you planning on standing here?\You'll catch a cold.\Let's go home.\You like him...\And it's perfect.\But...\I can promise you one thing. response:	Let's go home.
context: How long were you planning on standing here?\You'll catch a cold.\Let's go home.\You like him...\And it's perfect.\But...\I can promise you one thing.\Let's go home. response:	I'll never...
context: You'll catch a cold.\Let's go home.\You like him...\And it's perfect.\But...\I can promise you one thing.\Let's go home.\I'll never... response:	Ima kimi ga iikaketa kotoba ga
context: Let's go home.\You like him...\And it's perfect.\But...\I can promise you one thing.\Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga response:	Yubisaki ni sotto oritekita
context: You like him...\And it's perfect.\But...\I can promise you one thing.\Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita response:	Nanimo iwanakute ii yo
context: And it's perfect.\But...\I can promise you one thing.\Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo response:	Tsumaida yubi wo gyutto atatamete
context: But...\I can promise you one thing.\Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete response:	Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara
context: I can promise you one thing.\Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara response:	Setsunakute modokashikute yuuyake futari wo tsutsundeiru
context: Let's go home.\I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru response:	Komiageru mune no omoi kokoro ga itai yo
context: I'll never...\Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo response:	Moshi kimi ga tabibito ni nattara
context: Ima kimi ga iikaketa kotoba ga\Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara response:	Kore gurai kimi wo matteru darou
context: Yubisaki ni sotto oritekita\Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou response:	Kisetsu wa kawaru sono tabi ni
context: Nanimo iwanakute ii yo\Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni response:	Kioku ga usuragu koto ga attemo
context: Tsumaida yubi wo gyutto atatamete\Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo response:	Dareka wo konna fuu ni kokoro ippai de aisenai kara
context: Kotoba wa kotoba dakara kokoro hanbun mo tsutaenai kara\Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara response:	Mamaritai taisetsu na kimi
context: Setsunakute modokashikute yuuyake futari wo tsutsundeiru\Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi response:	Itsu datte futari wa hitori ja nai
context: Komiageru mune no omoi kokoro ga itai yo\Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai response:	Kono mune ga kawaresou de
context: Moshi kimi ga tabibito ni nattara\Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de response:	Furete hoshii yo
context: Kore gurai kimi wo matteru darou\Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo response:	Setsunakute modokashikute kaerenai kono mama aruiteitai
context: Kisetsu wa kawaru sono tabi ni\Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai response:	Yabaisaki ni kanjiteiru kokoro no kotoba wo
context: Kioku ga usuragu koto ga attemo\Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo response:	The words you were just about to say
context: Dareka wo konna fuu ni kokoro ippai de aisenai kara\Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say response:	fell softly onto my fingertips.
context: Mamaritai taisetsu na kimi\Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips. response:	You don't have to say anything.
context: Itsu datte futari wa hitori ja nai\Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything. response:	I'll clasp your hand tightly and warm it up.
context: Kono mune ga kawaresou de\Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up. response:	Because words are words, I can't express half of the feelings in my heart.
context: Furete hoshii yo\Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart. response:	It's so wrenching and irritating as the sunset engulfs the two of us.
context: Setsunakute modokashikute kaerenai kono mama aruiteitai\Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us. response:	My heart aches from all the feelings welling up inside of me.
context: Yabaisaki ni kanjiteiru kokoro no kotoba wo\The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me. response:	If you were to become a traveler,
context: The words you were just about to say\fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler, response:	would I be able to wait for you as I do now?
context: fell softly onto my fingertips.\You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now? response:	As the seasons change,
context: You don't have to say anything.\I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change, response:	even if our memories are to fade.
context: I'll clasp your hand tightly and warm it up.\Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade. response:	I wouldn't be able to love someone with all of my heart like this.
context: Because words are words, I can't express half of the feelings in my heart.\It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this. response:	I want to protect the precious you.
context: It's so wrenching and irritating as the sunset engulfs the two of us.\My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you. response:	The two of us are never alone.
context: My heart aches from all the feelings welling up inside of me.\If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone. response:	Me heart feels so fragile
context: If you were to become a traveler,\would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile response:	and I want you to touch it.
context: would I be able to wait for you as I do now?\As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile\and I want you to touch it. response:	It's so wrenching and irritating that I can't go home. I want to keep walking like this.
context: As the seasons change,\even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this. response:	I feel the words from your heart on my fingertips.
context: even if our memories are to fade.\I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips. response:	Episode 22 Preview...
context: I wouldn't be able to love someone with all of my heart like this.\I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview... response:	Take... I don't understand anything.
context: I want to protect the precious you.\The two of us are never alone.\Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview...\Take... I don't understand anything. response:	I don't know how to go out with Takahashi...
context: The two of us are never alone.\Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview...\Take... I don't understand anything.\I don't know how to go out with Takahashi... response:	I know I can understand him...
context: Me heart feels so fragile\and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview...\Take... I don't understand anything.\I don't know how to go out with Takahashi...\I know I can understand him... response:	Trust, is it...?
context: and I want you to touch it.\It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview...\Take... I don't understand anything.\I don't know how to go out with Takahashi...\I know I can understand him...\Trust, is it...? response:	That's something I always seem to be lacking...
context: It's so wrenching and irritating that I can't go home. I want to keep walking like this.\I feel the words from your heart on my fingertips.\Episode 22 Preview...\Take... I don't understand anything.\I don't know how to go out with Takahashi...\I know I can understand him...\Trust, is it...?\That's something I always seem to be lacking... response:	I want to protect you, Takahashi.
